token_,count
plus,2294
comme,1521
roy,1372
bien,1308
peuple,894
estat,841
dit,831
peut,803
prince,790
fait,753
faire,747
autres,739
republique,727
puissance,727
fans,719
point,711
aussi,651
tous,621
tout,616
autre,616
foit,583
sujets,579
deux,557
princes,545
fes,532
apres,488
empereur,464
leurs,458
magistrats,452
an,447
fift,445
loy,440
entre,439
celuy,424
mesme,423
non,418
contre,410
depuis,399
plusieurs,398
estats,394
peu,394
quand,385
ainsi,382
grand,380
loix,376
moins,370
ans,363
mesmes,357
faut,357
encores,355
france,353
royaume,352
cft,352
trois,351
droit,346
senat,343
mil,343
romains,333
dire,333
auec,330
doit,330
rien,329
pays,324
queles,318
chacun,312
quele,311
tousjours,309
ains,307
empire,306
roys,304
quoy,301
guerre,298
re,295
toutes,292
premier,292
livre,292
combien,287
fust,286
dieu,284
neantmoins,281
quelque,279
cens,276
lieu,275
populaire,274
ville,270
republiques,267
veu,262
touts,262
temps,261
mort,259
forte,258
peuples,253
cela,253
fort,252
iustice,252
où,250
autant,249
uns,248
souverain,245
hommes,241
euft,238
enfans,237
vie,236
iufques,236
toute,235
foy,235
cas,235
moyen,233
biens,233
toutesfois,232
corps,231
ceste,230
honneur,229
quatre,227
chofe,227
charles,227
fur,225
là,221
come,221
grands,219
efté,217
villes,217
magistrat,211
cy,210
souvent,205
iamais,202
conseil,202
quel,199
seulement,198
feroit,198
pape,196
tant,195
eftoyent,194
dix,192
mieux,191
grande,191
nombre,190
charge,190
ores,189
sujet,188
force,188
rome,185
puis,184
monarchie,182
beaucoup,182
pourquoy,181
duc,181
souveraineté,179
pere,177
aufli,176
in,175
peine,173
com,173
fin,172
paix,172
nature,167
quant,167
lettres,167
part,166
partie,165
lequel,163
deuant,162
ennemis,161
foubs,161
angleterre,161
cinq,161
cefte,161
eftant,159
vertu,159
vray,159
voir,158
caufe,158
dessus,157
voit,156
parle,152
fera,152
fils,152
dc,151
fix,151
feigneurs,150
particulier,149
auoyent,148
cause,148
argent,148
mal,145
con,145
forme,145
ordonnances,145
quelques,145
auons,144
ment,142
monde,141
fois,140
certain,140
foyent,140
parles,140
