token_,count
toutes fois,165
plus grand,158
où vient,87
peut faire,79
autre chose,76
toutes choses,69
plus moins,68
beaucoup plus,62
quelque chose,61
tant plus,60
tous autres,59
corps naturel,59
voilà pourquoy,55
plus grande,48
long temps,48
tout ainsi,47
autres animaux,42
peut entendre,40
toutes fortes,40
fois plus,39
uns autres,38
plus petit,37
là où,36
foit plus,34
combien fortes,34
puis apres,34
fes parties,30
premiere cause,30
non plus,30
toutes autres,29
quelques fois,29
chacune chose,28
quelle chose,27
grand peine,27
voire mefme,27
ceste forte,26
là peut,26
rien plus,26
plus souvent,25
autant plus,25
ceftuy cy,25
vnes autres,25
matiere forme,24
grand nombre,24
foy mefme,24
entre deux,24
quelques uns,24
cause efficiente,23
tout enfemble,23
entendement agent,23
cinq cens,22
corps celestes,21
auec plus,21
autres choses,21
non seulement,21
cefte cy,21
longue durée,21
comment peut,21
plus haut,20
hors mis,19
faut donc,19
vray femblable,19
tous deux,19
là vient,19
peut veoir,19
cho fes,18
aucune chose,18
plus longue,18
grand partie,18
trois cents,18
plus petite,18
plantes animaux,17
premier livre,17
entendement homme,17
bien souvent,17
quelques autres,17
eau douce,17
rien foit,16
mefme chose,16
tout monde,16
comme quand,16
encor moins,16
pierres metaux,16
peut voir,16
autre corps,16
peu peu,16
quelque fois,16
grand abondance,16
deux fois,16
dont aduient,16
telle forte,16
argent vif,16
neant moins,15
plus haute,15
pourroit faire,15
tout corps,15
deux fortes,15
tue pourquoy,15
tous corps,15
deux trois,15
comme peut,15
quelque peu,15
diametres terre,15
fur tout,14
routes fois,14
tres bien,14
fort souvent,14
quelque autre,14
peu faut,14
auec grand,14
leurs corps,14
leurs petits,14
quand elles,14
seroit autant,14
soleil plus,14
quatriesme livre,14
mille ans,14
vingt quatre,14
comme exemple,13
pourquoy non,13
com bien,13
force vertu,13
ceste cause,13
orient occident,13
autre part,13
plus vray,13
deux extremitez,13
enfemble fois,13
grand force,13
terre comme,13
ombre terre,13
chose plus,12
tout mefme,12
encor plus,12
lyne autre,12
auec autre,12
eau terre,12
quelque temps,12
pourroit dire,12
plus grands,12
cy deuant,12
rien peut,12
corps naturels,12
choses hautes,12
laquelle chose,12
faut doncques,12
chaleur naturelle,12
premiere matiere,12
comme dit,12
cefte forte,12
nombre infiny,12
quand dit,12
fortes animaux,12
fes petits,12
plus forte,12
deux cents,12
puis ailleurs,11
chose laquelle,11
toutes pars,11
grand plus,11
autre ment,11
rien empefche,11
ni plus,11
tout ensemble,11
comme diroit,11
toute chose,11
soleil lune,11
differentes vnes,11
region air,11
anges demons,11
ames hommes,11
plus long,11
temps apres,11
tout coup,11
nature donné,11
plus facilement,11
peu plus,11
tous ans,11
mille cinq,11
combien foit,10
choses plus,10
air feu,10
plus clair,10
deux choses,10
toute nature,10
grand quantité,10
eau feu,10
ensemble fois,10
chose foit,10
part monde,10
toutes parts,10
fans ame,10
nature comme,10
plus grandes,10
telles choses,10
autres parties,10
bon gré,10
quelque part,10
auec eau,10
plus pefante,10
plus auffi,10
plus proche,10
corps humain,10
loy diuine,10
ainsi certes,10
cinq cents,10
corps comme,10
plus propre,9
faut douter,9
nature foit,9
tout refte,9
ordre nature,9
principe nature,9
di re,9
chose comme,9
cy apres,9
plusieurs autres,9
def quels,9
routes choses,9
plus facile,9
autres comme,9
fans aucune,9
forme matiere,9
aucune raifon,9
mefme raifon,9
enten dement,9
ouy certes,9
fur autre,9
fond comble,9
autres fois,9
terre laquelle,9
premier mobile,9
lcs autres,9
corps elementaires,9
grecs appellent,9
mal conuenable,9
quel moyen,9
grand difficulté,9
comme eau,9
rend plus,9
bien tant,9
quand soleil,9
vers midy,9
lors soleil,9
plus hautes,9
con traire,9
plus pe,9
terre plus,9
temps fans,9
diametre terre,9
pris nom,9
parle moyen,9
toutes differentes,9
voila pourquoy,9
occident orient,9
ans apres,9
ceste raifon,9
horf mis,9
cents ans,9
ame peut,9
plus clairement,9
