token_,count
plus,1794
comme,896
corps,683
autre,669
autres,658
peut,615
toutes,540
foit,533
tout,528
nature,527
deux,498
mefme,493
laquelle,488
chose,480
grand,467
fois,435
terre,431
tant,426
ni,418
choses,398
pourquoy,383
puis,377
fans,371
eau,366
ainsi,365
ame,360
auec,345
leurs,344
fes,341
elles,334
tous,328
rien,323
moins,320
point,320
ceste,320
auffi,315
quand,310
quelque,306
là,305
bien,302
où,286
animaux,286
fur,285
monde,282
faut,274
soleil,274
re,271
fait,263
air,261
fin,260
apres,260
dire,258
faire,256
forme,251
combien,244
non,232
autant,230
entre,227
feu,226
mouvement,221
ment,218
dieu,214
temps,213
forte,210
fort,209
dc,209
homme,209
pource,208
matiere,207
efté,205
force,198
lequel,196
partie,195
b,190
trois,186
veu,181
aucune,180
hommes,180
cy,178
toutesfois,176
livre,176
lieu,175
auons,174
mefine,170
cause,170
vient,170
parties,169
moyen,168
fuft,167
fortes,165
peu,165
cefte,164
lc,164
toute,162
dit,162
plantes,159
encor,158
celà,157
quatre,152
quelle,148
parce,148
di,147
mer,147
aist,145
eftant,144
com,143
contraire,142
tres,140
quc,139
plufieurs,138
quelques,137
section,137
lune,137
ariftote,135
entendement,132
donc,132
ciel,132
beaucoup,131
foyent,130
celuy,129
foy,129
ans,129
vie,128
cecy,128
li,128
quel,125
caufe,124
premier,123
chaleur,122
naturel,121
contre,119
an,119
certes,118
nombre,118
aucc,117
con,116
cn,115
cc,115
premiere,115
fera,114
vnc,113
pluftoft,113
lefquelles,110
formes,110
ef,109
feroit,108
feulement,108
telle,107
u,107
pourroit,106
raifon,106
lors,106
ames,106
entendre,105
lcs,104
finon,103
bon,103
foubs,101
quant,100
vns,100
efcript,100
ic,98
autrement,98
fai,97
appelle,97
yeux,97
my,96
ailleurs,95
petit,94
toufiours,94
fçauoir,91
propre,90
grande,90
cinq,89
fer,89
vingt,89
vertu,88
iufques,88
femble,87
in,87
esté,86
opinion,86
celle,85
fouuent,85
voilà,85
pat,85
beftes,84
pe,83
mille,83
long,83
mal,82
si,82
fix,82
tre,82
ia,82
chacun,81
euft,81
icy,81
petits,81
doit,80
void,80
cela,80
ion,80
ar,80
mis,79
deuant,79
fens,79
principe,78
duquel,78
chacune,78
clle,78
dont,77
meíme,77
tue,77
eaux,77
routes,76
elements,76
pierres,76
h,76
grandeur,76
dix,75
cents,75
peuuent,74
doncques,74
vray,74
iamais,74
couleur,74
lumiere,73
ordre,72
tou,72
anges,72
voyons,72
hors,72
pluficurs,71
ja,71
aucun,70
haut,70
auantage,70
ligne,70
nom,70
pierre,70
ue,69
pre,69
froid,69
faudroit,68
vers,68
celles,67
tellement,67
diametre,67
er,66
fonc,66
lefquels,66
petite,66
tion,65
for,64
aufli,64
chaud,64
grecs,64
proportion,64
mefmes,63
va,63
pu,63
res,63
fang,63
mieux,62
ap,62
certain,62
metaux,62
eftans,61
bas,61
mv,61
demons,61
anciens,61
cieux,60
peur,60
plu,60
quarante,60
minutes,60
felon,59
cho,59
aucunement,59
comment,59
cor,58
auroit,58
tn,58
quantité,58
ble,57
accidents,57
ur,57
appellé,57
part,57
k,57
outre,56
neuf,56
appellent,56
ainf,56
enfemble,56
cofté,56
argent,56
refte,55
th,55
fond,55
commun,55
def,55
iour,55
main,55
veut,55
mois,55
fept,55
cens,55
voire,54
ge,54
infiny,54
telles,54
vi,54
cít,54
orbe,54
place,54
aduient,54
ix,54
odeur,54
celeftes,53
voir,53
femblable,53
da,53
quelqu,53
he,53
arbres,53
trente,53
causes,52
auquel,52
fuit,52
iours,52
mr,52
diuine,52
femence,52
hui,51
estoit,51
quels,51
figure,51
defia,51
raison,51
quil,51
cœur,51
platon,50
raifons,50
ve,50
el,50
defquels,50
dis,50
faudra,50
mef,50
cent,50
animal,50
ent,50
fubftance,50
aristote,49
donné,49
defquelles,49
g,48
dés,48
lu,48
eftoyent,48
prefque,48
ii,48
cout,48
os,48
venus,48
oifeaux,48
cest,47
quelles,47
efpeces,47
pro,47
longue,47
veoir,47
vnes,47
té,47
orbes,47
degrez,47
parmy,46
allez,46
trouuer,46
cit,46
per,46
nt,46
nc,46
tour,46
volonté,46
ls,46
trouue,46
année,46
tel,45
co,45
cu,45
ac,45
porte,45
ex,45
quoy,45
generation,44
fimple,44
touchant,44
milieu,44
naturelle,44
z,44
feule,44
ui,44
fent,44
auf,44
ayent,43
parle,43
infinie,43
deffus,43
auoyent,43
corruption,43
mort,43
cant,43
is,42
admirable,42
ra,42
aufsi,42
moy,42
trop,42
entierement,42
mobile,42
grands,42
be,42
difference,42
pres,42
coup,42
midy,42
rayons,42
item,42
ya,41
cours,41
tiennent,41
pris,41
droit,41
vents,41
aimant,41
tient,40
accident,40
principes,40
na,40
pourra,40
donne,40
faute,40
penfe,40
orient,40
dents,40
facilement,40
mouvements,39
planetes,39
feul,39
noftre,39
cer,39
dcs,39
pa,39
peine,39
aliment,39
vent,39
fuperficie,39
effence,38
corporelle,38
caufes,38
perfonne,38
ll,38
aduis,38
prend,38
aftres,38
ca,38
douce,38
dre,38
contraires,38
agent,38
pieds,38
ceft,37
livres,37
cóme,37
region,37
bois,37
acte,37
durée,37
occident,37
ombre,37
mi,36
premierement,36
fentiment,36
liure,36
é,36
cf,36
fcauoir,36
années,36
jamais,36
ter,36
abondance,36
lieux,36
tels,35
principalement,35
có,35
poiffons,35
repos,35
maintenant,35
petites,35
ques,35
loing,35
vapeur,35
demy,35
doctrine,34
mc,34
meilleur,34
ae,34
regard,34
estant,34
pouuoit,34
us,34
ain,34
at,34
rend,34
mefime,34
genre,34
autour,34
portent,34
veritable,34
vin,34
diametres,34
exemple,33
cité,33
noz,33
ts,33
couftume,33
chap,33
met,33
monftré,33
pouuoir,33
ensemble,33
estre,33
mot,33
humide,33
bonne,33
ver,33
femmes,33
rouge,33
auant,32
mouuoir,32
experience,32
definition,32
do,32
couleurs,32
fen,32
change,32
engendre,32
lesquelles,32
hebreux,32
mourir,32
manger,32
seulement,31
parolles,31
dif,31
eternel,31
nes,31
aufquels,31
qua,31
froidure,31
mx,31
venir,31
argument,31
ens,31
chaude,31
globe,31
humeur,31
verre,31
hyuer,31
garde,30
comprendre,30
pline,30
faiét,30
alexandre,30
efprit,30
ouurier,30
endroit,30
demeure,30
mauuais,30
oit,30
qualité,30
finallement,30
poids,30
seroit,30
naturelles,29
ci,29
cha,29
origine,29
ti,29
vfage,29
natu,29
puiffe,29
empefche,29
loix,29
fphere,29
faculté,29
eftoilles,29
ceftuy,29
semble,29
malle,29
humidité,29
efpece,29
pen,29
femelle,29
heures,29
fel,29
liures,28
finalement,28
dernier,28
pourtant,28
puiffance,28
ocean,28
cou,28
bonté,28
enclos,28
al,28
parauant,28
eit,28
fem,28
af,28
ps,28
mo,28
av,28
conuenable,28
moindre,28
it,28
aussi,28
centre,28
che,28
ventre,28
tire,28
angle,28
chair,28
cuir,28
cornes,28
uoir,27
roit,27
fu,27
ri,27
voulu,27
infinité,27
dic,27
ouy,27
iceux,27
fecondes,27
tirer,27
dent,27
exhalation,27
diftance,27
lon,27
ad,27
rendre,27
chien,27
pays,27
chiens,27
ange,27
rant,26
meilleure,26
tref,26
fub,26
facultez,26
qualitez,26
efficiente,26
propos,26
ani,26
cas,26
neantmoins,26
ausi,26
elt,26
cau,26
erreur,26
hi,26
cat,26
appellée,26
hautes,26
pied,26
voix,26
vil,26
œil,26
hom,26
lens,26
dedans,26
œufs,26
mafles,26
huile,26
arbre,26
tefte,26
commencement,25
veux,25
blanc,25
parlé,25
ture,25
certaines,25
iceluy,25
memoire,25
aus,25
cs,25
preuuer,25
philofophes,25
lyne,25
demon,25
certains,25
cfcript,25
tantoft,25
em,25
gallien,25
aide,25
ke,25
nuée,25
pourueu,25
douze,25
vii,25
double,25
iuger,25
efpace,25
enuiron,25
pi,24
im,24
ies,24
feconde,24
mm,24
derniere,24
porter,24
comprend,24
fons,24
haute,24
arc,24
fair,24
dict,24
lement,24
lives,24
tc,24
so,24
grandes,24
faux,24
ments,24
nent,24
compris,24
pou,24
ec,24
xi,24
extremitez,24
plein,24
fumée,24
nuées,24
poiflons,24
actions,24
gauche,24
femelles,24
deflus,24
regions,24
proche,24
cinquante,24
airein,24
appartient,23
crois,23
fte,23
po,23
ns,23
beau,23
abfurde,23
commence,23
moment,23
quele,23
doute,23
mere,23
fec,23
prendre,23
retire,23
viure,23
verité,23
coute,23
cendres,23
commune,23
engendrent,23
pluye,23
monftrer,22
appellez,22
tt,22
vertus,22
nombres,22
pure,22
uc,22
ail,22
lus,22
rang,22
appellons,22
gros,22
maladies,22
der,22
faic,22
rapporter,22
violence,22
ut,22
ett,22
element,22
donner,22
efprits,22
mont,22
parfe,22
trouué,22
interualle,22
pluyes,22
maux,22
vapeurs,22
septentrion,22
fontaine,22
mars,22
rout,21
ct,21
fubie,21
profond,21
clair,21
nn,21
neanmoins,21
rr,21
rc,21
propres,21
yn,21
femblables,21
ari,21
pla,21
qe,21
finie,21
demande,21
forces,21
certaine,21
iii,21
nie,21
tiré,21
ot,21
dicu,21
mcíme,21
enfuit,21
clairté,21
changer,21
enten,21
sr,21
flux,21
membres,21
gent,21
poil,21
langue,21
vif,21
serpents,21
xvi,21
phyfique,20
prince,20
parler,20
lef,20
pr,20
diroit,20
cendre,20
vuide,20
fou,20
arguments,20
fciences,20
ça,20
tát,20
cercle,20
premiers,20
genres,20
pes,20
depend,20
ariftore,20
gran,20
parquoy,20
oreilles,20
leu,20
feroyent,20
teur,20
ru,20
pur,20
monter,20
roy,20
reçoit,20
laquel,20
pleine,20
partic,20
differentes,20
viii,20
foixante,20
mercure,20
racines,20
eftoille,20
cerueau,20
organes,20
ei,19
fubieét,19
neant,19
douter,19
fable,19
difpute,19
eff,19
ds,19
route,19
don,19
contient,19
àla,19
vouloir,19
pars,19
loy,19
far,19
ele,19
ure,19
vois,19
eít,19
venu,19
aufi,19
decrets,19
lé,19
penfé,19
vigueur,19
jour,19
façon,19
accord,19
doyuent,19
entendu,19
ila,19
difent,19
priuation,19
dement,19
plante,19
oi,19
auff,19
academiciens,19
vraye,19
froide,19
fenfible,19
lignes,19
befte,19
parts,19
monstre,19
fecrets,19
foye,19
humeurs,19
difficulté,19
vic,19
blanche,19
oifcaux,19
veuë,19
lent,19
lame,19
doétrine,18
no,18
fcience,18
lesquels,18
gueres,18
rs,18
icelles,18
corporel,18
mou,18
createur,18
toft,18
su,18
por,18
trou,18
queles,18
ft,18
livas,18
conuient,18
melme,18
gré,18
difons,18
grád,18
feront,18
eftoic,18
srcrion,18
arabes,18
baillé,18
danger,18
onc,18
flame,18
terme,18
coufiours,18
qué,18
pense,18
bœuf,18
cheual,18
chant,18
pefanteur,18
folide,18
eftanc,18
deur,18
cognu,18
cheuaux,18
afrique,18
am,18
alors,18
lifons,18
viande,18
lyon,18
uent,17
fimples,17
licu,17
contempler,17
cognoiftre,17
parla,17
liu,17
lien,17
theophrafte,17
creation,17
hauteur,17
herbes,17
defpuis,17
decret,17
homere,17
diray,17
penfer,17
eur,17
vcoir,17
prie,17
ruyne,17
ro,17
engendrées,17
dy,17
diuerfes,17
latins,17
plomb,17
fcu,17
aliments,17
natures,17
feux,17
sscrion,17
ss,17
appelles,17
né,17
harmonie,17
és,17
rer,17
bre,17
appeller,17
dehors,17
poin,17
cour,17
tur,17
bons,17
mel,17
nage,17
mettre,17
nerfs,17
naiffent,17
vont,17
ena,17
fà,17
bize,17
coquilles,17
feuilles,17
fondre,17
enfans,17
failloit,16
lie,16
artifice,16
intelligence,16
condition,16
ayans,16
cependant,16
immobile,16
fau,16
sens,16
peuft,16
to,16
maticre,16
efte,16
cle,16
angles,16
naturels,16
bout,16
pus,16
ea,16
fuf,16
mouucment,16
puissance,16
medecins,16
agit,16
tombe,16
diuers,16
matrice,16
lay,16
jours,16
diuifer,16
efl,16
ch,16
rent,16
lai,16
foi,16
nourriture,16
penfent,16
ant,16
fubftances,16
entier,16
forc,16
ferme,16
vit,16
moteur,16
moyenne,16
mefines,16
voye,16
ccux,16
femme,16
faueur,16
nuces,16
branches,16
plumes,16
cerre,16
depuis,16
remarquer,16
derriere,16
voila,16
