token_,count
loy dieu,12
cas pareil,11
malins esprits,10
bien fort,6
quelques paroles,5
faire mourir,5
figure humaine,5
bien voulu,4
corps celestes,4
cest dire,4
parce moyen,4
genre humain,4
long temps,4
parties honteuses,4
dieu permet,4
grand nombre,4
cité dieu,4
pendu paris,3
beaucoup moins,3
ieune enfant,3
cy dessus,3
petits enfans,3
disant quelques,3
bien noter,3
vertu paroles,3
non seulement,3
nom dieu,3
parole dieu,3
prince mirande,3
corps mort,3
elt dire,3
renoncer dieu,3
grand bouc,3
quand veulent,3
ventre mere,3
aage douze,3
bruflee toute,3
toute viue,3
chapitre premier,2
couuerte voile,2
cent cinquante,2
magie blanche,2
foubs voile,2
beaux mots,2
chacune eftoil,2
mauvais dæmon,2
mal faire,2
quelle fource,2
celestes decoule,2
mot hebrieu,2
monftre bien,2
lay bien,2
grands princes,2
iufques enfans,2
defenfeur sorciers,2
cy deuant,2
quia efté,2
certains mots,2
plusieurs fois,2
bien notable,2
procureur roy,2
tousles do,2
ains cela,2
parties viriles,2
telles liaifons,2
procreation genre,2
bien certain,2
defquels parlé,2
moyen duquel,2
sil voyoid,2
parle moyen,2
defes anges,2
grand nom,2
appellé dieu,2
ens moral,2
enla loy,2
choses femblables,2
toucherau doigt,2
fens literal,2
paffage loy,2
plusieurs lieux,2
quand defendu,2
faut bien,2
ij sorciers,2
trois fois,2
puiffance dieu,2
chose eftrange,2
vray dieu,2
leurauoit defendu,2
donner forme,2
peu peu,2
image samuel,2
dauid kimhi,2
roys chreftienté,2
premier né,2
seco nd,2
choses futures,2
faisant croire,2
come diroit,2
quand vouloit,2
oracles sybillins,2
propheties sybillines,2
malin esprit,2
langue tirée,2
part ic,2
quile fuyuoit,2
dieu ayde,2
bon cueur,2
paul grilland,2
difons maintenant,2
toute religion,2
bien chose,2
quil ena,2
pourquoy sorciers,2
parles champs,2
haute voix,2
olausle grand,2
plusieurs sorciers,2
sainét augustin,2
nombre infini,2
bruflée toute,2
toute vifue,2
vielle sorciere,2
clle eltoit,2
autant quil,2
iour fuyuantau,2
voix terrible,2
feftes folennelles,2
mouvement corps,2
ieune fille,2
auecles demons,2
hors corps,2
esprit humain,2
corps humain,2
coups verge,2
age femme,2
chair humaine,2
noftre temps,2
hommes beftes,2
veftu noir,2
res diuines,2
cinq inquifiteurs,2
chair cuifles,2
euft cfté,2
quinze jours,2
bruflé vif,2
michel verdun,2
tué ieune,2
tient cela,2
hiftoire femblable,2
sorciere circe,2
magicien tellement,2
trois hommes,2
efcript veu,2
ville laon,2
foit parles,2
procés vnesorciere,2
quelques parolles,2
quelques poudres,2
an mil,2
gi dieu,1
disons donc,1
donc impofturesdiaboliques,1
entre payens,1
plusapparentes impieté,1
magieen general,1
espeéces dicelle,1
á pé,1
pé ot,1
ot magie,1
magie perfique,1
science choses,1
choses diuines,1
rien chose,1
tour philo,1
fophiea eftéadulteree,1
eftéadulteree lessophiftes,1
sageffe don,1
don dieu,1
idolatrie payens,1
aufft magie,1
magie efté,1
efté tournee,1
tournee sorcelerie,1
sorcelerie diabolique,1
premier miniftre,1
miniftre sathan,1
sathan publier,1
publier cesteimpieté,1
cesteimpieté perle,1
neantmoins couuerte,1
voile pieté,1
commele diable,1
diable couftumier,1
couftumier faire,1
carles ho,1
bien nez,1
nez toufiours,1
toufiours horreur,1
horreur mefchance,1
pline xxx,1
sorciers ximam,1
ximam fuiffe,1
fuiffe nemo,1
nemo miretur,1
quandoquidem fola,1
fola artium,1
artium tres,1
tres alius,1
alius imperiofiffmas,1
imperiofiffmas humane,1
humane mentis,1
mentis complexa,1
natum medici,1
medici ina,1
ina nemo,1
nemo dubitat,1
ita blan,1
diffiz mi,1
mi promiffr,1
addidi ifje,1
vires religionis,1
ad quas,1
quas maxime,1
maxime js,1
js hi,1
hi um,1
um uni,1
uni ch,1
inde mifcuifje,1
mifcuifje mathematics,1
cel tpourquoy,1
tpourquoy lan,1
lan nblique,1
empercur iulianl,1
apoftat definy,1
definy magie,1
magie cftre,1
inuocation bons,1
bons dæmons,1
etla goëtic,1
uocatio malins,1
pen vfent,1
vfent voritaux,1
voritaux pulchres,1
dcterrer morts,1
inuoquer esprits,1
auengie sorcier,1
quien accufa,1
accufa cent,1
cinquante dé,1
difoit iourà,1
iourà gentilhomme,1
enafait leconte,1
vouloir feulemétluy,1
feulemétluy moftrerla,1
moftrerla magie,1
non pasla,1
pasla magie,1
magie noire,1
frique cícript,1
affriqueinuoquenc blancs,1
