token_,count
loy dieu,15
cy dessus,11
faut donc,6
dire verité,5
ville laon,4
quelques uns,4
cas pareil,4
faire mourir,4
faut faire,4
mis mort,4
és crimes,4
crime lese,4
premiere fois,4
bien souvent,3
ire dieu,3
princes sorciers,3
bien fort,3
prendre garde,3
enla loy,3
forte raison,3
doit proceder,3
foit mis,3
cas civil,3
non seulement,3
tué pere,3
peine capitale,3
carla loy,3
contre nature,3
presomption droit,3
presomption droi,3
tefmoing reproche,3
crimes atroces,3
presomptions violentes,3
directement contre,3
contre majefté,3
majefté dieu,3
renier dieu,3
merite mort,3
an mil,3
mil cinq,3
quela peine,3
peine corporelle,3
fort falutaire,2
gés bien,2
entre yeux,2
plusieurs fois,2
hoftie confacree,2
roy charles,2
roy henry,2
proceder punition,2
iuges ordinaires,2
promettre impunité,2
bien certain,2
dictcy dessus,2
parce moyen,2
faut prendre,2
ieanne haruillier,2
presomption bien,2
maisil faut,2
adam martin,2
sorciere bieure,2
faute preuve,2
doit neantmoins,2
inimitié contre,2
rien dire,2
pourfe venger,2
pourquoy platon,2
difons donc,2
telles mefchancetés,2
crime sorcelerie,2
verité faict,2
quant àla,2
aucun clgard,2
foubs ombre,2
cas pa,2
choses fenfibles,2
fila sorciere,2
parle diable,2
beaucoup certaine,2
exemples cy,2
preuve euidente,2
paction expreffe,2
plusieurs tefmoings,2
autant preuve,2
pourle moins,2
ad spe,2
droit canon,2
raison fort,2
beaucoup grande,2
contre sorciers,2
ceftuy cy,2
toute vifue,2
lese maicfté,2
certain termes,2
ainsau contraire,2
ques uns,2
faut croire,2
deuant plusieurs,2
plusieurs perfonnes,2
doit cftre,2
caufes naturelles,2
adioufter foy,2
cinq cents,2
ilne faut,2
referer ferment,2
faut prefumer,2
mourir quelcun,2
long temps,2
bruflee viue,2
faire mourirles,2
ad leg,2
appl iquer,2
lese majefté,2
iuges doiuent,2
etla raison,2
iufques os,2
feroit bien,2
punition mefchans,2
diminuer nombre,2
nombre mefchans,2
crime sorciers,2
orla loy,2
grand nom,2
nom dieu,2
vray dieu,2
toute ancienneté,2
età propos,2
propos difoit,2
proceder àla,2
faire mou,2
force ouuerte,2
faict mourir,2
remarqué cy,2
ilsfoyent punis,2
tenu peine,2
peine mort,2
sorciers pa,2
ains seulement,2
peine cor,2
paul caftre,2
quelques lieux,2
doit puny,2
peines corporelles,2
cinq cens,2
foit mort,2
enfant mort,2
muret pres,2
loy veut,2
peine léfe,2
léfe majefté,2
haine capitale,2
vnc femme,2
bruflé vif,2
preftre sorcier,2
foit puny,2
peine foit,2
auquel cas,2
peine feu,2
renié dieu,2
diminution peine,2
homme delettres,2
foit venu,2
puny fansl,2
sil cust,1
cust fouffert,1
fouffert grand,1
grand doüleur,1
onfift dire,1
dire grand,1
grand nobre,1
nobre meffes,1
reuclant bcaucoup,1
bcaucoup choses,1
choses occul,1
maisonluy dif,1
dif fitu,1
fitu veus,1
croye dy,1
miferere mei,1
mei deus,1
deus fecundàm,1
fecundàm magnam,1
magnam mifericor,1
mifericor diam,1
diam tuam,1
fuit fre,1
miflant depit,1
diia mocqué,1
niqyisition id,1
id oe,1
oe oor,1
oor cie,1
cie rs,1
chapitre premier,1
ousavons parlé,1
parlé moyens,1
moyens dechat,1
malings esprits,1
anconles chafferoit,1
chafferoit files,1
files sorciers,1
sorciers rappellent,1
cartoufiours sathan,1
sathan msa,1
msa efcoutes,1
efcoutes pourvenir,1
pourvenir quàd,1
uons declaréles,1
declaréles moyens,1
moyens doux,1
medecines ayfees,1
ayfees prendre,1
inftruire peuple,1
peuple loy,1
induireà feruice,1
cela reléhirlis,1
reléhirlis melchans,1
melchans crainte,1
crainte dieu,1
sorceers deftourner,1
deftourner sorciers,1
sorciers vie,1
vie dcteflable,1
iquer cauteres,1
fers chaux,1
parties purrifiees,1
purrifiees combie,1
combie dire,1
pts yum,1
brullericssorciersá etit,1
etit feu,1
peinc el,1
cs clix,1
clix dt,1
dt rene,1
z gnetric,1
punille pius,1
pius crue,1
crue lement,1
lement homme,1
pius longuement,1
longuement quelas,1
quife enge,1
dua rue,1
us lt,1
lt lanois,1
lanois vengef,1
lavanten fà,1
fà puiflince,1
uv mift,1
mift da,1
ill ciiiciizilc,1
ciiiciizilc quitultaice,1
noncontentliiuv no,1
dii pire,1
pire mnn,1
jiuiicutis disant,1
faic tle,1
tle iable,1
iable ccs,1
ts dur,1
inousaauc us,1
us monítre,1
uh meitiet,1
meitiet nc,1
ad puedes,1
puedes uto,1
uto inpr,1
ls richir,1
richir ieur,1
ieur donner,1
donner pla,1
pla ir,1
ement moyen,1
moyen red,1
red villaines,1
villaines ordures,1
mcicnanc ctes,1
quoy satharn,1
satharn employe,1
mme ui,1
ns ci,1
ci ch,1
cs cra,1
cra unct,1
unct iccnoncers,1
cs alil,1
alil lidl,1
lidl lilllk,1
og lic,1
lic lk,1
lk do,1
ile gi,1
gi pls,1
pls lll,1
lll id,1
id lll,1
lll ul,1
ul dolii,1
dolii aic,1
aic ics,1
live tdr,1
tdr ops,1
ops lente,1
lente mort,1
mort ordonce,1
ordonce core,1
core sorciers,1
faire fouffrir,1
fouffrét puniffant,1
ains faire,1
faire cefferl,1
dieu furtout,1
furtout peuple,1
partic auflt,1
auflt amener,1
amener repétance,1
jou moins,1
cftonerles mefchas,1
conferuerles efleuz,1
cít doncques,1
doncques chose,1
chose bié,1
bié fort,1
falutaire àtoutle,1
àtoutle corps,1
republique rechercher,1
rechercher diligémenr,1
punir feucrementles,1
feucrementles sorciers,1
autrementil danger,1
danger peuple,1
peuple lapide,1
meilcitaduenu vnan,1
vnan àsagueuonc,1
àsagueuonc pres,1
pres ville,1
sorcieres quiauoyent,1
quiauoyent merite,1
merite iuftement,1
iuftement mort,1
vnc foüet,1
peuple print,1
chafta ofhciers,1
vneautresorciere fort,1
fort diffamee,1
diffamee demeurantà,1
demeurantà verizni,1
quieft morteau,1
morteau mois,1
auril dernier,1
receuoitles enfans,1
apresauoir eftéaccu,1
lee plusieurs,1
plusieurs sorcelleries,1
sorcelleries abfoute,1
fr bien,1
bien vengee,1
mourir hommes,1
beftailíans nombre,1
commme fçeu,1
fçeu ha,1
fuisefmerueillé pourquoy,1
pourquoy plufteursprin,1
plufteursprin ontinítitué,1
ontinítitué inquilitios,1
decerné commif,1
laires extraordinaires,1
extraordinaires fairele,1
fairele proces,1
proces larros,1
guetteurs che,1
pa teancienneté,1
trôuué princes,1
quile voulu,1
voulu feruirdessorciers,1
lesquels ncát,1
ncát moins,1
moins fonttoufioursprecipites,1
fonttoufioursprecipites hautlieu,1
neur gouffre,1
gouffre toutemifere,1
it sorciers,1
enquicrent sorciers,1
sorciers silsauront,1
silsauront victoire,1
dieu rend,1
rend vaincus,1
demandét sathan,1
sathan feraleur,1
feraleur facceffeur,1
dieu ennemysleurs,1
ennemysleurs fuccefleurs,1
demandentaux sorciers,1
gueiritont maladies,1
dieu mourir,1
monstré infinies,1
infinies histoires,1
forte dieu,1
dieu chaftieles,1
chaftieles princes,1
sorciers magiftrats,1
