token_,count
contre sorciers,5
malings esprits,5
choses naturelles,4
mil cinq,3
cinq cens,3
prince mirande,3
rendre raison,3
choses supernaturelles,3
images cire,3
cens quarante,3
loy dieu,3
cens feptante,2
plusieurs fois,2
homme noir,2
peines eftablies,2
faire entédre,2
fois forme,2
brufler sorciers,2
diét loy,2
mort contre,2
grand nombre,2
decerne peines,2
peines contre,2
meuuentles cieux,2
malins esprits,2
non toutesfois,2
esprit humain,2
cas pareil,2
merueilles dieu,2
voudroit nyer,2
eftablies contre,2
cent cens,2
cens lieues,2
fort noir,2
malin esprit,2
faut donc,2
moyen defquelles,2
telles choses,2
voit celà,2
trois mil,2
reuoquer doubte,2
phyficien demonftre,2
dr oaj,1
oaj oe,1
oe io,1
io per,1
per tn,1
tn bodin,1
miantex gontr,1
ere br,1
br tref,1
vgementquiaefte conclud,1
conclud contre,1
contre td,1
td sorciere,1
sorciere auquel,1
auquel appellé,1
appellé dernier,1
dernier jour,1
auril mil,1
donné occafion,1
occafion mettre,1
mettre main,1
main plume,1
plume mla,1
mla elclarcir,1
elclarcir fubie,1
sorciers fem,1
vue ble,1
ble routes,1
routes perfonnes,1
perfonnes eftrangeà,1
eftrangeà merueilles,1
sek plufreurs,1
plufreurs incroyable,1
sorciere quei,1
fappelloit leanne,1
leanne haruillier,1
natifuéde verbe,1
ry pres,1
pres compiegne,1
mourir plusieurs,1
plusieurs hommes,1
belles confefla,1
confefla queftion,1
combien prime,1
prime face,1
face euft,1
euft denie,1
denie opiniaftrement,1
varié plusieurs,1
mere dés,1
aage douze,1
douze ansl,1
tee diableenguife,1
grand homme,1
outre ftature,1
ftature hommes,1
veftu drap,1
drap noir,1
eftuy là,1
difoiteftrele diable,1
toit bien,1
bien traicter,1
faire bien,1
nonca dieu,1
promiftferuirau diable,1
instant clle,1
clle copulation,1
copulation charncllementauec,1
charncllementauec diable,1
ge douzeans,1
iufques cinquante,1
diable prefentoit,1
prefentoit quäd,1
quäd vouloir,1
tou rours,1
prefenta premiere,1
premiere fois,1
fois elperonne,1
cheual por,1
períionne voyoit,1
quelquesfois copula,1
thon auecques,1
mary couché,1
couché aupres,1
futt diffamee,1
fort grandesorciere,1
fuft prefque,1
impoffible garder,1
garder paysans,1
rauir mains,1
mains juftice,1
juftice labrufler,1
ordône auparauát,1
auparauát proceder,1
proceder lugemét,1
lugemét difhnitif,1
enuoyeroit erbery,1
lieu natiuité,1
enquerir vie,1
villages demeure,1
trouvé trente,1
trente auparauant,1
fouet pourle,1
pourle meíme,1
meíme crime,1
mere condamnee,1
condamnee cftre,1
cftre bruflee,1
bruflee vifue,1
arreft cour,1
cour parlement,1
parlement confirmatif,1
confirmatif fentence,1
fentence iuge,1
iuge senlis,1
accouftume changer,1
changer noi,1
cfté attainte,1
ftre sorciere,1
voyant conuaincue,1
requift pardon,1
faisant contenance,1
contenance repentir,1
deniant toutesfois,1
beaucoup meíchan,1
parauant confeffees,1
perhilta confeflion,1
auoitfaicte dernier,1
dernier homicide,1
ietré quelques,1
quelques poudres,1
diable preparees,1
preparees mitt,1
mitt lieu,1
lieu battu,1
battu fille,1
fille deuoit,1
deuoit paller,1
tre paffajauquel,1
paffajauquel vouloit,1
vouloit mal,1
cost fentic,1
fentic douleur,1
douleur poignante,1
poignante corps,1
autant tousles,1
tousles voifins,1
veu entrerau,1
entrerau lieu,1
clleauoit iecte,1
iecte sortle,1
sortle iour,1
iour mel,1
homme frappé,1
maladie foudaine,1
foudaine crioyent,1
crioyent icété,1
icété sort,1
promift guarir,1
garda patient,1
patient pendant,1
pendant maladie,1
confeffa mecredy,1
priéle diable,1
diable guerirfon,1
guerirfon malade,1
malade refponce,1
ileftoit impoffible,1
diit alocsau,1
alocsau diable,1
abufoit toufiours,1
vint veoir,1
iours lhó,1
ecauffi cott,1
cott falla,1
falla cacher,1
cacher grange,1
ashiterent iugument,1
eftoyent bien,1
bien merité,1
merité mort,1
ur forme,1
gente mort,1
naturel pitoyable,1
oit faire,1
faire pendre,1
examiné crimes,1
crimes deteftables,1
eftablies parles,1
parles loix,1
mement couftuine,1
couftuine gencralle,1
gencralle toute,1
toute chreftienté,1
gardee royaume,1
royaume toute,1
toute ancienneté,1
condemnee bruflee,1
bruflee vif,1
executee dernier,1
dernier iour,1
claude dofay,1
procureur roy,1
roy ribemont,1
depuisla condemnation,1
condemnation confeffa,1
tranfportee parle,1
parle diable,1
diable affemblees,1
affemblees sorcieres,1
víé quelques,1
quelques greífes,1
diable bailloit,1
eftant guindeed,1
grade vittefle,1
toute laffe,1
elleauoit veu,1
veu auxatfemblees,1
auxatfemblees grand,1
grand nóbre,1
nóbre perfonnes,1
adoroiét homme,1
hault lieu,1
appelloyent belzebuh,1
cela llement,1
prince faifoit,1
faifoit fermon,1
fermon eurs,1
eurs ennemys,1
ge trente,1
trente couployent,1
couployent charne,1
charne fier,1
interrogee bailloit,1
bailloit accufa,1
accufa berger,1
couureur gélis,1
requerant pardon,1
pardon dieu,1
trouuoyét cas,1
cas eftrige,1
quafi incroyable,1
fuis adui,1
é faire,1
faire trai,1
é quei,1
oma nie,1
pourla rage,1
courir diables,1
diables feruir,1
aduettiffement verront,1
faire cognaiftre,1
cognaiftre doigt,1
crimes foyent,1
foyent beaucoup,1
beaucoup pres,1
pres exe,1
merittent peines,1
peines griefues,1
partie refpondre,1
refpondre imprimez,1
imprimez fefforcent,1
fefforcent fauuer,1
fauuer sorciers,1
sorciers moyens,1
than aytinfpirez,1
attirez cordelle,1
publier beaux,1
beaux liutes,1
cóme vnpierre,1
pefforcoit faire,1
neâtmoins depuisaueré,1
grands sorciers,1
femble eftran,1
sathan hommes,1
hommes atiltres,1
atiltres efcrire,1
mettray exemple,1
exemple memorable,1
pierre mamor,1
mamor petit,1
ure lamiesaremarqué,1
lamiesaremarqué nommée,1
guillaume line,1
cur theologie,1
theologie accufé,1
condamné sorcier,1
sorcier donziefme,1
donziefme decébre,1
mil cens,1
cens cinquante,1
lequel fin,1
fin repentit,1
confelfa plusieurs,1
fois tranfportéauec,1
tranfportéauec aû,1
tres sorciers,1
sorciers lanui,1
adorer diable,1
monftroit quel,1
ques fois,1
forme homme,1
quelques fois,1
forme bouc,1
noncant toute,1
toute religion,1
trouué faifi,1
faifi obligation,1
uoit sathan,1
portant romefles,1
romefles reciproques,1
docteur oblige,1
oblige mo,1
mo publiquemét,1
difoit sorciers,1
chose impoffible,1
falloir rien,1
rien croire,1
moyen sorciers,1
sorciers auoyent,1
auoyent multiplie,1
pris grand,1
grand accroiflemét,1
accroiflemét prefches,1
juges laiffe,1
faifoyent contre,1
ui montite,1
montite bien,1
than loyaux,1
loyaux fugets,1
fugets eftats,1
cardinal benon,1
princes leíquels,1
leíquels laiffé,1
laiffé piperaux,1
piperaux sorciers,1
fin efté,1
efté precipitez,1
precipitez malheureufemét,1
malheureufemét sathá,1
chole sorciers,1
eull pé,1
é quetels,1
quetels personnages,1
personnages euffent,1
euffent efté,1
efté patic,1
quad rapportoit,1
rapportoit procés,1
procés sorciers,1
prenoïét rire,1
failoiét rire,1
rire chafcü,1
chafcü traiéts,1
affermoiét confláment,1
cho fé,1
fé fabuleufe,1
amolitfoiet tellement,1
tellement coeur,1
coeur luges,1
luges prie,1
prie aten,1
alciat temps,1
brufler piemont,1
piemont cent,1
cent sorciers,1
barthelemy faye,1
faye prefident,1
prefident enqueftes,1
enqueftes cour,1
feft plaint,1
plaint oeuvres,1
oeuvres fouffrance,1
fouffrance quelques,1
quelques iuges,1
iuges faire,1
faire brufler,1
sorciers parlement,1
toute ancien,1
efté caufe,1
caufe grádes,1
grádes afflictions,1
afflictions dieu,1
dieu enuoyees,1
auenton coníeiller,1
coníeiller parlement,1
prefident poictiers,1
auquel fuccedé,1
eftat prefi,1
dent saluert,1
fit brufler,1
sorciers vifs,1
vifs poictiers,1
appel euxinteriecte,1
onauoitenuoycabfouls auparauant,1
sorciers appellas,1
infecté tour,1
tour pays,1
peuple mu,1
confefferent plusieurs,1
plusieurs homicides,1
homicides charmes,1
faifoit executer,1
qnia eff,1
ocadere veneno,1
veneno quam,1
quam gladio,1
impunité sorciers,1
sorciers tépslà,1
tépslà caufe,1
prindrent merueilleux,1
merueilleux accroiffement,1
accroiffement cer,1
cer cyaume,1
aborderent tou,1
quels grand,1
grand sorcier,1
sorcier neapolitain,1
appelloit conferuateur,1
quia elté,1
elté allez,1
allez cogneu,1
forte sorcier,1
sorcier troif,1
efchelles manceau,1
manceau grace,1
iugement mort,1
contre donne,1
charge deferer,1
deferer complices,1
dé cent,1
cent mil,1
mil royaume,1
amoindrir impieteayant,1
belle compagnie,1
foit defera,1
defera fort,1
fort grand,1
maison donna,1
bon ordre,1
plufpart rechapperent,1
confeffaffent mef,1
chancetez execrables,1
quelair infe,1
dequoy dieuirritéa,1
dieuirritéa enuoyé,1
enuoyé terribles,1
terribles perfecutions,1
ila menacé,1
menacé loy,1
terminerles peuples,1
peuples fouffriront,1
fouffriront viure,1
viure sorciers,1
quoy sainct,1
sainct auguttin,1
auguttin cité,1
quetoutes fectes,1
jamais efté,1
excepte epicuriens,1
plutarque oraculorum,1
oraculorum defeéía,1
origene contre,1
contre celfus,1
procle academiques,1
deftruictles fondemens,1
fondemens fecte,1
fecte epicurienne,1
etoientaffez ruinez,1
ruinez princi,1
pes meraphifique,1
conclud neceffité,1
autant cieux,1
esprits intelligibles,1
intelligibles mouuoit,1
lesquelles intelligences,1
feparees corps,1
quepangefe meute,1
meute mouvement,1
homme meuue,1
meuue mouvement,1
bien môltrer,1
difpute anges,1
demons traitter,1
traitter phy,1
là abusent,1
abusent bien,1
bien fort,1
yayt chose,1
chose pofliblequi,1
pofliblequi foitim,1
foitim poflible,1
poflible nature,1
quoi cx,1
cx po,1
deo socratis,1
el lei,1
lei thy,1
préface ment,1
lieu conuenir,1
conuenir finonau,1
finonau corps,1
corps parlant,1
parlant phyficien,1
neantmoins verité,1
verité toufiours,1
toufiours semblable,1
semblable foymelmes,1
faut confeffer,1
lieu conuiennét,1
conuiennét esprits,1
aufli bien,1
bien corps,1
aristote demôftre,1
demôftre methaphyfique,1
methaphyfique sparlant,1
sparlant anges,1
combien plutarque,1
difent aristotea,1
aristotea laife,1
laife efcript,1
toutesfois trouue,1
trouue reftét,1
efcript pythagoriés,1
méau monde,1
euft cogneu,1
cogneu dzmon,1
aristote cofefle,1
cofefle veu,1
veu nóme,1
nóme thafius,1
ment esprit,1
esprit figure,1
figure humaine,1
perfonnene voyoit,1
ordinaire sorciers,1
long téps,1
téps fräçois,1
fräçois pic,1
pic prince,1
mirande efcrit,1
efcrit veu,1
veu deuxpreftres,1
deuxpreftres sorciers,1
sorciers accópagnez,1
accópagnez toufiours,1
toufiours dæmons,1
dæmons hiphialtes,1
hiphialtes guife,1
guife femmes,1
dontils abuferent,1
abuferent quarante,1
quarante confef,1
ferent deuant,1
dirons lieu,1
aristote mefmelivre,1
mefmelivre efcript,1
pvnedes fept,1
fept ifles,1
eolus onentendoit,1
onentendoit metueilleuxfon,1
metueilleuxfon tabourins,1
voir perfonne,1
chose ordinaire,1
ordinaire plusieurs,1
plusieurs lieux,1
mont atlas,1
atlas solin,1
danses ordinaires,1
ordinaires sorciers,1
cfté auerces,1
auerces infiniz,1
infiniz pro,1
auantage mefmelivre,1
ily sorciere,1
sorciere ville,1
ville tene,1
tene theflalie,1
charmoit bafi,1
lique certaines,1
certaines parolles,1
eftrefaidt nature,1
ains force,1
puiflance esprits,1
esprits pourroyent,1
pourroyent faire,1
faire actions,1
actions eftranges,1
eftoyent lieu,1
lieu actions,1
dic thomas,1
choíe abíurde,1
abíurde donner,1
donner attouchement,1
mouvement an,1
ges mouuans,1
mouuans cieux,1
fepares cieux,1
accord auecles,1
auecles hebrieux,1
ofter proprietez,1
proprietez esprits,1
parmy ele,1
feruira non,1
non inftruiteceux,1
inftruiteceux croyent,1
croyent dieu,1
pluralité intelligences,1
demóftré aristote,1
porté pat,1
pat toute,1
eícripture sain,1
conuaincre cerucaux,1
cerucaux hebetez,1
toutesfois rendre,1
actions intelle,1
uelles dzmons,1
chose feroit,1
feroit impoffible,1
pourroit rendre,1
raison choses,1
feroit semblable,1
semblable dieu,1
impofible cognoifire,1
cognoifire dieu,1
comprendre tel,1
tel quil,1
gnoiftroit forte,1
lepourroit comprendre,1
infiny eflence,1
bonté compris,1
rien infiny,1
infiny dieu,1
fauc confefler,1
confefler neceílite,1
ry dieu,1
raison tou,1
faut fcience,1
fcience infinie,1
nyes hommes,1
creature monde,1
riftote premier,1
premier metaphifique,1
ouil traiéte,1
traiéte elprits,1
cognoiftrela verité,1
verité pimbecilité,1
bien recongnoiftre,1
ignorance general,1
non fienne,1
fienne particulier,1
faut chercher,1
chercher deraison,1
voila mots,1
pline cas,1
pareil eure,1
eure trenteleptiefme,1
trenteleptiefme chap,1
non partevatio,1
ed volunta,1
volunta nature,1
nature querepda,1
vneincongruite notable,1
notable philofophe,1
philofophe dire,1
face chose,1
chose raison,1
ganceinfu portable,1
portable dire,1
apointde caufe,1
voit quand,1
quand fcait,1
pluftoft confeffer,1
confeffer ignorance,1
peur rendre,1
rendre dieu,1
confefler propre,1
propre ignorance,1
faire iniureà,1
iniureà dieu,1
dene recognoiltre,1
recognoiltre foibleffe,1
foibleffe cerueau,1
pourquoy difcours,1
difcours deiob,1
difpute faits,1
faits dieu,1
íoit attain,1
dieu apparut,1
apparut vifion,1
ça parler,1
parler forte,1
ceft homme,1
homme ignorät,1
cours propos,1
propos obícurcit,1
obícurcit œuues,1
œuues souuerain,1
rant hauteur,1
mouvementterrible cieux,1
force astres,1
loix ciel,1
ciel laterre,1
terre fondee,1
fondee eaux,1
eaux fufpenduës,1
fufpenduës millieu,1
millieu monde,1
monstre toute,1
toute ícience,1
ícience humaine,1
humaine plei,1
plusieurs donnent,1
donnent louange,1
louange fçauoir,1
fçauoir aristote,1
aristote côme,1
côme certain,1
beaucoup fceu,1
toutesfois mil,1
liéme partie,1
partie choses,1
academiques móftré,1
arien veu,1
veu és,1
és choses,1
choses intelligibles,1
aignoréles belles,1
fçeu feulemét,1
feulemét nóbre,1
nóbre cieux,1
escripture sain,1
remarque dix,1
dix courtines,1
courtines tabernacle,1
quieft modele,1
modele monde,1
cieux oeuvres,1
oeuvres doigtz,1
quifont nó,1
bre dix,1
toufiours és,1
és endroictz,1
endroictz oeuvres,1
oeuvres mains,1
mains dieu,1
quetous philofophes,1
mathematiciens ignoré,1
ignoré iufques,1
ila efte,1
efte demonstré,1
demonstré lean,1
lean realmont,1
seulement entendu,1
ordre planettes,1
met venus,1
mercure dessus,1
dessus soleil,1
soleil contrece,1
contrece ptolomee,1
feul mouvement,1
mouvement aftres,1
aller haut,1
cherche aristotela,1
aristotela verité,1
verité dzmós,1
dzmós é,1
é ij,1
ez lr,1
rab may,1
pcm us,1
us po,1
po jon,1
voit pluspart,1
pluspart choses,1
naturelles efte,1
efte incongncues,1
furnomme phenix,1
phenix aage,1
attribue feule,1
feule prouidéce,1
prouidéce dieu,1
origine fontaines,1
fontaines don,1
nee áriftote,1
áriftote abíurde,1
ettà fcauoir,1
uiennent putrefadion,1
putrefadion delair,1
delair és,1
és cauernes,1
cauernes terre,1
veu groífes,1
inepuifables sources,1
rivieres cours,1
cours perpetuel,1
air monde,1
monde cotrompu,1
cotrompu neícau,1
neícau riot,1
gendrer cent,1
cent ansl,1
eau enforten,1
enforten iour,1
philofophes hebrieux,1
salomon monstré,1
prouiennent mercommeles,1
mercommeles veines,1
