token_,count
('loy', 'dieu'),12
('cas', 'pareil'),11
('malins', 'esprits'),10
('bien', 'fort'),6
('quelques', 'paroles'),5
('faire', 'mourir'),5
('figure', 'humaine'),5
('bien', 'voulu'),4
('corps', 'celestes'),4
('cest', 'dire'),4
('parce', 'moyen'),4
('genre', 'humain'),4
('long', 'temps'),4
('parties', 'honteuses'),4
('dieu', 'permet'),4
('grand', 'nombre'),4
('cité', 'dieu'),4
('pendu', 'paris'),3
('beaucoup', 'moins'),3
('malin', 'esprit'),3
('ieune', 'enfant'),3
('cy', 'dessus'),3
('petits', 'ensans'),3
('disant', 'quelques'),3
('bien', 'noter'),3
('vertu', 'paroles'),3
('non', 'seulement'),3
('nom', 'dieu'),3
('parole', 'dieu'),3
('prince', 'mirande'),3
('corps', 'mort'),3
('elt', 'dire'),3
('renoncer', 'dieu'),3
('grand', 'bouc'),3
('quand', 'veulent'),3
('ventre', 'mere'),3
('aage', 'douze'),3
('bruflee', 'toute'),3
('toute', 'viue'),3
