token_,count
('malins', 'esprits'),15
('moyens', 'diaboliques'),9
('loy', 'dieu'),8
('cest', 'dire'),7
('telles', 'choses'),7
('oeuvres', 'dieu'),6
('corps', 'celestes'),5
('conseil', 'dieu'),5
('ange', 'dieu'),5
('faut', 'donc'),5
('moyens', 'naturels'),5
('dieu', 'parle'),4
('faire', 'chose'),4
('mot', 'hebrieu'),4
('bien', 'mal'),4
('paruenir', 'chose'),4
('cas', 'pareil'),4
('parle', 'moyen'),4
('face', 'face'),4
('cours', 'nature'),4
('moyens', 'illicites'),4
('malings', 'esprits'),3
('maistre', 'sorcier'),3
('grand', 'leviathan'),3
('monde', 'elementaire'),3
('escripture', 'saincte'),3
('six', 'cens'),3
('homme', 'bien'),3
('faut', 'faire'),3
('bien', 'fort'),3
('bons', 'esprits'),3
('esprit', 'dieu'),3
('choses', 'futures'),3
('mauuais', 'esprits'),3
('ila', 'efté'),3
('delaloy', 'dieu'),3
('choses', 'occultes'),3
('elt', 'dire'),3
('caufes', 'naturelles'),3
('louër', 'dieu'),3
('quand', 'void'),3
('lumieres', 'celestes'),3
('inclination', 'naturelle'),3
('parla', 'loy'),3
('outre', 'cours'),3
