token_,count
an mil cinq,6
mil cinq cens,4
chafler malins esprits,3
faire amende honorable,2
cinq cens cinquante,2
ét ooly bon,1
ooly bon nsp,1
ib ve pie,1
ve pie nes,1
pie nes histoiresnous,1
nes histoiresnous apprennent,1
histoiresnous apprennent ec,1
apprennent ec sorcelleries,1
ec sorcelleries nouucle,1
ge sk maladies,1
an no anciennement,1
no anciennement cent,1
anciennement cent tir,1
cent tir ex,1
tir ex vi,1
vs iab loy,1
iab loy dedieu,1
quieft publiecjil enuiron,1
publiecjil enuiron trois,1
enuiron trois mil,1
nb histoiresion void,1
histoiresion void hays,1
eftoient ja remplis,1
ja remplis vermine,1
peines rigoureufes ordon,1
necs patla loy,1
patla loy dieucontrelessorciers,1
lefquelles fureur dieu,1
extirper terre cananeans,1
tres pechez eftoyent,1
pechez eftoyent alors,1
eftoyent alors communs,1
alors communs peuples,1
pourlessorcelezies abhominables dôr,1
abhominables dôr vfoyér,1
iio voyonsau parau,1
guerre det roye,1
det roye ui,1
roye ui enuiron,1
ui enuiron cens,1
enuiron cens ansapres,1
cens ansapres kc,1
ansapres kc publication,1
kc publication loy,1
publication loy dieulessorcelleries,1
loy dieulessorcelleries cruelles,1
dieulessorcelleries cruelles medee,1
transformations circede prothee,1
etai manties heísaliennes,1
romule tráfporté tourbillo,1
tráfporté tourbillo detempefte,1
marquez cy dessus,1
eftoy ent dæmons,1
ent dæmons rauisen,1
dæmons rauisen cfprit,1
diable tenoit afliegez,1
parle menu peuple,1
menu peuple reputez,1
peuple reputez divins,1
onvoit hipocrate morbo,1
hipocrate morbo fatro,1
voit queplatonentre payés,1
queplatonentre payés afait,1
payés afait trefbelle,1
afait trefbelle loy,1
trefbelle loy lonziefme,1
loy lonziefme loix,1
veutque sorciers chartes,1
ligatures images decire,1
images decire enchätent,1
ouqui fr hôines,1
fr hôines óule,1
hôines óule beftail,1
oyét misà mort,1
lequel téps tousles,1
téps tousles philofo,1
confentemét condáné magie,1
furét pourfuiuys luftice,1
pourfuiuys luftice foubs,1
hk recherche diligemment,1
íoubs gg ij,1
nemo art fp,1
ttem apud labeo,1
bien rigoureufemét quand,1
rigoureufemét quand empereurs,1
quand empereurs receurent,1
empereurs receurent ja,1
receurent ja foy,1
ja foy chreftienne,1
toute lafciéce arufpicienne,1
auguralle declaree illicite,1
vfer peine vie,1
eftoient pasentreles chreftiés,1
pasentreles chreftiés reputez,1
chreftiés reputez fimefchas,1
beaucuop pres sorciers,1
quon disoit malcfi,1
brûlés tons vifs,1
néz mefine peine,1
religion chreftiénejno feulemét,1
ains parauant publication,1
delaloyde dieu payés,1
dieu payés mesmes,1
payés mesmes auoyent,1
mesmes auoyent horreurles,1
auoyent horreurles sorceléries,1
cnnemy capitaldes chreftiens,1
quia copofefeptliutes punition,1
copofefeptliutes punition chreftiens,1
ila derobélachose perdue,1
ilne fera quit,1
raisilferapuny felonles ordonnäces,1
felonles ordonnäces quilorseftoient,1
ordonnäces quilorseftoient ja,1
quilorseftoient ja faites,1
ja faites contre,1
jacoit quil euft,1
quil euft soréiere,1
the tempsde marius,1
tempsde marius prométroir,1
marius prométroir victoire,1
ur lesennemysparles moyens,1
eftcequelesenatne valut has,1
ellefut employee lifons,1
employee lifons dion,1
tez deceste vermine,1
fin vferent contre,1
vferent contre lessorciers,1
contre lessorciers desfupplices,1
lessorciers desfupplices cruels,1
rompant sorciers entre,1
sorciers entre pierres,1
publication loy divine,1
loy divine bi,1
divine bi fort,1
bi fort diminué,1
fort diminué puissance,1
diminué puissance sathan,1
peuples longuement demeuré,1
ontaussi fortlong temps,1
fortlong temps efté,1
fort trauaillez malins,1
trauaillez malins espritsiour,1
tourmentez fortes malins,1
fortes malins esprits,1
grand cuft ofté,1
voir loix saliques,1
quivoudradilisemmentconfidererle chapitre qua,1
difcuter allegories proprietez,1
allegories proprietez behemoth,1
intérpretent ennemys genre,1
ennemys genre humain,1
pourradefcouurir beaux fectets,1
beaux fectets tou,1
chantla proprieté cíprits,1
proprieté cíprits malins,1
comelesanciens hebrieux difoient,1
hebrieux difoient sathana,1
difoient sathana puissance,1
sathana puissance voluptez,1
puissance voluptez beltiales,1
xg sorciers dieu,1
frappe defon coufteau,1
defon coufteau pa,1
coufteau pa rolle,1
aufquelles sarhan dcle,1
aperbes lay donnent,1
lay donnent pafture,1
età vray dire,1
ordinaire vibbierde sathan,1
eígaye fous arbresfeuilleus,1
escriptureles arbres feuilleus,1
arbres feuilleus fignifientles,1
feuilleus fignifientles hipo,1
lesfaufayes quine ortentancun,1
quine ortentancun fruit,1
ila veuë hebetéc,1
monftrer prophetie veri,1
pointes oracles desathamc,1
eftpourquoy prophete baleham,1
prophete baleham beniflant,1
peuple heureux sorciets,1
dieu reueleles choses,1
reueleles choses fecre,1
tespar vifions quand,1
vifions quand left,1
quand left besoin,1
boucler aifement parle,1
aifement parle nez,1
parle nez cestebefte,1
nefaut craindre sathá,1
nefe contéte corps,1
ains attéteaux ames,1
penfent esprits familiers,1
esprits familiers enleur,1
familiers enleur puifface,1
enleur puifface come,1
puifface come efclaues,1
quátà sathan cher,1
cheles princes superbes,1
voitencores princes laiffé,1
princes laiffé dieu,1
laiffé dieu íc,1
dieu íc laiffent,1
íc laiffent captiuer,1
laiffent captiuer miferablement,1
captiuer miferablement sathá,1
miferablement sathá parle,1
sathá parle moy,1
fachant bien peuple,1
bien peuple tel,1
peuple tel prince,1
etfi prince sorcier,1
k peuple eftattyré,1
sueronc dic neron,1
dic neron cinq,1
neron cinq bon,1
cinq bon prin,1
trouuoit lon pareil,1
lon pareil és,1
pareil és cinq,1
és cinq premiers,1
sorcier fuit diffamé,1
fin miferable deprince,1
miferable deprince aage,1
pline faisant recir,1
faisant recir pluficurs,1
recir pluficurs sorceleries,1
tate noftra princeps,1
noftra princeps nero,1
princeps nero vana,1
nero vana fal,1
primum imperare diis,1
imperare diis concubinit,1
quam vli artium,1
vli artium validius,1
artium validius fauit,1
um indubitatum exempl,1
indubitatum exempl um,1
exempl um eff,1
um eff fal,1
eff fal artis,1
fal artis quam,1
artis quam dercli,1
nam bomines immolare,1
bomines immolare etiara,1
immolare etiara gratiffrmum,1
etiara gratiffrmum illifuit,1
oriamaissathan faut donnerloyeraux,1
faut donnerloyeraux fiens,1
donnerloyeraux fiens tels,1
diables lay fayfoient,1
lay fayfoient entendre,1
quil falloitfaire beaucoup,1
falloitfaire beaucoup tels,1
beaucoup tels homicides,1
viureen feureté eftat,1
eillécencores princes pro,1
donner grace tou,1
ordinairement sorciers fontchaltiez,1
sorciers fontchaltiez parles,1
fontchaltiez parles princes,1
effayer fleurs divinations,1
fleurs divinations veritables,1
tiaau sorcier afcletarion,1
eroirtué bie coft,1
em pereur demáàda,1
pereur demáàda quelle,1
demáàda quelle mortdeuoit,1
quelle mortdeuoit mourir,1
mortdeuoit mourir afcletarion,1
feroit iour mangé,1
iour mangé chiens,1
empereur fit tuer,1
mangé chiens cafuel,1
efpouuanta bien fort,1
bien fort do,1
sorcierde tibere vfa,1
tibere vfa fine,1
euft mené precipi,1
demanda sorcier sil,1
sorcier sil fçauoit,1
sil fçauoit bien,1
fçauoit bien quand,1
bien quand mourroit,1
eftoitau grand danger,1
grand danger vie,1
tibere deliberé faire,1
deliberé faire preci,1
veu souvent sorciers,1
souvent sorciers predit,1
afleuréle iour mort,1
quiíoit aduenu pres,1
icy dyn sorcier,1
dyn sorcier noyó,1
euefquede noyó delamailon,1
péfant euiter mort,1
ilallale iour sarhä,1
iour sarhä denoncé,1
ildebuoit ftre tué,1
ftre tué ceiourlà,1
furlainil furuint quelcü,1
furuint quelcü demäder,1
quelcü demäder parler,1
rft repofe montaft,1
tua entre porteslesorcier,1
louys chatelain lieutenàt,1
chatelain lieutenàt noyo,1
faut docpoureuiter mal,1
heurs prefcher loy,1
prefcher loy dieu,1
loy dieu fouuét,1
imprimer crainte grads,1
dece grad dieuterrible,1
puiffant pronocé bonne,1
pronocé bonne intétio,1
us apart dipped,1
iie rei mo,1
rei mo ge,1
tré cy dessuseftre,1
cy dessuseftre aduenu,1
dessuseftre aduenu plusieursfois,1
aduenu plusieursfois cobié,1
plusieursfois cobié faut,1
cobié faut el,1
loigneraoyá at prelcher,1
at prelcher jire,1
voila do ncle,1
do ncle gran,1
ailé moyen chafler,1
afpl he col,1
cofté auracredit iine,1
auracredit iine faut,1
iine faut efperer,1
faut efperer chafler,1
efperer chafler malins,1
chafler malins cfprits,1
malins cfprits lessorciers,1
lec ier nes,1
non loir poffible,1
loir poffible chaffer,1
poffible chaffer sorciers,1
chaffer sorciers jog,1
sorciers jog enait,1
jog enait toufiours,1
enait toufiours quelques,1
toufiours quelques uns,1
araignes és maisons,1
tirentle venin terre,1
maisla terre bien,1
terre bien cultiuee,1
laifle peupler vermine,1
ains engendre corruption,1
ainsile peuple creí,1
dd bonsp xáfteurs,1
alots malins cfprits,1
malins cfprits feront,1
cfprits feront log,1
feront log fejour,1
maisil fautbien garder,1
efcouter prefcl ent,1
prefchoit docteur sorcier,1
avonsp arlé cy,1
arlé cy dessus,1
qd confeffa diable,1
toutainsi dieu enuoyeles,1
dieu enuoyeles peftes,1
famines miniflere malins,1
miniflere malins esprits,1
sjorigi eibi auf,1
eibi auf dessorciers,1
principalement quand lenom,1
quand lenom dcdieu,1
lenom dcdieu blafphemé,1
aucc telle impunité,1
licence lespetis ensans,1
lespetis ensans meftier,1
nefont pasfi grandes,1
bles beaucoup pres,1
beaucoup pres blafphemes,1
mefchancetez premierement contre,1
premierement contre hom,1
maisles blafphemes directement,1
blafphemes directement contre,1
eftle mot ordinaire,1
mot ordinaire duquelon,1
ordinaire duquelon vfe,1
autant impietélà regnoit,1
impietélà regnoit temps,1
regnoit temps charles,1
leroy henrytroifieme venue,1
henrytroifieme venue hit,1
venue hit edi,1
executionen efté mefprifec,1
efté mefprifec grand,1
mefprifec grand def,1
audacieufement renie dieu,1
trouveencorcs blafphement rime,1
nommé bourfier troyeen,1
bourfier troyeen champaigne,1
prins blafphemantle vendredy,1
blafphemantle vendredy sainctl,1
mil cinq censfoixante,1
cinq censfoixante neuf,1
auoirla leure fendue,1
leure fendue vnferchaut,1
payer cinq cens,1
toutesfois dieu voulut,1
reprins fept iours,1
arreft cour maliugé,1
condatnné faire amende,1
amende honorable chemife,1
auoirla langue percee,1
eee ad umm,1
ad umm ttu,1
umm ttu ra,1
ttu ra aste,1
coutesfoislaloy dieu diét,1
nommé dieu parmefpris,1
eftla cruelle mort,1
cruelle mort detoutes,1
diét moyle maymon,1
lay bien voulu,1
bien voulu remarquer,1
voulu remarquer impieté,1
peres difoyent ancienne,1
menten touteslcurs actions,1
loué foit dieu,1
grecs difoiét var,1
quieít falutation tousles,1
falutation tousles peuples,1
fonr mot turc,1
arabefque corropu laguehebrai,1
maisie troüue meilleure,1
troüue meilleure couftume,1
meilleure couftume quelanoftre,1
quieft merueilleufe confequence,1
comenousauos monstré trois,1
monstré trois exéples,1
quiauoiét efté menez,1
efté menez auxsabbats,1
menez auxsabbats parleurs,1
auxsabbats parleurs fémes,1
hé mo dieu,1
cecyauroyent chaffé toutel,1
affemblee lings cíprits,1
appeller dieu faire,1
dieu faire fortilege,1
inuoquát faire vnc,1
faire vnc mefchanceté,1
quelques poctes quien,1
poctes quien fontvne,1
