token_,count
lay bien voulu,2
disant quelques paroles,2
paffage loy dieu,2
brûlée toute vifue,2
bruflee toute viue,2
disons donc impofturesdiaboliques,1
á pé ot,1
pé ot magie,1
ot magie perfique,1
science choses divines,1
fophiea eftéadulteree lessophiftes,1
sageffe don dieu,1
aufft magie efté,1
magie efté tournee,1
efté tournee sorcelerie,1
tournee sorcelerie diabolique,1
premier miniftre sathan,1
miniftre sathan publier,1
sathan publier cesteimpieté,1
publier cesteimpieté perle,1
neantmoins couuerte voile,1
couuerte voile pieté,1
commele diable couftumier,1
diable couftumier faire,1
bien nez toufiours,1
nez toufiours horreur,1
toufiours horreur mefchance,1
sorciers ximam fuiffe,1
ximam fuiffe nemo,1
fuiffe nemo miretur,1
quandoquidem fola artium,1
fola artium tres,1
artium tres alius,1
tres alius imperiofiffmas,1
alius imperiofiffmas humane,1
imperiofiffmas humane mentis,1
humane mentis complexa,1
natum medici ina,1
medici ina nemo,1
ina nemo dubitat,1
diffiz mi promiffr,1
ad quas maxime,1
quas maxime js,1
maxime js hi,1
js hi um,1
hi um uni,1
um uni ch,1
inde mifcuifje mathematics,1
cel tpourquoy lan,1
tpourquoy lan nblique,1
apoftat definy magie,1
definy magie cftre,1
inuocation bons dæmons,1
pen vfent voritaux,1
vfent voritaux pulchres,1
quien accufa cent,1
accufa cent cinquante,1
cent cinquante dé,1
disoit iourà gentilhomme,1
vouloir feulemétluy moftrerla,1
feulemétluy moftrerla magie,1
moftrerla magie blanche,1
non pasla magie,1
pasla magie noire,1
affriqueinuoquenc blancs dæmons,1
ès tures parle,1
tures parle phyfi,1
parle phyfi lique,1
occulre eaux plantes,1
etau quatrieme iure,1
mefle poison diabolique,1
algazel eti mek,1
eti mek meerreur,1
vray moyen piperles,1
moyen piperles gentils,1
piperles gentils esprits,1
ortes forceleries cas,1
forceleries cas pareil,1
cas pareil onttrouvé,1
pareil onttrouvé mot,1
afrique dæmons blancs,1
maigne blanches sybilles,1
bien voulu aduertir,1
voulu aduertir lecteurs,1
abufent foubs voile,1
foubs voile beaux,1
voile beaux mots,1
elcripr bon docteur,1
voire chacune eftoil,1
leait mauvais dæmon,1
aussibié bon dæ,1
mal enclos monde,1
enclos monde elemétaire,1
petite particule cegrand,1
particule cegrand monde,1
eít diftante ciel,1
diftante ciel lune,1
cinquante mil licuës,1
chacunafon incelligence ange,1
pofons chacune eftoil,1
malins esprits ciel,1
beaucoup moins dæmons,1
moins dæmons cotraires,1
mcímementau mouuemét inuariable,1
immuable corps celestes,1
homme libreà bien,1
libreà bien mal,1
bien mal faire,1
eít tantoít agité,1
tantoít agité malin,1
agité malin elpris,1
quand retourneà dieu,1
inuoquer bon ange,1
blanc demon planettes,1
commette vuc damnableidolatrieen,1
vuc damnableidolatrieen adorantjou,1
damnableidolatrieen adorantjou planette,1
sorciers facon facrifices,1
facon facrifices ordonnez,1
facrifices ordonnez parce,1
ordonnez parce gentil,1
parce gentil maistre,1
temps propre pla,1
necommette vneidolatrie damnable,1
quelle fource forties,1
fource forties lesidolatries,1
forties lesidolatries bhahal,1
ligences celestes decoule,1
ame puiffance lumieres,1
corps celestes decoule,1
faut condamner impicté,1
condamner impicté deteftable,1
chacune eftoille mauvais,1
eftoille mauvais dæmon,1
jaçoit lephilofophe aphrodifce,1
ietté ceft erreur,1
facrifioient bons dæx,1
aucres petits dieux,1
meflant parmy hercules,1
pourquoy dieu loy,1
dieu loy foisa,1
loy foisa repeté,1
carle mot hebrieu,1
mot hebrieu thiffa,1
latins difent adorer,1
tram ad ofculum,1
ad ofculum referunt,1
ofculum referunt totimqiie,1
referunt totimqiie corpus,1
totimqiie corpus circumaeunt,1
religiofius esse putant,1
françois tournent lecorpsen,1
tournent lecorpsen faisant,1
lecorpsen faisant reuc,1
ouadorant säbaifant main,1
säbaifant main dextre,1
mauuais prefage tourner,1
prefage tourner gauche,1
dieu preuoyat payés,1
ille defend bien,1
defend bien expre,1
allaft droit aluy,1
non degrez platoniciens,1
faictbien noter quelecom,1
mandement nefaire degrez,1
nefaire degrez aller,1
vie sorciers chapitre,1
entendre pierres seulement,1
impicté belle magie,1
belle magie blanche,1
ccluy quife voudroit,1
quife voudroit feruir,1
voudroit feruir pouriouir,1
forgee folemnitez prescriptez,1
bien voulu remarquer,1
veu grands feigneurs,1
mesmes perlonnages cftoient,1
perlonnages cftoient reputation,1
amuferà celles impietez,1
baillerà grands princes,1
grands princes chreftié,1
efticy befoing denommer,1
iuppiter forgec parla,1
forgec parla heurgie,1
portoit faire grand,1
trouvee pendueau colapres,1
pendueau colapres mort,1
eruateur douze cens,1
douze cens gaiges,1
vle mot hebrieu,1
fignifie toute image,1
toute image moulee,1
idolatrie cnceux portent,1
cnceux portent telles,1
portent telles images,1
nent deuant images,1
deuant images dieux,1
images dieux lay,1
dieux lay diét,1
toutesfois defendu parlaloy,1
defendu parlaloy dieu,1
vfoient telles choses,1
telles choses meilleure,1
choses meilleure confcience,1
dignementle feruir tcl,1
feruir tcl moyen,1
là sorciers quifçauét,1
çauent diable eftautheur,1
uenteur telles mefchancerez,1
pourfuyuons donc parle,1
donc parle menu,1
brement faire pourra,1
viendra àiuger víent,1
quoy metrouuc bien,1
metrouuc bien empefché,1
defquelles faut vfer,1
patfer mot non,1
mot non entendu,1
fautaduertir garder lafofle,1
veulent cftre inftruicts,1
cftre inftruicts merite,1
inftruicts merite forfai,1
fin nciugcrà veué,1
nciugcrà veué pais,1
mesmement cetemps icy,1
més fontinfectez detelie,1
fontinfectez detelie poifon,1
feroit imposible remarquer,1
imposible remarquer centieme,1
remarquer centieme partie,1
centieme partie desimpietez,1
partie desimpietez quile,1
desimpietez quile commettent,1
quand ieles fçaurois,1
ieles voudrois fupprimer,1
bien mettray chose,1
mettray chose paréfcript,1
chose paréfcript quei,1
enay leu efcripr,1
és procez prefentez,1
lins esprits chacune,1
esprits chacune heure,1
inuentent nouuelles íciences,1
poetettibi nomina mille,1
mille nocendi artes,1
tappeller defenfeur sorciers,1
ureles dereftables formules,1
apparence medit diable,1
iufques mettre caracteres,1
maistre agrippane voulut,1
agrippane voulut publier,1
mecontente iugescognoiffent merite,1
iugescognoiffent merite peine,1
lesignorant tombent filets,1
tombent filets qquece,1
filets qquece bon,1
qquece bon prote,1
eura preparépour piper,1
rer cordelle sathan,1
moyens defduiéts cy,1
defduiéts cy deuant,1
ence malin esprit,1
malin esprit faire,1
esprit faire danferle,1
faire danferle tamis,1
quia efté vfité,1
efté vfité anciens,1
vfité anciens propos,1
commeon veoir lucian,1
dontle prouerbefut pris,1
appelle tel deuin,1
ze dora da,1
dora da aea,1
da aea onciópayris,1
vnieune homme mouuoir,1
homme mouuoir deuant,1
mouuoir deuant pluficurs,1
deuant pluficurs gens,1
finon disant certains,1
disant certains mots,1
certains mots francois,1
mots francois mettray,1
reiterant plusieurs fois,1
monftrer malin espriteftoitauec,1
malin espriteftoitauec ceftuy,1
quevnautre lon abfencele,1
lon abfencele voulut,1
abfencele voulut fiire,1
disantles mefines paro,1
desosqrciers verfet plalmes,1
verfet plalmes quand,1
plalmes quand couche,1
ler quelle heure,1
quelle heure voudra,1
feteft exciter dauid,1
exciter dauid prier,1
mal donner force,1
efbroufiours pafler outre,1
partels commencemens precipiter,1
commencemens precipiter choses,1
foit pipé parles,1
pipé parles so,1
parles so tciérs,1
so tciérs receptes,1
tciérs receptes pleines,1
receptes pleines belles,1
pleines belles oraisons,1
dunomdelefus chrift àtout,1
chrift àtout propos,1
quien fin payafon,1
fin payafon maistre,1
feift chaffer eftat,1
appellent forte hydroman,1
anneaux sorciers portent,1
sorciers portent esprits,1
roues practique fontaines,1
tient numa ve,1
numa ve sm,1
ve sm pompiliusen,1
sm pompiliusen vloit,1
ieune enfant aperceut,1
enfant aperceut ima,1
eftant employé sorciers,1
nonça cinquante vers,1
cinquante vers toute,1
vers toute guerre,1
toute guerre michridati,1
deuinoit ladifpofition idi,1
maisie lay touché,1
interpretant pallage loy,1
pallage loy dieu,1
pierre exactement polie,1
exactement polie forme,1
polie forme miroüer,1
bien pourroit appeller,1
pourroit appeller divination,1
appelle ame hebrieu,1
gi prennent petitslopins,1
guatir hebure quarte,1
tour celà vaut,1
celà vaut rien,1
tels charmes paroles,1
charmes paroles peuvent,1
quant ja xylomantie,1
ilya docteur hebrieu,1
faict mention ii,1
ure ilaextraict lessix,1
petits lopins bois,1
meferoit impoffible recucillirtout,1
non toutesfois centicfme,1
toutesfois centicfme partie,1
