token_,count
contre majefté dieu,3
an mil cinq,3
foit mis mort,2
crime lese maicfté,2
deuant plusieurs perfonnes,2
crime lese majefté,2
diminuer nombre mefchans,2
età propos difoit,2
remarqué cy dessus,2
mil cinq cens,2
peine léfe majefté,2
sil cust fouffert,1
cust fouffert grand,1
fouffert grand doüleur,1
onfift dire grand,1
dire grand nobre,1
grand nobre meffes,1
reuclant bcaucoup choses,1
bcaucoup choses occul,1
maisonluy dif fitu,1
dif fitu veus,1
miferere mei deus,1
mei deus fecundàm,1
deus fecundàm magnam,1
fecundàm magnam mifericor,1
magnam mifericor diam,1
mifericor diam tuam,1
niqyisition id oe,1
id oe oor,1
oe oor cie,1
oor cie rs,1
ousavons parlé moyens,1
parlé moyens dechat,1
anconles chafferoit files,1
chafferoit files sorciers,1
files sorciers rappellent,1
cartoufiours sathan msa,1
sathan msa efcoutes,1
msa efcoutes pourvenir,1
efcoutes pourvenir quàd,1
uons declaréles moyens,1
declaréles moyens doux,1
medecines ayfees prendre,1
inftruire peuple loy,1
peuple loy dieu,1
cela reléhirlis melchans,1
reléhirlis melchans crainte,1
melchans crainte dieu,1
sorceers deftourner sorciers,1
deftourner sorciers vie,1
sorciers vie dcteflable,1
parties purrifiees combie,1
purrifiees combie dire,1
combie dire verité,1
brullericssorciersá etit feu,1
cs clix dt,1
clix dt rene,1
punille pius crue,1
pius crue lement,1
crue lement homme,1
pius longuement quelas,1
us lt lanois,1
lt lanois vengef,1
lavanten fà puiflince,1
uv mift da,1
ill ciiiciizilc quitultaice,1
dii pire mnn,1
faic tle iable,1
tle iable ccs,1
inousaauc us monítre,1
uh meitiet nc,1
ad puedes uto,1
puedes uto inpr,1
ls richir ieur,1
richir ieur donner,1
ieur donner pla,1
donner pla ir,1
ement moyen red,1
moyen red villaines,1
red villaines ordures,1
quoy satharn employe,1
ns ci ch,1
cs cra unct,1
cra unct iccnoncers,1
cs alil lidl,1
alil lidl lilllk,1
og lic lk,1
lic lk do,1
ile gi pls,1
gi pls lll,1
pls lll id,1
lll id lll,1
id lll ul,1
lll ul dolii,1
ul dolii aic,1
dolii aic ics,1
live tdr ops,1
tdr ops lente,1
ops lente mort,1
lente mort ordonce,1
mort ordonce core,1
ordonce core sorciers,1
ains faire cefferl,1
ire dieu furtout,1
dieu furtout peuple,1
partic auflt amener,1
auflt amener repétance,1
cít doncques chose,1
doncques chose bié,1
chose bié fort,1
bié fort falutaire,1
fort falutaire àtoutle,1
falutaire àtoutle corps,1
republique rechercher diligémenr,1
punir feucrementles sorciers,1
autrementil danger peuple,1
danger peuple lapide,1
meilcitaduenu vnan àsagueuonc,1
vnan àsagueuonc pres,1
àsagueuonc pres ville,1
pres ville laon,1
sorcieres quiauoyent merite,1
quiauoyent merite iuftement,1
merite iuftement mort,1
vneautresorciere fort diffamee,1
fort diffamee demeurantà,1
diffamee demeurantà verizni,1
quieft morteau mois,1
lee plusieurs sorcelleries,1
plusieurs sorcelleries abfoute,1
fr bien vengee,1
commme fçeu ha,1
fuisefmerueillé pourquoy plufteursprin,1
pourquoy plufteursprin ontinítitué,1
plufteursprin ontinítitué inquilitios,1
laires extraordinaires fairele,1
extraordinaires fairele proces,1
fairele proces larros,1
trôuué princes sorciers,1
quile voulu feruirdessorciers,1
lesquels ncát moins,1
ncát moins fonttoufioursprecipites,1
moins fonttoufioursprecipites hautlieu,1
neur gouffre toutemifere,1
enquicrent sorciers silsauront,1
sorciers silsauront victoire,1
dieu rend vaincus,1
demandét sathan feraleur,1
sathan feraleur facceffeur,1
dieu ennemysleurs fuccefleurs,1
monstré infinies histoires,1
forte dieu chaftieles,1
dieu chaftieles princes,1
chaftieles princes sorciers,1
princes sorciers magiftrats,1
sorciers magiftrats peu,1
fois aufli dieufait,1
aufli dieufait rebeller,1
dieufait rebeller fuiets,1
rebeller fuiets contreles,1
fuiets contreles princes,1
contreles princes sorciers,1
ordinairemét illes chaftic,1
illes chaftic parlessorciers,1
lessorciers iouent myfteresla,1
iouent myfteresla nuict,1
marques sorciers cachees,1
chose empefche juges,1
empefche juges don,1
neriugement outenir pourconueincuesles,1
outenir pourconueincuesles perfon,1
nes vncrime fideteftable,1
quitire foy tou,1
nousauos moftrécy dessus,1
faut docques tel,1
docques tel cas,1
tel cas crimes,1
execrables fefont couuertement,1
neles defcouurir gés,1
defcouurir gés bien,1
rer parles complices,1
coupables meíme faict,1
celafutverifiéfoubzleroy charlesneufefine lors,1
charlesneufefine lors troif,1
efchelles voyät conucincu,1
voyät conucincu plusieursaëtes,1
conucincu plusieursaëtes impofhibles,1
plusieursaëtes impofhibles puifla,1
pouuant donner raison,1
donner raison apparente,1
cofeffa quetoutcelà riloit,1
defereroit vnc infinité,1
roy donna grace,1
donna grace charge,1
grace charge charge,1
charge charge dercuelerfescompaignons,1
ecennomagrand nombre parnom,1
noir veuaux sabaths,1
cognoifloit veüc pourlesrccognoiftreil,1
faifoit meneraux affe,1
meneraux affe blecs,1
affe blecs publiques,1
ouautre partie corps,1
partie corps humain,1
corps humain quien,1
humain quien eftoyent,1
cognoiffoit aufli entre,1
aufli entre yeux,1
delation futt fup,1
futt fup rimec,1
foit parfaueur concuffion,1
urir honte quelques,1
honte quelques uns,1
quelques uns eftoyét,1
foit nombre trouva,1
cas pareil quand,1
aueugle quinze vingts,1
quinze vingts fuft,1
vingts fuft pendu,1
fuft pendu parisauec,1
pendu parisauec quelques,1
parisauec quelques uns,1
quelques uns compli,1
sentrouua pres cent,1
pres cent cinquante,1
cent cinquante defe,1
plusieurs fois víé,1
hoftie confacree sorcelleries,1
peu peu ona,1
peu ona ouuert,1
ona ouuert yeux,1
mefmementdepuisla mort roy,1
mort roy charles,1
roy charles neuftefme,1
difficultez faifoit foubs,1
faifoit foubs regne,1
foubs regne charle,1
regne charle neuftefme,1
auparauant roy henry,1
oril aplusieurs moyens,1
aplusieurs moyens proceder,1
moyens proceder punition,1
proceder punition sorciers,1
foit parles iuges,1
parles iuges ordinaires,1
outre iuges ordinaires,1
eftablir ij sm,1
anciennemen ies lug,1
ies lug tcs,1
lug tcs gl,1
tcs gl enauovcert,1
gl enauovcert ognoiflance,1
enauovcert ognoiflance priuai,1
ognoiflance priuai iuement,1
ja coon olfiance,1
coon olfiance fuit,1
olfiance fuit attri,1
titi iement cds,1
iement cds coic,1
cds coic singer,1
coic singer faire,1
singer faire meímes,1
faire meímes rech,1
fticuts facent parties,1
auieftie fecond oyen,1
cít proprement charge,1
proprement charge vacquer,1
og ner apoutluytre,1
ner apoutluytre forfai,1
at uc esd,1
uc esd ds,1
is iesprocurcurs oy,1
souvent neo ll,1
gens charge lesiuges,1
foit receuaccufateuren crime,1
cureur roy ioint,1
oit permis neantmoins,1
permis neantmoins pou,1
accuser vindiéte publique,1
vindiéte publique crime,1
intereft particulier non,1
cll requis royaume,1
requis royaume tours,1
royaume tours crimes,1
cas garde folemnitez,1
quiles droit commun,1
droit commun portces,1
commun portces end,1
portces end qiti,1
end qiti acch,1
publi cis iudicijs,1
quatriefme fera delations,1
fera delations procureurs,1
delations procureurs oy,1
oy ent contrains,1
ent contrains denommer,1
contrains denommer delateurs,1
filacalomnie bien fort,1
bien fort euidente,1
oit abfouls pur,1
pif nuict cflargy,1
nuict cflargy guoufque,1
ilen fera amplement,1
fera amplement enquis,1
doibcfaire sil indices,1
tc pete sorciers,1
pete sorciers ries,1
sorciers ries villages,1
pauures simples cens,1
simples cens craignent,1
che dececrime deteftable,1
dececrime deteftable caoftumsleta,1
deteftable caoftumsleta ble,1
caoftumsleta ble efcofle,1
fera loyfibleà cha,1
loyfibleà cha afcun,1
cha afcun mettre,1
afcun mettre dedans,1
mettre dedans bil,1
cas parluy com,1
trc ncen prefence,1
ncen prefence luge,1
sorciers quiaurot clefdu,1
quiaurot clefdu tróc,1
fera ouuert tousles,1
ouuert tousles quinzeiours,1
mer fecrettement contre,1
fecrettement contre feront,1
contre feront nommez,1
sixiefme doibr faire,1
doibr faire monitoires,1
voye bien neccflaire,1
bien neccflaire contraindre,1
neccflaire contraindre ofent,1
cptiefme fera receuoiríes,1
fera receuoiríes complices,1
receuoiríes complices accufateurs,1
complices accufateurs crimes,1
accufateurs crimes contre,1
duràd grands iu,1
aduis priuilege doit,1
priuilege doit donne,1
doit donne compli,1
iagoit dé droiét,1
dé droiét commun,1
droiét commun coníors,1
commun coníors receuables,1
coníors receuables accufatcurs,1
gatiues competiteurs conuaincre,1
our loyer vainqueur,1
loyer vainqueur auoitimpunité,1
quelesorcier foit preuenu,1
foit preuenu parauant,1
faut toufiours promettre,1
toufiours promettre impunité,1
nuer peine quiconfefleront,1
peine quiconfefleront fanstorture,1
eur paruenit cognoiflance,1
quiempefche confeffer verité,1
fuiet prefente ilfat,1
prefente ilfat cogneu,1
ilfat cogneu quand,1
cogneu quand leroy,1
quand leroy charles,1
leroy charles ncuf,1
icíme euft donné,1
euft donné grace,1
donné grace troif,1
grace troif efchelles,1
troif efchelles condam,1
melay dictcy dessus,1
cy parce moyen,1
faut prendre ieunes,1
prendre ieunes filles,1
ieunes filles sorcieres,1
aage tendre ferontayfees,1
tendre ferontayfees perfuader,1
duction meres doit,1
meres doit impetrer,1
moyen bouuin bailly,1
bouuin bailly chafteau,1
oux fceut toutce,1
fceut toutce failoit,1
toutce failoit vnc,1
failoit vnc icune,1
vnc icune fille,1
dont nousavonsfait men,1
tion cy dessus,1
furét defcouuertes ieunc,1
defcouuertes ieunc fille,1
craignét dire verité,1
dire verité deuant,1
verité deuant plufteurs,1
deuant plufteurs per,1
llfaut queleiuge face,1
queleiuge face cacher,1
face cacher trois,1
perfonnes derriere tapiflerie,1
faire retirer confeflions,1
ft trouucront em,1
lepluftoft faire pourracomenceràinterrogerla,1
faire pourracomenceràinterrogerla sorcic,1
prife aufli coft,1
aufli coft fent,1
coft fent sathàl,1
confeffe alors voluntairc,1
queftion nefcauroiét arra,1
aille prison temps,1
prison temps vv,1
ss cterd doubte,1
cterd doubte sathan,1
doubte sathan donne,1
sathan donne inftruction,1
aut donc commencer,1
donc commencer choses,1
commencer choses legeres,1
tours pafle pafle,1
ona deftre partie,1
lus volôtiers oyér,1
peu peus rir,1
peus rir fileur,1
rir fileur pere,1
mere efté meltier,1
enquift diligemment mere,1
diligemment mere ieanne,1
mere ieanne haruillier,1
uons parlécy deuat,1
onenuoyeà verberiexpref fle,1
ment pays naiflance,1
leanne heruillier fille,1
heruillier fille lors,1
fille lors bien,1
lors bien fort,1
bien fort ieu,1
rien ordinaire meres,1
ordinaire meres feduifenc,1
meres feduifenc filles,1
souvent ft toft,1
defaictlafille ieanne haruillier,1
ieanne haruillier voyantfa,1
haruillier voyantfa mere,1
voyantfa mere prifoi,1
mere prifoi nniete,1
filles debarbedoréauffi toft,1
debarbedoréauffi toft eur,1
toft eur mere,1
eur mere prife,1
mere prife lessorccelleries,1
dessorciers familier ladictedoré,1
familier ladictedoré depofa,1
ladictedoré depofa toute,1
depofa toute ra,1
cauoir quel pays,1
quel pays eftla,1
pays eftla sorciere,1
fiellea changé pays,1
caril trouue osdinaitéaen,1
trouue osdinaitéaen sorcie,1
res changét place,1
bissispel retiennent vnlieu,1
quand voyent defcouuertes,1
