token_,count
enla loy dieu,2
eren cas pareil,2
pana non attraxerit,2
dieu face face,2
come voyoit yeux,2
demandoient conseil dieu,2
difpofition naturelle corps,2
demandé conseil dieu,2
defendu parlaloy dieu,2
parla loy dieu,2
outre cours nature,2
és orrcer eftceluy,1
orrcer eftceluy moyens,1
eftceluy moyens tns,1
su parucnir chose,1
pofe ye definition,1
ye definition neceflaire,1
definition neceflaire feu,1
neceflaire feu rd,1
nonfeulémentpour entédre trai,1
ainsauffi pourles iugemensque,1
pourles iugemensque fault,1
iugemensque fault rendre,1
fault rendre contre,1
rendre contre sorciers,1
quia cl é,1
cl é ob,1
lesicy detous cfcript,1
detous cfcript sorciers,1
fondement lequel faut,1
lequel faut baftirce,1
faut baftirce traité,1
nu noftre definition,1
premierement mis mot,1
erreur peuc uis,1
emporter aucun confentémenft,1
tellement malade vfe,1
malade vfe bonne,1
vfe bonne foy,1
bonne foy recepte,1
foy recepte diabo,1
penfoit hommede bien,1
iufte caufe dignorance,1
file sorcier declare,1
ilinuoqueles malines elprits,1
malines elprits presence,1
commeil fid quelques,1
mis seulement poürexemple,1
quifera plusam plement,1
plusam plement declaré,1
plement declaré cy,1
declaré cy enfon,1
cy enfon lieu,1
sorcters faut fcauosr,1
faut fcauosr quels,1
fcauosr quels moyens,1
quels moyens diaboli,1
mot diable fignifie,1
diable fignifie grec,1
parce quil efpie,1
quil efpie toufioursles,1
efpie toufioursles actions,1
toufioursles actions aoc,1
actions aoc ag,1
aoc ag gens,1
ag gens vertueux,1
calomnie deuant dieu,1
moyens diaboliques fuperftitions,1
enfeignées satan feruiteurs,1
satan feruiteurs ruiner,1
feruiteurs ruiner perdition,1
ruiner perdition genre,1
perdition genre humain,1
enuie satan mort,1
satan mort entree,1
mort entree lobe,1
cequieftauffi recitéen pluficurslieux,1
enquoy prefuppofe non,1
prefuppofe non feule,1
yavn ennemy genre,1
ennemy genre humain,1
ila eftécreé dés,1
eftécreé dés commencement,1
etnon seulement saincte,1
seulement saincte escripture,1
ains aufft academiciens,1
tellement rcuoqueren doubte,1
ceferoitnier principes detoutela,1
principes detoutela metaphyfique,1
exiftence rt dieu,1
uemét corps celestes,1
plotin tiennent quil,1
dir ps ftiens,1
ps ftiens prennent,1
ftiens prennent toufiours,1
lemot demons poux,1
ecmcfmes determination refolué,1
determination refolué livreatpremier,1
dei heretiques tiennent,1
hs din bons,1
