token_,count
mil cinq cens,3
decerne peines contre,2
peines contre sorciers,2
cent cens lieues,2
dr oaj oe,1
oaj oe io,1
oe io per,1
io per tn,1
per tn bodin,1
ere br tref,1
vgementquiaefte conclud contre,1
conclud contre td,1
contre td sorciere,1
td sorciere auquel,1
sorciere auquel appellé,1
auquel appellé dernier,1
appellé dernier jour,1
auril mil cinq,1
cinq cens feptante,1
donné occafion mettre,1
occafion mettre main,1
mettre main plume,1
main plume mla,1
plume mla elclarcir,1
mla elclarcir fubie,1
vue ble routes,1
ble routes personnes,1
routes personnes eftrangeà,1
personnes eftrangeà merueilles,1
sek plufreurs incroyable,1
fappelloit leanne haruillier,1
ry pres compiegne,1
mourir plusieurs hommes,1
belles confessa queftion,1
combien prime face,1
prime face euft,1
face euft denie,1
euft denie opiniaftrement,1
varié plusieurs fois,1
aage douze ansl,1
grand homme noir,1
outre ftature hommes,1
veftu drap noir,1
toit bien traicter,1
instant clle copulation,1
clle copulation charncllementauec,1
copulation charncllementauec diable,1
diable prefentoit quäd,1
prefentoit quäd vouloir,1
prefenta premiere fois,1
premiere fois elperonne,1
mary couché aupres,1
impoffible garder paysans,1
rauir mains juftice,1
mains juftice labrûler,1
ordône auparauát proceder,1
auparauát proceder lugemét,1
proceder lugemét difhnitif,1
trouvé trente auparauant,1
fouet pourle meíme,1
pourle meíme crime,1
mere condamnee cftre,1
condamnee cftre bruflee,1
cftre bruflee vifue,1
arreft cour parlement,1
cour parlement confirmatif,1
parlement confirmatif fentence,1
confirmatif fentence iuge,1
fentence iuge senlis,1
accouftume changer noi,1
faisant contenance repentir,1
auoitfaicte dernier homicide,1
ietré quelques poudres,1
diable preparees mitt,1
preparees mitt lieu,1
mitt lieu battu,1
lieu battu fille,1
battu fille deuoit,1
fille deuoit paller,1
tre paffajauquel vouloit,1
paffajauquel vouloit mal,1
cost fentic douleur,1
fentic douleur poignante,1
douleur poignante corps,1
autant tousles voifins,1
veu entrerau lieu,1
clleauoit iecte sortle,1
iecte sortle iour,1
sortle iour mel,1
maladie foudaine crioyent,1
foudaine crioyent icété,1
crioyent icété sort,1
garda patient pendant,1
patient pendant maladie,1
priéle diable guerirfon,1
diable guerirfon malade,1
guerirfon malade refponce,1
diit alocsau diable,1
ecaussi cott falla,1
cott falla cacher,1
falla cacher grange,1
bien merité mort,1
oit faire pendre,1
examiné crimes deteftables,1
peines eftablies parles,1
eftablies parles loix,1
mement couftuine gencralle,1
couftuine gencralle toute,1
gencralle toute chreftienté,1
gardee royaume toute,1
royaume toute ancienneté,1
condemnee bruflee vif,1
executee dernier iour,1
procureur roy ribemont,1
depuisla condemnation confeffa,1
tranfportee parle diable,1
parle diable affemblees,1
diable affemblees sorcieres,1
víé quelques greífes,1
elleauoit veu auxatfemblees,1
veu auxatfemblees grand,1
auxatfemblees grand nóbre,1
grand nóbre personnes,1
adoroiét homme noir,1
prince faifoit fermon,1
faifoit fermon eurs,1
fermon eurs ennemys,1
ge trente couployent,1
trente couployent charne,1
couployent charne fier,1
interrogee bailloit accufa,1
bailloit accufa berger,1
requerant pardon dieu,1
trouuoyét cas eftrige,1
é faire trai,1
courir diables feruir,1
faire cognaiftre doigt,1
crimes foyent beaucoup,1
foyent beaucoup pres,1
beaucoup pres exe,1
merittent peines griefues,1
partie refpondre imprimez,1
refpondre imprimez fefforcent,1
imprimez fefforcent fauuer,1
fefforcent fauuer sorciers,1
fauuer sorciers moyens,1
publier beaux liutes,1
sathan hommes atiltres,1
hommes atiltres efcrire,1
mettray exemple memorable,1
pierre mamor petit,1
ure lamiesaremarqué nommée,1
cur theologie accufé,1
condamné sorcier donziefme,1
sorcier donziefme decébre,1
mil cens cinquante,1
lequel fin repentit,1
confelfa plusieurs fois,1
plusieurs fois tranfportéauec,1
fois tranfportéauec aû,1
tres sorciers lanui,1
ques fois forme,1
fois forme homme,1
quelques fois forme,1
fois forme bouc,1
noncant toute religion,1
trouvé faifi obligation,1
portant romefles reciproques,1
docteur oblige mo,1
oblige mo publiquemét,1
falloir rien croire,1
moyen sorciers auoyent,1
