token_,count
,6797
dieu,125
sorciers,93
sathan,74
bien,59
diable,57
faire,50
sorcier,39
mal,34
veu,30
contre,29
dire,29
plusieurs,28
an,27
fin,27
quand,26
sorciere,26
esprit,26
esprits,25
faut,25
quelques,25
hommes,24
vie,23
cela,22
mort,21
malings,21
grand,21
moyen,20
void,19
non,19
quel,19
entre,19
rien,19
foit,19
roy,19
homme,19
parle,18
femme,18
peuvent,18
cy,17
corps,17
come,17
moyens,17
cinq,17
fille,17
maladies,16
ains,16
loy,16
pres,16
puiflance,16
choses,16
lieu,16
iour,15
sorcieres,15
pourquoy,15
chose,15
terre,14
lequel,14
fort,14
diables,14
iufques,14
allemaigne,14
guerir,14
là,14
pere,14
maladie,14
trois,13
alors,13
peuple,13
difoit,13
quoy,13
ila,13
temps,13
ame,13
vray,13
charmes,13
malefice,13
sain,13
mil,12
donne,12
foudain,12
parlant,12
forte,12
monde,12
no,11
peu,11
dessus,11
com,11
princes,11
faisant,11
mourir,11
fit,11
euefque,11
samedy,11
mettray,11
res,11
perfonnes,11
toute,10
quil,10
efté,10
voir,10
el,10
ll,10
beau,10
iugement,10
disant,10
mieux,10
fois,10
con,10
eftant,10
ic,10
malefices,10
aufli,10
saint,10
prieres,10
beaucoup,9
ja,9
cens,9
clle,9
iob,9
k,9
chafler,9
chaffer,9
uns,9
confeffa,9
accord,9
mot,9
autant,9
toutesfois,9
deuant,9
nui,9
faifoit,9
maifon,9
eau,9
pluftoft,9
neantmoins,9
maistre,9
trouua,9
sort,9
malin,9
hiftoire,8
malins,8
peine,8
auoyent,8
quia,8
fera,8
euft,8
pays,8
hebrieux,8
moy,8
donner,8
grace,8
dece,8
bonne,8
cest,8
enfans,8
ad,8
iuftice,8
feu,8
ae,8
paris,8
parce,8
ena,8
certain,8
remarqué,8
offencer,8
mots,8
ray,8
celle,8
douleur,8
tre,8
cheual,8
veut,8
fils,8
print,8
ville,8
dedans,8
va,8
anciens,8
pape,8
pierre,8
fuft,8
iuges,8
maling,8
demoniaques,8
he,7
quela,7
lifons,7
foubs,7
ques,7
beftes,7
lessorciers,7
ordinaire,7
quine,7
prince,7
és,7
do,7
grad,7
toufiours,7
air,7
maisil,7
honneur,7
nom,7
general,7
pieds,7
efcript,7
vont,7
puiffance,7
gens,7
ap,7
parolles,7
procés,7
premiere,7
chap,7
nc,7
bié,7
mains,7
ft,7
telles,7
quelquesfois,7
opinion,7
combien,7
lors,7
preftre,7
sor,6
chapitre,6
ve,6
ge,6
eftoient,6
cíprits,6
force,6
aage,6
tels,6
ment,6
demanda,6
icy,6
dicu,6
vfe,6
nommé,6
voulut,6
ca,6
vnc,6
jamais,6
garde,6
voyant,6
cas,6
plein,6
cftoit,6
recite,6
vnautre,6
caufe,6
ch,6
appelle,6
france,6
main,6
vouloit,6
illuy,6
tient,6
donné,6
nuit,6
porte,6
malades,6
preuve,6
tiennent,6
malade,6
mourut,6
mis,6
pat,6
feul,6
seulement,6
faueur,6
ls,6
quant,6
prefence,6
chercher,6
yeux,6
laon,6
face,6
fuperftition,6
ceft,6
sorcelleries,5
cent,5
ex,5
vi,5
quieft,5
tres,5
eftoyent,5
voit,5
foy,5
facrifices,5
religion,5
horreur,5
parauant,5
quad,5
ur,5
pa,5
lay,5
monftrer,5
craindre,5
tel,5
neron,5
vertu,5
pro,5
ordinairement,5
quiauoit,5
bie,5
quelle,5
chiens,5
tuer,5
haut,5
refpondit,5
fiance,5
demeurent,5
hom,5
def,5
fept,5
iours,5
fer,5
diét,5
voulu,5
remarquer,5
prenant,5
creatures,5
quien,5
prier,5
moins,5
lire,5
quifut,5
for,5
pendant,5
deteftables,5
eftans,5
ilfe,5
ds,5
mois,5
pauures,5
be,5
aumofne,5
uent,5
mefchans,5
gue,5
façon,5
pris,5
heure,5
parla,5
fan,5
faict,5
quife,5
croire,5
spranger,5
ofter,5
enforcelé,5
mille,5
guerit,5
certaines,5
exemple,5
poudres,5
idolatrie,5
caduc,5
vengeance,5
beauté,5
ruine,5
venir,5
fà,5
fortir,5
certaine,5
benoift,5
met,5
femble,5
femblable,5
douze,5
noftre,5
per,5
loyer,5
fuperftitions,5
premier,4
ot,4
dedieu,4
egypte,4
parles,4
lefquelles,4
pechez,4
at,4
det,4
publication,4
cfprit,4
tenoit,4
morbo,4
loix,4
images,4
tibere,4
ij,4
art,4
eod,4
lesautres,4
diuine,4
ileft,4
penfent,4
cher,4
im,4
pareil,4
feroit,4
sil,4
souvent,4
maison,4
ftre,4
mo,4
cfprits,4
loir,4
bons,4
garder,4
partout,4
aucc,4
bles,4
venue,4
vendredy,4
dont,4
cour,4
samuel,4
it,4
cruelle,4
impieté,4
mefchant,4
doit,4
foir,4
fain,4
quantaux,4
ges,4
dieux,4
is,4
nuyre,4
ure,4
vint,4
pauure,4
fel,4
charge,4
puiffent,4
demander,4
dequoy,4
quiluy,4
grands,4
donnez,4
ouil,4
dix,4
da,4
puifle,4
duquel,4
dir,4
difent,4
guerifloit,4
char,4
cha,4
autheur,4
leu,4
trouué,4
apresauoir,4
raison,4
nuire,4
feptiefme,4
repos,4
couché,4
donc,4
meímes,4
für,4
eglife,4
ha,4
confeil,4
ren,4
aduis,4
voix,4
fortileges,4
inquifiteur,4
viue,4
home,4
prié,4
alla,4
nent,4
autrement,4
ofte,4
querir,4
aucun,4
iufte,4
efte,4
cire,4
porter,4
ille,4
facro,4
perfonnages,4
hippocrate,4
fert,4
al,4
difons,4
noir,4
hs,4
mere,4
ieune,4
nn,4
cs,4
àla,4
condamné,4
parolle,4
có,4
sylueftre,4
fecond,4
papes,4
ts,4
dien,4
escripture,4
pain,4
defcouuert,4
long,4
perfonne,4
gaigner,4
moindre,4
priué,4
cartes,4
ho,4
quis,4
sen,4
ble,4
pfalme,4
mettre,4
grande,4
poin,4
charme,4
aucune,4
empefcher,4
illicites,4
preferuatifs,4
defquels,4
anthoine,4
eo,4
moyfe,4
hilarion,4
demoniaque,4
falut,4
prophetes,4
filles,4
gentil,4
grec,4
anneau,4
dauid,4
demon,4
ro,3
ét,3
bon,3
nes,3
contraire,3
hays,3
grece,3
demy,3
vermine,3
peuples,3
guerre,3
ent,3
dæmons,3
ligatures,3
fr,3
beftail,3
téps,3
tousles,3
magie,3
nemo,3
oracles,3
illicite,3
vifs,3
chreftiens,3
histoire,3
allemai,3
vniefme,3
ennemys,3
beaux,3
defon,3
fruit,3
veuë,3
prophete,3
heureux,3
nez,3
miferablement,3
trouue,3
defai,3
ia,3
pline,3
nero,3
quam,3
um,3
eff,3
sorcellerie,3
carles,3
eftat,3
veritables,3
em,3
danger,3
exemples,3
aduenu,3
euiter,3
tué,3
afleuré,3
crainte,3
petis,3
cœur,3
ré,3
pu,3
voila,3
col,3
cofté,3
