token_,count
,8961
dieu,263
bien,83
quand,55
premier,54
choses,50
chose,49
sorciers,49
dire,47
faire,47
fort,46
hommes,44
esprits,42
monde,37
anges,35
entre,35
mot,34
nature,34
esprit,33
faut,32
non,29
hebrieux,29
moyens,28
void,27
homme,26
grand,26
pourquoy,25
foit,24
escripture,23
bons,23
roy,23
fignifie,22
sathan,22
fin,22
temps,22
mal,22
celà,22
combien,21
parle,21
rien,21
cy,20
plusieurs,20
ange,20
lune,20
diable,19
celestes,19
toufiours,19
anciens,19
appelle,19
malins,19
quel,19
toute,19
neantmoins,18
sorcier,18
ciel,18
naturelles,18
corps,17
loy,17
mort,16
uns,16
cest,16
quoy,16
celle,16
moyen,16
diét,16
fonges,16
naturelle,16
diaboliques,15
feu,15
donc,15
h,15
diables,15
ment,15
com,15
face,15
fçauoir,15
ame,15
vifion,15
prophetes,15
chapitre,14
mauuais,14
cap,14
vie,14
parla,14
faifoit,14
soleil,14
foubs,14
prophetie,14
telles,14
contre,13
lequel,13
foy,13
quelques,13
ex,13
puiflance,13
oeuvres,13
trois,13
là,13
samuel,13
matiere,13
quil,12
con,12
g,12
opinion,12
lesautres,12
grecs,12
force,12
difent,12
toutesfois,12
terre,12
souvent,12
hebrieu,12
moins,12
alors,12
impieté,12
illicites,12
fois,11
aristote,11
nes,11
bon,11
cela,11
mefchans,11
dicu,11
plantes,11
peu,11
vifions,11
vray,11
mourir,11
cas,11
definition,10
caufe,10
lieu,10
salomon,10
ila,10
quant,10
theologiens,10
voix,10
hom,10
difoit,10
an,10
parles,10
veillant,10
dormant,10
dauid,10
paruenir,10
dieux,10
feroit,10
prophete,10
mis,9
deuant,9
grace,9
maistre,9
quelle,9
pa,9
quela,9
quine,9
jamais,9
veu,9
poin,9
mer,9
appellent,9
certain,9
lifons,9
fera,9
pierres,9
eaux,9
grande,9
diuine,9
forte,9
predictions,9
eftoient,9
moyfe,9
efté,9
cognoiftre,9
peuple,9
marque,9
difference,9
peuples,9
cours,9
premierement,8
ains,8
principes,8
ij,8
beftes,8
pere,8
dæmons,8
oy,8
voir,8
latins,8
fain,8
diabolique,8
euft,8
garde,8
creation,8
ges,8
quad,8
entendu,8
honneur,8
fortes,8
longe,8
saul,8
ca,8
temple,8
foient,8
ennemis,8
autant,8
caufes,8
remarqué,8
outre,8
forts,8
noftre,7
malade,7
seulement,7
creé,7
entend,7
platon,7
plutarque,7
tiennent,7
tousles,7
cause,7
he,7
tour,7
elt,7
pharaon,7
cho,7
yeux,7
iour,7
met,7
oracles,7
nez,7
come,7
beaucoup,7
duquel,7
feul,7
mm,7
nombres,7
animaux,7
pris,7
haut,7
eau,7
mil,7
quelquesfois,7
quafi,7
ve,7
ec,7
tion,7
iours,7
ordinaire,7
premiere,7
prophe,7
anciennement,7
prieres,7
voyant,7
venir,7
puiffance,7
miracles,7
naturels,7
galen,7
donne,7
herbe,7
verbe,7
é,6
bonne,6
ques,6
gens,6
fainéte,6
accord,6
demons,6
dir,6
malings,6
voile,6
dzmons,6
pourl,6
deuoit,6
prendre,6
doit,6
pro,6
