token_,count
cy dessus,23
puissance commander,21
conseil privé,17
quelques uns,15
cas pareil,12
prince souverain,12
non seulement,10
voix deliberative,10
parlement paris,10
bien souvent,9
quand question,9
lettres iustice,9
menu peuple,8
estat populaire,8
puissance faire,8
doit faire,8
charge publique,8
quatre cens,8
tribun peuple,8
lettres patentes,8
faire guerre,8
magistrat doit,8
passer outre,8
toute republique,7
advis senat,7
ains seulement,7
peu peu,7
beaucoup moins,7
estats populaires,6
republiques populaires,6
conseil particulier,6
tite liue,6
cours souveraines,6
dira quelqu,6
toute puissance,6
pouuoir commander,6
foubs puissance,6
rien faire,6
tribuns peuple,6
puissance magistrats,6
loy dieu,6
grand preuoft,6
quand dy,5
senat romain,5
grand conseil,5
requefte peuple,5
peuple romain,5
perfonnes publiques,5
charge ordinaire,5
charges publiques,5
mort prince,5
puissance condamner,5
bien certain,5
grands estats,5
nom collectif,5
magistrats fuperieurs,5
auons cy,5
estats peuple,5
parle moyen,4
cefte caufe,4
cinq ans,4
cens senateurs,4
trois cens,4
anciens grecs,4
outre senat,4
privé conseil,4
commeil faifoit,4
conseil eftroit,4
outre cela,4
conseil dix,4
parle peuple,4
cefte cause,4
prendre cognoiflance,4
puissance comander,4
monstré cy,4
decret senat,4
aucune puissance,4
veut dire,4
moindres magistrats,4
bien fort,4
anciens pontifes,4
edit expres,4
come auons,4
donner bataille,4
lettres commandement,4
parlemét paris,4
puissance com,4
trois fortes,4
auons monstré,4
auoient puissance,4
mettre prifon,4
pouuons dire,4
certains citoyens,4
contre loy,4
mettre mort,4
cefte puissance,4
causes civiles,4
princes souverains,4
puissance souveraine,4
files magistrats,4
parlement bourdeaux,4
premier lieu,3
ence royaume,3
empereur charles,3
comment feroit,3
bien cognoiftre,3
bonne opinion,3
entree senat,3
plein senat,3
faut donc,3
empereur augufte,3
quant nombre,3
bien vray,3
fix cens,3
ioint aufli,3
affaires fecrettes,3
ad senatum,3
conseil sept,3
cas femblable,3
pourquoy ciceron,3
quelque chose,3
eftà fcauoir,3
voila quant,3
vaut beaucoup,3
republique foit,3
magistrats ordinaires,3
question vie,3
file roy,3
peine deleze,3
deleze maicfté,3
mieux gardé,3
bon fembloit,3
aufli voit,3
rien commander,3
decrets senat,3
loix facrees,3
difcipline militaire,3
eftà dire,3
peu ple,3
tire foy,3
fix mois,3
perfonne publique,3
quelque charge,3
iugement public,3
commiflaires deputez,3
trait perpetuel,3
quelque forte,3
ferons iugement,3
chofe entiere,3
deputez souverain,3
paller outre,3
estat romains,3
quand va,3
foit prince,3
peuft faire,3
peuuent faire,3
iugé arreft,3
arreft parlement,3
quoy plusieurs,3
roy françois,3
permis magistrats,3
faire adiourner,3
gouuerneurs prouince,3
gouuerneurs prouinces,3
parle mot,3
gouuerneurs pays,3
ains contraire,3
estats aristocratiques,3
moindre partie,3
pris fort,3
mandemens prince,3
faire mourir,3
cy deuant,3
loix humaines,3
doit executer,3
remonftrances prince,3
foubs vmbre,3
long temps,3
file prince,3
faire iustice,3
file magistrat,3
enuers sujets,3
prendre garde,3
entre plusieurs,3
parle magistrat,3
approcher cour,3
magistrats inferieurs,3
egal puissance,3
magistrats egaux,3
egaux puissance,3
plusieurs lieux,3
college magistrats,3
magistrat inferieur,3
roy henry,3
plusieurs familles,3
plusieurs colleges,3
colleges luges,3
dirons lieu,2
donner advis,2
parce moyen,2
prince hebeté,2
bon conseil,2
haut poinét,2
fçauoir bien,2
chofes grandes,2
cruellement tué,2
cornelius balbus,2
roy louis,2
trois mots,2
puissance quileur,2
fit mettre,2
donner conseil,2
bien difficile,2
arien dangereux,2
sujets ayent,2
quela republique,2
thomas more,2
rié faire,2
faire contre,2
depuis peu,2
pourle moins,2
nombre senateurs,2
republiques bien,2
enfans prince,2
cela doit,2
republique où,2
derniers empereurs,2
examinare cogit,2
gueres moins,2
fix cés,2
magistrats ayent,2
voix dcliberatiue,2
capitaine chef,2
feditions populaires,2
fages senateurs,2
tel nombre,2
plaifoitau conful,2
senat contre,2
mieux pourueu,2
faifoit senat,2
fecrets prince,2
petit nombre,2
faire entendre,2
faifoit entendre,2
arreft senat,2
toutesfois doit,2
maiefté souveraine,2
toute grece,2
villes grece,2
euffent peu,2
heureux exploits,2
cour parlement,2
grandes affaires,2
ordonnance charles,2
quand roy,2
informé affaires,2
bas pays,2
conseil cens,2
hors mis,2
propos tite,2
dessus plusieurs,2
grand confcil,2
senat telle,2
causes publiques,2
bien difference,2
qualité iuges,2
cofeil privé,2
cours souverianes,2
empereur adrian,2
faifoit publier,2
privé cofeil,2
cognoiflance caufes,2
entre parlemens,2
fin cefte,2
couftume anciens,2
cens ans,2
senat arcopagites,2
affeurans bien,2
pourquoy anciens,2
nombre conseillers,2
grands magistrats,2
magistrats rome,2
grand magi,2
præteur ville,2
doit tenir,2
foy ruine,2
foit rien,2
nefoit question,2
beaucoup mieux,2
celuy duquel,2
senat rome,2
plusieurs chefs,2
chofe faire,2
bien senat,2
noftre definition,2
vnc republique,2
republique bié,2
voir magistrats,2
magistrats puissance,2
puissance commáder,2
dirons cy,2
puissance difpofer,2
prefenter requefte,2
gardé venize,2
moindre tribuns,2
nc pouuoit,2
bon femble,2
emporte commandement,2
gardes liberté,2
file peuple,2
loy exprefle,2
annee là,2
ilfaut donc,2
donc conclure,2
aucun commandement,2
haute voix,2
fecond lieu,2
eftoyent tenus,2
quil faut,2
ribuns peuple,2
tribun cornelius,2
iurifdiétion ordinaire,2
moftré cy,2
force loix,2
toute loy,2
plusieurs villes,2
uns puissance,2
chofes diuines,2
definition magistrat,2
magistrat celuy,2
peuuent donner,2
principale marque,2
dirons tantoft,2
quela loy,2
àla requefte,2
trait perpetucl,2
erigé edit,2
téps foit,2
dixhuit mois,2
lors quel,2
auoient bien,2
bien quelque,2
quelque forme,2
quandil question,2
magistrats romains,2
cela loy,2
depuis laloy,2
charges extraordinaires,2
offices ordinaires,2
puiffe reuoquer,2
requefte estats,2
eftà fçauoir,2
places fortifiables,2
magistrats eftoient,2
eftoient tenus,2
dece royaume,2
deleur office,2
parles edits,2
certains magistrats,2
corps ville,2
forte foit,2
puissance có,2
voir tite,2
efl ad,2
ad populum,2
guerre contre,2
roy macedoine,2
voye ordinaire,2
senat deputa,2
hors territoire,2
cy def,2
foit question,2
chofe femblable,2
empereur iuftinian,2
fust pape,2
chose foit,2
commiflaires peuuent,2
lettres royaux,2
magistrats peuuent,2
mort roy,2
parlement touloze,2
autant roy,2
commeil iugé,2
prince meurt,2
où commiffions,2
où sil,2
loy permet,2
fimple mandement,2
auoyent puissance,2
office edit,2
mois may,2
bien autrement,2
entre princes,2
mandement fpecial,2
donné bataille,2
portez parles,2
pris charge,2
cum imperio,2
imperio effe,2
effe donec,2
boflis muris,2
non potefl,2
loix ia,2
cftre magistrat,2
fortes commiflions,2
commiffion particuliere,2
deflors auant,2
prefenterent requefte,2
tirer confequence,2
premier ofta,2
feigneurs iufticiers,2
procureur general,2
general roy,2
rons cy,2
mot latin,2
marc varron,2
miniftres magistrats,2
non magistrats,2
nefont magistrats,2
souvent magistrats,2
puissance domeftique,2
iuges ordinaires,2
fondation rome,2
faute notable,2
iufques icy,2
beftes laine,2
premier preteur,2
an fondation,2
fçauoir puissance,2
main mile,2
auoient main,2
loix romains,2
grands magi,2
parce quil,2
crime leze,2
eftoient inftituez,2
feul tribun,2
qua collegas,2
iam tribuno,2
non poffe,2
cuft pouuoir,2
propos conful,2
conful appius,2
um um,2
tribunsdu peuple,2
faire edits,2
euflent puissance,2
ij republique,2
faire af,2
perfonne magistrats,2
cftà dire,2
puissance preteurs,2
auoient commandement,2
ciceron difoit,2
faifoit bien,2
condamné iugement,2
fefte pompee,2
ftc caufe,2
cenfeurs auoient,2
dire force,2
force commander,2
charges pu,2
puissance commäder,2
pluficurs perfonnes,2
hors ville,2
dignité fimple,2
execution commandemens,2
meflez enfemble,2
nom colle,2
iugent quelques,2
tirez fort,2
bien prendra,2
puissance decommander,2
eftoyent faits,2
auons pofees,2
pourle regard,2
magistrats souverains,2
ployer foubs,2
doit magistrat,2
quelles foyent,2
maniere prouifion,2
bien peu,2
faire leuec,2
diuerfes couleurs,2
grande importance,2
ottroy lettres,2
puissance corriger,2
puissance donnee,2
fcay quoy,2
nom roy,2
cognoiffance magistrat,2
doit verifier,2
difoit caton,2
contre loix,2
loix nature,2
executer mandemens,2
cas prince,2
chose contre,2
rien contre,2
loy nature,2
puissance abfoluë,2
enuers prince,2
cens mil,2
droit gens,2
prince doit,2
doit garder,2
obligé ferment,2
tel cas,2
loy naturelle,2
foit dommageable,2
doit proceder,2
bien prince,2
proceder contre,2
contre magistrats,2
chose infinie,2
cela faifoit,2
requefte tribun,2
elles fuffent,2
pluftoft verifier,2
verifier edits,2
magistrat receuable,2
reuoquec doubte,2
plusieurs tiennent,2
moindre nombre,2
prince souverian,2
quitter estat,2
bien eftrange,2
fucceffion temps,2
contraint iuges,2
procureurs roy,2
appartient magistrat,2
ains faut,2
autrement file,2
difference bien,2
honneur princes,2
meurtre commis,2
commis perfonne,2
pouuoit corriger,2
bien voulu,2
iuste cause,2
où prince,2
homme bien,2
enquerir verité,2
magistrats doibuent,2
loy douze,2
douze tables,2
peine vie,2
droit commun,2
gens iustice,2
prince declaire,2
quand prince,2
ditcy dessus,2
prince commande,2
commande rien,2
rien foit,2
moindre magistrat,2
faut obeir,2
empereur caligula,2
mourir deuant,2
deuant voir,2
crime public,2
certain nombre,2
peuple iugcoit,2
leze maiefté,2
haut fiege,2
forme parler,2
pouuoir adioufter,2
adioufter diminuer,2
bon fem,2
peines portees,2
office propre,2
propre perfonne,2
grande difference,2
propre magistrat,2
ainsau contraire,2
parles loix,2
vfer puissance,2
deuoir magistrat,2
ordonné parle,2
aucun pouuoir,2
appeller peine,2
rien veu,2
dre magistrats,2
preteur pouuoit,2
paffa force,2
euft efté,2
feroit con,2
paler outre,2
uns penfé,2
maxime droiét,2
cefte question,2
entrer auant,2
auant difpute,2
quelque lieu,2
portant marques,2
donne cefte,2
foubs voile,2
recognoiflent maiefté,2
commander magistrats,2
grand edegnare,2
celuy porte,2
porte parolle,2
roy vovs,2
college puissance,2
eze maiefté,2
ains sujets,2
pairs france,2
faire telles,2
feroit faire,2
maius imperium,2
seulement puissance,2
iuge entre,2
quelque chofe,2
actions magistrats,2
defenfes magistrats,2
garde auspices,2
sil va,2
efté iugé,2
ic dy,2
lieu monde,2
perdu iustice,2
pauures sujets,2
execution mandemens,2
magistrat fuperieur,2
merite caufe,2
pleine eglife,2
dire corps,2
famille college,2
mot communauté,2
princes magistrats,2
loix publiques,2
non feulemét,2
plufpart temps,2
vraye iustice,2
colleges inftituez,2
colleges particuliers,2
droit college,2
collegues particulier,2
partie college,2
laiffer teftament,2
file college,2
rien laiffer,2
toutela repub,2
foient iugez,2
tousjours quelque,2
k repvblique,2
iuge ordinaire,2
doitauoir lieu,2
tousen particulier,2
faire ordonnáce,2
fufift tiers,2
tiers college,2
estats corps,2
tiers foyent,2
appeller lesautres,2
cü omnes,2
quand magistrats,2
comunautez licites,2
foyent punis,2
faute quelques,2
come difoit,2
grand nôbre,2
celle iuifs,2
iustes royautez,2
estats particuliers,2
ordonné douze,2
repvbltiqve vertu,1
vertu quelque,1
quelque grand,1
grand perfonnage,1
ebloüiftles yeux,1
yeux menu,1
fft oublier,1
