token_,count
estat populaire,21
moindre partie,12
gens bien,12
cy dessus,12
prince souverain,11
bien souvent,11
grand conseil,11
villes imperiales,10
puissance souveraine,9
monarchie seigneuriale,8
partie peuple,7
menu peuple,7
mil citoyens,7
aussi bien,6
ains aussi,6
grand nombre,6
bien fort,6
loix nature,6
monarque seigneurial,6
monstré cy,6
voye iustice,6
non seulement,6
privé conseil,6
anciennes familles,6
estat aristocratique,5
estat fera,5
bien vray,5
contre roy,5
donne estats,5
cas pareil,5
iuste roy,5
partie citoyens,5
fortes republiques,4
trois estats,4
forme republique,4
quatre cens,4
part souveraineté,4
estat royal,4
aucun pouuoir,4
toute puissance,4
moindres magistrats,4
trois fortes,4
capitaines chef,4
empire romain,4
monarque royal,4
droit fucceffif,4
mot tyran,4
dix mil,4
auons monstré,4
prince souverian,4
trois cens,4
tiers voix,4
peuple part,3
meflee trois,3
meflange trois,3
faut donc,3
puissance royale,3
rien faire,3
trois republiques,3
fortes republique,3
destrois republiques,3
loy sujets,3
faire loy,3
donner loy,3
puissance faire,3
estat lacedemoniens,3
republiques populaires,3
prince sang,3
cinq cens,3
pouuoir commander,3
faire proces,3
beaucoup moins,3
seigneurie aristocratique,3
ainsau contraire,3
forme aristocratique,3
foixante mil,3
long temps,3
empereurs romains,3
rien chose,3
republique populaire,3
gouuerné populairement,3
temps heroïques,3
bien certain,3
empereur charles,3
peu peu,3
monarchie royale,3
vertueux prince,3
droit fucceflif,3
foit prince,3
prince vertueux,3
capitaine chef,3
roy dannemarc,3
eten cas,3
loy valeria,3
plufpart peuple,3
armes contre,3
contre prince,3
homme bien,3
petit nombre,3
souverains magistrats,3
roy romains,3
fera populaire,3
plufpart citoyens,3
faueur personne,3
maiesté souveriane,2
cas pa,2
reste peuple,2
tour peuple,2
puissance souveriane,2
dre partie,2
quatrieme meflee,2
trois premieres,2
cens ans,2
ja republique,2
republique lacedemoniens,2
pourle regard,2
estat popu,2
faire loix,2
conseil privé,2
puisse faire,2
veu puissance,2
mort roy,2
premiere marque,2
doner loy,2
estats populaires,2
seigneuries aristocratiques,2
victoire lyfandre,2
souveraineté peuple,2
grand pontife,2
estoyent rien,2
arrests senat,2
deflors auant,2
seigneurs souverains,2
coniurez contre,2
tite liue,2
quand question,2
ad populum,2
touché cy,2
quelque puissance,2
fix conseillers,2
duc falier,2
mis mort,2
duc venize,2
certain quel,2
trois quatre,2
detoutle peuple,2
puissance populaire,2
princes sang,2
telle meflange,2
ilest bien,2
peu ple,2
destituer officiers,2
marques souveraineté,2
nefe faire,2
republique là,2
estar populaire,2
grans estats,2
fix claffes,2
dix fois,2
fecode claffe,2
rebut peuple,2
toutle peuple,2
parle senat,2
vingt mil,2
notable difference,2
moins moitié,2
chacune republique,2
duquel vfa,2
print diadefme,2
premier nom,2
nom colle,2
republiques aristocratiques,2
toute republique,2
egaux puissance,2
princes republique,2
lettres patentes,2
roy nauarre,2
douce harmonie,2
viure paix,2
yne republique,2
prince donne,2
riches seulement,2
bonne guerre,2
pere famille,2
biés sujets,2
peuple forcené,2
sousla puissance,2
droit guerre,2
sujets esclaves,2
seigneur esclaves,2
libres esclaves,2
està dire,2
roy turcs,2
seigneur personnes,2
fit publier,2
proprieté biens,2
anciens romains,2
aussi voyons,2
pourquoy monarchie,2
fion veut,2
rend aussi,2
derniers mots,2
maiesté souveraine,2
doit appeller,2
foit royaume,2
foit roy,2
charles france,2
bon roy,2
peuples barbares,2
fuflent barbares,2
quatre fortes,2
fortes roys,2
forte roys,2
agesi laus,2
quand bien,2
estoyent sujets,2
conuenir finon,2
finon celuy,2
clifoyent tousles,2
grand roy,2
roy parle,2
henry roy,2
appeller roy,2
depuis peu,2
là sappelloit,2
fust tref,2
feureté vie,2
ayt quelque,2
ic dy,2
profit particulier,2
prend plaifir,2
fond comble,2
exemple princes,2
faire mourir,2
faire tuer,2
entre mains,2
appeller tyrannie,2
nefe iamais,2
ncantmoins quand,2
difficile trouver,2
entre hommes,2
entre princes,2
empereur pertinax,2
proprieté mot,2
personne tyran,2
pat voye,2
premier cas,2
figure proces,2
bien seigneurs,2
cent ans,2
abfoluëment souverian,2
dre armes,2
cens mil,2
ft mourir,2
prince abíoluément,2
foit licite,2
ic fuis,2
condamné mort,2
principauté aristocratique,2
pouuons dire,2
moins puissance,2
foit voye,2
proceder contre,2
leze maiesté,2
attenter vie,2
bien ennemis,2
laloy dieu,2
mandement expres,2
ariftote definift,2
apresla mort,2
conseil tyran,2
trente tyrans,2
tyran maximus,2
commeil aduint,2
nom collectif,2
puissance monarque,2
dire seigneurie,2
bien petit,2
roy seruius,2
tiennent seigneurie,2
quand dy,2
moindre nombre,2
ayent part,2
muable an,2
seigneurs ligues,2
petits cantons,2
prefque republiques,2
estat venize,2
cy deuant,2
anciennes famil,2
eflift senat,2
cinq iuges,2
iuges criminels,2
ferons iugement,2
estats aristocratiques,2
pure monarchie,2
furplus nom,2
sept ele,2
famille princes,2
tenir estats,2
chambre imperiale,2
foit souverain,2
duc saxe,2
bien entendre,2
vicaires imperiaux,2
mois may,2
expres estats,2
duché milan,2
efleus parles,2
senat eflift,2
veu lettres,2
peu seigneurs,2
lignees peuple,2
prend voix,2
huit mil,2
estats menu,2
parce moyen,2
ligues grifes,2
ligues grifons,2
voire mesmes,2
charges honorables,2
repvblique mort,1
mort vle,1
vle marques,1
marques referuees,1
referuees prince,1
voila nt,1
nt principaux,1
principaux points,1
points concernans,1
concernans maiesté,1
souveriane fuement,1
poffible traicté,1
traicté matiere,1
nent liure,1
liure imperio,1
autant forme,1
estat ë,1
lique depend,1
depend tiennent,1
tiennent souverianeté,1
difons combien,1
combien fortes,1
nv vs,1
ge jp,1
jp rre,1
ux ga,1
ga rt,1
rt dl,1
p zi,1
wo agi,1
agi nn,1
tovies sortes,1
sortes republiques,1
republiques general,1
sil yea,1
yea trois,1
nep vis,1
vis auons,1
auons dic,1
dic fouuerai,1
faut voiren,1
voiren toute,1
toute nepublique,1
nent souveraineté,1
pouriuger quel,1
come lasouveraineté,1
