token_,count
prince souverain,62
roy france,48
empereur charles,24
non seulement,20
roys france,18
bien certain,17
sujet naturel,17
roy charles,17
menu peuple,16
roy françois,16
bien souvent,15
cas pareil,15
homme lige,15
princes souverains,15
cy dessus,14
faire mourir,13
droit bourgeoisie,13
toute republique,12
trois cens,12
roy louis,12
entre princes,11
puissance paternelle,11
peu peu,11
prince souverian,11
hommage lige,11
droit gouvernement,10
toute puissance,10
philippe valois,10
roy macedoine,10
puissance souveraine,9
entre mains,9
peuple romain,9
lettres patentes,9
file prince,9
loy dieu,8
puissance vie,8
peine vie,8
cens mil,8
princes chreftiens,8
donner loy,8
traité paix,8
faire loy,8
loix civiles,8
tousjours efté,7
republique bien,7
souverain bien,7
enuers enfans,7
parlement paris,7
enfans adoptez,7
laloy dieu,7
quelque forte,7
senat romain,7
contre nature,7
termes droit,7
chacune ville,7
cefte caufe,7
long temps,7
traité entre,7
puissance faire,7
plusieurs princes,7
maifon france,7
beaucoup moins,7
cas femblable,7
entrele roy,7
parle roy,7
entre roy,7
capitaine chef,7
garder loix,7
bien fort,6
puissance mari,6
cens ans,6
euft efté,6
quatre cens,6
deflors auant,6
feigneurs ligues,6
estats peuple,6
duché milan,6
mil escus,6
duc milan,6
royaumes naples,6
villes imperiales,6
puissance donner,6
roy philippe,6
dirons lieu,6
couronne france,6
estat populaire,6
quelques uns,6
feigneur feodal,6
lige pape,6
marques souveraineté,6
marque souverianeté,6
fin principale,5
ila efté,5
homme bien,5
ij republique,5
quelque chose,5
cinq cens,5
foubs puissance,5
quelque chofe,5
parle moyen,5
puissance commander,5
pourle regard,5
tousles peuples,5
auquel cas,5
loix diuines,5
anciens romains,5
trois fois,5
cefte puissance,5
difference entre,5
forte foit,5
droit gens,5
dix mil,5
ains seulement,5
roy perle,5
file roy,5
bien vray,5
futle premier,5
bié certain,5
vnc fois,5
franc sujet,5
requefte peuple,5
bourgeois romains,5
bourgeois romain,5
tite liue,5
apris lettres,5
roy fráce,5
alliance egale,5
duc sauoye,5
feigneur naturel,5
roy romains,5
faits entre,5
cantons catholiques,5
parles estats,5
capitaines chef,5
parle traité,5
eglife romaine,5
alliance entre,5
faire guerre,5
parle peuple,5
duc bourgongne,5
certain temps,5
puissance loix,5
àla charge,5
couronne imperiale,5
marque souveraineté,5
marc varron,4
mettre fin,4
faut donc,4
parce moyen,4
moindre partie,4
mil citoyens,4
chefs famille,4
couftumes generales,4
anciens traitez,4
couftumes pays,4
puissance pere,4
parla loy,4
quatre cas,4
iuste caufe,4
noftre memoire,4
quelque temps,4
empire romain,4
puissance abfolue,4
droit fucceffif,4
dix ans,4
guerre civile,4
parles ordonnances,4
empereur adrian,4
bien entendre,4
trouua fort,4
trancher tefte,4
france duc,4
grands priuileges,4
euft peu,4
foixante mil,4
mil efclaues,4
meurtre commis,4
peine capitale,4
grand nombre,4
difpofer biens,4
celuy auquel,4
royaume naples,4
edits faits,4
roy henry,4
arreft parlement,4
dira quelqu,4
auons monstré,4
definition citoyen,4
eftoyent citoyens,4
bien grande,4
cinq ans,4
citoyens romains,4
plusieurs villes,4
droit commun,4
feigneurie venize,4
contre lesautres,4
voix deliberative,4
arreft senat,4
alliez romains,4
peu ple,4
cinquante mil,4
empereur auguste,4
droit bourgcoifie,4
quoy die,4
traitez paix,4
senat milan,4
toutesles villes,4
sujet prince,4
bien difference,4
faire iustice,4
prince obligé,4
conseil privé,4
quand dy,4
dessus princes,4
roy defrance,4
roy catholique,4
traité alliance,4
mil ducats,4
fix mois,4
pape clemét,4
traitez faits,4
roy frâce,4
roy nauarre,4
roy caftille,4
euffent efté,4
ducs milan,4
amitié perpetuelle,4
roy naples,4
garder foy,4
empereur maximilian,4
voulut faire,4
charles france,4
henri roy,4
alphons roy,4
faire paix,4
puissance abfoluë,4
bon femble,4
alors roy,4
sujet loix,4
cefte cause,4
leze maiefté,4
sujets general,4
tiennent foy,4
pape innocent,4
hommes liges,4
eglife rome,4
louis bauieres,4
droits maiefté,4
auoyent force,4
dernier reflort,4
bien ordonnee,3
gouvernement plusieurs,3
premier lieu,3
parle menu,3
donner foy,3
feigneurs souverains,3
faire hommage,3
faire proces,3
telles gens,3
vraye marque,3
loix nature,3
bien republique,3
choses naturelles,3
auquel doit,3
elles foyent,3
bien gift,3
vertus morales,3
celle cy,3
trois menages,3
pere famille,3
cens efclaues,3
aufli bien,3
ville rome,3
huit mil,3
feule marque,3
rien foit,3
bien public,3
chefs familles,3
plusieurs chefs,3
pourle droit,3
non feulemét,3
quelque traité,3
liberté naturelle,3
pere enuers,3
puissance maritale,3
mari femme,3
droit ciuil,3
quand question,3
doit obeiffance,3
ains aufsi,3
beu vin,3
elles eftoient,3
monstre bien,3
bien romains,3
quelaloy dieu,3
repudier femme,3
cinq mil,3
bien souventles,3
rien grand,3
foubs vmbre,3
honneur dieu,3
tué fils,3
telle puissance,3
pleine puissance,3
parles loix,3
toutle pays,3
vie pere,3
mettre mort,3
biens enfans,3
mis mort,3
ambafladeurs france,3
enfans legitimes,3
bien entendu,3
toute humilité,3
ancien droit,3
auoyent aucune,3
premiere occafion,3
quel empereur,3
auoyent rien,3
depuis trois,3
bonne guerre,3
douze tables,3
tousjours premier,3
quelques princes,3
merite mort,3
bien quelque,3
marc antoine,3
roy portugal,3
efclaues chreftiens,3
main morte,3
doit entendre,3
fansle confentement,3
preiudice droits,3
couftume generale,3
empereur theodofe,3
icy dira,3
edit general,3
grand feigneur,3
trois enfans,3
fera tousjours,3
premiers roys,3
temps parauant,3
plusieurs feigneurs,3
quelques priuileges,3
plusieurs lieux,3
privé conseil,3
monftre bien,3
hors ville,3
eftà dire,3
fera bien,3
cens oftages,3
eftoyent vrays,3
gouuerneurs prouinces,3
bourgeoisie romaine,3
sujets romains,3
donner droit,3
traitant alliance,3
princes souverians,3
princes voifins,3
bas pays,3
entre lefquels,3
roy edouart,3
confentement expres,3
feigneur duquel,3
droit fiefs,3
prince foit,3
parles couftumes,3
demeure tousjours,3
pays là,3
contre prince,3
trois estats,3
enuers sujets,3
carle prince,3
naturel sujet,3
doit feruice,3
tient fief,3
pouuons dire,3
quand roy,3
alliance faits,3
villes maritimes,3
plusieurs fois,3
telles alliances,3
ligue offenfiue,3
cantons proteftans,3
toute grece,3
efleu capitaine,3
ligue acheans,3
roys macedoine,3
foubs couleur,3
entre romains,3
roys rome,3
roy castille,3
tousles traitez,3
tousjours excepté,3
contre teneur,3
duc bauiere,3
ville lubec,3
augufte roy,3
roy depoloigne,3
ferdinand roy,3
roy dannemarc,3
plein senat,3
fiftle roy,3
pleine liberté,3
faire entendre,3
perfeus roy,3
mithridate roy,3
tousles estats,3
ducs lorraine,3
ains aush,3
empereur sigifmond,3
donné foy,3
cefte opinion,3
donna foy,3
faut garder,3
ambafladeur france,3
loü ys,3
eftant venu,3
françois premier,3
pape alexandre,3
euft ratifié,3
sujet doit,3
vaffal lige,3
marquis albert,3
chambre imperiale,3
entre charles,3
guerre punique,3
puissance abfolué,3
donne puissance,3
delaloy dieu,3
caril bien,3
parle droit,3
haute chambre,3
prince monde,3
confirmation priuileges,3
faire ferment,3
pourle meurtre,3
affemblee estats,3
loy sujets,3
philippe bel,3
appelle loy,3
loy pays,3
tels edits,3
quoy plusieurs,3
vaffal fimple,3
iean roy,3
ducs bretaigne,3
ducs normandie,3
comment pourroit,3
naturel roy,3
tient rien,3
hommage procureur,3
couróne france,3
regiftre vatican,3
roys naples,3
quelque prince,3
quant royaume,3
royaume castille,3
trefor france,3
philippele bel,3
quant duc,3
duc florence,3
enfans lothaire,3
duché lorraine,3
fief imperial,3
qualité vicaire,3
faire loix,3
chambrier pape,3
parle clergé,3
roys tributaires,3
monstré cy,3
grands magistrats,3
force an,3
loy general,3
traiter paix,3
dernier reffort,3
auons pofce,2
auons premier,2
efté gardé,2
denoncer guerre,2
commun peuples,2
actes legitimes,2
quand vient,2
nousen auons,2
mil efcuz,2
publique fust,2
gardec celuy,2
non feule,2
cela doit,2
carle principal,2
iamais homme,2
marfeille prouence,2
more chancelier,2
fera poffible,2
moins eftimez,2
deuant yeux,2
but principal,2
differéce entre,2
felicité hommes,2
vertuz morales,2
republique doit,2
places fortes,2
leurfait besoin,2
contre eftrangers,2
voulu dire,2
eftbien certain,2
quela republique,2
ferons iugement,2
voyons dieu,2
iiij republique,2
entre republique,2
plusieurs sujets,2
chef famille,2
auons pofee,2
origine toute,2
trois familles,2
roy parthe,2
laloy appelle,2
trois corps,2
gouuernez puissance,2
plusieurs endroits,2
quela ville,2
moins republique,2
grand monarque,2
monarque terre,2
foit republique,2
propre particulier,2
trois parties,2
domaine republique,2
trois mil,2
biens foient,2
premiere republique,2
celaauoit lieu,2
non feulemet,2
puissance souveriane,2
im pofts,2
faut là,2
entre mari,2
peres enuers,2
reuerence enfans,2
enfans enuers,2
proximité fang,2
bien ordônee,2
souvent defense,2
certaines perfonnes,2
droit particulier,2
particulieres pays,2
parles empereurs,2
ray veu,2
traitez anciens,2
telles loix,2
loix pu,2
ment paris,2
vouloit faire,2
sujets loix,2
voila quant,2
quant difference,2
difons maintenant,2
donne loy,2
nom colle,2
maiftre enuers,2
enuers feruiteurs,2
homme viuant,2
quafi tousjours,2
noz couftumes,2
enfant defamille,2
beau pere,2
sujette mari,2
contre loy,2
aucun lieu,2
lieu monde,2
cóme plutarque,2
bon fembleroit,2
puissance pater,2
loy romule,2
pouuoir faire,2
faifoient mourir,2
puissance maris,2
toute vie,2
faire aucun,2
an p,2
loy romulus,2
qua funt,2
pere enfans,2
duquel mot,2
mot vfent,2
roy thrace,2
grande puissance,2
bien memoires,2
mort fusleurs,2
fusleurs femmes,2
mourir femme,2
femme caufe,2
sept cens,2
ans loy,2
chofe ridicule,2
auoiét contre,2
conuentions matrimoniales,2
amour grand,2
grand celuy,2
commune peuples,2
procuration fpeciale,2
celuy quiauoit,2
fondation romme,2
empereurs romains,2
celuy feroit,2
loy couftume,2
monstre affez,2
celuy maiftre,2
faifoient bien,2
langue fainéte,2
choses felon,2
felon vraye,2
quelques peuples,2
ch p,2
pouuoir commander,2
nature donne,2
obligé faire,2
faire quelque,2
lesloix diuines,2
eftoient fiialoux,2
meurtrier pere,2
quoy loy,2
file crime,2
aucune cognoiflance,2
pere tué,2
amour pere,2
executé mort,2
bruflé vif,2
propre fils,2
parlant pere,2
grand regret,2
peres puissance,2
elles fuffent,2
peuple euft,2
enfans romains,2
auós laloy,2
hiftoires greques,2
regard peres,2
puissance difpofer,2
difpofer vie,2
rien acquerir,2
romains auoient,2
iufques trois,2
mort enfans,2
peuple voulut,2
republique romaine,2
peine ordinaire,2
meftier gaigner,2
aucune crainte,2
bien cer,2
crime capital,2
fà maison,2
qualité particulier,2
peine delaloy,2
ofté puissance,2
doit donner,2
droit efcrit,2
file fils,2
mort fils,2
combien philippe,2
foit droit,2
pays couftumier,2
nó feulemét,2
maximilian roy,2
roy boheme,2
quelque couleur,2
bien expedient,2
mere enuers,2
droit diuin,2
tort droit,2
iuste cause,2
chofe contre,2
quand bien,2
fort bon,2
quine pouuoyent,2
quon faire,2
fils roy,2
enfans naturels,2
rigueur loix,2
feroyent reputez,2
efté receu,2
puissance perpetuelle,2
voyons loix,2
enfans propres,2
forme ancienne,2
royne naples,2
souverain naples,2
loy iulia,2
tribun peuple,2
charges publiques,2
guerre cftoit,2
vouloir payer,2
loy douze,2
ofter vie,2
pouuoit bien,2
preiudice liberté,2
arrefts parlement,2
ancienne marque,2
puissance maiftre,2
uns enuers,2
quant efclaues,2
beaucou p,2
prins origine,2
prifonnier bonne,2
payer rançon,2
carle mot,2
feigneurs efclaues,2
cela bien,2
donné àl,2
contre laloy,2
chose cruelle,2
bien chaftié,2
caril bié,2
vint mil,2
hommes libres,2
porter armes,2
temps guerre,2
cleomenes roy,2
telle forte,2
cens cinquante,2
efclaues part,2
prendre armes,2
contre freres,2
louis roy,2
falut ame,2
nombre infini,2
efclaue celuy,2
isles occidentales,2
eftoyent mis,2
roy sicile,2
bartol viuoit,2
abbé palerme,2
feruile condition,2
quelque priere,2
porter anneau,2
auoyent obtenu,2
obtenir lettres,2
prince tousjours,2
quelque lieu,2
pararreft cour,2
misle pied,2
ancien arreft,2
presque toute,2
bonne partie,2
efclaue perpetuel,2
toute pofterité,2
maisle mot,2
uns appellent,2
estats tenus,2
tenus tours,2
indes occidentales,2
ains contraire,2
force loy,2
mieux faire,2
cas ciuil,2
dirons cy,2
puissance feigneurs,2
montré cy,2
eftà fcauoir,2
citoyen sujet,2
priuileiges cité,2
forme parler,2
faifant guerre,2
naturel foit,2
sujets naturels,2
fabius maximus,2
grans estats,2
feroyent mis,2
dura iufques,2
entre sujets,2
entre citoyens,2
grands estats,2
demofthene plaidoyé,2
combien plusieurs,2
eftoyent entrez,2
vrays citoyens,2
romains firent,2
moins citoyen,2
honneur seulement,2
vray citoyen,2
citoyens foyent,2
ville cité,2
compofce plusieurs,2
feront sujets,2
habitant ville,2
quelque priuilege,2
voyons souvent,2
feigneuries souveraines,2
habitans villes,2
quatre cantons,2
où apert,2
latins appellent,2
vneautre ville,2
víent mot,2
anciens latins,2
faire ville,2
come auons,2
villes sujettes,2
droit republique,2
contre sujets,2
ieune gouuerneur,2
corps bourgeois,2
cens senateurs,2
aduient souvent,2
entre cantons,2
cantons berne,2
republiques populaires,2
difoit ancien,2
changer deloix,2
villes municipales,2
alors villes,2
colonies latines,2
lisons tite,2
uoir estats,2
senateurs romains,2
colonies romaines,2
droit bourgeoific,2
iufques loy,2
entreles villes,2
bien sujets,2
doit raporter,2
cens foixante,2
paffoyent souvent,2
donné defaux,2
sujet prouince,2
premier donna,2
donna priuilege,2
bien monftrer,2
quelque charge,2
alliez droit,2
louis xj,2
roy perfe,2
donna droit,2
roy cypre,2
tyran sicile,2
cinq petits,2
aucune sujetion,2
demeurer pays,2
lettres naturalité,2
alexandre grand,2
faut bien,2
dira quelcun,2
beaux droits,2
perfonne puifle,2
plusieurs citez,2
vaffal plusieurs,2
feigneurs egaux,2
sujetion roys,2
lay apris,2
sujets roy,2
duc boüillon,2
cent millivres,2
uns contre,2
autant dirons,2
combien maifon,2
article traité,2
traité fair,2
biens sujets,2
bien eftroitement,2
sujet quel,2
seulement permis,2
milan sujet,2
receuoir sujets,2
decliner iurifdi,2
roy droit,2
trois mois,2
permisaux sujets,2
téps prefix,2
obtenu lettres,2
f republique,2
armes ennemis,2
citoyens uns,2
enuers prince,2
enuers fu,2
bon ordre,2
biens acquis,2
anciennement athenes,2
aucun immeuble,2
contre droit,2
eftrangers mourans,2
hors france,2
nez france,2
horsle royaume,2
difference citoyen,2
faire contre,2
ligue contre,2
combien celà,2
exempter puissance,2
fera tenu,2
cause princes,2
princes accouftumé,2
veu lettres,2
entre alliez,2
beaucoup moindre,2
defenfe sujets,2
tire profit,2
eftla loy,2
grands feigneurs,2
entre uns,2
adherant doit,2
carle vaflal,2
doit lafoy,2
duquel tient,2
naturels sujets,2
vaffal foit,2
clause ordinaire,2
princes alliez,2
alliance cgale,2
quelque fecours,2
roys fran,2
chaffé royaume,2
venir chef,2
mil eícus,2
entre maifon,2
traiterent alliance,2
alliance cgalle,2
alliance neutralité,2
celuy reçoit,2
alliance efgalle,2
premier rang,2
cur non,2
eftoyent alliez,2
alliance quatre,2
quatre villes,2
entré ligue,2
protection bernois,2
gueres moins,2
efleu arbitre,2
canton enuoye,2
huit cantons,2
difficulté bien,2
sept cantons,2
ambaffadeur france,2
charge toutesfois,2
aucc maifon,2
empefcha traité,2
traité dalliance,2
estats communs,2
ennemis communs,2
rent condamnez,2
letraité paix,2
rien uns,2
auoyent souveraineté,2
villes lachaie,2
parles capitaines,2
chef acheans,2
quelques villes,2
plainte estats,2
laligue latins,2
ains pure,2
pure ariftocratie,2
depuis empereur,2
lon lieu,2
empereur ferdinand,2
quelque commandement,2
cardinal syon,2
auecle roy,2
parce quil,2
empire tousjours,2
ambaffadeur roy,2
roy vers,2
alliance hereditaire,2
ligue defenfiue,2
tiennent rien,2
traiter alliance,2
louis france,2
toutesfois princes,2
nul effect,2
roy héry,2
sigifmod augufte,2
alliance offenfiue,2
sigifmond augufte,2
contrele roy,2
premier chef,2
abfoluement souverain,2
entre amis,2
maxime demeure,2
romains auoyent,2
bons sujets,2
dira quel,2
duc ferrare,2
prendrela protection,2
mis protection,2
mois mars,2
royne nauarre,2
dedans fix,2
maifon fráce,2
legat pape,2
cas femblables,2
veu plusieurs,2
iuste occafion,2
lettres protection,2
doit faire,2
charge faire,2
garnison dedans,2
perdu estat,2
voila donc,2
egale auecles,2
auecles romains,2
contre lefquels,2
capitaine general,2
feule occafion,2
traité faitentre,2
firent toute,2
puissance roys,2
liberté peuples,2
pourquoy plusieurs,2
celuy duquel,2
entre plusieurs,2
antioque roy,2
vnc infinité,2
royaume nauarre,2
peuple hebrieu,2
non feu,2
ains aufli,2
tres princes,2
france louis,2
rien meilleur,2
charles roy,2
mettre traité,2
tre roy,2
prife roy,2
roy frácois,2
duché mila,2
foubs voile,2
puissance inuincible,2
grands princes,2
part roy,2
enuers princes,2
faire guer,2
veu tousles,2
bien difficile,2
entre pape,2
ox republique,2
non princes,2
lieutenant roy,2
mains ennemis,2
plaifir celuy,2
doit garder,2
deuant peuple,2
foubs foy,2
roy iean,2
pourquoy roy,2
vouloit rien,2
fin guerres,2
faufler foy,2
prince defloyal,2
roy louisx,2
rome auoyent,2
philippe macedoine,2
faire roy,2
pourueu cela,2
cela face,2
armes contre,2
debuoit garder,2
procedaft contre,2
premier iurifconfulte,2
foy ennemis,2
rompre traitez,2
doit gardee,2
contre roy,2
garder lafoy,2
traicté fust,2
tripoli barbarie,2
charles duc,2
bifayeul ceftui,2
paix aucc,2
puissance roy,2
fignal donné,2
comte valentin,2
uoit faire,2
donné fauf,2
poings liez,2
peu obliger,2
foy voleurs,2
vie prince,2
gardé foy,2
où bien,2
venu rome,2
auons cy,2
pourles differends,2
landgraf hes,2
entre lenoy,2
vraye croix,2
voulut prendre,2
pris protection,2
leroy henri,2
roy mofchouie,2
deny iustice,2
decala mer,2
mauuais traitement,2
ancien feigneur,2
fort eftrange,2
philippele long,2
quoy princes,2
bien prince,2
charles chauue,2
prince fang,2
entre seigneurs,2
seigneurs ligues,2
temps limité,2
parler proprement,2
cinquante ans,2
feroit bien,2
alliances feront,2
entre philippe,2
pierre roy,2
roy cattille,2
faut celuy,2
veientibus pacem,2
pacem petentibus,2
deuant faire,2
enuoya dire,2
come voir,2
cefte faute,2
fois autant,2
bien pis,2
rien dire,2
prince auquel,2
moindres princes,2
estats populaires,2
rien sujets,2
termes droict,2
quelque puissance,2
dont chargé,2
colonel gens,2
magistrat souverain,2
rien fimple,2
dix commiflaires,2
eftant commiflion,2
grand foy,2
dy toutesfois,2
conte peuple,2
ordonnance charles,2
certain termes,2
lesenat milan,2
puissance ab,2
portant mots,2
mot perpetuel,2
celuy quiala,2
fçait aflez,2
puissance grande,2
fust souverain,2
general roy,2
pierre bellugue,2
aucun droit,2
moins puissance,2
plaift roy,2
bon fembloit,2
angleterre haute,2
exprefle peuple,2
requefte rribun,2
exépté puissance,2
puiflent donner,2
obtenir confirmation,2
peuuent donner,2
quant loix,2
loix dieu,2
faut diftinguer,2
non prince,2
feroit particulier,2
quelque fubfide,2
ferment garder,2
fucceffeur legitime,2
vrais sujets,2
nom estats,2
feigneurie aristocratique,2
naturel feigneur,2
bon vouloir,2
peuuent deroger,2
donné parle,2
vouloir faire,2
appeller estats,2
contre roys,2
vray roys,2
iuges ordinaires,2
leze maicfté,2
parles edits,2
edits roys,2
affembler estats,2
plusieurs pensent,2
plusieurs penfent,2
gaigner faueur,2
confentement senat,2
advis senat,2
neantmoins voit,2
maicfté souveraine,2
doit cftre,2
donc befoin,2
files edits,2
prefenter requefte,2
non fculement,2
peu faire,2
cefte claufe,2
mains roy,2
princes sujets,2
exemption fpeciale,2
ordonnances magistrats,2
edits magistrats,2
magistrats romains,2
enuers dieu,2
enfuit bien,2
droit naturel,2
forte raifon,2
iustice naturelle,2
prince bien,2
loix prince,2
equité naturelle,2
ferment fidelité,2
louis xr,2
cause roys,2
iufques icy,2
prochain lignager,2
eumenes roy,2
roy pergame,2
ja couronne,2
fucceffeur tenu,2
feu noftre,2
propos tenus,2
vertu laloy,2
grand preiudice,2
feroit tenu,2
monstré chapitre,2
fonten protection,2
maisil bien,2
fim plement,2
tient prince,2
quelque fief,2
pays duquel,2
franc alend,2
prefter ferment,2
tenu prefter,2
lige roys,2
duc bretaigne,2
philippele conquerant,2
hommage roy,2
royaume noruegue,2
vray eftque,2
dire roy,2
prince quelcoque,2
celuy quieft,2
philippe conquerant,2
comtes bretaigne,2
droits regales,2
feruice perfonel,2
infeparable perfonne,2
quitant fief,2
france roy,2
duché genes,2
bel roy,2
prefter foy,2
mains iointesentre,2
iointesentre mains,2
noy fráce,2
mettre genoux,2
rendre foy,2
genoux deuant,2
nat nomain,2
maiefté souveraine,2
len oy,2
cause roy,2
home lige,2
dei gratia,2
gratia rex,2
leu regiftre,2
annuel huit,2
estat naples,2
mil onces,2
faint pierre,2
tiltre imperial,2
porte mots,2
acte daté,2
valois roy,2
sujet roy,2
contre celuy,2
quoy ilappert,2
entreles mains,2
combien quel,2
mere blanche,2
blanche caftille,2
peu preiudicier,2
artus duc,2
confentement estats,2
royaume france,2
souverain celuy,2
lesautres princes,2
prendre couronne,2
puissance imperiale,2
pere louis,2
cent mil,2
paye ans,2
mil florins,2
àla requefte,2
lettres fieur,2
villes lombardie,2
prince faint,2
faint empire,2
maicfté imperiale,2
comte palatin,2
bien aufli,2
vicariat perpetucl,2
bon femblera,2
porté cotra,2
pape cust,2
roys poulongne,2
puissance dessus,2
papes peuuent,2
recognoift fair,2
empereurs conftantinoble,2
noy france,2
main papes,2
excommunié pape,2
abfolution pape,2
partie tofcane,2
auoyent peu,2
faire reuolter,2
reuolter sujets,2
certain tribut,2
compris catalogue,2
chambre pape,2
depuis peu,2
forte files,2
deces mots,2
depuis louis,2
regiftres vatican,2
pape cle,2
pieds pape,2
fiege imperial,2
veu confirmation,2
porte couronne,2
roys perle,2
diminution maiefté,2
combien roy,2
abfoluement souverains,2
pourroit dire,2
felon temps,2
qualité roy,2
celuy souverain,2
qualité royale,2
tousjours deferé,2
anciens empereurs,2
haute voix,2
parties republique,2
liberté populaire,2
roy seruius,2
puissance senat,2
tousles magistrats,2
celuy donne,2
donne grace,2
grace celuy,2
vicomte milan,2
uons monstré,2
lieutenants generaux,2
pouuoir prince,2
conseil affaires,2
our faire,2
republique plusieurs,2
pourquoy ciceron,2
nat romain,2
arrefts senat,2
grand conseil,2
trait temps,2
conful pofthumius,2
propres maiefté,2
loy faite,2
vnc loy,2
faire court,2
peuple athenien,2
fance donner,2
decerner guerre,2
otroyer graces,2
donner laloy,2
file peuple,2
entreprife maiefté,2
combien senat,2
patrum populus,2
pareil lifons,2
voulut ratifier,2
populi iu,2
touché cy,2
premiers magistrats,2
premiere loy,2
grad palatin,2
bié vray,2
puissance magistrats,2
appel senat,2
droits royaux,2
plainte roy,2
adiournez deuant,2
donner grace,2
ence royaume,2
agreable dieu,2
guet pend,2
quant droit,2
neceflitez publiques,2
chambre comptes,2
plusieurs seigneurs,2
qvelle fin,1
principale repvbli,1
qve bien,1
epvbliqve droit,1
plusieurs menages,1
ver mun,1
puiflace souveriane,1
definitió premier,1
chercher routes,1
routes choses,1
choses fin,1
chofe fin,1
fin sujet,1
sujet prefente,1
bien fondec,1
hs quifera,1
quifera bafti,1
bafti icelle,1
icelle ruinerabiétostapres,1
iacoit celuy,1
celuy quiatrouué,1
quiatrouué fin,1
fin mis,1
mis enauant,1
trouue tousjours,1
tousjours moyens,1
non lus,1
lus mauvais,1
mauvais archer,1
archer voitle,1
voitle blanc,1
ncantmoins aucc,1
emploira pourra,1
pourra fraper,1
nefera moins,1
moins estimé,1
touche but,1
doitpour ataindre,1
fçait fin,1
nition sujet,1
sujet propofe,1
là hors,1
