token_,count
estat populaire,60
cens mil,25
menu peuple,25
mil escus,23
cinq cens,20
roy france,17
bien souvent,14
non seulement,13
quatre cens,13
ains aussi,13
proportion geometrique,13
bien fort,12
iustice harmonique,12
cy dessus,11
trois cens,11
gens bien,11
roy françois,11
quatre deniers,11
guerres civiles,11
doit estre,10
seigneurs ligues,10
cens ans,10
forme republique,10
grand nombre,9
dix mil,9
peu peu,9
mil cinq,8
cy deuant,8
parce moyen,8
estat finances,8
loy dieu,8
escus couronne,8
cent mil,8
droit fucceflif,8
cas pareil,8
frere aifné,8
proportion arithmetique,8
iustice arithmetique,8
fix cens,7
cens cinquante,7
quatre vingts,7
bas pays,7
empereur charles,7
roy louis,7
fils aifné,7
chambre comptes,7
estats populaires,7
pieces marc,7
grains poids,7
puissance souveraine,7
estat aristocratique,7
plusieurs seigneurs,7
monstré cy,6
cens foixante,6
fonds finances,6
faut donc,6
princes sang,6
republiques populaires,6
entre mains,6
sept cens,6
fix deniers,6
trois deniers,6
petit fils,6
auons monstré,6
douze tables,6
grands seigneurs,6
proportion harmonique,6
trois mil,5
non feulemét,5
faire fonds,5
maifon roy,5
grands perfonnages,5
entre princes,5
quelques uns,5
douze fols,5
petit nombre,5
mil ducats,5
dix fois,5
roy charles,5
peu pres,5
onze deniers,5
caril faut,5
roys france,5
trois quars,5
està dire,5
beaucoup moins,5
ioint aussi,5
trois grains,5
moindre partie,5
louis roy,5
iustice geometrique,5
cinq ans,4
foixante mil,4
fix ans,4
cinquante ans,4
bien certain,4
aller loing,4
nombre sujets,4
tite liue,4
aussi bien,4
bonnes meurs,4
vaut mieux,4
mil citoyens,4
roy henry,4
iiij republique,4
dix ans,4
trois millions,4
parle moyen,4
peuple romain,4
cés mil,4
roys perle,4
bien difficile,4
temps roy,4
escus fol,4
bien grande,4
quarante mil,4
fix mil,4
prix choses,4
millions cinq,4
cent fols,4
cent escus,4
cinq cent,4
dix escus,4
cens quarante,4
cens quatre,4
empereurs romains,4
pauure peuple,4
sang sujets,4
conseil privé,4
long temps,4
princes estrangers,4
faux monnoyeurs,4
deniers fin,4
deniers douze,4
douze grains,4
quoy faifant,4
deniers feize,4
feize grains,4
argentle roy,4
grains fin,4
fera tousjours,4
estat royal,4
puissance commander,4
maifon france,4
roturiers nobles,4
beaucoup mieux,4
guerre civile,4
veu mesmes,4
quelque temps,4
ona veu,4
tombe chois,4
roys droit,4
faire roy,4
prince estranger,4
faire mourir,4
ligne directe,4
gentil homme,4
laloy dieu,4
charges honnorables,4
chose belle,3
papiers cenfiers,3
roy seruius,3
empereur augufte,3
marc antoine,3
trois fois,3
chacune ville,3
lon mettoit,3
demeura tousjours,3
vouloir dire,3
ille trouua,3
remarqué cy,3
aller guerre,3
cinq mil,3
empire romain,3
trois estats,3
royaume france,3
toute republique,3
pourle moins,3
bonnes loix,3
aussi voit,3
parle peuple,3
faire iustice,3
certain temps,3
difoit ancien,3
entre lefquels,3
roy perfe,3
faire guerre,3
combien roys,3
fix xx,3
mesmesle roy,3
faits entre,3
bonne paix,3
charges ordinaires,3
moitié moins,3
parties cafuelles,3
quoy foit,3
cinquante mil,3
quatre millions,3
enla monarchie,3
bien public,3
anciens romains,3
bien voulu,3
pays conquestez,3
aussi bié,3
valeur quatre,3
cens xx,3
grands princes,3
dons gratuits,3
vingts douze,3
roy macedoine,3
quelque chose,3
interest particulier,3
neuf cens,3
parla loy,3
grande partie,3
grand profit,3
impofition foraine,3
parler propremét,3
partie reuenu,3
roy suede,3
trois cés,3
quatre cés,3
dernier roy,3
està peu,3
corps humain,3
etpour cause,3
monts pieté,3
banque lyon,3
cinq cés,3
fols fix,3
mil sept,3
foixante millions,3
faut faire,3
bon droit,3
mil hommes,3
tire foy,3
ains seulement,3
princes fang,3
bien grand,3
faire chois,3
fagement pourueu,3
ains auff,3
cinquante millivres,3
fçait bien,3
noftre aage,3
grands honneurs,3
parle menu,3
peines pecuniaires,3
quars carat,3
deniers dix,3
vnze deniers,3
deniers poids,3
anciens ro,3
bien loin,3
depuis peu,3
quatre grains,3
deniers trois,3
fix grains,3
chose bien,3
dix deniers,3
foit aussi,3
charles fils,3
mis œuure,3
poids efgal,3
maffe efgale,3
loix nature,3
mieux gardé,3
choses facrees,3
gens ramaffez,3
faire aucun,3
republique populaire,3
peuple mal,3
efleu capitaine,3
ordre nature,3
entre nobles,3
entre plusieurs,3
peu seigneurs,3
pouuoit estre,3
grand conseil,3
estant efleu,3
aussi dieu,3
magistrat puissance,3
coustume pays,3
princes chrestiens,3
prince souverain,3
aussi republique,3
grand pontife,3
efleu roy,3
college cardinaux,3
marc aurele,3
fils louis,3
estats pays,3
frere puifné,3
bas lieu,3
philippe caftille,3
auquel cas,3
royaume naples,3
grand roy,3
gouvernement aristocratique,3
faire loix,3
portion harmonique,3
nombres proportion,3
quand question,3
quatre nombres,3
moindres iuges,3
rien dol,3
permis iuges,3
difcretion magistrats,3
diminuer peine,3
vraye iustice,3
estre puni,3
premiere fois,3
pur ciuil,3
menus offices,3
qualité personnes,2
parlant peuple,2
mil talents,2
fix millions,2
depuis cest,2
chacune prouince,2
empire ro,2
voir vnc,2
roy childebert,2
voit donc,2
republique bien,2
bien ordonnee,2
quoy plusieurs,2
nombre peuple,2
dieu commande,2
mettoit denier,2
où lon,2
dixfept ans,2
quarante ans,2
unt ciuium,2
ciuium capita,2
capita ccc,2
mil bourgeois,2
biens meubles,2
aussi mal,2
voit goute,2
mil trois,2
felon biens,2
faifoit rome,2
denombrement biens,2
cfgard biens,2
telle consequence,2
auroit chose,2
ediét roy,2
parlement paris,2
aussi parce,2
puiffe voir,2
empire romains,2
cftoit grande,2
cest dire,2
reformation abus,2
cest empire,2
empire là,2
estoyent tousjours,2
guerre punique,2
enuers dieu,2
an pourle,2
sen trouve,2
infinité meurtres,2
faut attendre,2
celà depend,2
debueroit estre,2
faut bien,2
garder sujets,2
moins sujet,2
celà doit,2
faut efperer,2
deuiennent fols,2
iamais tenir,2
forclos senat,2
neantmoins depuis,2
tousjours gardé,2
cenfure ecclefiaftique,2
vie diffolue,2
grande confequence,2
inquifiteur foy,2
porta appellant,2
estats tenusà,2
telles censures,2
faut doubter,2
nerfs republique,2
come difoit,2
trois points,2
fust con,2
entendus affaires,2
agesi laus,2
domaine republique,2
furles dons,2
deflors auant,2
long téps,2
lettres patentes,2
quelque fomme,2
conferuation domaine,2
monftre bien,2
quoy pericles,2
droits seigneuriaux,2
là mesmes,2
denier dix,2
quand domaine,2
chambre contes,2
payer charges,2
maisle grand,2
estat general,2
chapitre recepte,2
millions neufcens,2
neufcens foixante,2
quinze fols,2
douze mil,2
cinquante millions,2
pres quatre,2
gaiges officiers,2
doit faire,2
grand royaume,2
paix affeurec,2
noftre roy,2
public particulier,2
cas pa,2
bon finances,2
faire fondsaux,2
fondsaux finances,2
efpargne rome,2
difcipline militaire,2
cent foixante,2
eícus couronne,2
quarante millions,2
valeur dix,2
frais guerre,2
là republique,2
denos roys,2
contre efpaignols,2
roy turcs,2
certain nombre,2
forme debenefice,2
roys castille,2
indes occidentales,2
trouuons anciens,2
pur don,2
mil muids,2
carle roy,2
roy hieron,2
quafi femblable,2
bien feant,2
sous protection,2
charges neceflaires,2
republique paix,2
paye temps,2
temps guerre,2
quinze ans,2
chapitre defpenfe,2
cens dix,2
fix vingts,2
maintenir estat,2
caril bien,2
celuy donne,2
escus péfion,2
péfions particulieres,2
roys perfe,2
peu gens,2
perd qualité,2
senateur romain,2
faits seigneurs,2
sujets particulier,2
sujets entre,2
vil prix,2
sujets mesmes,2
vie humaine,2
lieu entre,2
chacune piece,2
philippe roy,2
furles sujets,2
choses vendues,2
quelque nature,2
foit cause,2
puiffe imaginer,2
quatre ans,2
aucun impoft,2
estats tenus,2
tenus tours,2
philippe valois,2
deniers liure,2
populaire romains,2
impoft fel,2
fust mis,2
requeste coful,2
peine vie,2
populaire changé,2
empereur traian,2
nouueaux impofts,2
plusieurs princes,2
charges extraordinaires,2
voulu faire,2
bié grande,2
grande apparence,2
argét venu,2
douze fois,2
fois moindre,2
france paya,2
ans dix,2
terres neufues,2
argét royaume,2
terres hauffa,2
feize cens,2
estimation choses,2
muy blé,2
sultan suleyman,2
millions ducats,2
douze millions,2
duché milan,2
ence royaume,2
exemple princes,2
apresauoir chafféles,2
douze deniers,2
millivres an,2
bons citoyens,2
pris garde,2
peuples septentrion,2
grande difficulté,2
toute ancienneté,2
causes publiques,2
chacune parties,2
bestes fauuages,2
trouua moyen,2
mont pieté,2
pauures gens,2
pays là,2
alexandre seuere,2
quoy faisant,2
grande fomme,2
livré sixiesme,2
cét mil,2
empereur faifoit,2
lieu roy,2
fort principal,2
dix republique,2
philippe bel,2
finances dreffé,2
mil fix,2
dontil payoit,2
fols quatre,2
quinze cés,2
forte parle,2
huit deniers,2
hazard perdre,2
estre payez,2
payez parles,2
dixiefme partie,2
beaucoup pres,2
mis sujets,2
an mil,2
pauures payfans,2
bien heureux,2
deniers bons,2
chose fort,2
fit grands,2
seigneurie venize,2
faire grands,2
palais doré,2
fond finances,2
generaux finances,2
huit cens,2
cens millivres,2
regiftre dons,2
feroit bien,2
regiftre affaires,2
charles rir,2
celuy auquel,2
edit expres,2
empereur galba,2
parle moyé,2
dixfept cens,2
voit quafi,2
come faut,2
iusques téps,2
finon quand,2
faire grád,2
téple saturne,2
aussi faire,2
foit ofter,2
grand empire,2
mil homes,2
pourle regard,2
roy caftille,2
hommes maifon,2
firent bien,2
bien lieu,2
mesmes trouua,2
principale cause,2
roy francois,2
maiftres comptes,2
faut moins,2
fort peu,2
gouuerneurs pays,2
poids monnoyes,2
obuier inconueniens,2
portant defenfes,2
volume metaux,2
aussi moyen,2
ayt quelque,2
fera efgale,2
fera contraint,2
commeil souvent,2
foyent bien,2
petits deniers,2
argent roy,2
estoyent anciennement,2
monnoye blanche,2
tierce partie,2
huitiefme partie,2
faint louis,2
gros tournois,2
moins elles,2
douze onces,2
estoitàla raison,2
diminution prix,2
peu moins,2
cinq grains,2
chambre pape,2
valoir liure,2
sous derniers,2
raportent beaucoup,2
loy monnoyes,2
prix monnoyes,2
partie cuiure,2
ij republique,2
temps philippe,2
cinq deniers,2
grains deloy,2
argent onze,2
dix grains,2
deniers loy,2
dif ference,2
cas pareille,2
neuf grains,2
argent fix,2
deniers cours,2
contre nature,2
cinq fols,2
huit gros,2
rien chose,2
efcu fol,2
petit petit,2
quarts carat,2
forger escus,2
dixhuit grains,2
faifant forger,2
sous nom,2
toutesfois cela,2
forger billon,2
mefler metaux,2
quatorze carats,2
grande quantité,2
mil marcs,2
officiers monnoyes,2
profit monnoyes,2
princes voifins,2
tel prix,2
monnoyes pures,2
aussi lieu,2
plusieurs maiftres,2
icy estre,2
estre dira,2
haute oy,2
voftre maicfté,2
fols tournois,2
feruir falfifier,2
petit corps,2
peuuent abufer,2
foldat romain,2
quand peuple,2
trois formes,2
liberté naturelle,2
iustice efgale,2
femble fort,2
populaire estle,2
cela foit,2
equalité biens,2
contre laloy,2
aussi phocion,2
comment pourroit,2
plusieurs testes,2
ramaffez pieces,2
maiesté souveraine,2
estre quelque,2
affemblee peuple,2
rien faire,2
rebut peuple,2
toutle peuple,2
toute licence,2
monstrécy deuant,2
estat fust,2
coups bafton,2
gens vertueux,2
fort petit,2
quant iustice,2
telles gens,2
mieux ordonnee,2
peuple puissance,2
capitaine chef,2
publique populaire,2
bié faire,2
iusques là,2
lieu prince,2
pierre soderin,2
peuple florence,2
laurens medicis,2
toute nobleffe,2
uns contre,2
voulant faire,2
vraye image,2
image republique,2
veut faire,2
estar populaire,2
loy nature,2
liberté populaire,2
faut neceflité,2
hommes fages,2
bien entendus,2
entre seigneurs,2
enla puissance,2
principal fondement,2
mediocrité loüable,2
trois enfemble,2
ilfaut donc,2
oril certain,2
mal aduifez,2
faut rié,2
aucune puissance,2
mal ailé,2
homme fage,2
quela monarchie,2
estat peu,2
pourquoy seigneurie,2
manier affaires,2
lement entre,2
seigneurie aristocratique,2
qualité noblefle,2
reste peuple,2
douze cens,2
quant duc,2
estre efleu,2
sept iuges,2
couronne france,2
estat demeure,2
foy ruine,2
bien mieux,2
tousjours mieux,2
auons trop,2
estre souverain,2
uns lesautres,2
fte loy,2
uns veulent,2
où faut,2
faut quela,2
eflire roy,2
fols enfemble,2
faifoyent aussi,2
cas pareilles,2
quela puissance,2
plusieurs bons,2
craignans perdre,2
tousjours entre,2
maison france,2
dyn tyran,2
roy iuste,2
exemple duquel,2
mesmes anciens,2
aussi peuples,2
roys souverains,2
fit mourir,2
condamné mort,2
deuant yeux,2
nest allez,2
monarchie royale,2
fion monarchie,2
droit fuc,2
cofté maternel,2
estoc paternel,2
sous voile,2
contre prince,2
pere fils,2
anciens roys,2
roys thunes,2
charles duc,2
choifir prince,2
plusieurs meurtres,2
lequel estant,2
ona voulu,2
bien prince,2
estant mort,2
mort enfans,2
hongrie efleurent,2
estre roy,2
lancelot roy,2
roy poulongne,2
maximilian fils,2
louis bauieres,2
celuy efleu,2
antonin piteux,2
vr fucceffeur,2
angleterre tenu,2
requeste royne,2
pleine liberté,2
dernier duc,2
mariage fair,2
louisle piteux,2
combien almans,2
an p,2
meilleure forme,2
droit fucceffi,2
fort ancien,2
charles fimple,2
fainct arnoulph,2
huet capet,2
fils robert,2
mariee roy,2
premier roy,2
duc bour,2
sept princes,2
cause plusieurs,2
trois ans,2
quand oresil,2
foit appellé,2
royaume fust,2
foit preferé,2
proches sang,2
premier né,2
voulut preferer,2
quelque faueur,2
doit seulement,2
quil foit,2
fils puifné,2
lequel neantmoins,2
declairé roy,2
pere fust,2
firent trois,2
puifnez maifon,2
laiffant rien,2
robert comte,2
mieux conseillez,2
enfans mafles,2
charles bourbon,2
peur dire,2
