token_,count
('estat', 'populaire'),21
('moindre', 'partie'),12
('gens', 'bien'),12
('cy', 'dessus'),12
('prince', 'souverain'),11
('bien', 'souvent'),11
('grand', 'conseil'),11
('villes', 'imperiales'),10
('puissance', 'souveraine'),9
('monarchie', 'seigneuriale'),8
('partie', 'peuple'),7
('menu', 'peuple'),7
('mil', 'citoyens'),7
('aussi', 'bien'),6
('ains', 'aussi'),6
('grand', 'nombre'),6
('bien', 'fort'),6
('loix', 'nature'),6
('monarque', 'seigneurial'),6
('monstré', 'cy'),6
('voye', 'iustice'),6
('non', 'seulement'),6
('privé', 'conseil'),6
('anciennes', 'familles'),6
('estat', 'aristocratique'),5
('estat', 'fera'),5
('bien', 'vray'),5
('contre', 'roy'),5
('donne', 'estats'),5
('cas', 'pareil'),5
('iuste', 'roy'),5
('partie', 'citoyens'),5
('fortes', 'republiques'),4
('trois', 'estats'),4
('forme', 'republique'),4
('quatre', 'cens'),4
('part', 'souveraineté'),4
('estat', 'royal'),4
('aucun', 'pouuoir'),4
('toute', 'puissance'),4
('moindres', 'magistrats'),4
('trois', 'fortes'),4
('capitaines', 'chef'),4
('empire', 'romain'),4
('monarque', 'royal'),4
('droit', 'fucceffif'),4
('mot', 'tyran'),4
('dix', 'mil'),4
('auons', 'monstré'),4
('prince', 'souverian'),4
('trois', 'cens'),4
('tiers', 'voix'),4
('peuple', 'part'),3
('meflee', 'trois'),3
('meflange', 'trois'),3
('faut', 'donc'),3
('puissance', 'royale'),3
('rien', 'faire'),3
('trois', 'republiques'),3
('fortes', 'republique'),3
('destrois', 'republiques'),3
('loy', 'sujets'),3
('faire', 'loy'),3
('donner', 'loy'),3
('puissance', 'faire'),3
('estat', 'lacedemoniens'),3
('republiques', 'populaires'),3
('prince', 'sang'),3
('cinq', 'cens'),3
('pouuoir', 'commander'),3
('faire', 'proces'),3
('beaucoup', 'moins'),3
('seigneurie', 'aristocratique'),3
('ainsau', 'contraire'),3
('forme', 'aristocratique'),3
('foixante', 'mil'),3
('long', 'temps'),3
('empereurs', 'romains'),3
('rien', 'chose'),3
('republique', 'populaire'),3
('gouuerné', 'populairement'),3
('temps', 'heroïques'),3
('bien', 'certain'),3
('empereur', 'charles'),3
('peu', 'peu'),3
('monarchie', 'royale'),3
('vertueux', 'prince'),3
('droit', 'fucceflif'),3
('foit', 'prince'),3
('prince', 'vertueux'),3
('capitaine', 'chef'),3
('roy', 'dannemarc'),3
('eten', 'cas'),3
('loy', 'valeria'),3
('plufpart', 'peuple'),3
('armes', 'contre'),3
('contre', 'prince'),3
('homme', 'bien'),3
('petit', 'nombre'),3
('souverains', 'magistrats'),3
('roy', 'romains'),3
('fera', 'populaire'),3
('plufpart', 'citoyens'),3
('faueur', 'personne'),3
