token_,count
('estat', 'populaire'),51
('ains', 'aussi'),23
('cy', 'dessus'),20
('guerres', 'civiles'),19
('estats', 'populaires'),18
('peu', 'peu'),17
('hautes', 'planettes'),16
('bien', 'souvent'),13
('roy', 'france'),13
('guerre', 'civile'),13
('trois', 'cens'),12
('non', 'seulement'),11
('mois', 'septembre'),11
('menu', 'peuple'),10
('tire', 'foy'),10
('trois', 'hautes'),10
('cens', 'ans'),9
('quelques', 'uns'),9
('sept', 'cens'),9
('ruines', 'republiques'),9
('peuple', 'romain'),8
('roy', 'macedoine'),8
('grands', 'seigneurs'),8
('ioint', 'aussi'),8
('creation', 'monde'),8
('doit', 'faire'),8
('bien', 'certain'),7
('empire', 'romain'),7
('cens', 'cinquante'),7
('mil', 'hommes'),7
('quatre', 'cens'),7
('ville', 'capitale'),7
('changemens', 'notables'),7
('premier', 'roy'),7
('nombre', 'parfait'),7
('quelque', 'temps'),6
('monstré', 'cy'),6
('marc', 'antoine'),6
('an', 'p'),6
('long', 'temps'),6
('neuf', 'cens'),6
('cens', 'mil'),6
('deuant', 'yeux'),6
('venir', 'bout'),6
('cinq', 'mil'),6
('mil', 'cinq'),6
('gens', 'bien'),6
('parce', 'moyen'),6
('laloy', 'dieu'),6
('quelque', 'chose'),6
('grande', 'conionction'),6
('grand', 'dieu'),6
('fin', 'monde'),6
('iour', 'septembre'),6
('dix', 'mil'),6
('deuant', 'peuple'),6
('corps', 'humain'),6
('doit', 'estre'),6
('faire', 'iustice'),6
('cftat', 'populaire'),5
('puissance', 'commander'),5
('alexandrele', 'grand'),5
('trois', 'ans'),5
('quatre', 'empereurs'),5
('plusieurs', 'lieux'),5
('cinquante', 'ans'),5
('changemens', 'republiques'),5
('force', 'main'),5
('entre', 'mains'),5
('plusieurs', 'republiques'),5
('mil', 'trois'),5
('auons', 'monstré'),5
('ona', 'veu'),5
('faire', 'mourir'),5
('philippe', 'comines'),5
('prendre', 'garde'),5
('iefus', 'chrift'),5
('come', 'celuy'),5
('mil', 'ans'),5
('fix', 'ans'),5
('loy', 'dieu'),5
('print', 'ville'),5
('faire', 'entendre'),5
('iusques', 'dernier'),5
('senat', 'romain'),5
('chacune', 'republique'),5
('ains', 'contraire'),5
('toute', 'republique'),5
('force', 'loy'),5
('bien', 'fort'),5
('grand', 'nombre'),5
('prince', 'doit'),5
('alexandre', 'grand'),5
('prince', 'souverain'),5
('changement', 'loix'),4
('ains', 'seulement'),4
('cours', 'ordinaire'),4
('populaire', 'monarchie'),4
('bien', 'faire'),4
('empereur', 'charles'),4
('estats', 'aristocratiques'),4
('empereur', 'auguste'),4
('aussi', 'voit'),4
('fix', 'mois'),4
('cinq', 'ans'),4
('quoy', 'faifant'),4
('cent', 'cinquante'),4
('magistrats', 'souverains'),4
('estat', 'aristocratique'),4
('cinq', 'cens'),4
('lieu', 'monde'),4
('foit', 'peu'),4
('bonne', 'paix'),4
('faut', 'faire'),4
('dix', 'ans'),4
('toute', 'nature'),4
('mouuemens', 'celestes'),4
('beaucoup', 'moins'),4
('iulius', 'maternus'),4
('horofcope', 'ville'),4
('ans', 'entiers'),4
('comte', 'flandres'),4
('douze', 'degrez'),4
('monde', 'iusques'),4
('repvbliq', 've'),4
('deluge', 'vniuerfel'),4
('chose', 'impoffible'),4
('està', 'fcauoir'),4
('ans', 'moins'),4
('ayansles', 'yeux'),4
('dieu', 'nature'),4
('depuis', 'quatre'),4
('voit', 'depuis'),4
('suede', 'depouillé'),4
('grands', 'princes'),4
('deflors', 'auant'),4
('ruines', 'monarchies'),4
('veu', 'depuis'),4
('foit', 'propre'),4
('harmonie', 'defaut'),4
('causes', 'naturelles'),4
('nobre', 'fix'),4
('feptáte', 'ans'),4
('dernier', 'roy'),4
('huet', 'capet'),4
('où', 'lon'),4
('fondation', 'rome'),4
('estat', 'romains'),4
('grand', 'danger'),4
('bien', 'public'),4
('petit', 'nombre'),4
('forte', 'raifon'),4
('telle', 'forte'),4
('roy', 'françois'),4
('fust', 'prefent'),4
('quela', 'republique'),3
('coustumes', 'pays'),3
('aussi', 'dire'),3
('puissance', 'souveraine'),3
('foit', 'bien'),3
('bien', 'mal'),3
('mal', 'bien'),3
('contre', 'gré'),3
('roy', 'fez'),3
('premiers', 'roys'),3
