token_,count
('estat', 'populaire'),61
('cens', 'mil'),25
('menu', 'peuple'),25
('mil', 'escus'),23
('cinq', 'cens'),20
('roy', 'france'),17
('bien', 'souvent'),14
('non', 'seulement'),13
('quatre', 'cens'),13
('proportion', 'geometrique'),13
('bien', 'fort'),12
('iustice', 'harmonique'),12
('cy', 'dessus'),11
('trois', 'cens'),11
('gens', 'bien'),11
('roy', 'françois'),11
('quatre', 'deniers'),11
('guerres', 'civiles'),11
('cens', 'ans'),10
('forme', 'republique'),10
('grand', 'nombre'),9
('dix', 'mil'),9
('peu', 'peu'),9
('mil', 'cinq'),8
('cy', 'deuant'),8
('parce', 'moyen'),8
('estat', 'finances'),8
('loy', 'dieu'),8
('escus', 'couronne'),8
('cent', 'mil'),8
('feigneurs', 'ligues'),8
('droit', 'fucceflif'),8
('cas', 'pareil'),8
('frere', 'aifné'),8
('proportion', 'arithmetique'),8
('iustice', 'arithmetique'),8
('fix', 'cens'),7
('cens', 'cinquante'),7
('quatre', 'vingts'),7
('bas', 'pays'),7
('empereur', 'charles'),7
('roy', 'louis'),7
('fils', 'aifné'),7
('chambre', 'comptes'),7
('estats', 'populaires'),7
('pieces', 'marc'),7
('grains', 'poids'),7
('puissance', 'souveraine'),7
('estat', 'aristocratique'),7
('plusieurs', 'feigneurs'),7
('monstré', 'cy'),6
('cens', 'foixante'),6
('fonds', 'finances'),6
('faut', 'donc'),6
('princes', 'sang'),6
('republiques', 'populaires'),6
('entre', 'mains'),6
('sept', 'cens'),6
('fix', 'deniers'),6
('trois', 'deniers'),6
('petit', 'fils'),6
('auons', 'monstré'),6
('douze', 'tables'),6
('grands', 'feigneurs'),6
('proportion', 'harmonique'),6
('trois', 'mil'),5
('non', 'feulemét'),5
('faire', 'fonds'),5
('maifon', 'roy'),5
('grands', 'perfonnages'),5
('entre', 'princes'),5
('quelques', 'uns'),5
('douze', 'fols'),5
('petit', 'nombre'),5
('mil', 'ducats'),5
('dix', 'fois'),5
('roy', 'charles'),5
('peu', 'pres'),5
('onze', 'deniers'),5
('caril', 'faut'),5
('roys', 'france'),5
('trois', 'quars'),5
('eftà', 'dire'),5
('beaucoup', 'moins'),5
('trois', 'grains'),5
('moindre', 'partie'),5
('euft', 'efté'),5
('louis', 'roy'),5
('iustice', 'geometrique'),5
('cinq', 'ans'),4
('foixante', 'mil'),4
('fix', 'ans'),4
('cinquante', 'ans'),4
('bien', 'certain'),4
('aller', 'loing'),4
('nombre', 'sujets'),4
('tite', 'liue'),4
('bonnes', 'meurs'),4
('vaut', 'mieux'),4
('mil', 'citoyens'),4
