token_,count
monstré cy dessus,5
moindre partie peuple,4
moindre partie citoyens,4
quatrieme meflee trois,2
doner loy sujets,2
prince donne estats,2
conuenir finon celuy,2
contre prince souverain,2
bien petit nombre,2
dix mil citoyens,2
cinq iuges criminels,2
auons monstré cy,2
estat fera populaire,2
estats menu peuple,2
repvblique mort vle,1
mort vle marques,1
vle marques referuees,1
marques referuees prince,1
referuees prince souverain,1
voila nt principaux,1
nt principaux points,1
principaux points concernans,1
points concernans maiesté,1
concernans maiesté souveriane,1
maiesté souveriane fuement,1
poffible traicté matiere,1
nent liure imperio,1
lique depend tiennent,1
depend tiennent souverianeté,1
difons combien fortes,1
combien fortes republiques,1
ge jp rre,1
ux ga rt,1
ga rt dl,1
wo agi nn,1
tovies sortes republiques,1
sortes republiques general,1
sil yea trois,1
nep vis auons,1
vis auons dic,1
auons dic fouuerai,1
faut voiren toute,1
voiren toute nepublique,1
come lasouveraineté gift,1
lasouveraineté gift vnfeul,1
aquela moindre partie,1
vferós mots euiterà,1
mots euiterà fusion,1
prouiét varieté gouuerneurs,1
varieté gouuerneurs bósou,1
gouuerneurs bósou auuais,1
doné occafion oo,1
occafion oo ve,1
dom os oo,1
os oo lio,1
oo lio bi,1
tou tcs qualitez,1
feroit infinité monarchies,1
cas pa reil,1
moindre partie peupletenoitlafou,1
partie peupletenoitlafou ueraineté,1
ouauttes qua lirez,1
qua lirez indifferentes,1
opinior delaquelle reüffift,1
delaquelle reüffift telleabfurdité,1
reüffift telleabfurdité doit,1
telleabfurdité doit estreregetee,1
donc ja qualité,1
ja qualité nechäge,1
qualité nechäge nature,1
nechäge nature choses,1
nature choses dirôs,1
outrois fortes republiques,1
ja democratic festat,1
democratic festat populaire,1
quád tour peuple,1
iceluy corpsa puissance,1
corpsa puissance souveriane,1
quäd moin dre,1
moin dre partie,1
dre partie peuple,1
partie peuple souveraineté,1
peuple souveraineté corps,1
donneloy reste peuple,1
foit particulier anciés,1
particulier anciés bié,1
anciés bié accor,1
enauoittrois fortes moins,1
lesautres adioulté quatrieme,1
adioulté quatrieme meflee,1
platon bien adioufté,1
bien adioufté quatrieme,1
gens bien ontlasouveraineté,1
propres termes pure,1
termes pure ariftocratie,1
receu meflange trois,1
meflange trois forme,1
trois forme republique,1
ariftotea receu celle,1
receu celle plato,1
copofec trois premieres,1
mis outre trois,1
outre trois premieres,1
apresluy thomas more,1
plusieurs tenula opinion,1
pris origine polybe,1
quatre cens ans,1
cens ans herodote,1
difant plusieurs tenoyent,1
plusieurs tenoyent meilleure,1
aforcé tenir contraire,1
torité defi grands,1
defi grands perfonnages,1
grands perfonnages cuft,1
perfonnages cuft vaincu,1
faut donc monftrer,1
donc monftrer viues,1
monftrer viues raisons,1
parles raifons mefimes,1
mis eti auant,1
onc mis enfaiét,1
ja republique lacedemoniens,1
venitiens estoyent compofces,1
doucement entremeflees puissance,1
entremeflees puissance royale,1
meilleure forme republique,1
forme republique compofee,1
foudain releué difciple,1
releué difciple ari,1
rien faire vaille,1
composer trois ensemble,1
quoy aristote difpute,1
aristote difpute contre,1
difpute contre foy,1
meflange dé republiques,1
dé republiques vicicufe,1
touteautre chose ij,1
chose ij repvbliqvue,1
ij repvbliqvue moyen,1
vitieufe fera meflange,1
fera meflange trois,1
autant üe opinion,1
üe opinion mouuoir,1
opinion mouuoir grans,1
mouuoir grans troubles,1
grans troubles republiques,1
causer merucilleux effeéts,1
ilest befoin bien,1
befoin bien examiner,1
caril fautesta blirloix,1
quandles republiques contraires,1
aduifez bourgeois florence,1
opinion anciens meflange,1
anciens meflange trois,1
meflange trois republiques,1
rendroitla ícigneurieag peuple,1
advis pierre soderin,1
but menu peuple,1
menu peuple part,1
peuple part souveriancté,1
ains seulementles anciennes,1
seulementles anciennes maifons,1
advis grand conícil,1
grand conícil auroyent,1
conícil auroyent part,1
auroyent part souveraineté,1
ains fculement faire,1
fculement faire loix,1
feroit manié conseil,1
manié conseil privé,1
entremef ler crois,1
ler crois fortes,1
crois fortes republique,1
voyons proportion harmonique,1
ja miftion choses,1
miftion choses naturelles,1
choses naturelles composé,1
naturelles composé fimples,1
stel fimples dont,1
fimples dont compoíé,1
miftion destrois republiques,1
destrois republiques enfemble,1
veu puissance royale,1
ouueraineté iourau monarque,1
iour enfuiuant moindre,1
enfuiuant moindre partie,1
partie peuple cult,1
peuple cult seigneurie,1
trois tour souveraineté,1
auoyent puissance fouuc,1
raine certains iours,1
auquel cas neantmoins,1
auroit trois fortesde,1
trois fortesde republiques,1
quine laferoyent paslogue,1
mauuais mefnage où,1
mefnage où femme,1
où femme commande,1
femme commande mari,1
commande mari rang,1
