token_,count
quelque forte foit,5
file prince souverain,4
droit gouvernement plusieurs,3
long temps parauant,3
cens mil escus,3
augufte roy depoloigne,3
caril bien certain,3
sujet naturel roy,3
homme lige pape,3
puissance faire loix,3
monstré cy dessus,3
auoyent force an,3
donner loy general,3
toute republique bien,2
souverain bien gift,2
grand monarque terre,2
peres enuers enfans,2
reuerence enfans enuers,2
republique bien ordônee,2
pere enuers enfans,2
maiftre enuers feruiteurs,2
duquel mot vfent,2
faire mourir femme,2
sept cens ans,2
auós laloy dieu,2
combien philippe valois,2
mere enuers enfans,2
loy douze tables,2
prifonnier bonne guerre,2
foixante mil efclaues,2
caril bié certain,2
icy dira quelqu,2
estats tenus tours,2
trois cens oftages,2
entre cantons berne,2
droit bourgeoisie romaine,2
alliez droit bourgeoisie,2
roy louis xj,2
lay apris lettres,2
uns contre lesautres,2
combien maifon france,2
carle prince souverain,2
feigneur duquel tient,2
arreft parlement paris,2
alliance faits entre,2
difficulté bien grande,2
sept cantons catholiques,2
efleu capitaine chef,2
toutesles villes lachaie,2
capitaines chef acheans,2
ains pure ariftocratie,2
louis france duc,2
sigifmod augufte roy,2
ferdinand roy romains,2
cens mil ducats,2
dedans fix mois,2
faits entre princes,2
egale auecles romains,2
firent toute grece,2
roy france louis,2
mettre fin guerres,2
pourueu cela face,2
debuoit garder foy,2
auons cy dessus,2
trois cens mil,2
traitez faits entre,2
trouua fort eftrange,2
roy françois premier,2
alphons roy caftille,2
veientibus pacem petentibus,2
deuant faire guerre,2
angleterre haute chambre,2
exépté puissance loix,2
puiflent donner loy,2
pourle meurtre commis,2
donné parle roy,2
donner loy sujets,2
eumenes roy pergame,2
hommage lige roys,2
lige roys france,2
faire hommage procureur,2
bel roy france,2
entrele roy philippe,2
roy philippe valois,2
mains iointesentre mains,2
cause roy françois,2
dei gratia rex,2
leu regiftre vatican,2
mere blanche caftille,2
prince faint empire,2
trois enfans lothaire,2
abfolution pape innocent,2
faire reuolter sujets,2
auons monstré cy,2
parle menu peuple,2
puissance faire loy,2
puissance donner laloy,2
cas pareil lifons,2
touché cy dessus,2
plusieurs princes souverains,2
qvelle fin principale,1
fin principale repvbli,1
qve bien ordonnee,1
epvbliqve droit gouvernement,1
gouvernement plusieurs menages,1
definitió premier lieu,1
chercher routes choses,1
routes choses fin,1
choses fin principale,1
chofe fin sujet,1
fin sujet prefente,1
hs quifera bafti,1
quifera bafti icelle,1
bafti icelle ruinerabiétostapres,1
iacoit celuy quiatrouué,1
celuy quiatrouué fin,1
quiatrouué fin mis,1
fin mis enauant,1
trouue tousjours moyens,1
non lus mauvais,1
lus mauvais archer,1
mauvais archer voitle,1
archer voitle blanc,1
emploira pourra fraper,1
nefera moins estimé,1
nition sujet propofe,1
efperáce trouueriamaisles moyens,1
non celuy don,1
deduifons donc parle,1
donc parle menu,1
parle menu parties,1
menu parties definition,1
parties definition auons,1
definition auons pofce,1
auons premier lieu,1
premier lieu droit,1
lieu droit gouvernement,1
pirates aueclefquels doit,1
aueclefquels doit part,1
cóme tousjours efté,1
tousjours efté gardé,1
efté gardé toute,1
gardé toute republique,1
republique bien ordonnee,1
quand ila efté,1
ila efté question,1
efté question donner,1
question donner foy,1
donner foy pan,1
foy pan paix,1
accorder ligues often,1
decider differends entre,1
differends entre princes,1
jamais compris voleurs,1
sujette discretion loix,1
discretion loix humaines,1
lesquelles toufiouts feparé,1
toufiouts feparé brigans,1
republique ons droits,1
ons droits ennemis,1
droits ennemis fair,1
ennemis fair guerre,1
republiques voyc iustice,1
pourquoy doiuét iouyr,1
doiuét iouyr droit,1
iouyr droit guerre,1
droit guerre commun,1
guerre commun peuples,1
preualoir loix vainqueurs,1
loix vainqueurs donnent,1
