token_,count
mil cinq cens,8
cens mil escus,8
quatre cens mil,5
cinq cens mil,5
mil escus couronne,5
cinq cens cinquante,4
monstré cy deuant,4
millions cinq cens,4
deniers douze grains,4
deniers feize grains,4
remarqué cy dessus,3
faire fonds finances,3
quatre cens cinquante,3
cés mil escus,3
està peu pres,3
fols fix deniers,3
mil sept cens,3
trois quars carat,3
deniers trois grains,3
auons monstré cy,3
quatre cens ans,3
lon mettoit denier,2
où lon mettoit,2
unt ciuium capita,2
mil trois cens,2
trois cens foixante,2
aussi parce moyen,2
cest empire là,2
an pourle moins,2
faits entre princes,2
millions neufcens foixante,2
faire fondsaux finances,2
trois cens xx,2
paye temps guerre,2
mil escus péfion,2
temps roy louis,2
estat populaire romains,2
estat populaire changé,2
douze fois moindre,2
roy france paya,2
cens mil ducats,2
cent mil escus,2
cens quarante mil,2
estat finances dreffé,2
mil fix cens,2
fix mil cinq,2
fols quatre deniers,2
cens quatre vingts,2
sept cens quatre,2
an mil cinq,2
fix cens mil,2
icy estre dira,2
estat populaire estle,2
monstré cy dessus,2
gens ramaffez pieces,2
fort petit nombre,2
efleu capitaine chef,2
vraye image republique,2
tire foy ruine,2
roys droit fucceflif,2
choifir prince estranger,2
charles fils louis,2
meilleure forme republique,2
puifnez maifon france,2
loix douze tables,2
face rien dol,2
iuges diminuer peine,2
vraye iustice harmonique,2
bannir quelque temps,2
hommes franche condition,2
sous tiltre peines,2
porté faux tefmoignage,2
rsr tre chose,1
autant auons traitter,1
auons traitter finances,1
befoing parler cenfu,1
gueres sn neceffaire,1
foit rss ent,1
foit mst ttl,1
his comment chose,1
comment chose belle,1
veu peuples grecs,1
latins toute ancien,1
estimation biens particulier,1
demofthene extraict papiers,1
extraict papiers cenfiers,1
papiers cenfiers difoit,1
atique montoit foixante,1
montoit foixante mil,1
foixante mil talents,1
aussi romains imitateurs,1
romains imitateurs grecs,1
imitateurs grecs és,1
grecs és choses,1
és choses loüables,1
fceurent trefbien empoigner,1
trefbien empoigner coustume,1
cause fort loüé,1
toutesfois cenfure demeura,1
continuee personne confuls,1
depuis confuls diftraits,1
fix ans confuls,1
premiers appellez cenfeurs,1
appellez cenfeurs fu,1
papirius ge sempronius,1
ge sempronius quicurent,1
estat cinq ans,1
æmylius mamercus retrancha,1
temps censure dixhui,1
ettostapres coustume fuiuie,1
coustume fuiuie routes,1
fuiuie routes villes,1
mesmement colonies romaines,1
apportoyent rome papiers,1
rome papiers cenfiers,1
depuis cest estat,1
cest estat rouf,1
mesmes dictareur celar,1
aller maifon maison,1
maifon maison faire,1
appellaft magiffer morum,1
empereur augufte retour,1
augufte retour rome,1
victoire marc antoine,1
senat arrest don,1
appellant prefeclum morum,1
hit trois fois,1
trois fois denombrement,1
fois denombrement citoyens,1
denombrement citoyens romains,1
non seulement bourgeois,1
seulement bourgeois romains,1
quicftoyent efpars toutl,1
ainsaussi sujets chacune,1
sujets chacune prouince,1
laiffaft belestat toucl,1
estat difcontinué sous,1
difcontinué sous latyrannie,1
sous latyrannie tibere,1
delaiflé sous neron,1
derechef continué sous,1
continué sous vefpafian,1
oubs tyrannie domitian,1
nomma cenfeur perpetuel,1
cent cinquante ans,1
cinquante ans enuiron,1
empereur decius declarer,1
decius declarer senat,1
declarer senat valerian,1
senat valerian cenfeur,1
depuis cest office,1
cest office fuc,1
office fuc delaifle,1
empire fik decliner,1
vray elt empereurs,1
elt empereurs grece,1
empereurs grece erigerent,1
grece erigerent bien,1
erigerent bien office,1
non toutesfois telle,1
toutesfois telle dignité,1
puissance anciens cenfeurs,1
bien certain lcs,1
certain lcs villes,1
lcs villes sujettes,1
auoyent cenfeurs sous,1
senateurs chacune ville,1
chacune ville estoyent,1
ville estoyent efleuz,1
estoyent efleuz cenfeurs,1
voir vnc cpiftre,1
vnc cpiftre plincle,1
cpiftre plincle ieune,1
lifons roy childebert,1
eufronius euefque tours,1
cores clée venize,1
fft trois magistrats,1
seignori sopra ben,1
sopra ben vivere,1
auois mis lumiere,1
quel parlant estat,1
auoyent oublié neceffaire,1
estoyentles repvblique cenfeurs,1
voulu nommer cenfeurs,1
estre feuerité nom,1
ite ville là,1
ville là fondué,1
là fondué plaifirs,1
gucres republique bien,1
republique bien ordonnee,1
ayt víé cenfeurs,1
penfent dauid repris,1
leué nombre sujets,1
veu dicu mesmes,1
commanda moyfe lefaire,1
ains aussiles familles,1
euflent rien conquesté,1
oublier commandement dieu,1
commandement dieu portoit,1
quand leueroit nombre,1
leueroit nombre peuple,1
otfrift dieu drachmes,1
lefquels leuant nombre,1
leuant nombre sujets,1
faifoyent offrir dieux,1
offrir dieux quelque,1
dieux quelque piece,1
pareil dieu commande,1
clpande sang hofties,1
sang hofties facri,1
femble roy seruius,1
roy seruius emprunté,1
seruius emprunté ceremo,1
quand ordonna tronc,1
ordonna tronc dedans,1
mettoit denier naifloit,1
lon mettoit aufhi,1
mettoit aufhi denier,1
quiauoitattaint dixfept ans,1
noit toge fimple,1
toge fimple pourpre,1
troifiefme temple venus,1
temple venus libitine,1
mettoit denier mou,1
coustume demeura tousjours,1
athenes faifoit enregiftrer,1
faifoit enregiftrer xr,1
ans regiftres republique,1
denombrement peuple dieu,1
peuple dieu commanda,1
dieu commanda cltre,1
uoyent porter armes,1
où femble vieillars,1
femble vieillars fexagenaires,1
trouua compte noms,1
testes fix cens,1
fix cens trente,1
cens trente mil,1
trente mil cinq,1
outre ligue leui,1
ligue leui vingt,1
quarante ans nombre,1
ans nombre leué,1
