token_,count
pretage uantrien mieux,1
entrepris discours republique,1
fources langue latine,1
feicheront barbarie caufce,1
barbarie caufce guerres,1
caufce guerres civiles,1
guerres civiles continue,1
civiles continue estre,1
continue estre mieux,1
tendu françois naturels,1
ex vouloir perpetuel,1
vouloir perpetuel voir,1
estat royaume premiere,1
p endeur fleurissant,1
endeur fleurissant armes,1
fleurissant armes loix,1
iamais republique ff,1
republique ff excelléte,1
ff excelléte beauté,1
excelléte beauté vicilliffe,1
commesujette torrét nature,1
torrét nature fluide,1
face forte changement,1
forte changement doux,1
faire gr non,1
gr non violent,1
non violent fanglant,1
points traiclé cest,1
traiclé cest oeuvre,1
difcourant membre republique,1
çauoir prince souverain,1
prince souverain fortes,1
souverain fortes republiques,1
effat fleurissant chan,1
fleurissant chan ement,1
chan ement decadéce,1
plusieurs questions politiques,1
eflre bien entendues,1
f touché iu,1
moniquemonftrant trois efl,1
trois efl propre,1
estat bien ordonné,1
uis trop long,1
trop long cherchent,1
long cherchent bricueté,1
tresyme trouveront trop,1
trouveront trop court,1
oeuvre peult estre,1
peult estre fr,1
estre fr grand,1
foit fort petit,1
fort petit dignité,1
petit dignité sujet,1
presque infinie neantmoins,1
infinie neantmoins entre,1
neantmoins entre million,1
aures voyons clences,1
voyons clences peine,1
sen troune trois,1
troune trois quatre,1
trois quatre republique,1
fois eff princef,1
flote tranché court,1
tranché court difcours,1
court difcours politiques,1
qué plustost laissé,1
plustost laissé appetit,1
experience depuis mil,1
depuis mil ans,1
mil ans enuiron,1
ans enuiron efcript,1
enuiron efcript cognoisire,1
efcript cognoisire doigt,1
œil science poli,1
tique efloit temps,1
efloit temps cachee,1
temps cachee tenebres,1
cachee tenebres fort,1
tenebres fort efpeffes,1
ex mesmes platon,1
mesmes platon confesse,1
platon confesse obscure,1
voyoit presque rien,1
ques uns entendu,1
uns entendu maniement,1
entendu maniement affaires,1
appelloit sages ex,1
cript veie pays,1
couru affaires monde,1
affaires monde aucune,1
monde aucune cognoifjance,1
aucune cognoifjance loix,1
mement droit public,1
demeure arriere profit,1
là dif facrez,1
dif facrez my,1
leres philosophie pulitique,1
chose donné occasion,1
donné occasion troubler,1
auons exemple macciavel,1
eren fin exposé,1
fin exposé belistre,1
exposé belistre mercy,1
risée defes ennemis,1
aduentu depuis princes,1
depuis princes fuyui,1
weis bellesreigles maccanel,1
lequel mis fondemens,1
mis fondemens republiques,1
jlicesblafmant religion contraire,1
religion contraire al,1
neutr cg lieutenant,1
cg lieutenant scipion,1
lieutenant scipion africain,1
age politique aage,1
qut droit theifle,1
neantmoins recommande religion,1
fondemét principal republiques,1
ance sujets enuers,1
sujets enuers magistrats,1
crainte enuers princes,1
cs iustice enuers,1
rien grand lareligion,1
grand lareligion eflendre,1
lareligion eflendre frontieres,1
eflendre frontieres empire,1
gloire bauts faits,1
bauts faits partoute,1
faits partoute terre,1
foit peu geté,1
peu geté yeux,1
ur bons autheurs,1
ileufl trouvé platon,1
trouvé platon intitule,1
platon intitule feslivres,1
intitule feslivres republique,1
fermes pilliers republiques,1
autant aduint garneade,1
aduint garneade mba,1
athenes vers romains,1
plein enat qut,1
enat qut falloir,1
qut falloir depefcher,1
licentier tels ambassadeurs,1
corrompre bien toff,1
bien toff bonnes,1
toff bonnes meurs,1
fin renuerfer bel,1
renuerfer bel estat,1
abuser indignement loix,1
element fceptres arrachez,1
fceptres arrachez mains,1
arrachez mains mefchans,1
estre baillez bons,1
baillez bons vertueux,1
bons vertueux princes,1
ains bien monde,1
grand dieu nature,1
dieu nature tref,1
ainsiles anges com,1
mandent bommes hommes,1
bommes hommes bestes,1
ame corps ciel,1
corps ciel terre,1
ciel terre rai,1
affin efl moins,1
efl moins habile,1
moins habile commander,1
oit conduit cr,1
conduit cr guidé,1
cr guidé parceluy,1
guidé parceluy lepeulr,1
parceluy lepeulr guarentir,1
aduient appetits defobeiffent,1
appetits defobeiffent raifon,1
magiffrats princes princes,1
princes princes dieu,1
alors voit dieu,1
voit dieu vient,1
dieu vient uanger,1
vient uanger iniures,1
faire executer loy,1
executer loy eternelle,1
loy eternelle eflablie,1
donnant royaumes cz,1
royaumes cz empires,1
ages vertueux princes,1
mieux entenduz maniement,1
entenduz maniement affaires,1
maniement affaires gounernement,1
affaires gounernement peuples,1
venir quelaties fois,1
nement vainqueurs cg,1
vainqueurs cg vaincuz,1
cg vaincuz quand,1
vaincuz quand dy,1
quand dy iustice,1
dy iustice entends,1
iustice entends prudéce,1
commander droiclure integrité,1
donques fuite dangereu,1
cigner princes reigles,1
fondement ruineux cefluy,1
ruineux cefluy là,1
iniufhice armee force,1
armee force prend,1
olüe preffe passions,1
preffe passions violentes,1
tient foudain confifcation,1
amour adultere yvne,1
adultere yvne cholere,1
yvne cholere fureur,1
one iniure meur,1
trece tonnerre va,1
tonnerre va deuant,1
reattffi prince depraué,1
opinions tyranniques passer,1
condemnation deuant preuue,1
puisse imaginer ruiner,1
imaginer ruiner princes,1
cz droits pretace,1
droits pretace feavthevr,1
pretace feavthevr ennemis,1
feavthevr ennemis cy,1
exemption charges liberté,1
charges liberté populaire,1
liberté populaire rebeller,1
populaire rebeller sujets,1
rebeller sujets contre,1
sujets contre princes,1
contre princes naturels,1
ouurans portea licentieufe,1
portea licentieufe anarchie,1
pire forte tyrannie,1
forte tyrannie monde,1
tyrannie monde voila,1
monde voila fortes,1
hommes efcripts cg,1
efcripts cg moyens,1
cg moyens contraires,1
moyens contraires confpirent,1
contraires confpirent ruine,1
confpirent ruine republiques,1
non malice ignorance,1
malice ignorance affaires,1
eclarcir cest œuure,1
estre tel defrreyn,1
tel defrreyn eufl,1
defrreyn eufl eflé,1
eufl eflé mis,1
eflé mis lumiere,1
mis lumiere celuy,1
turelle quil porte,1
quil porte public,1
enst incité faire,1
cest nicolas fieur,1
nicolas fieur h,1
fieur h umeroles,1
hommes royaume mieux,1
royaume mieux accomplis,1
mieux accomplis sciences,1
accomplis sciences honestes,1
ance lay depuis,1
lay depuis dixhuit,1
depuis dixhuit ans,1
veu monter degrez,1
maniant dextrement affaires,1
dextrement affaires royaume,1
ï pensé pouuois,1
pensé pouuois mieux,1
pouuois mieux adre,1
jer labeur faire,1
envoye donc censurer,1
donc censurer discretion,1
faire tel pris,1
era bien venu,1
