token_,count
,16751
magistrats,233
puissance,206
bien,186
senat,155
faire,151
prince,139
magistrat,134
peuple,128
aussi,115
roy,101
conseil,100
republique,97
corps,97
loy,95
estat,93
foit,90
non,88
doit,81
college,76
loix,75
quand,74
charge,74
chose,70
estre,67
colleges,67
lettres,67
lieu,65
estats,65
plusieurs,64
ains,59
contre,59
iustice,59
celuy,58
princes,58
cause,58
cas,58
cela,57
commander,55
rien,54
com,53
dire,51
peu,51
faut,50
uns,50
office,50
cy,48
advis,47
depuis,47
mesmes,47
sujets,46
outre,46
grand,45
empereur,45
toutesfois,45
fort,45
entre,44
fust,44
quelque,43
moins,43
edits,40
mot,39
officiers,38
senateurs,38
neantmoins,38
combien,37
seulement,37
question,37
tousjours,36
toute,36
mort,36
souvent,36
affaires,36
quelques,36
privé,36
tribuns,36
souverain,36
choses,35
faifoit,35
come,35
trois,34
autant,34
feroit,34
pourquoy,34
nom,34
rome,34
particuliers,34
commandement,34
cour,33
estoyent,33
dessus,33
tribun,33
quel,32
parle,32
deuant,32
là,32
quoy,32
forte,32
an,32
particulier,32
peine,32
estoient,32
temps,31
où,31
personnes,31
parlement,31
ville,31
collegues,31
ordonnances,30
premier,30
quant,30
iusques,30
iuges,30
pouuoir,30
sous,30
troisiesme,29
public,29
honneur,29
guerre,29
commiflion,29
commiffion,29
confuls,29
auons,28
con,28
sil,28
mandement,28
droit,28
force,28
charges,27
royaume,27
romains,27
qualité,27
voir,27
republiques,26
dieu,26
ment,26
mots,26
opinion,26
nombre,26
mieux,26
execution,26
publiques,26
ordinaire,26
forme,26
causes,26
peuuent,26
donner,25
mettre,25
executer,25
anciens,25
vie,25
vertu,24
iugement,24
fçauoir,24
bon,24
ad,24
foy,24
publique,24
difoit,24
personne,24
tion,23
beaucoup,23
priuileges,23
lequel,23
fin,23
telle,23
conful,23
mandemens,23
iuger,23
edit,23
requeste,23
commiflaires,23
iamais,22
veu,22
autrement,22
p,22
villes,22
paris,22
offices,22
ans,21
entend,21
dix,21
nc,21
foyent,21
grands,21
quatre,21
cens,21
appelloit,21
maiesté,21
iurifdiction,21
nature,21
cap,21
hommes,20
charles,20
obeir,20
cognoiftre,20
passer,20
duquel,20
certain,20
difference,20
voix,20
ex,20
enuers,20
prefent,20
vray,20
permis,20
pouuoit,20
cognoiflance,20
estant,20
parce,19
pourueu,19
hors,19
donc,19
veut,19
moindre,19
parles,19
pris,19
preteurs,19
communautez,19
moyen,18
main,18
seigneurs,18
grande,18
arrest,18
pays,18
cenfeurs,18
iurifdiétion,18
commiflions,18
contraire,18
tenir,17
elles,17
ordonnance,17
dy,17
venize,17
capitaine,17
prendre,17
mois,17
laloy,17
ge,17
quil,17
pro,17
defenfes,17
lors,17
alors,17
voulut,16
populaires,16
fages,16
ap,16
celle,16
pluftoft,16
quelquesfois,16
coustume,16
anciennement,16
mil,16
ayt,16
fix,16
partie,16
tel,16
faute,16
voit,16
aucune,16
iuge,16
aucun,16
officier,16
enfemble,16
biens,15
conseillers,15
fois,15
pareil,15
ordinaires,15
dignité,15
gens,15
gouuerneurs,15
cinq,15
part,15
parauant,15
tenu,15
cftre,15
mis,15
appel,15
ciceron,15
appelle,15
auoyent,15
commun,15
preteur,15
met,15
populaire,14
fuffent,14
raifon,14
vouloir,14
res,14
ordonné,14
lesautres,14
có,14
regard,14
romain,14
mourir,14
euffent,14
appeller,14
souveraine,14
prefident,14
cognoiffance,14
propre,14
magi,14
parler,14
foient,14
commis,14
fortes,14
plufpart,14
sujet,14
condamné,14
col,14
communauté,14
chef,13
haut,13
vnc,13
quelle,13
quela,13
france,13
voulu,13
prin,13
bié,13
citoyens,13
parlant,13
befoin,13
empire,13
capitaines,13
deputez,13
arrests,13
oppofition,13
expres,13
termes,13
fuperieur,13
raison,12
ennemis,12
auf,12
cofeil,12
telles,12
appellent,12
iu,12
ayent,12
requis,12
pourle,12
jamais,12
empereurs,12
proces,12
afin,12
publier,12
finon,12
cours,12
celà,12
pu,12
prouinces,12
proprement,12
mander,12
ofhciers,12
actes,12
condamner,12
crime,12
lieutenans,12
collegue,12
famille,12
colle,12
civile,12
menu,11
dirons,11
comment,11
difant,11
monarchie,11
tiltre,11
grecs,11
debuoir,11
profit,11
quád,11
femblable,11
estar,11
enfans,11
xx,11
amende,11
tite,11
liue,11
dir,11
commeil,11
difficulté,11
feul,11
prouince,11
quelqu,11
iaçoit,11
abus,11
premiers,11
def,11
ftatuts,11
peines,11
garde,11
prefence,11
amitié,11
homme,10
fcauoir,10
po,10
at,10
souveraineté,10
receuoir,10
propos,10
pres,10
corriger,10
repvblique,10
nat,10
latins,10
donné,10
mesmement,10
actions,10
auroit,10
iour,10
affin,10
fair,10
roys,10
ges,10
foufrance,10
nul,10
és,10
estoyét,10
deliberative,10
danger,10
mal,10
accord,10
fion,10
grece,10
voyons,10
efpaigne,10
plutarque,10
patentes,10
parla,10
place,10
punition,10
maicfté,10
f,10
gardé,10
tenus,10
licite,10
ja,10
rendre,10
commiflaire,10
cum,10
rigueur,10
va,10
aucunement,10
fimple,10
droiét,10
nu,10
iuste,10
punir,10
vfer,10
tiers,10
tre,9
affemblee,9
icelle,9
louis,9
ordre,9
chois,9
receu,9
angleterre,9
tué,9
em,9
tuer,9
philippe,9
bonne,9
senateur,9
cftoit,9
peuples,9
peust,9
ia,9
auquel,9
defendu,9
pape,9
naturel,9
àla,9
vouloit,9
porte,9
maisil,9
ioint,9
ferment,9
entendre,9
dira,9
ae,9
lefquels,9
està,9
cest,9
effe,9
aucc,9
ordinairement,9
qua,9
fentence,9
omnes,9
noftre,9
faits,9
no,9
dictateur,9
emporte,9
varron,9
aufquels,9
uoir,9
auoiét,9
tiennent,9
faifoient,9
iugé,9
papinian,9
droi,9
general,9
procureur,9
merite,9
um,9
imperium,9
ab,9
quam,9
prifon,9
fuperieurs,9
commande,9
repub,9
confrairies,9
af,8
neron,8
té,8
aristocratiques,8
appellez,8
plein,8
chancelier,8
tire,8
eucfques,8
nes,8
augufte,8
neceffaire,8
cóme,8
lifons,8
cu,8
efgard,8
pendant,8
apud,8
appelloyent,8
fecrets,8
pa,8
appert,8
cobien,8
seigneur,8
dece,8
moindres,8
commiffions,8
touchant,8
be,8
parlemét,8
paix,8
requestes,8
demander,8
attendu,8
pluficurs,8
decret,8
annee,8
foldats,8
trait,8
commiffaires,8
donnee,8
pontifes,8
parties,8
notable,8
doubte,8
iours,8
tousles,8
efl,8
ca,8
territoire,8
appellé,8
bataille,8
proceder,8
edi,8
erreur,8
iustes,8
voyant,8
iurifdi,8
pouuoient,8
souverains,8
inique,8
verifier,8
mande,8
fuiuant,8
armee,8
preuoft,8
comunautez,8
nobles,7
solon,7
maintenant,7
lefquelles,7
ages,7
celles,7
parl,7
grandes,7
caril,7
contreles,7
cruauté,7
fit,7
matiere,7
entree,7
donna,7
voulant,7
maintenir,7
teurs,7
demeure,7
entiere,7
prefque,7
enquoy,7
encor,7
ofhce,7
of,7
athenes,7
téps,7
quin,7
pou,7
rc,7
ro,7
eo,7
dre,7
onques,7
tient,7
quitter,7
fera,7
enla,7
reigle,7
troisiesm,7
parlaloy,7
iceluy,7
lacour,7
nouucau,7
præteur,7
vouluft,7
oit,7
chefs,7
empefcher,7
definition,7
comander,7
souveraines,7
trouve,7
monstré,7
pourroit,7
h,7
ques,7
fembloit,7
lieux,7
refponfe,7
ve,7
diuifion,7
magiltrats,7
ila,7
notoire,7
ancienne,7
tou,7
crimes,7
pat,7
ac,7
ona,7
donne,7
aage,7
commif,7
deleur,7
certains,7
civiles,7
appartient,7
aut,7
per,7
voye,7
liure,7
iurifconfulte,7
magiltrat,7
religion,7
claufe,7
lieutenant,7
autruy,7
particulieres,7
cotre,7
dement,7
familles,7
exemple,7
maiftre,7
tables,7
habitans,7
naturelle,7
rebellion,7
verité,7
neque,7
cü,7
inferieurs,7
comunauté,7
panor,7
prudence,6
oril,6
contraires,6
legitime,6
he,6
marques,6
fage,6
cefar,6
cftoyent,6
elt,6
uent,6
dangereux,6
importance,6
plaintes,6
pourauoir,6
mandements,6
mefpris,6
occafion,6
dernier,6
faisant,6
armes,6
traiter,6
licu,6
souverian,6
affembler,6
doibuent,6
prerogatiue,6
voire,6
tels,6
puiffe,6
ena,6
haute,6
ftoit,6
alloit,6
defendre,6
mesmemét,6
obligation,6
our,6
for,6
duc,6
genes,6
auguste,6
attédu,6
fou,6
cés,6
ancien,6
tirer,6
ble,6
xxx,6
auoyét,6
fecretaires,6
tibere,6
marc,6
decider,6
erigé,6
estroit,6
finances,6
porté,6
italie,6
douze,6
maiftres,6
quad,6
cho,6
ordonna,6
felon,6
erection,6
extraordinaires,6
liberté,6
alliez,6
femble,6
uant,6
anciés,6
conclure,6
us,6
extraordinaire,6
cfté,6
donnoit,6
ple,6
autorité,6
vfé,6
mafliers,6
ij,6
pl,6
carle,6
pourles,6
pp,6
fiege,6
iugemens,6
pompee,6
comiffion,6
fimples,6
droict,6
clause,6
do,6
diminuer,6
commandé,6
porter,6
imperio,6
effet,6
vlpian,6
choifis,6
amendes,6
faifir,6
confentement,6
giftrats,6
maxime,6
appelloient,6
don,6
ottroy,6
garder,6
obeiffance,6
reffort,6
iniure,6
iln,6
bourdeaux,6
feulemét,6
abbé,6
io,6
inl,6
lib,6
yeux,5
discretion,5
riches,5
chacune,5
qualitez,5
diuerfité,5
puifle,5
entreles,5
entreprifes,5
mé,5
vaut,5
poinét,5
refolutions,5
fecrettes,5
depend,5
volonté,5
appellations,5
venir,5
ft,5
principale,5
sc,5
latin,5
ll,5
quafi,5
el,5
vtile,5
oules,5
defenfe,5
lay,5
fignifie,5
vieillards,5
hebrieux,5
cftats,5
fiest,5
eten,5
monde,5
comman,5
exploits,5
laiustice,5
maifon,5
neceflaire,5
quandil,5
contraints,5
ordi,5
turquie,5
voila,5
anciennes,5
ofter,5
pere,5
marchans,5
diuines,5
efcrit,5
claude,5
nó,5
multitude,5
z,5
testament,5
deniers,5
nefe,5
abfence,5
perpetuel,5
defquels,5
senatum,5
oy,5
papirius,5
entéd,5
quis,5
larepublique,5
refolu,5
estrange,5
grandeur,5
sept,5
face,5
aller,5
quäd,5
apel,5
fol,5
accouftumé,5
iiij,5
vraye,5
voiren,5
quiauoit,5
vin,5
perdu,5
im,5
wa,5
trop,5
ray,5
grád,5
infamie,5
ouen,5
petits,5
desautres,5
quod,5
ail,5
pleine,5
mile,5
contraint,5
infinie,5
decerner,5
der,5
difpofer,5
ec,5
leze,5
decrets,5
feste,5
exprefle,5
feroyent,5
ordónance,5
tions,5
quelles,5
quelconque,5
g,5
faite,5
quine,5
is,5
estla,5
limitee,5
humaines,5
entrer,5
fem,5
ariftote,5
cognoift,5
iurifconfultes,5
contraindre,5
erigez,5
cire,5
prefens,5
cen,5
reuoquer,5
crainte,5
deflors,5
cr,5
icy,5
neceflaires,5
generale,5
droits,5
establis,5
inter,5
meurtres,5
commettre,5
laifler,5
orcs,5
court,5
receuable,5
coup,5
françois,5
adioufter,5
orateur,5
foldat,5
caffer,5
fautes,5
doubter,5
iure,5
esclaves,5
fu,5
condition,5
apoint,5
pauures,5
por,5
appius,5
demettre,5
commandemens,5
commune,5
lement,5
àl,5
fuit,5
ele,5
collectif,5
moyens,5
varieté,5
deles,5
faites,5
icelles,5
equité,5
voler,5
diftin,5
remonftrances,5
long,5
punis,5
difpute,5
facrifices,5
publices,5
coupable,5
priuile,5
iuifs,5
gift,5
questio,5
obliger,5
reflort,5
offi,5
penfé,5
puni,5
approcher,5
egaux,5
k,5
munauté,5
peres,5
entretenir,5
religieux,5
habitas,5
douceur,4
decommander,4
nobleffe,4
oi,4
ures,4
rer,4
definitions,4
fous,4
touché,4
difons,4
meilleur,4
prendra,4
ence,4
fer,4
donnent,4
cít,4
mauuais,4
alexandre,4
carles,4
vient,4
amis,4
cinquante,4
ayát,4
cesar,4
print,4
cornelius,4
craindre,4
traian,4
peuuét,4
iceux,4
tres,4
monstre,4
pourl,4
aufh,4
atheniens,4
diuine,4
establir,4
we,4
auparauant,4
dignitez,4
conseiller,4
forces,4
efleu,4
longue,4
ialoufie,4
conscience,4
enuie,4
fouftenir,4
euiter,4
mer,4
ouil,4
faueur,4
paflé,4
florentins,4
hiftoires,4
rié,4
routesfois,4
seigneurie,4
mel,4
ns,4
bafcha,4
refus,4
pafler,4
honneurs,4
cust,4
sulla,4
euflent,4
feance,4
derniers,4
