token_,count
,30923
roy,524
bien,327
prince,281
puissance,262
empereur,213
aussi,208
faire,198
peuple,198
sujets,192
princes,191
republique,190
droit,184
france,184
celuy,157
an,154
pape,152
loy,151
foit,150
contre,147
estre,140
entre,137
empire,135
premier,134
souverain,134
romains,134
loix,128
foy,127
sujet,123
mesmes,121
enfans,121
roys,118
plusieurs,116
depuis,114
non,113
pere,113
pays,108
traité,108
rien,107
royaume,104
cause,100
doit,99
estats,98
charles,93
duc,91
tousjours,90
ville,90
moins,89
esclaves,89
quand,88
combien,88
villes,88
dire,87
souveraineté,87
estat,86
quoy,84
veu,84
dieu,84
senat,83
quelque,81
guerre,80
alliance,79
hommage,79
angleterre,79
grand,79
cas,78
chose,77
neantmoins,76
peu,76
paix,75
ains,74
forte,74
auoyent,73
p,73
estoyent,72
honneur,72
autruy,71
vie,71
fust,71
seigneur,71
lieu,70
mort,70
magistrats,70
faut,68
trois,68
temps,68
toute,67
traitez,67
cela,66
come,63
lettres,63
part,62
uns,61
peine,59
alliez,59
protection,59
laloy,58
toutesfois,58
enuers,58
louis,58
parle,57
mil,57
autant,57
donner,56
ennemis,56
ans,56
rome,56
fils,56
quant,54
iamais,54
certain,54
seulement,54
seigneurs,53
biens,53
où,52
particulier,52
citoyens,52
femme,52
lequel,51
esclave,51
quel,50
feroit,50
charge,50
peuples,49
homme,49
mari,49
iusques,49
liberté,48
coustumes,48
tenu,48
estant,47
vray,47
con,47
cens,47
sous,47
mains,46
souvent,46
parles,44
qualité,44
edits,44
mis,43
mot,43
romain,43
ligue,43
droits,42
iustice,42
pourquoy,42
hommes,42
dix,42
naturel,42
bourgeois,42
sil,41
maifon,41
ordonnances,41
voit,41
mots,41
vaffal,41
auons,40
com,40
citoyen,40
corps,40
cité,40
moyen,40
firent,40
naples,40
maiesté,40
souverains,39
nature,39
auquel,39
foyent,39
fois,39
grande,39
coustume,39
quatre,39
maiftre,39
ment,38
force,38
cy,38
grands,38
quelques,38
lors,38
lige,38
là,37
pris,37
bon,37
fort,37
couronne,37
republiques,36
ferment,36
dessus,36
commun,35
personne,35
duquel,35
philippe,35
fera,34
tion,34
pro,34
mourir,34
parauant,34
peuuent,34
papes,34
choses,33
marque,33
femmes,33
peres,33
general,33
voir,33
nc,33
milan,33
fin,32
grace,32
mieux,32
garder,32
mettre,32
ducs,32
pourle,32
femblable,32
duché,32
priuileges,32
donc,31
famille,31
donné,31
elles,31
estrangers,31
celle,31
chef,31
arrest,31
pourueu,30
main,30
tient,30
porte,30
vertu,29
difoit,29
souverianeté,29
forme,29
parce,29
empereurs,29
anciens,29
donne,29
aucun,29
sujetion,29
requeste,29
italie,29
noy,29
magistrat,28
efpaigne,28
contraire,28
armes,28
nom,28
royaumes,28
outre,28
public,28
estoient,28
mere,28
habitans,28
prendre,28
alors,28
arragon,28
hors,27
difference,27
pouuoit,27
amitié,27
telle,27
advis,27
particuliers,27
cantons,27
faite,27
edit,27
beaucoup,27
lifons,27
attendu,27
officiers,27
partie,26
faute,26
autrement,26
per,26
appelle,26
aucune,26
tousles,26
permis,26
prifonnier,26
aucc,25
veut,25
raifon,25
vouloir,25
lesautres,25
faifoit,25
ancienne,25
finon,25
quil,25
latins,25
femble,25
regard,25
pourroit,25
tre,25
iuges,25
voulut,25
conseil,25
françois,25
chrestiens,25
fief,25
prin,25
mal,24
souveraine,24
faits,24
cftoit,24
priuilege,24
appel,24
oftages,24
payer,23
gens,23
monde,23
voyons,23
propre,23
cinq,23
dira,23
parlement,23
commandement,23
confentement,23
ro,23
ordonnance,23
lafoy,23
macedoine,23
pierre,23
face,22
ex,22
bié,22
deuant,22
quela,22
té,22
fit,22
naturelle,22
iuste,22
àl,22
capitaine,22
afin,22
royne,22
estranger,22
seigneurie,22
prote,22
vaflal,22
parties,21
res,21
obeiffance,21
ainsaussi,21
fçauoir,21
occafion,21
cent,21
terres,21
ge,21
pareil,21
paris,21
pouuoir,21
euffent,21
befoin,21
athenes,21
henry,21
porté,21
ambaffadeur,21
alliances,21
acheans,21
menu,20
donna,20
vraye,20
faifant,20
souverian,20
fix,20
dirons,20
personnes,20
fil,20
em,20
vnc,20
ancien,20
àla,20
crime,20
mesmement,20
obligé,20
armee,20
dernier,20
grece,20
eglife,20
cour,20
estar,19
telles,19
amis,19
affaires,19
ve,19
premiere,19
enfant,19
voulu,19
commander,19
exemple,19
termes,19
no,19
tué,19
receu,19
profit,19
tenus,19
henri,19
charges,19
ja,19
feruice,19
ambafladeur,19
mois,19
imperiale,19
fair,18
gift,18
pres,18
accord,18
opinion,18
voyant,18
iugement,18
familles,18
romaine,18
f,18
repvblique,18
prefent,18
tenir,18
tiennent,18
venize,18
ambafladeurs,18
bonne,18
conful,18
lefquels,18
fráce,18
procureur,18
cóme,17
ligues,17
quelquesfois,17
fimple,17
cest,17
pa,17
terre,17
tiltre,17
fiest,17
monftrer,17
entreles,17
efcrit,17
uoit,17
maiftres,17
dy,17
entendre,17
sicile,17
preiudice,17
argent,17
maicfté,17
gouuerneur,17
bourgeoisie,17
reffort,17
feureté,17
fecours,17
trouve,16
jamais,16
auguste,16
publique,16
affin,16
religion,16
pais,16
quafi,16
comte,16
plaifir,16
ordre,16
fille,16
va,16
feruitude,16
appellent,16
ofter,16
defendu,16
paternelle,16
al,16
faifoyent,16
fer,16
teste,16
receuoir,16
parler,16
tributaires,16
tres,16
chambre,16
question,15
feu,15
viure,15
tel,15
toutainsi,15
iour,15
voila,15
nombre,15
enfemble,15
quine,15
moindre,15
noftre,15
lesloix,15
maison,15
marques,15
parlant,15
pourauoir,15
acte,15
enuoya,15
iu,15
mer,15
