token_,count
,12431
bien,198
aussi,127
peuple,115
roy,111
peuples,110
estat,85
pays,77
faire,69
hommes,66
prince,63
sujets,62
estre,60
foit,60
peu,59
republique,57
guerre,56
romains,54
moyen,53
biens,53
moins,52
faut,51
empereur,45
ville,44
entre,44
grand,44
cause,43
fort,43
rien,43
princes,42
honneur,42
mesmes,41
paix,41
septentrion,40
mil,40
ans,40
chose,39
villes,39
ennemis,39
beaucoup,38
quoy,37
plusieurs,37
celuy,37
an,37
france,37
dire,36
non,36
loy,36
autant,35
veu,35
depuis,35
royaume,35
là,34
combien,34
où,34
quand,33
tousjours,33
enfans,32
naturel,31
estats,31
meridional,31
deuant,31
neantmoins,31
dieu,31
nombre,31
nature,30
loix,30
grande,30
quelque,30
temps,30
mieux,30
uns,30
armes,30
iamais,30
vie,29
doit,29
cinquiesme,29
ains,29
republiques,28
grands,28
populaire,28
afrique,28
toute,28
contre,28
ordre,28
lieux,27
midy,27
capitaine,27
lieu,26
force,26
fust,26
vertu,26
forte,25
gens,25
anciens,25
mal,25
habitans,25
trois,24
contraire,23
fera,23
come,23
françois,23
cens,23
toutesfois,23
p,23
occafion,23
estant,22
cent,22
femmes,22
loyers,22
fin,21
pourquoy,21
partie,21
feroit,21
peine,21
estoyent,21
con,20
iusques,20
seigneurs,20
prix,20
murailles,20
quel,19
bon,19
monde,19
charles,19
duc,19
seulement,19
alliez,19
quelques,18
cy,18
droit,18
raifon,18
feront,18
estoient,18
quatre,18
voir,18
onques,18
armee,18
quant,18
veut,18
donner,18
sous,17
haut,17
ordonnances,17
mourir,17
puissance,17
afin,17
pauures,17
garde,16
fortes,16
cela,16
trop,16
donc,16
ment,16
chaleur,16
efpaigne,16
efprit,16
maifon,16
personne,16
coustume,16
bataille,16
ennemi,16
humeur,15
orient,15
vers,15
froid,15
grandes,15
vray,15
extreme,15
homme,15
foyent,15
iustice,15
auons,15
firent,15
cinq,15
lequel,15
nc,15
voit,15
part,15
cas,15
donne,15
argent,15
heritages,15
autruy,15
filles,15
prefque,14
euffent,14
angleterre,14
italie,14
empire,14
res,14
militaire,14
alors,14
cest,14
peuuent,14
menu,14
foy,14
dix,14
fois,14
jamais,14
com,14
monarchie,14
ordonnance,14
fecours,14
regions,13
parlant,13
corps,13
yeux,13
sept,13
milieu,13
almans,13
difoit,13
cefar,13
choses,13
vertueux,13
faute,13
mort,13
almaigne,13
cinquante,13
certain,13
religion,13
mefchans,13
offices,13
places,13
pris,12
degré,12
difference,12
feditions,12
rome,12
naturelle,12
autrement,12
parauant,12
parties,12
tacite,12
guerres,12
grece,12
fuffent,12
anglois,12
aage,12
mains,12
femble,12
condamnez,12
souvent,12
laloy,12
moyens,12
voyant,12
estar,12
premier,12
pauvreté,12
riches,12
eglife,12
capitaines,12
ennemy,12
em,11
mont,11
septentrional,11
ordinairement,11
quarante,11
gaulois,11
lesautres,11
parle,11
sang,11
exemple,11
roys,11
voleurs,11
douze,11
bons,11
civiles,11
estrangers,11
faifoit,11
vfure,11
equalité,11
debtes,11
profit,11
public,11
sil,11
cour,11
domaine,11
loyer,11
romain,10
athenes,10
telle,10
terre,10
ex,10
hiftoires,10
forces,10
vi,10
aller,10
maisil,10
face,10
condamné,10
prend,10
pres,10
beau,10
art,10
affin,10
peines,10
proces,10
ve,10
crainte,10
publiques,10
pro,10
voila,10
dessus,10
befoin,10
defendu,10
aristocratique,10
souverain,10
particulier,9
nobleffe,9
victoire,9
vices,9
propre,9
occident,9
homes,9
noftre,9
bestes,9
grandeur,9
efpaignols,9
elles,9
vaincus,9
lifons,9
iugement,9
vnc,9
lors,9
coup,9
femblable,9
mer,9
montaignes,9
qualité,9
ciceron,9
ac,9
lon,9
venize,9
pluftoft,9
parles,9
aucune,9
anciennes,9
quine,9
petit,9
telles,9
ofter,9
auoyent,9
annibal,9
mis,9
tient,9
hormis,9
requeste,9
puiffe,9
perdu,9
estans,9
faifant,9
maifons,9
attendu,9
pouuoit,9
heritiers,9
permis,9
louis,9
receuoir,9
faueur,9
lefquels,9
pourroit,9
forme,8
fair,8
ayát,8
perte,8
affaires,8
iour,8
va,8
plutarque,8
citoyens,8
personnes,8
die,8
fçauoir,8
egypte,8
cobien,8
