token_,count
où vient,17
longue durée,9
voilà pourquoy,8
grand nombre,7
là vient,6
quelques animaux,5
routes fortes,4
pris nom,4
non seulement,4
entre animaux,4
trois cents,4
là où,3
compris sous,3
sous nom,3
combien fortes,3
trois ans,3
forme pomme,3
pomme pin,3
quelques fois,3
quelque temps,3
long temps,3
bien souvent,3
petits vie,3
pourroit faire,3
parfecte grandeur,3
fort souvent,3
maladies populaires,3
chaleur naturelle,3
quelques uns,3
fuit pres,3
pres nature,3
telles choses,3
vient chaftrez,3
neuf mois,3
naturel plantes,2
chose vouloir,2
monde parties,2
quelle difference,2
faudroit aussi,2
ouurier choses,2
force frui,2
pourquoy plantes,2
grand peine,2
plusieurs choses,2
beaucoup choses,2
nature ofté,2
abondance chaleur,2
lieux froids,2
el el,2
parties monde,2
portent douces,2
naiffent lieux,2
toute vertu,2
trop grand,2
toutesfois trouue,2
rebours animaux,2
petites pieces,2
elles peuuent,2
quand grand,2
celà foit,2
vnc befte,2
elles portent,2
vin blanc,2
trente ans,2
faire dormir,2
peu peu,2
quelque bois,2
bois pourry,2
aucune raison,2
petit nombre,2
premier iour,2
latins appellent,2
petits oifons,2
pourquoy cela,2
ventre mere,2
bon gré,2
voye propagation,2
quand chose,2
chose engendre,2
plusieurs animaux,2
premierement œufs,2
chenille ver,2
faire cela,2
ver foye,2
cercher cachettes,2
enfeuclis fommeil,2
trois mois,2
fix mois,2
quelque peu,2
certain temps,2
vaut autant,2
autant dire,2
moins rien,2
mourir regard,2
comment pourroit,2
telle forte,2
aucun animal,2
felon grecs,2
fair guerre,2
cinq efpeces,2
cercher pafture,2
def quels,2
quand autans,2
choses hautes,2
fuir pres,2
eur nature,2
voiles vent,2
fond mer,2
flux mer,2
lieux maritimes,2
elles foyent,2
part monde,2
quelle chose,2
k certes,2
entendu dire,2
elles naifloyent,2
donner grand,2
quatre fortes,2
toute terre,2
ordre nature,2
boire manger,2
souvent mort,2
loy diuine,2
où fort,2
crefte rouge,2
fort differents,2
fage ouurier,2
air courant,2
refte animaux,2
yeux ouuerts,2
quelque chose,2
aussi fin,2
os aussi,2
cest animal,2
oà vient,2
nature donné,2
quand elles,2
cest chose,2
cest dire,2
pluftoft mourir,2
toute forte,2
pline efcript,2
fois quelques,2
aliment membres,2
rendre raifon,2
fort petit,2
telle fimilitude,2
force chaleur,2
temps prefix,2
is seulement,2
fois seulement,2
grand partie,2
sous filence,2
cause efficiente,2
efficiente cecy,2
fois viuent,2
cinq cens,2
an aage,2
quelques hommes,2
allient ensemble,2
nature uns,2
animaux blancs,2
pourquoy appelle,2
entendra bien,2
quel vfage,2
ev eden,1
eden patior,1
patior ep,1
dv theatre,1
theatre natvre,1
wfuguel efl,1
efl tvaitlé,1
tvaitlé naturel,1
premierement plantes,1
elles mefines,1
mefines culture,1
culture cf,1
cf diflintlion,1
seule colli,1
patio parties,1
cule ícience,1
mefinc difpute,1
vouloir enfeigner,1
enfeigner connexion,1
difpofition parties,1
chacune enuers,1
vouloir contempler,1
contempler feparemét,1
feparemét for,1
vertu chacune,1
admirable laifon,1
laifon monde,1
parties efté,1
efté negligée,1
trai rieré,1
rieré adtré,1
adtré bontie,1
bontie partit,1
partit dés,1
dés plitofs,1
voulu expreffement,1
expreffement efcrire,1
foit defireren,1
teíte fcience,1
id pot,1
rance ftudieux,1
ftudieux choses,1
choses naturelles,1
aucunement exprimé,1
exprimé liure,1
liure precedent,1
où notisavons,1
notisavons disposé,1
ordre elements,1
corps elemencaires,1
defquels nature,1
nature inanimée,1
monftrant aufsi,1
aufsi quelle,1
quelle partie,1
partie partie,1
partie con,1
quelles choses,1
choses appartenoyent,1
appartenoyent aufsi,1
aufsi monftre,1
monftre quoy,1
quoy con,1
uenoyent pierres,1
metaux enfemble,1
quel moyen,1
moyen connexes,1
connexes uns,1
uns aueclesautres,1
metaux allies,1
allies plantes,1
plantes arbre,1
mariées pierres,1
pierres moyen,1
moyen dva,1
dva atbre,1
atbre corail,1
force quelque,1
quiles tint,1
tint collez,1
collez eniemble,1
faur difpurér,1
difpurér plantes,1
animaux non,1
non fclon,1
fclon là,1
là methode,1
methode medecins,1
ia faict,1
faict ailleurs,1
theo nr,1
appelles plante,1
corps vegetable,1
difference plantes,1
cy princ,1
fçauoit pierres,1
croiffent vie,1
augmentent addition,1
addition parties,1
parties leb,1
leb parties,1
plantes foubitiennent,1
foubitiennent vie,1
conferuentieur efpe,1
aliment racines,1
racines lequel,1
lequel elles,1
elles elaborenz,1
elaborenz concoction,1
onilaion fubftance,1
fubftance eri,1
reiectans fuperflu,1
fuperflu cane,1
cane feuuie,1
don pouce,1
combieri fortes,1
adiouftes arbrif,1
àla grandeur,1
grandeur duquel,1
duquel paruien,1
autremét faudroit,1
aussi faire,1
faire espece,1
espece grádes,1
grádes herbes,1
appellées grecs,1
grecs eevyara,1
difference mets,1
entre lcs,1
arbres croilfent,1
croilfent tronc,1
tronc excefliue,1
excefliue longueur,1
herbes demeurent,1
demeurent baffes,1
arbrilleaux iettent,1
iettent ra,1
meaux dés,1
dés baffes,1
baffes racines,1
grandes herbes,1
herbes quelque,1
quelque mediocrité,1
mediocrité entre,1
entre naturel,1
naturel arbres,1
parties plantes,1
chattons bourre,1
aubour feue,1
choses fetrouuent,1
trouue prefque,1
prefque arbres,1
arbres parfects,1
lent contre,1
contre arbres,1
oótéttrskus lrvas,1
lrvas gommet,1
elles parties,1
parties plantest,1
parties mimaux,1
mimaux excremi,1
excremi melme,1
melme doit,1
ftinguer excremeng,1
excremeng plantes,1
leuis parties,1
utilité ex,1
crements plantes,1
voir larmes,1
larmes mycrhe,1
fine geneurier,1
boulez larix,1
lefquels appellons,1
appellons agaric,1
an ciens,1
ciens medicament,1
medicament familier,1
fort vfage,1
vfage mefpris,1
mefpris entre,1
entre ferui,1
produifent plantes,1
carh grand,1
meíme vertu,1
efté donnée,1
donnée diuine,1
diuine bon,1
té terres,1
corps terrestres,1
pourroit dire,1
dire rochers,1
refte naist,1
