token_,count
combien fortes,21
argent vif,12
voilà pourquoy,8
quelque chose,6
long temps,5
participe nature,4
corps elementaires,4
eau douce,4
là où,4
corps naturels,3
corps naturel,3
chacune chose,3
là vient,3
chose monde,3
quelques uns,3
toute nature,3
va fond,3
faut icy,3
loix nature,3
quelque peu,3
quelle chose,3
eau pluye,3
grand froid,3
arc celeste,3
soleil lune,3
orbe lune,3
apparust mois,3
dix fois,3
principe nature,2
quels genres,2
voudroit dire,2
genre choses,2
arc cele,2
pourroit dire,2
corps ani,2
rence entre,2
cuir rude,2
entre lefquelles,2
petits vie,2
ongle fendue,2
premiers genres,2
quatre premiers,2
routes choses,2
foit toufiours,2
fortes ail,2
lieu lieu,2
non seulement,2
deuant yeux,2
noz philo,2
là peur,2
peur entendre,2
eau feu,2
fort feiche,2
eau foit,2
harmonie elements,2
trois nombres,2
celuy milieu,2
element feu,2
void quel,2
monte haut,2
penetration corps,2
cause pourquoy,2
plusieurs pars,2
cauernes terre,2
choses legeres,2
foit remply,2
rien pefant,2
peuuent bien,2
non toutesfois,2
rien feu,2
nature feu,2
corps physiciens,2
air pouuoit,2
eau tref,2
veu elements,2
fort chaud,2
dont aduient,2
peu temps,2
voyons aussi,2
combien forte,2
fois foit,2
autant pouuons,2
pouuons dire,2
eau terre,2
touchant nature,2
faut donc,2
pefanteur terre,2
quelle proportion,2
sous leau,2
ifle delos,2
froide region,2
quand grand,2
hautes montaignes,2
pourquoy eftce,2
peu moins,2
où palle,2
brandit iamais,2
rays soleil,2
arc celcite,2
partie ciel,2
pourroit faire,2
corps clementaires,2
corps elementaire,2
ia terre,2
nom terre,2
peuuent paistrir,2
quels liens,2
contiennent chacune,2
eau gelée,2
moins trois,2
iamais pu,2
argent fixe,2
eau marine,2
vin rouge,2
presse second,1
second dv,1
dv theatre,1
theatre eauquel,1
eauquel eff,1
eff traiéie,1
traiéie elements,1
corps elemeniaires,1
premierement dinifion,1
dinifion corps,1
aucunement com,1
prendre premier,1
premier principe,1
ment declaré,1
declaré liure,1
liure precedét,1
appartiendroit do,1
entierement fondée,1
fondée có,1
temolation corps,1
uons fuffifamincnt,1
fuffifamincnt traité,1
traité caules,1
moyen naist,1
prend accroille,1
explique inoy,1
inoy maintenant,1
sous quels,1
cfpeces compris,1
compris tát,1
tát corps,1
naturels accidents,1
srzcowp liver,1
my stag,1
stag g,1
g vs,1
srms satymz,1
satymz cie,1
cie premier,1
premier où,1
hors limites,1
limites nature,1
iugé appartenir,1
appartenir mctaphyfi,1
premiere philofophie,1
peur compris,1
dict liure,1
liure preccdent,1
nier principe,1
nature pouuoit,1
clos limites,1
limites fignification,1
veu mot,1
mot pee,1
ilne pourra,1
pourra aucu,1
ment genre,1
atirrementl faudroit,1
pource lomemph,1
difference genre,1
raison animal,1
fois raifon,1
mefine naist,1
autát bien,1
abondance pref,1
infinie choses,1
grand neœffité,1
neœffité parolles,1
parolles propres,1
propres exprimer,1
contrainét iuf,1
là etre,1
lieu genre,1
desoutes choses,1
vouous icy,1
icy fuyure,1
quiia eliably,1
eliably sr,1
sr ax,1
ax genre,1
choses quelion,1
efté creées,1
infiny finy,1
choses eternelles,1
eternelles cor,1
mee tuptibles,1
abeaucoup mieux,1
mieux faiét,1
dieu sous,1
ordre fen,1
causes naturelles,1
quand cu,1
cu faifant,1
yn princi,1
f principes,1
principes nature,1
affranchix con,1
nexion causes,1
causes ænec,1
dieu premier,1
premier obicét,1
ponrce premier,1
premier obic,1
efgalife puillance,1
hóme fortes,1
fortes finie,1
dieu infiny,1
comment veut,1
íoitle genre,1
homme pet,1
pet comprendre,1
enlecre foy,1
foy effentiellement,1
oueft conten,1
dernieres differences,1
differences fonc,1
fonc receuës,1
receuës effenrieilement,1
difent phiiofophes,1
phiiofophes quiditatiuement,1
grecs ap,1
pellent cela,1
cela rè,1
rè ri,1
ri ässr,1
sous propre,1
propre fignifica,1
forte choses,1
quelles lr,1
aufquellesil vniuoque,1
naturel cit,1
eftenclos capacité,1
capacité grand,1
fpatieux monde,1
estre naturels,1
fçauoir corps,1
corps natu,1
fcanoir corps,1
corps commencé,1
corps paresse,1
paresse parfe,1
parfe celuy,1
delhi obtenu,1
obtenu patfecte,1
patfecte forme,1
côméce matie,1
requi tend,1
tend forme,1
forme patfeéte,1
miets rudirhents,1
rudirhents mineraux,1
fortes æil,1
æil ents,1
sanant sn,1
sn armes,1
armes mana,1
mana tp,1
tp nine,1
nine eme,1
eme emat,1
emat ot,1
ot srconp,1
deuxsà ágauoir,1
corpi clementaire,1
pegarcoelle pcfans,1
pcfans comprend,1
comprend terre,1
eaujcelle legers,1
legers feu,1
corps ele,1
inftable rudiments,1
rudiments efpeces,1
fçauoir vapeur,1
mixcionent im,1
el clairs,1
aire lumineuse,1
refte phätofines,1
ón void,1
void pr,1
pr delfus,1
nefont longue,1
longue durée,1
peuuent appellez,1
appellez corps,1
corps inítables,1
inítables natu,1
fermes nature,1
cy fortes,1
cít ame,1
combien do,1
do fortes,1
ildecor ns,1
ns ame,1
cy env,1
env genres,1
genres sous,1
auquel rapportét,1
rapportét pierres,1
auquel contenuz,1
forte corps,1
corps ame,1
cu vie,1
tels pourroit,1
dire plantes,1
efte couppées,1
couppées tiges,1
ani maux,1
maux priuez,1
priuez vie,1
beste animal,1
ferons icy,1
icy troiüef,1
moitié plante,1
moitie animal,1
appelle zwésvier,1
rapporte genre,1
genre relpecespar,1
relpecespar quelle,1
quelle ex,1
dignité vfage,1
androgyne hermaphrodite,1
hermaphrodite fexe,1
toutesfois combien,1
combien veuille,1
veuille appeller,1
ray ncantmoins,1
ncantmoins lcs,1
lcs nombrer,1
nombrer entre,1
entre fim,1
ples grande,1
grande commodité,1
commodité diuifió,1
doit roufiours,1
roufiours faire,1
faire branches,1
appelle duxclouia,1
entende facilement,1
facilement efté,1
efté mefle,1
fortes plantes,1
cít fertile,1
fertile fterile,1
là sous,1
sous elles,1
elles beaucoup,1
quant atbriffeaux,1
rapportent arbres,1
àleur genre,1
grandes herbes,1
pellées grecs,1
rapportent gen,1
res plu,1
grandeur pcti,1
telle tiges,1
autrement voulions,1
voulions eftablir,1
eftablir fortes,1
fortes plátes,1
euft grand,1
grand confufon,1
confufon diuifion,1
ent auteur,1
forme bié,1
bié fouuét,1
fouuét fembläce,1
fembläce dcs,1
dcs ieunes,1
ieunes arbres,1
void fauge,1
fauge fiinus,1
fiinus paumc,1
althée mauue,1
mauue blarche,1
skscows blanche,1
phofiourr sumets,1
sumets fmblables,1
tx combien,1
combien defocres,1
ons intelligence,1
combsion fortes,1
deffoais ciel,1
ciel dr,1
dr lime,1
kefquels appelle,1
appelle celefes,1
dcs vihibles,1
fontles planeres,1
see inuifibles,1
inuifibles sets,1
rafile ligences,1
ligences celestes,1
pd nimaue,1
aben efrs,1
telligibles sous,1
sous ciel,1
ciel lune,1
genies lcs,1
lcs el,1
pm sc,1
sc prits,1
tiennent dás,1
dás corps,1
corps defunéts,1
intel où,1
où anges,1
anges bonne,1
bonne mau,1
uaife nature,1
beftes bru,1
trouuent auff,1
auff fortes,1
lit liure,1
liure naiffance,1
naiffance monde,1
oifeaux fortitent,1
nafquirent caux,1
oifeaux beftes,1
tont plumes,1
fouris feule,1
feule efpece,1
beftes plumes,1
oifeau chant,1
encor chacune,1
chacune forte,1
forte plu,1
ficurs cípeces,1
verra licu,1
où elles,1
elles feront,1
feront expliquées,1
cuir doux,1
cuir peau,1
peau polie,1
encor fortes,1
uns os,1
ues os,1
pluficurs efpeces,1
lefquelles efcailleux,1
tortue marine,1
heriffon marin,1
cy infinité,1
femblables efpeccs,1
oublié forte,1
forte poiflon,1
foflove terre,1
quece combien,1
fofloye cer,1
choses coutiours,1
coutiours certai,1
ncsque monftres,1
naitlent fortuitemét,1
animaux ter,1
th tains,1
tains lieux,1
aupres mer,1
uraïe pus,1
pus toutesfois,1
toutesfois doit,1
doit reduire,1
reduire art,1
art ainf,1
ainf cin,1
cin srcons,1
srcons int,1
int fan,1
fan uelle,1
uelle comprend,1
comprend pen,1
cam far,1
far terre,1
tre ceus,1
dinife encor,1
eri fortes,1
defquelles premiere,1
premiere comprehd,1
comprehd eeux,1
leuts petits,1
fonc vie,1
inierement efclotre,1
efclotre œufs,1
sous dernier,1
dernier enre,1
enre compris,1
compris ferpenxs,1
mis f,1
f vipers,1
grand partie,1
partie iníc,1
pondent œufs,1
œufs airíi,1
airíi oi,1
bonne partie,1
partie poifons,1
cembien fortes,1
ariithaux ter,1
faffent petits,1
vie mv,1
mv sr,1
aui ruimi,1
nent aqui,1
orre chatneaux,1
cy fonc,1
fonc veftuz,1
veftuz poil,1
entre bocufs,1
bocufs treuuent,1
treuuent domestiques,1
entre domeftiques,1
domeftiques trainaireaux,1
entre lauuages,1
lauuages rons,1
combieh forres,1
aduages côme,1
côme cheureux,1
gotmnbien fortes,1
entre domestiques,1
domestiques porc,1
entre fauuages,1
fauuages cheual,1
cy encor,1
encor genres,1
pied solide,1
ent pied,1
pied difingué,1
difingué doigts,1
pied felide,1
wns dents,1
fortét hors,1
hors gueule,1
jes plates,1
muter mopfre,1
cipe natures,1
entre œux,1
soft picd,1
picd diftingué,1
diftingué doigts,1
tfpeces fui,1
ke veuurd,1
corps naosvcks,1
genres precedents,1
dd pourogmvy,1
outesfois participe,1
bc pa,1
fcaiblable awoltres,1
awoltres animaarx,1
ja falüficmcron,1
falüficmcron da,1
da nu,1
nu vel,1
vel dcs,1
dcs planrcs,1
commet dzapylegapicr,1
foyer uox,1
feit confafian,1
confafian pier,1
