token_,count
corps naturel,27
quelque chose,21
premiere cause,15
cause efficiente,9
peur faire,5
pourquoy non,5
trois principes,5
principes nature,5
corps physicien,5
aucune chose,4
bien souvent,4
faut donc,4
terme dont,4
premiere matiere,4
corps naturels,4
quelle fin,3
naturel estant,3
chose absurde,3
routes choses,3
aucun temps,3
pourquoy donc,3
moyen entre,3
beaucoup mieux,3
plusieurs causes,3
volonté foit,3
premier principe,3
beaucoup moins,3
chose contraire,3
toute chose,3
commune choses,3
longue durée,3
peu peu,3
certains corps,3
petit embryon,3
bien dire,2
defquelles premiere,2
trois fortes,2
feule raifon,2
elles mesmes,2
aucune part,2
efficiente corps,2
forme corps,2
vnc chose,2
prend garde,2
forme cause,2
cause foit,2
fuft partie,2
compofition corps,2
lefquels voyons,2
faut douter,2
chacune chose,2
pu faire,2
felon temps,2
fçauoir dieu,2
toufiours foy,2
monde doit,2
monde fuft,2
nom principe,2
causes inferieures,2
dernier principe,2
combien fortes,2
aussi bien,2
dire vray,2
foit quelque,2
quelle chose,2
bon droit,2
entendre quelle,2
chacune cho,2
cause foy,2
ja cause,2
chose p,2
quelque cause,2
decrets nature,2
choses venir,2
autant choses,2
là où,2
quc dieu,2
premicre cause,2
ordre nature,2
là encor,2
grand violence,2
miere cause,2
petite confequence,2
lefquelles voyons,2
demande donc,2
conduitte monde,2
rien nefe,2
eftà dire,2
plusieurs choses,2
era donc,2
doit finir,2
doit propre,2
foit forme,2
telle matiere,2
contre principes,2
fimple mouvement,2
fçauoir matiere,2
fimple naiffance,2
matiere forme,2
generation corps,2
où depart,2
dire rien,2
entre elles,2
pourquoy appelles,2
cause cause,2
chose finie,2
pourtant rien,2
harmonie monde,2
choses femblables,2
cipe nature,2
puiffe faire,2
fond comble,2
efté creé,2
efté engendré,2
non nature,2
quelque matiere,2
euft efté,2
efficiente monde,2
matiere efté,2
fcience naturelle,2
commencement origine,2
refte donc,2
pource choses,2
faut doncques,2
ordre choses,2
principe nature,2
pluficurs choses,2
fang femence,2
telles choses,2
changement elements,2
corps celestes,2
faut penfer,2
vnc fimple,2
finon quelqu,2
elles efloignées,2
autant elles,2
entrailles terre,2
cause cficiente,2
choses engendrées,2
pouuoit faire,2
quand cfcript,2
cette definition,2
long temps,2
socrates va,2
socratcs voit,2
socrates vcoit,2
faux dire,2
mouvement repos,2
choses contraires,2
aucun corps,2
quelque fois,2
derniere tuile,2
premier lives,2
quel inconuenient,2
qualites elements,2
fubftances elements,2
fimples elements,2
elements corps,2
trompe grandement,2
grand difficulté,2
dv éheatre,1
éheatre gg,1
p ax,1
ax we,1
we ul,1
pnr cover,1
don sie,1
mc pen,1
pen ve,1
ve mas,1
jn het,1
het lies,1
lies dite,1
dite cnm,1
cnm sector,1
moyen snslementles,1
snslementles causes,1
causes choses,1
choses fins,1
mv sr,1
certes demandes,1
demandes chose,1
eftimerois grande,1
grande felicité,1
pouuois obtenir,1
obtenir quelque,1
quelque homme,1
homme zou,1
zou quelque,1
quelque dieu,1
fommes ve,1
nus fin,1
fin theatre,1
theatre monde,1
ladmirable bonté,1
puitlance grand,1
grand ouurier,1
ouurier choses,1
ràuis ardente,1
ardente affeétion,1
affeétion celebrer,1
celebrer louanges,1
louanges contéplationde,1
contéplationde tovr,1
urage incóparable,1
iceluy puifque,1
feroit trop,1
trop grand,1
amitié fuft,1
fuft reciproque,1
reciproque tienne,1
encourirois petit,1
petit reproche,1
conduisant telle,1
telle chose,1
toutesfois uec,1
uec condition,1
condition demanderas,1
demanderas im,1
portunement ja,1
ja refponfe,1
auray librement,1
librement confeffé,1
confeffé fçauoir,1
ferois grand,1
grand fot,1
demandois defça,1
voit pourrois,1
pourrois enfeigner,1
fin memoire,1
memoire choses,1
choses pallées,1
fequence cognoiffance,1
nouyffent arreftans,1
arreftans trop,1
trop noz,1
noz diíceurs,1
diíceurs leules,1
leules parolles,1
cóme voyós,1
nu plusieurs,1
choyent trop,1
trop curieufement,1
curieufement beauté,1
