token_,count
où vient,12
mille ans,11
trois cents,8
corps celestes,7
voilà pourquoy,7
estoiles fixes,7
fois grand,7
diametres terre,7
cents ans,6
long temps,6
ombre terre,6
quatre heures,5
neuf mille,5
quatre cents,5
fix cents,5
cinq cents,5
diametre terre,5
cens soixante,5
dix orbes,4
là vient,4
fept mille,4
cinq cens,4
celuy terre,4
dix mille,4
cents vingt,4
trois minutes,4
telles choses,3
costé septentrion,3
costé midy,3
fix mille,3
orient occident,3
occident orient,3
fin mieux,3
grand nombre,3
trois mille,3
fept cens,3
efpace temps,3
combien efloigné,3
centre monde,3
quelle grandeur,3
quatre diametres,3
quatre mille,3
mv sr,3
lors soleil,3
quel moyen,3
toute terre,3
pourquoy hebreux,3
pleine lune,3
nombre cieux,2
partie monde,2
croyent rien,2
contemplateur nature,2
longue durée,2
alexandre aphro,2
saturne quatre,2
cy encor,2
fept orbes,2
grand plaifir,2
monftrerons cy,2
region elementaire,2
mouvement cieux,2
degrez haut,2
quelle forte,2
lequel estant,2
combien grande,2
cent trente,2
cents soixante,2
quand elles,2
creation môde,2
vingt mille,2
mille années,2
fois quatre,2
fept cents,2
trouua annales,2
moy donc,2
toute varieté,2
fept minutes,2
neuf minutes,2
fois grande,2
orbes celestes,2
effence cieux,2
quelque part,2
elles femblent,2
nombre grand,2
proportion diametre,2
fix fois,2
grandeur grandes,2
quatre fois,2
grand petit,2
quarante diametres,2
centre terre,2
fix cens,2
circuit hui,2
quatre cens,2
xante lieues,2
lieues italiques,2
cens quarante,2
cinq lieuës,2
cinq parties,2
parties fept,2
lequel efpace,2
neuf fois,2
diametres terreftres,2
lequel nombre,2
là entendre,2
quatre parties,2
diametre cerre,2
cents quarante,2
reftera quotient,2
partie quarante,2
eftoille mars,2
soleil terre,2
soixante diametres,2
soleil ja,2
diftance soleil,2
pource rayons,2
rayons soleil,2
moins force,2
cinquante fecondes,2
quand soleil,2
corps lucide,2
corps tene,2
plusieurs parties,2
efpace terre,2
partie terre,2
fois moindre,2
efté trouué,2
terre proportion,2
soleil cent,2
cent soixante,2
prefque toufiours,2
ombre terreftre,2
grand celuy,2
diametre lune,2
bas orbe,2
soleil foit,2
mouvement soleil,2
trois fecondes,2
petit nombre,2
trente fecondes,2
cinq minutes,2
telle forte,2
parce lune,2
architecte monde,2
vers couchant,2
quand lune,2
nature vegetale,2
quatorziefme iour,2
lors principalement,2
darius roy,2
sous puiffance,2
vaut autant,2
costé droi,2
vers midy,2
milieu eaux,2
partie quelque,2
quelque chose,2
parler clairement,2
exemplaires eternels,2
routes choses,2
foyons rauis,2
cinoviesme dv,1
dv theatre,1
theatre atv,1
jm ea,1
ea nquel,1
nquel sl,1
sl traiclé,1
traiclé corps,1
corps celefles,1
celefles na,1
grandeur có,1
có nombre,1
puissances eh,1
eh effelis,1
harmonie uns,1
ci tops,1
tops ensemble,1
ensemble conferuer,1
conferuer veflat,1
veflat monde,1
dieu fouucrain,1
fouucrain createur,1
wateur cbofes,1
premierement defini,1
flo ci,1
ci nombre,1
lr theoricien,1
rs difpute,1
ame tiré,1
tiré contempler,1
contempler na,1
ture ames,1
fn noble,1
same partie,1
vient plutieur,1
plutieur relegué,1
relegué cefte,1
cefte cogneitfance,1
cogneitfance difcipline,1
difcipline mathematiques,1
fda mvsragog,1
mvsragog ve,1
certain qut,1
fortes difciplines,1
difciplines f,1
f appellées,1
appellées grecs,1
grecs mabiucia,1
fois ja,1
ja propre,1
propre fignification,1
fignification mot,1
déc fenlement,1
fenlement fciences,1
monftrations certaines,1
aftrolo celles,1
seulement diftrai,1
neur fcience,1
fcience natuzelle,1
cai ciunqvissme,1
ciunqvissme difputent,1
difputent nature,1
nature mathemati,1
rengerfent fond,1
fond comble,1
comble princi,1
gic cít,1
cít forte,1
puitfe rapporter,1
rapporter sens,1
quelles affc,1
ions mathematiciens,1
mathematiciens detournent,1
rien ans,1
ans demonstration,1
puitfe rien,1
rien demonftrer,1
demonftrer sens,1
pieds large,1
terre fort,1
fort gxande,1
haut ciel,1
doutera corps,1
gnoilfance veneur,1
compofez forme,1
fin quatre,1
quatre cicl,1
cicl difputes,1
difputes phy,1
fois paf,1
fé legerement,1
legerement matiere,1
foit bon,1
bon droiét,1
droiét platon,1
op ic,1
ic files,1
precipice fort,1
fort profond,1
mal entendement,1
meuft toufiours,1
beftes brutes,1
brutes feroyent,1
feroyent excellentes,1
excellentes aftres,1
vit force,1
eít beaucoup,1
beaucoup excellente,1
ezechicl chap,1
roues celestes,1
celestes tournoyent,1
tournoyent lyne,1
lyne lautre,1
rend quant,1
quant rai,1
eipra srction,1
ciceron atres,1
aftres eftoyét,1
eftoyét animaux,1
auoyent fencinient,1
affez quc,1
quc theophrafte,1
alexandre aphrodifée,1
ayent appellé,1
appellé ciel,1
ciel corps,1
corps ani,1
cela racfine,1
racfine cominun,1
cominun plantes,1
appellons cause,1
cause nature,1
nature intelligente,1
finon autant,1
uec mouvement,1
fentiment intelligence,1
faut necetfairement,1
dict liure,1
liure precedent,1
binaire compris,1
compris sous,1
sous tcrnaire,1
adioufte animal,1
animal entendement,1
entendement meut,1
meut toufiours,1
euft differéce,1
differéce entrele,1
entrele ciel,1
ayent efcript,1
efcript sousle,1
sousle mot,1
mot ciel,1
ciel faille,1
faille comprendre,1
comprendre nature,1
nature anges,1
ouurage monde,1
nature ciel,1
ahges douce,1
angeliques nefont,1
nefont continuel,1
continuel mouvement,1
preuuer cieux,1
cieux nature,1
nature douce,1
argument ceftuy,1
alexandre preuuent,1
files cieux,1
auoyent force,1
feroyent beaucoup,1
beaucoup inferieurs,1
inferieurs dignité,1
excellence hommes,1
pourquoy abraham,1
abraham aben,1
efra interpreté,1
hebreu ddd,1
níon exa,1
hi dauid,1
dauid cef,1
moigne pfeaume,1
ciinquiesme mots,1
mots pfeaume,1
pfeaume cieux,1
cieux racontent,1
efcripr diction,1
diction sapperim,1
pouuoit accom,1
moder copfentement,1
copfentement hebrcux,1
hebrcux nature,1
cecy lob,1
lob fignifie,1
fignifie puiltance,1
puiltance douce,1
douce aauxt,1
entendement quädil,1
