token_,count
('où', 'vient'),17
('longue', 'durée'),9
('voilà', 'pourquoy'),8
('grand', 'nombre'),7
('là', 'vient'),6
('quelques', 'animaux'),5
('routes', 'fortes'),4
('pris', 'nom'),4
('non', 'seulement'),4
('entre', 'animaux'),4
('trois', 'cents'),4
('là', 'où'),3
('compris', 'sous'),3
('sous', 'nom'),3
('combien', 'fortes'),3
('trois', 'ans'),3
('forme', 'pomme'),3
('pomme', 'pin'),3
('quelques', 'fois'),3
('quelque', 'temps'),3
('long', 'temps'),3
('bien', 'souvent'),3
('petits', 'vie'),3
('pourroit', 'faire'),3
('parfecte', 'grandeur'),3
('fort', 'souvent'),3
('maladies', 'populaires'),3
('chaleur', 'naturelle'),3
('quelques', 'uns'),3
('fuit', 'pres'),3
('pres', 'nature'),3
('telles', 'choses'),3
('vient', 'chaftrez'),3
('neuf', 'mois'),3
