token_,count
('corps', 'naturel'),27
('quelque', 'chose'),21
('premiere', 'cause'),15
('cause', 'efficiente'),9
('peur', 'faire'),5
('pourquoy', 'non'),5
('trois', 'principes'),5
('principes', 'nature'),5
('corps', 'physicien'),5
('aucune', 'chose'),4
('bien', 'souvent'),4
('faut', 'donc'),4
('terme', 'dont'),4
('premiere', 'matiere'),4
('corps', 'naturels'),4
('quelle', 'fin'),3
('naturel', 'estant'),3
('chose', 'absurde'),3
('routes', 'choses'),3
('aucun', 'temps'),3
('pourquoy', 'donc'),3
('moyen', 'entre'),3
('beaucoup', 'mieux'),3
('plusieurs', 'causes'),3
('volonté', 'foit'),3
('premier', 'principe'),3
('beaucoup', 'moins'),3
('chose', 'contraire'),3
('toute', 'chose'),3
('commune', 'choses'),3
('longue', 'durée'),3
('peu', 'peu'),3
('certains', 'corps'),3
('petit', 'embryon'),3
