token_,count
forme pomme pin,3
fuit pres nature,3
où vient chaftrez,3
quand chose engendre,2
vaut autant dire,2
ev eden patior,1
eden patior ep,1
dv theatre natvre,1
wfuguel efl tvaitlé,1
efl tvaitlé naturel,1
tvaitlé naturel plantes,1
elles mefines culture,1
mefines culture cf,1
culture cf diflintlion,1
chose vouloir enfeigner,1
vouloir enfeigner connexion,1
chose vouloir contempler,1
vouloir contempler feparemét,1
contempler feparemét for,1
admirable laifon monde,1
laifon monde parties,1
monde parties efté,1
parties efté negligée,1
trai rieré adtré,1
rieré adtré bontie,1
adtré bontie partit,1
bontie partit dés,1
partit dés plitofs,1
voulu expreffement efcrire,1
rance ftudieux choses,1
ftudieux choses naturelles,1
aucunement exprimé liure,1
exprimé liure precedent,1
là où notisavons,1
où notisavons disposé,1
defquels nature inanimée,1
monftrant aufsi quelle,1
aufsi quelle partie,1
quelle partie partie,1
partie partie con,1
quelles choses appartenoyent,1
choses appartenoyent aufsi,1
appartenoyent aufsi monftre,1
aufsi monftre quoy,1
monftre quoy con,1
quel moyen connexes,1
moyen connexes uns,1
connexes uns aueclesautres,1
metaux allies plantes,1
allies plantes arbre,1
mariées pierres moyen,1
pierres moyen dva,1
moyen dva atbre,1
dva atbre corail,1
quiles tint collez,1
tint collez eniemble,1
faur difpurér plantes,1
animaux non fclon,1
non fclon là,1
fclon là methode,1
là methode medecins,1
ia faict ailleurs,1
quelle difference plantes,1
augmentent addition parties,1
addition parties leb,1
parties leb parties,1
plantes foubitiennent vie,1
aliment racines lequel,1
racines lequel elles,1
lequel elles elaborenz,1
elles elaborenz concoction,1
onilaion fubftance eri,1
reiectans fuperflu cane,1
fuperflu cane feuuie,1
compris sous nom,1
àla grandeur duquel,1
grandeur duquel paruien,1
autremét faudroit aussi,1
faudroit aussi faire,1
aussi faire espece,1
faire espece grádes,1
espece grádes herbes,1
appellées grecs eevyara,1
quelle difference mets,1
arbres croilfent tronc,1
croilfent tronc excefliue,1
tronc excefliue longueur,1
herbes demeurent baffes,1
arbrilleaux iettent ra,1
meaux dés baffes,1
dés baffes racines,1
grandes herbes quelque,1
herbes quelque mediocrité,1
quelque mediocrité entre,1
mediocrité entre naturel,1
entre naturel arbres,1
trouue prefque arbres,1
prefque arbres parfects,1
lent contre arbres,1
oótéttrskus lrvas gommet,1
elles parties plantest,1
parties mimaux excremi,1
mimaux excremi melme,1
excremi melme doit,1
ftinguer excremeng plantes,1
voir larmes mycrhe,1
lefquels appellons agaric,1
an ciens medicament,1
ciens medicament familier,1
fort vfage mefpris,1
vfage mefpris entre,1
mefpris entre ferui,1
efté donnée diuine,1
donnée diuine bon,1
pourroit dire rochers,1
refte naist parle,1
gation entrant greffes,1
entrant greffes tronc,1
finallement pat force,1
pat force quelques,1
force quelques larmes,1
pourquoy adiouftes larmesm,1
pource larmes lis,1
ul derbi acheestants,1
derbi acheestants deuenues,1
acheestants deuenues feiches,1
deuenues feiches soleil,1
feiches soleil engen,1
abondamment routes fortes,1
ment desbeftes bruftes,1
élletefufe porter tres,1
fit diligemment culrinée,1
propofé nouüelle eftion,1
na jamais encor,1
efté mifé auant,1
mifé auant perfon,1
theophrafte penfent femen,1
plantes tombent ciel,1
pourquoy tomberoyent pst,1
tomberoyent pst toft,1
pst toft ciel,1
toft ciel trefties,1
plusieurs hetbes aconits,1
bonnes plantes fertiles,1
lage ouurier choses,1
ouurier choses com,1
lailfoic porter contemplation,1
porter contemplation choses,1
contemplation choses incelli,1
là où appe,1
fecondicé potter force,1
potter force frui,1
fin parce foucy,1
obligeaft recercher religicufement,1
recercher religicufement vie,1
religicufement vie dos,1
vie dos ia,1
dos ia terre,1
recognoitlre libeuts eftoyent,1
libeuts eftoyent vains,1
fin champs remphiflent,1
beftes fita fix,1
fita fix leiquelles,1
ogées garenc pleine,1
garenc pleine dz,1
pleine dz barri,1
bs liure cy,1
liure cy deuät,1
cy deuät al,1
premier liure cha,1
can f plans,1
f plans orbit,1
serre euft efid,1
euft efid couffours,1
efid couffours delle,1
couffours delle mek,1
enitetenoit bien vie,1
bien vie deuant,1
vie deuant toute,1
deuant toute estendue,1
manger chair anitnaux,1
faur icy penser,1
icy penser terre,1
penser terre produise,1
terre produise aucune,1
produise aucune chose,1
aucune chose temerairement,1
fj plátes croitffent,1
viuent moyen naturel,1
moyen naturel terre,1
ine terre foit,1
terre foit cultiuée,1
foit cultiuée moyen,1
cultiuée moyen quelqu,1
augmentent estants rendus,1
estants rendus fertils,1
rendus fertils natures,1
fertils natures fuperieures,1
iagoit especes plantes,1
especes plantes nefoyent,1
plantes nefoyent produi,1
pourquoy plantes pel,1
uent haistre certaines,1
haistre certaines terres,1
certaines terres quelque,1
terres quelque tri,1
parts viennent peine,1
viennent peine lar,1
pofnmiers tiauages ctoillent,1
tiauages ctoillent fás,1
ctoillent fás culture,1
fás culture certains,1
culture certains lieux,1
violiers jaunes naillent,1
mefines cótre murailles,1
lefquels ld fais,1
ld fais ssbetr,1
grand peine prostent,1
admitsble prudence grand,1
quelles reluit fà,1
reluit fà fageffe,1
prouinces beaucoup choses,1
beaucoup choses dont,1
choses dont pouuoit,1
dont pouuoit patfer,1
là vient cue,1
vient cue vignes,1
elpices croiffent reg,1
fulfent fomentez chaleur,1
contraire nature ofté,1
nature ofté vin,1
abondance chaleur na,1
f obtesfois pulicaire,1
emulfon fent nsantinoins,1
fent nsantinoins lieux,1
nsantinoins lieux froids,1
bro el el,1
el el créf,1
feiche lieu fort,1
lieu fort humide,1
fin fort frofle,1
nature donnaft chacune,1
icelles lieu conuenable,1
fpofition parties monde,1
pouuoit faire autrement,1
euffent efté colloquées,1
efté colloquées lieux,1
colloquées lieux contraires,1
côme choses chaudes,1
choses chaudes lieux,1
chaudes lieux froids,1
froides lieux chauds,1
ref chau mex,1
chau mex ro,1
mex ro ene,1
ceque plantes fauua,1
ges ligue durée,1
ligue durée cultiuées,1
oliuiger dauage priué,1
portent grenades aigres,1
tent amandes ameres,1
naiffent lieux arides,1
naiffent lieux humides,1
parce arbres vculti,1
uez employent toute,1
employent toute vertu,1
ment naturel plantes,1
craiffent peu temps,1
enuieilliffent dás peu,1
toutesfois trouue íouuent,1
trouue íouuent loing,1
íouuent loing verité,1
efpeces peu lier,1
pruniers croiffent foudaine,1
declinent promptemét eftar,1
promptemét eftar decadence,1
orme laiflent celà,1
combien moins difficulté,1
tardez racines couppées,1
racines couppées arrachées,1
rafroidis efté defchauf,1
bonne condition mau,1
celà aduient pref,1
fterile fronment degenere,1
fronment degenere seigle,1
degenere seigle yuraye,1
retourne où seigie,1
où seigie bon,1
seigie bon froumernt,1
oliuier fanuage quelquesfois,1
penfoit gt changement,1
gt changement venoit,1
ailleurs crufes corruption,1
crufes corruption fuperfluité,1
corruption fuperfluité humeurs,1
plantes changeroyent dvne,1
changeroyent dvne mauuaife,1
dvne mauuaife condition,1
mauuaife condition meilleure,1
yuraye change fort,1
change fort fonuent,1
fort fonuent froment,1
refte téps nec,1
téps nec vaut,1
nec vaut rien,1
lefquels cant aagez,1
feuilles tiennent fer,1
portent fruiden forme,1
fruiden forme powme,1
forme powme pin,1
fonc nature vnétueux,1
portent frauitl forme,1
frauitl forme pomme,1
qus portent pr,1
portent pr laine,1
trois fortes pins,1
crois especes cedres,1
arbres conifcres relluent,1
conifcres relluent recine,1
portent fruit forme,1
fruit forme pomme,1
sabine reifuent bien,1
reifuent bien refine,1
tire us grand,1
arbre wi ouuriers,1
wi ouuriers couftume,1
ouuriers couftume difpofet,1
bois coupé petites,1
coupé petites pieces,1
petites pieces forme,1
pieces forme py,1
doit prendre flame,1
aràlors refine defcoule,1
refine defcoule bois,1
defcoule bois force,1
bois force dufeu,1
force dufeu cuilles,1
dufeu cuilles difpofées,1
cuilles difpofées faire,1
difpofées faire couler,1
faire couler matiere,1
couler matiere vaifleaux,1
noinmé latins pea,1
pourquoy quc arbres,1
quc arbres conife,1
resne peuuent drugeonner,1
parce eftans couppez,1
eftans couppez vuident,1
couppez vuident tail,1
pores eftans eftou,1
pez parla refine,1
parla refine peuuent,1
refine peuuent attirer,1
peuuent attirer fuc,1
attirer fuc terre,1
aufquelles ona reraillé,1
ona reraillé rameaux,1
diffipoit branches fuper,1
flucs refte parties,1
fuffoquées telle abondance,1
elles peuuent digerez,1
clairement bb ss,1
bb ss cos,1
ss cos ci,1
cos ci iste,1
ci iste dat,1
iste dat tua,1
gui furmon tent,1
furmon tent arbres,1
tent arbres cyme,1
apline efcip ment,1
trouué quelques fois,1
là facilement entendre,1
facilement entendre raifon,1
entendre raifon ao,1
p jl penfe,1
aufquels retranché cyme,1
nourritfent largement parle,1
largement parle bas,1
principalement tronc ietie,1
tronc ietie celle,1
ietie celle grand,1
ebene corrompeni jamais,1
corrompeni jamais moiliileure,1
scroit peurautant gcaille,1
peurautant gcaille futfoque,1
gcaille futfoque vermine,1
ferre concauiré bois,1
concauiré bois glu,1
bois glu bitume,1
air puille penetrer,1
puille penetrer iufques,1
penetrer iufques milieu,1
iufques milieu paz,1
milieu paz pores,1
carles anciens voulu,1
lambriflaft bois lcs,1
bois lcs remples,1
ftatues dieu futfent,1
dieu futfent faictes,1
quife veoir trabs,1
veoir trabs cedre,1
trabs cedre temple,1
ontefté trouuez exempts,1
trouuez exempts tou,1
approchent fort durée,1
longue vic estants,1
vic estants plantez,1
demeureut aufíi lóg,1
aufíi lóg temps,1
lóg temps couppez,1
temps couppez corruption,1
fcul chuie entre,1
chuie entre arbres,1
entre arbres demeure,1
arbres demeure exempt,1
demeure exempt vermolitleure,1
exempt vermolitleure iamais,1
applique rn ec,1
rn ec ii,1
voilà pourquoy salomon,1
diligent inquifiteux fecrets,1
inquifiteux fecrets naturezvoulust,1
fabriquaft lambris temple,1
pourqucy arbres vnétueux,1
arbres vnétueux meurent,1
quand grand froid,1
arien arbres arides,1
atcrappe facillement fortes,1
facillement fortes froidurcs,1
cavit aes ylà,1
clau nee und,1
nee und ho,1
und ho ccm,1
ho ccm roman,1
ccm roman trotsiessme,1
roman trotsiessme fte,1
trotsiessme fte penfe,1
fte penfe maturité,1
penfe maturité faffe,1
maturité faffe moyen,1
faffe moyen chaleur,1
partie veritable quant,1
veritable quant chaleur,1
courcsfon celà foit,1
celà foit reigle,1
foit reigle generale,1
arraches force frui,1
foit affez meun,1
acquerra celà maturité,1
contraire vermiffeau entamé,1
vermiffeau entamé pomme,1
vnc befte morte,1
aussi celà voir,1
celà voir pepons,1
eftans morts perdent,1
morts perdent force,1
perdent force attirer,1
force attirer leut,1
attirer leut aliment,1
voilà pourquoy plante,1
pourquoy plante figuiers,1
plante figuiers faunages,1
figuiers faunages aupres,1
faunages aupres dome,1
aupres dome fliques,1
carles sauvages engendrent,1
sauvages engendrent infini,1
té petits moucherons,1
piquent cfgui lons,1
cfgui lons figues,1
lons figues îomettiques,1
lelquelles pàr moyen,1
pàr moyen venans,1
moyen venans efcoulcr,1
venans efcoulcr jeux,1
efcoulcr jeux humidité,1
jeux humidité alimentaire,1
humidité alimentaire haftent,1
alimentaire haftent maturité,1
melme aufsi raifin,1
aufsi raifin meurift,1
raifin meurift pluftott,1
duquel h queu,1
h queu efté,1
queu efté entamée,1
racine vigne duquel,1
