token_,count
autant pouuons dire,2
contiennent chacune chose,2
chacune chose monde,2
presse second dv,1
second dv theatre,1
dv theatre eauquel,1
theatre eauquel eff,1
eauquel eff traiéie,1
eff traiéie elements,1
premierement dinifion corps,1
dinifion corps naturels,1
prendre premier principe,1
premier principe nature,1
ment declaré liure,1
declaré liure precedét,1
entierement fondée có,1
temolation corps naturel,1
uons fuffifamincnt traité,1
fuffifamincnt traité caules,1
explique inoy maintenant,1
sous quels genres,1
cfpeces compris tát,1
compris tát corps,1
tát corps naturels,1
corps naturels accidents,1
my stag g,1
stag g vs,1
srms satymz cie,1
satymz cie premier,1
cie premier où,1
hors limites nature,1
iugé appartenir mctaphyfi,1
dict liure preccdent,1
nier principe nature,1
principe nature pouuoit,1
clos limites fignification,1
veu mot pee,1
ilne pourra aucu,1
grand neœffité parolles,1
neœffité parolles propres,1
parolles propres exprimer,1
vouous icy fuyure,1
quiia eliably sr,1
eliably sr ax,1
sr ax genre,1
ax genre choses,1
genre choses quelion,1
choses eternelles cor,1
abeaucoup mieux faiét,1
quand cu faifant,1
f principes nature,1
nexion causes ænec,1
dieu premier obicét,1
ponrce premier obic,1
hóme fortes finie,1
íoitle genre choses,1
homme pet comprendre,1
enlecre foy effentiellement,1
dernieres differences fonc,1
differences fonc receuës,1
fonc receuës effenrieilement,1
difent phiiofophes quiditatiuement,1
pellent cela rè,1
cela rè ri,1
rè ri ässr,1
sous propre fignifica,1
eftenclos capacité grand,1
fcanoir corps commencé,1
corps paresse parfe,1
paresse parfe celuy,1
delhi obtenu patfecte,1
obtenu patfecte forme,1
requi tend forme,1
tend forme patfeéte,1
miets rudirhents mineraux,1
combien fortes æil,1
fortes æil ents,1
sanant sn armes,1
sn armes mana,1
armes mana tp,1
mana tp nine,1
tp nine eme,1
nine eme emat,1
eme emat ot,1
emat ot srconp,1
pegarcoelle pcfans comprend,1
pcfans comprend terre,1
eaujcelle legers feu,1
inftable rudiments efpeces,1
ón void pr,1
void pr delfus,1
nefont longue durée,1
peuuent appellez corps,1
appellez corps inítables,1
corps inítables natu,1
combien do fortes,1
ildecor ns ame,1
cy env genres,1
env genres sous,1
auquel rapportét pierres,1
forte corps ame,1
tels pourroit dire,1
pourroit dire plantes,1
efte couppées tiges,1
corps ani maux,1
ani maux priuez,1
maux priuez vie,1
ferons icy troiüef,1
rapporte genre relpecespar,1
genre relpecespar quelle,1
relpecespar quelle ex,1
androgyne hermaphrodite fexe,1
toutesfois combien veuille,1
combien veuille appeller,1
ray ncantmoins lcs,1
ncantmoins lcs nombrer,1
lcs nombrer entre,1
nombrer entre fim,1
ples grande commodité,1
grande commodité diuifió,1
doit roufiours faire,1
roufiours faire branches,1
entende facilement efté,1
facilement efté mefle,1
combien fortes plantes,1
cít fertile fterile,1
là sous elles,1
sous elles beaucoup,1
autrement voulions eftablir,1
voulions eftablir fortes,1
eftablir fortes plátes,1
euft grand confufon,1
grand confufon diuifion,1
forme bié fouuét,1
bié fouuét fembläce,1
fouuét fembläce dcs,1
fembläce dcs ieunes,1
dcs ieunes arbres,1
void fauge fiinus,1
fauge fiinus paumc,1
althée mauue blarche,1
phofiourr sumets fmblables,1
tx combien defocres,1
deffoais ciel dr,1
ciel dr lime,1
kefquels appelle celefes,1
see inuifibles sets,1
rafile ligences celestes,1
telligibles sous ciel,1
sous ciel lune,1
genies lcs el,1
pm sc prits,1
tiennent dás corps,1
dás corps defunéts,1
intel où anges,1
où anges bonne,1
anges bonne mau,1
trouuent auff fortes,1
lit liure naiffance,1
liure naiffance monde,1
fouris feule efpece,1
encor chacune forte,1
chacune forte plu,1
où elles feront,1
elles feront expliquées,1
cuir peau polie,1
entre lefquelles efcailleux,1
oublié forte poiflon,1
choses coutiours certai,1
th tains lieux,1
uraïe pus toutesfois,1
pus toutesfois doit,1
toutesfois doit reduire,1
doit reduire art,1
reduire art ainf,1
art ainf cin,1
ainf cin srcons,1
cin srcons int,1
srcons int fan,1
int fan uelle,1
fan uelle comprend,1
uelle comprend pen,1
cam far terre,1
defquelles premiere comprehd,1
premiere comprehd eeux,1
leuts petits vie,1
inierement efclotre œufs,1
sous dernier enre,1
dernier enre compris,1
enre compris ferpenxs,1
mis f vipers,1
grand partie iníc,1
pondent œufs airíi,1
œufs airíi oi,1
bonne partie poifons,1
faffent petits vie,1
petits vie mv,1
vie mv sr,1
cy fonc veftuz,1
fonc veftuz poil,1
entre bocufs treuuent,1
bocufs treuuent domestiques,1
entre domeftiques trainaireaux,1
entre lauuages rons,1
aduages côme cheureux,1
entre domestiques porc,1
entre fauuages cheual,1
cy encor genres,1
ent pied difingué,1
pied difingué doigts,1
fortét hors gueule,1
soft picd diftingué,1
picd diftingué doigts,1
fcaiblable awoltres animaarx,1
ja falüficmcron da,1
falüficmcron da nu,1
da nu vel,1
nu vel dcs,1
vel dcs planrcs,1
feit confafian pier,1
nerpete ofbre rapporté,1
ofbre rapporté umotm,1
rapporté umotm pes,1
umotm pes celuy,1
pes celuy dei,1
dont aefté mis,1
aefté mis ouura,1
arcificielon tic hors,1
tic hors difcipline,1
hors difcipline nagure,1
ip divifion nccideni,1
imfais accidens peuucnt,1
accidens peuucnt fubfifter,1
peuucnt fubfifter ead,1
fubfifter ead corps,1
ead corps ac,1
puntiz quos fepares,1
nun varois enclos,1
varois enclos tons,1
enclos tons cnfcmibde,1
tons cnfcmibde fonbs,1
cnfcmibde fonbs lakes,1
fonbs lakes ott,1
lakes ott óluc,1
ott óluc dr,1
vouque fübtiaxce corporelle,1
fübtiaxce corporelle clt,1
corporelle clt differeme,1
clt differeme toute,1
differeme toute fagon,1
toute fagon alex,1
fagon alex tcidéts,1
aduerty commencement difcours,1
prendre diuifion premiers,1
diuifion premiers genres,1
premiers genres accidents,1
puilfe micux entendre,1
micux entendre quel,1
entendre quel naturel,1
quel naturel plongc,1
eftenduc premiere matiere,1
conuient neluy conuient,1
architas prince tarente,1
prince tarente jadis,1
tarente jadis compris,1
jadis compris dix,1
compris dix genres,1
enclos capacité monde,1
toutesfois telle for,1
bailloit deflus aucun,1
deflus aucun genre,1
vniuerfité routes cho,1
lefquelles enferre grand,1
enferre grand eften,1
ct necetlaire predi,1
foit commun choses,1
pourquoy neles diftribues,1
parce sousces genres,1
sousces genres recte,1
voudroit douter lieu,1
efpace iéps fuft,1
iéps fuft contenu,1
fuft contenu gente,1
contenu gente quanur,1
quant srcriow ii,1
toit trouucr genre,1
trouucr genre conuenable,1
ç donc stoiciens,1
donc stoiciens voulu,1
cust quatre pra,1
pluftoft quelles raifons,1
quelles raifons vfé,1
quant stoiciens eftablif,1
quatre premiers gen,1
res routes choses,1
seulement defaillante parties,1
foit toufiours sous,1
toufiours sous mefine,1
sous mefine genre,1
mefine genre có,1
eftie repos mouvement,1
peuuent donc quatre,1
donc quatre premiers,1
quatre premiers genres,1
premiers genres choses,1
parties fonc diuifées,1
fonc diuifées nombres,1
quelles choses fonde,1
choses fonde quantité,1
fonde quantité cóunue,1
duquel fuperhcies teur,1
ic globe h,1
globe h boule,1
fuperhcie quatre triangles,1
hexaëdrezu corps contient,1
corps contient ca,1
perhcie fix gaarrez,1
comprend feperfcie buict,1
feperfcie buict hexagones,1
perlicie douze peutagones,1
fnperfcie vingt triangiesitous,1
vingt triangiesitous impasfects,1
combien fortes ail,1
linftant momét indiuilible,1
f chacune chose,1
chacune chose qualifiée,1
chose qualifiée diéte,1
qualifiée diéte estre,1
diéte estre cel,1
fenüble encor double,1
occupe qualité fea,1
ainf queurs connoi,1
queurs connoi fent,1
connoi fent gout,1
couleurs veuëzlaquelke nge,1
ment lieu lieu,1
lequel iuge premie,1
combié fortes ail,1
fortes ail qualitez,1
ail qualitez fen,1
auquels oppofez maladie,1
soubs quels genres,1
quels genres comprinfes,1
genres comprinfes qualites,1
deíqucls premier nature,1
volontaire derechef confifte,1
tre encor produit,1
derechefs lauable vitieu,1
genre qualité naturelle,1
ey appartiennent vegeta,1
enquoy confiela declipaticn,1
oie stéonp tele,1
stéonp tele corps,1
iouylance vray bien,1
appotte volupté deleétable,1
relegué doctrine bodina,1
doctrine bodina foig,1
bodina foig petit,1
hal ment compris,1
ftre ver confific,1
ls soins dm,1
soins dm unis,1
premiers rudiments inature,1
ft nature vertus,1
nature vertus srcriown,1
vertus srcriown iii,1
ption belle machine,1
belle machine monde,1
machine monde routes,1
monde routes parties,1
routes parties melmc,1
parties melmc ordre,1
don cu lcs,1
àfin quc pom,1
quc pom cognoiftre,1
connoiffance fovons rauis,1
fovons rauis sii,1
rauis sii grand,1
sii grand affection,1
rien queie faile,1
queie faile meilleure,1
faile meilleure volonté,1
non seulement fin,1
seulement fin aimions,1
lebrions routes fortes,1
routes fortes loüanges,1
fortes loüanges puif,1
nus chose monde,1
finon felicitez connoiffance,1
toute heure propofent,1
heure propofent questions,1
propofent questions nature,1
íouuien femblent cltre,1
femblent cltre crop,1
cltre crop mpies,1
doit rapporter disputes,1
rapporter disputes nature,1
disputes nature hin,1
nature hin principalement,1
choses monde ten,1
tuas dict premier,1
dict premier lieu,1
failloit cominencer choses,1
cominencer choses faciles,1
faict commencé fimples,1
commencé fimples causes,1
uent confequutiuement dernicr,1
confequutiuement dernicr principe,1
dernicr principe natute,1
quelles corps phylicien,1
corps phylicien monde,1
diuifé defpuis hauts,1
defpuis hauts genres,1
