token_,count
,9144
animaux,86
pourquoy,76
elles,72
grand,71
nature,68
plantes,52
fois,52
moins,49
aussi,44
fort,42
où,41
homme,41
fin,38
là,36
force,36
hommes,36
vient,35
chose,34
ans,34
choses,33
fortes,33
vie,32
quelques,32
terre,32
efté,31
foit,31
quelque,31
combien,30
chaleur,29
corps,28
parce,28
bien,28
quand,28
plusieurs,27
dire,27
petits,27
an,26
arbres,26
ment,26
mer,26
cause,26
faire,25
forte,25
moyen,24
non,24
autant,24
monde,23
toutesfois,23
parties,22
p,22
eau,22
mois,22
lequel,21
sous,21
celà,21
efpeces,21
veu,21
quelle,20
cy,20
f,20
efcript,20
toute,20
contraire,20
certes,20
partie,19
entre,19
com,19
trois,19
estant,19
euft,18
beaucoup,18
peu,18
temps,18
raifon,18
refte,17
finon,17
beftes,17
aucune,17
lieu,17
autrement,17
longue,17
rien,17
quels,17
uns,16
arbre,16
nom,16
manger,16
lefquelles,16
telle,16
k,16
oifeaux,16
coup,16
quel,15
pource,15
encor,15
durée,15
portent,15
appelle,15
cest,15
os,15
ailleurs,14
grecs,14
th,14
lefquels,14
année,14
peuuent,14
eftans,14
femelles,14
mafles,14
femelle,14
my,14
nombre,14
mourir,14
dents,14
cecy,13
pluftoft,13
racines,13
prefque,13
tou,13
pat,13
froid,13
iufques,13
dieu,13
mis,13
iamais,13
voilà,13
long,13
def,13
chien,13
souvent,13
chaftrez,13
grandeur,12
pourroit,12
soleil,12
el,12
air,12
fix,12
mv,12
forme,12
grande,12
da,12
petit,12
grands,12
femble,12
pres,12
chiens,12
animal,12
cinq,12
vers,12
faut,12
fuft,12
seulement,12
ariftote,12
yeux,12
femmes,12
vertu,11
con,11
lcs,11
trouue,11
vfage,11
engendre,11
be,11
deuant,11
plu,11
dont,11
abondance,11
res,11
feu,11
void,11
femence,11
petite,11
quant,11
is,11
certain,11
quatre,11
vray,11
chacune,10
plante,10
aliment,10
duquel,10
doit,10
routes,10
porter,10
tres,10
peine,10
lieux,10
auantage,10
corruption,10
pieds,10
engendrent,10
ver,10
it,10
foyent,10
lors,10
part,10
coquilles,10
pris,10
chenilles,10
mouches,10
rats,10
foy,10
serpents,10
mort,10
vi,10
loup,10
naturel,9
tue,9
fer,9
felon,9
blanc,9
quil,9
trop,9
tellement,9
tiennent,9
celles,9
bois,9
tre,9
penfe,9
anciens,9
h,9
appellent,9
malles,9
cents,9
ic,9
ventre,9
œufs,9
foye,9
ls,9
feroit,9
ae,9
poiffons,9
lyons,9
telles,9
lyon,9
ordre,8
quelles,8
ia,8
mr,8
herbes,8
ra,8
té,8
na,8
certaines,8
auf,8
bonne,8
petites,8
vnc,8
befte,8
clle,8
couleur,8
donner,8
main,8
cuir,8
celuy,8
serpent,8
leu,8
donc,8
efprits,8
voix,8
hirondelles,8
cœur,8
premierement,7
for,7
admirable,7
dés,7
quoy,7
herbe,7
fuc,7
meíme,7
bon,7
rochers,7
finallement,7
fo,7
icy,7
viuent,7
mesmes,7
fà,7
voyons,7
chaud,7
pin,7
naiffent,7
branches,7
meilleure,7
change,7
naturelle,7
fonc,7
perfonne,7
humidité,7
ap,7
veoir,7
meurent,7
veritable,7
ja,7
veut,7
rouge,7
parmy,7
odeur,7
defquelles,7
marin,7
appellé,7
experience,7
toufiours,7
appellée,7
né,7
rang,7
tient,7
premiere,7
infe,7
donné,7
peau,7
couleurs,7
aucun,7
cho,7
vingt,7
cor,7
enfans,7
nerfs,7
peur,7
vefcu,7
ep,6
aucunement,6
defquels,6
aufsi,6
pierres,6
faudroit,6
feuilles,6
contre,6
parle,6
theophrafte,6
nourriture,6
premier,6
ouy,6
chair,6
vin,6
tref,6
milieu,6
tent,6
aduient,6
humeur,6
nt,6
pomme,6
iours,6
refine,6
us,6
couftume,6
latins,6
rendre,6
hors,6
mx,6
cent,6
bas,6
celle,6
pa,6
vigne,6
raison,6
maux,6
blanche,6
deffus,6
fera,6
ame,6
memoire,6
at,6
nes,6
defia,6
guy,6
pes,6
efpece,6
neuf,6
prend,6
fçauoir,6
cóme,6
peus,6
ur,6
region,6
cela,6
fentiment,6
mere,6
dedans,6
che,6
comment,6
fommeil,6
ve,6
donne,6
mefine,6
hi,6
fair,6
cheual,6
pays,6
loups,6
pline,6
ts,6
loix,6
hyuer,6
ours,6
loy,6
haine,6
ms,6
ques,6
ayent,6
aage,6
cerueau,6
voulu,5
liure,5
