token_,count
,8553
ame,150
corps,109
chose,95
foit,70
fois,65
choses,53
homme,47
quand,44
moins,44
entendement,44
quelque,43
forme,40
sens,39
bien,38
ames,37
yeux,37
faut,36
non,35
pource,35
rien,33
faire,32
où,31
dire,31
hommes,30
mefine,27
ariftote,27
vient,26
elles,26
cefte,24
volonté,24
nature,23
plusieurs,23
combien,23
force,23
anges,23
cœur,23
seulement,22
dieu,22
lequel,22
tue,22
moyen,22
doncques,21
toute,21
contre,21
opinion,20
estant,19
vie,19
cecy,19
foyent,19
enfemble,19
celà,19
rayons,19
fort,19
fin,19
autant,18
quelques,18
foy,18
ment,18
quelle,18
autrement,18
bon,18
p,18
efté,18
forte,18
celle,17
veu,17
aucune,17
contraire,17
corporelle,16
cy,16
cause,16
pourquoy,16
feroit,16
celuy,16
tellement,16
couleur,16
faculté,16
ens,16
efcript,16
con,16
com,15
formes,15
fçauoir,15
an,15
lame,15
soleil,15
certes,15
beaucoup,15
eau,15
donne,14
lieu,14
temps,14
auroit,14
pluficurs,14
parties,14
raifon,14
mal,14
demons,14
cerueau,14
matiere,14
encor,13
definition,13
th,13
f,13
mouvement,13
air,13
toufiours,13
entre,13
lumiere,13
fubftance,13
fuft,13
fuit,13
animaux,12
telle,12
nombre,12
organes,12
agent,12
grand,12
appelle,12
monde,12
void,12
pourroit,12
quel,12
vegetale,12
beftes,11
quant,11
for,11
quc,11
tres,11
toutesfois,11
entendre,11
fentiment,11
pluftoft,11
ailleurs,11
trois,11
aucun,11
là,11
œil,11
tour,11
finie,11
partie,10
comment,10
fen,10
my,10
obie,10
mv,10
grecs,10
parle,10
senfibles,10
sous,10
euft,10
raifons,9
uns,9
cité,9
ainf,9
tion,9
ayent,9
item,9
duquel,9
lefquels,9
pat,9
long,9
fenfible,9
voir,9
lens,9
part,9
gouft,9
odeur,9
fera,9
faueurs,9
enten,9
quatre,9
faudra,9
facultez,9
ange,9
sr,8
femble,8
comprend,8
chacune,8
acte,8
telles,8
donné,8
appellent,8
chap,8
bonne,8
propre,8
academiciens,8
ve,8
iuger,8
difference,8
lefquelles,8
terre,8
premier,8
ja,8
appellé,8
image,8
veut,8
deuant,8
angle,8
hors,8
mef,8
accidents,8
comprendre,8
ia,8
doit,8
membres,8
plantes,7
philofophes,7
peu,7
entierement,7
parfe,7
finon,7
vnc,7
mort,7
dis,7
meíme,7
defia,7
felon,7
patible,7
h,7
vigueur,7
cho,7
feu,7
ge,7
tou,7
pro,7
lors,7
ciel,7
veué,7
pu,7
z,7
liure,7
premierement,7
ts,7
tendement,7
commun,7
dehors,7
ouye,7
ix,7
ain,7
ic,7
aide,7
forces,7
memoire,7
vray,6
ble,6
hom,6
tn,6
aristote,6
definy,6
mis,6
faux,6
eff,6
naturel,6
allez,6
petit,6
ur,6
doctrine,6
quelqu,6
ans,6
ari,6
difent,6
faudroit,6
qualité,6
lu,6
clle,6
couleurs,6
peuuent,6
eftans,6
clair,6
k,6
vifion,6
images,6
aduient,6
argument,6
tel,6
autour,6
aufli,6
fair,6
mi,6
diftin,6
galien,6
reçoit,6
tre,6
fons,6
odorat,6
langue,6
exemple,6
quil,6
harmonie,6
volupté,6
odeurs,6
ceft,6
á,6
arifto,6
routes,6
douleur,6
he,6
conuenable,6
dement,6
gré,6
limites,6
iamais,6
demeure,6
quatriesme,6
enclofe,6
viure,5
coup,5
humaine,5
tombe,5
entendemét,5
commune,5
raison,5
absurde,5
neceffairement,5
lifons,5
def,5
latins,5
puif,5
precedente,5
cor,5
depend,5
ii,5
el,5
eftoyent,5
aduis,5
auf,5
touchant,5
tantoft,5
erreur,5
platon,5
reception,5
voyent,5
regard,5
porte,5
miroer,5
peur,5
ra,5
loing,5
ed,5
ent,5
coute,5
semble,5
certain,5
lement,5
place,5
porté,5
oreilles,5
faute,5
eit,5
main,5
profond,5
prince,5
celles,5
at,5
doux,5
froid,5
parolle,5
chaud,5
voire,5
doigs,5
difions,5
dre,5
iceux,5
mt,5
nie,5
tire,5
cognoiffance,5
ap,5
té,5
ae,5
có,5
voyons,5
decrets,5
philopone,5
fonc,5
incorporelle,5
efprit,5
xi,5
poitrine,5
embryon,5
demon,5
ca,5
bons,5
mauuais,5
contenue,5
separées,5
terminée,5
xv,5
aufsi,4
res,4
separée,4
ac,4
definir,4
demande,4
ci,4
meilleure,4
fub,4
vit,4
premiere,4
toit,4
cha,4
doutera,4
anciens,4
oit,4
definitions,4
veritable,4
icelles,4
puiffe,4
auant,4
fienne,4
prie,4
age,4
dir,4
perdu,4
fance,4
ammonius,4
actions,4
cít,4
defquelles,4
auantage,4
excellente,4
met,4
dorment,4
liu,4
cs,4
droit,4
quoy,4
pourueu,4
fafle,4
reflexion,4
outre,4
veoir,4
clairté,4
lune,4
ex,4
miere,4
cit,4
iugement,4
rayon,4
verde,4
verd,4
doubte,4
double,4
penfer,4
infiny,4
preuuer,4
aduenu,4
cel,4
cette,4
efprits,4
yons,4
grande,4
voilà,4
ri,4
dict,4
nt,4
moyennant,4
lent,4
maintenant,4
die,4
moy,4
fentir,4
aus,4
fent,4
action,4
pa,4
ges,4
vfe,4
hebreux,4
nerf,4
humain,4
icelle,4
vi,4
ligne,4
lin,4
voix,4
bruit,4
nom,4
gue,4
facilement,4
us,4
accord,4
fix,4
fuis,4
animal,4
penfe,4
ea,4
é,4
icy,4
trop,4
fureur,4
ies,4
mieux,4
ale,4
mm,4
coups,4
endroit,4
fentence,4
empefche,4
dou,4
obieéts,4
feul,4
entendu,4
failloit,4
pourra,4
inftrument,4
phantafie,4
foic,4
cinq,4
vv,4
thomas,4
infinité,4
singulieres,4
ouy,4
propos,4
entende,4
ec,4
