token_,count
,5860
terre,76
soleil,70
fois,65
grand,63
mille,50
lune,46
quatre,42
trois,38
quand,36
diametre,36
corps,35
cents,34
monde,33
mouvement,33
partie,32
foit,32
dieu,30
choses,30
vingt,30
ans,29
fept,28
cinq,27
cieux,26
estoiles,26
bien,25
fix,25
dire,25
nature,24
autant,24
là,24
temps,23
nombre,22
ciel,22
moins,22
combien,22
trente,22
quarante,22
neuf,22
celestes,21
où,21
fin,21
parties,21
pource,21
force,20
faire,20
orbes,20
minutes,20
cens,20
grandeur,19
vient,19
forte,19
aussi,19
lequel,19
efté,19
dix,19
rien,18
pourquoy,18
cause,18
costé,18
ombre,18
cy,17
parce,17
orbe,17
estant,17
lors,17
aftres,16
chose,16
elles,16
diametres,16
demy,16
entendement,15
faut,15
cecy,15
lieu,15
quelque,15
proportion,15
hui,15
celuy,14
encor,14
iufques,14
fphere,14
grande,14
haut,13
p,13
homme,13
petit,13
cent,13
f,12
femble,12
mv,12
entre,12
mieux,12
eaux,12
vers,12
pat,12
qua,12
telle,11
animaux,11
finon,11
com,11
mefine,11
planetes,11
midy,11
quelle,11
non,11
peu,11
soixante,11
toute,11
efpace,11
ja,10
beaucoup,10
hommes,10
voilà,10
anciens,10
degrez,10
moyen,10
occident,10
defia,10
doncques,10
diftance,10
quel,10
ligne,10
fecondes,10
eftoille,10
lumiere,10
fort,9
mal,9
ia,9
entendre,9
ment,9
tres,9
felon,9
fixes,9
orient,9
routes,9
heures,9
hebreux,9
quelques,9
gauche,9
propre,8
def,8
toufiours,8
alexandre,8
appellé,8
anges,8
item,8
h,8
mesmes,8
lefquelles,8
ap,8
an,8
prefque,8
venus,8
tre,8
ies,8
raifons,8
proche,8
plusieurs,8
années,8
long,8
degré,8
centre,8
th,8
ailleurs,8
my,8
fera,8
circuit,8
iour,8
idées,8
rs,7
celles,7
veu,7
auoyent,7
sous,7
neanmoins,7
autrement,7
dif,7
con,7
telles,7
nt,7
he,7
fuft,7
outre,7
moy,7
certes,7
noftre,7
da,7
bas,7
premier,7
comment,7
