token_,count
,439
nature,17
choses,12
causes,9
ordre,8
foit,8
matiere,7
chose,6
faut,5
mouvement,5
hypostase,5
forme,5
doctrine,4
naturelles,4
com,4
generation,4
plantes,4
vie,4
hystoire,4
telle,3
faire,3
femble,3
doit,3
ailleurs,3
queftions,3
cieux,3
animaux,3
lequel,3
combien,3
toutesfois,3
preceder,3
doétrine,3
air,3
celestes,3
physicien,3
celle,3
quelle,3
quelque,3
cho,3
premiere,3
parle,3
elements,3
outre,3
moyen,3
lefquelles,3
premier,3
difpute,3
principe,3
fommes,3
qvi,2
cest,2
monceau,2
ment,2
quelques,2
questions,2
monftrer,2
fin,2
contraintes,2
ariftote,2
veu,2
efforce,2
expliquer,2
methode,2
appartient,2
allez,2
uent,2
parties,2
ame,2
finalement,2
corps,2
ge,2
doiuent,2
propre,2
ble,2
mineraux,2
faciles,2
entendre,2
excellent,2
mis,2
beaucoup,2
auant,2
certes,2
ies,2
platon,2
doncques,2
fimples,2
fimple,2
defpouillée,2
feu,2
pourtant,2
accidents,2
tels,2
forte,2
refte,2
fentiment,2
intelligence,2
dixicíme,2
fçauoir,2
infiny,2
touchant,2
cecy,2
mefine,2
tres,2
finy,2
propofez,2
liure,2
grand,2
eftans,2
pline,2
quant,2
souvent,2
propo,2
auoyent,2
expliquez,2
ei,1
dsdbnsia,1
propose,1
contenv,1
tovt,1
oevvre,1
où,1
avvtevr,1
tement,1
confondent,1
fembicnt,1
rout,1
fembilablesà,1
mettent,1
pelle,1
mefle,1
froment,1
orge,1
mouftarde,1
miller,1
ris,1
legumes,1
peuuent,1
profit,1
feparement,1
voire,1
mesmes,1
ayent,1
traicté,1
fort,1
fobtilement,1
parmy,1
tel,1
defordre,1
auiquelles,1
prenans,1
garde,1
fuis,1
propofé,1
commencement,1
œuure,1
quel,1
ic,1
veux,1
tenir,1
mien,1
discours,1
foyons,1
ainh,1
pluficurs,1
lcíquels,1
traitent,1
fubieét,1
enfcignant,1
apprendre,1
pluftoit,1
confondant,1
noir,1
blanc,1
auqucl,1
vice,1
lité,1
glisser,1
phyfique,1
fuiurc,1
eneignant,1
question,1
dialecticien,1
neant,1
moins,1
laiflée,1
inditloluc,1
iean,1
pi,1
cus,1
prince,1
mirandolle,1
monftre,1
tient,1
felon,1
reigle,1
analyfie,1
pofitió,1
fuy,1
hui,1
cy,1
metcorcs,1
mine,1
raux,1
progrez,1
appellez,1
opuícules,1
appa,1
rant,1
vericé,1
celuy,1
aristote,1
im,1
clé,1
mt,1
ct,1
intention,1
avoir,1
incommodité,1
failloit,1
celcítes,1
manifefte,1
fée,1
compofirion,1
meteores,1
mi,1
neraux,1
entrailles,1
terre,1
mouucmens,1
rien,1
aborrét,1
mathematicien,1
parler,1
mobiles,1
deuoit,1
sinh,1
mc,1
tranfpofe,1
no,1
fciencé,1
duant,1
ftions,1
consentement,1
traiét,1
premierement,1
laif,1
goes,1
finles,1
difficiles,1
pourroit,1
trouuer,1
diffici,1
mouvements,1
obfcure,1
fubie,1
tiftote,1
entrepris,1
dire,1
lef,1
quelles,1
apaffées,1
quatre,1
liuras,1
cider,1
merueille,1
mathematiciens,1
enfeignent,1
aiamais,1
fçeu,1
nombre,1
planetes,1
sagement,1
euiter,1
horrible,1
prz,1
cipice,1
deftours,1
contours,1
fcience,1
facheufe,1
appcllée,1
eéjar,1
is,1
balès,1
pr,1
lavrsvm,1
diroit,1
precipice,1
profond,1
efté,1
cause,1
parlé,1
dernier,1
lieu,1
nmencer,1
lcs,1
facilles,1
ncn,1
meilleur,1
comprendre,1
douter,1
enclofe,1
veftue,1
accidéts,1
lie,1
tou,1
cendre,1
routes,1
for,1
laiffe,1
fubfifter,1
contre,1
opi,1
nion,1
vulgaire,1
effence,1
côioinéte,1
feconde,1
confifte,1
troifiefme,1
accident,1
aussi,1
compofée,1
clements,1
va,1
peur,1
cxalation,1
desquelles,1
eau,1
quatrie,1
crois,1
nué,1
cinquiefme,1
quatres,1
qni,1
affemblez,1
artifice,1
feul,1
conioinéts,1
enla,1
void,1
pierres,1
ixielne,1
jcomme,1
feptiefme,1
puiffance,1
mouuoir,1
commc,1
nb,1
intlention,1
beftes,1
bete,1
huiéticfme,1
extre,1
homme,1
mm,1
neufuiefme,1
ci,1
ofes,1
cre,1
layic,1
fentimenv,1
clair,1
faifons,1
anges,1
exempte,1
toute,1
condition,1
corporelle,1
estant,1
infinie,1
deffus,1
dieu,1
ecernel,1
parainf,1
arreíter,1
fable,1
critias,1
enfantement,1
cinq,1
formes,1
voyons,1
neuf,1
dernieres,1
hypostases,1
compofées,1
premieres,1
celles,1
pos,1
tellement,1
alt,1
efcription,1
vniuerfelle,1
commencons,1
linre,1
entrant,1
continuons,1
adjoinéts,1
fca,1
uoir,1
cor,1
ruptionsde,1
accroissement,1
efpeces,1
depen,1
dences,1
licu,1
temps,1
vuide,1
effect,1
st,1
qm,1
avtevr,1
phiheipalement,1
miertre,1
ausnt,1
demonitrations,1
paur,1
prouver,1
heres,1
rtp,1
wy,1
prc,1
ov,1
dn,1
nition,1
relles,1
eftude,1
infatiame,1
attire,1
contempler,1
titré,1
entendément,1
beauté,1
là,1
defcripr,1
cours,1
afttes,1
taut,1
aiafijque,1
commencé,1
noftse,1
auteur,1
choles,1
anons,1
conclud,1
noftre,1
honneur,1
réuenu,1
iien,1
eti,1
grande,1
coimandation,1
garder,1
inditlolc,1
coherence,1
affinité,1
con,1
lentement,1
respond,1
extremité,1
derniere,1
milieu,1
cha,1
auge,1
arreitez,1
pource,1
ctc,1
copieusement,1
craiétée,1
ariftoce,1
theophra,1
fte,1
diofcoride,1
galicn,1
matheole,1
plu,1
fieurs,1
proposez,1
defcrire,1
seulement,1
avoyent,1
oblié,1
quieftoit,1
necellaire,1
cognoiftre,1
po,1
ftoricé,1
duquel,1
experience,1
cer,1
traine,1
cognoitlance,1
conioinét,1
chacune,1
parent,1
errent,1
grandement,1
llent,1
fonc,1
cepeter,1
fou,1
exemple,1
quand,1
raconte,1
ocean,1
apporter,1
lavtevr,1
efliciences,1
non,1
tranfporter,1
pleins,1
hystoires,1
lesquels,1
foyent,1
efcripts,1
admirable,1
diligence,1
atteignent,1
gueres,1
queftiens,1
arien,1
enauerir,1
efficientes,1
mefmce,1
patferle,1
finales,1
sous,1
filence,1
auan,1
ture,1
reproche,1
different,1
monftreray,1
pofsible,1
prou,1
ucr,1
mcs,1
raifons,1
arguments,1
neccilaires,1
refuter,1
faufes,1
opinions,1
certaines,1
cuidentes,1
demonftrations,1
principalement,1
faiét,1
principes,1
origine,1
mondc,1
fembie,1
efclaircy,1
rendu,1
fortes,1
auoyen,1
fées,1
obícurité,1
auparauant,1
finalc,1
aucun,1
pro,1
blefme,1
alexandre,1
aphrodifée,1
ino,1
cenx,1
lefquels,1
encor,1
fez,1
meurez,1
cítrc,1
cité,1
clté,1
confirmez,1
aucunc,1
rdifbn,1
defquelsl,1
hyftoi,1
cit,1
fauffe,1
vrayc,1
fuiuy,1
noz,1
demandes,1
ref,1
ponces,1
ayans,1
introdui,1
dialogue,1
per,1
ttt,1
oo,1
itii,1
ttl,1
ttd,1
beni,1
mers,1
p,1
macs,1
rm,1
stssstró,1
za,1
aper,1
yr,1
ez,1
ur,1
irre,1
den,1
