document,term,tfidf
Démonomanie III_corrected,sorciers,0.4118396401906176
Démonomanie III_corrected,sathan,0.3277003588613516
Démonomanie III_corrected,dieu,0.23618197590881598
Démonomanie III_corrected,diable,0.23581597284772202
Démonomanie III_corrected,sorcier,0.17270694588638802
Démonomanie III_corrected,bien,0.11643328144400063
Démonomanie III_corrected,sorciere,0.11513796392425867
Démonomanie III_corrected,faire,0.09447279036352639
Démonomanie III_corrected,malings,0.09299604778497816
Démonomanie III_corrected,esprits,0.09155687061738897
Démonomanie III_corrected,esprit,0.0900432204497504
Démonomanie III_corrected,malefice,0.0745947045149577
Démonomanie III_corrected,mal,0.06709714523891562
Démonomanie III_corrected,sorcieres,0.06642574841784155
Démonomanie III_corrected,samedy,0.06311859612804115
Démonomanie III_corrected,plusieurs,0.06029883498594704
Démonomanie III_corrected,veu,0.05920336344610202
Démonomanie III_corrected,allemaigne,0.057919712629265055
Démonomanie III_corrected,guerir,0.057919712629265055
Démonomanie III_corrected,charmes,0.05756898196212933
Démonomanie III_corrected,an,0.05565625997127475
Démonomanie III_corrected,contre,0.05479421841084531
Démonomanie III_corrected,dire,0.05479421841084531
Démonomanie III_corrected,diables,0.0543874893158025
Démonomanie III_corrected,puiflance,0.05252986262088931
Démonomanie III_corrected,malefices,0.05194491631016646
Démonomanie III_corrected,void,0.05124475528399805
Démonomanie III_corrected,fin,0.05101530679630425
Démonomanie III_corrected,faut,0.049336136205085014
Démonomanie III_corrected,quelques,0.049336136205085014
Démonomanie II_corrected,sorciers,0.3789984490344775
Démonomanie II_corrected,diable,0.3295316083587813
Démonomanie II_corrected,dieu,0.2577706557325511
Démonomanie II_corrected,sathan,0.15760331544007977
Démonomanie II_corrected,bien,0.1371228527263976
Démonomanie II_corrected,faire,0.09926571835663459
Démonomanie II_corrected,sorciere,0.09756395717719223
Démonomanie II_corrected,sorcier,0.09381149728576176
Démonomanie II_corrected,hommes,0.08695595538747165
Démonomanie II_corrected,sorcieres,0.08255411761147036
Démonomanie II_corrected,esprit,0.08216872808994032
Démonomanie II_corrected,corps,0.08165405864819941
Démonomanie II_corrected,diables,0.0790047273632662
Démonomanie II_corrected,procés,0.07684298512804966
Démonomanie II_corrected,plusieurs,0.0729930890099505
Démonomanie II_corrected,quand,0.07044663883374068
Démonomanie II_corrected,paroles,0.06468890044150767
Démonomanie II_corrected,bouc,0.059596141937226406
Démonomanie II_corrected,chose,0.059388182374093886
Démonomanie II_corrected,dire,0.05923921901928193
Démonomanie II_corrected,mort,0.057208525974039595
Démonomanie II_corrected,homme,0.05685581698411608
Démonomanie II_corrected,malins,0.05596168188231357
Démonomanie II_corrected,esprits,0.05275586091523046
Démonomanie II_corrected,faut,0.05016689733892595
Démonomanie II_corrected,veu,0.05016689733892595
Démonomanie II_corrected,mourir,0.050040714676866264
Démonomanie II_corrected,grand,0.04963285917831729
Démonomanie II_corrected,cela,0.04890791489631261
Démonomanie II_corrected,caracteres,0.048622300979652915
Démonomanie IV_corrected,sorciers,0.3839604814597595
Démonomanie IV_corrected,dieu,0.17822633284272857
Démonomanie IV_corrected,preuve,0.1773825175862689
Démonomanie IV_corrected,mort,0.15009513630600188
Démonomanie IV_corrected,sorcier,0.13923841635353915
Démonomanie IV_corrected,diable,0.1340223466207365
Démonomanie IV_corrected,bien,0.13350065990568485
Démonomanie IV_corrected,crime,0.1307458528662852
Démonomanie IV_corrected,presomption,0.12394280575472559
Démonomanie IV_corrected,sathan,0.11814168660300291
Démonomanie IV_corrected,faut,0.11657804104440084
Démonomanie IV_corrected,crimes,0.10229144256420071
Démonomanie IV_corrected,presomptions,0.09915424460378049
