token_,count,p-value,obs/exp
plus,4889,0.060055658204586485,1.0323608599129281
comme,3024,0.0349926823613248,1.048386226962466
peut,1751,6.5339864299303035e-16,1.3378511565903675
autres,1722,1.0666497735019247e-15,1.337659814245943
autre,1493,6.742067710965124e-14,1.3394432656301694
foit,1314,6.002009776853152e-13,1.349311903220211
fans,1310,1.4531478079158711e-12,1.3421401618970965
fait,1307,4.850539358041258e-12,1.3319869014417036
deux,1290,0.05925532975231479,1.0652462393843771
point,1288,4.5914227832387486e-09,1.2722648106498036
dit,1276,2.2541788515175522e-11,1.3233835422820823
auffi,1126,2.2114436862131e-11,1.3493119032202108
fes,1056,1.203853873192097e-10,1.3467612190931404
mefme,1053,9.547942558382664e-11,1.349311903220211
corps,1039,2.3255478150744927e-07,1.2652843569005405
apres,997,1.4248468807001215e-07,1.2775536253661448
eftat,939,9.93679053198289e-10,1.3493119032202108
auec,866,4.3158437803709125e-09,1.3493119032202108
faut,859,1.3522143202866187e-08,1.3353213420117065
moins,813,0.07131889977790755,1.0786534683559796
nature,807,2.402841436962403e-05,1.238788061318214
ainfi,756,3.577008249240552e-08,1.349311903220211
fur,743,5.151460082960564e-08,1.3493119032202108
puis,708,0.006673541156525523,1.1468341266265418
pourquoy,682,8.02320765572232e-06,1.2834459107338685
fois,663,0.009969926413696362,1.143981830991048
livre,660,1.973051922588e-06,1.3134894633117096
celte,655,2.636455355582215e-07,1.3493119032202108
ans,627,0.07054794976728997,1.0902301073699385
chofe,621,5.393514498728716e-07,1.3493119032202108
plufieurs,612,7.224696059326089e-07,1.3493119032202108
combien,610,0.003045702456209004,1.1791980816107859
veu,589,0.003805253468765904,1.1791464554847242
fugets,583,1.1904973922719674e-06,1.3493119032202108
autant,580,0.0061998546349706805,1.1680610505488394
loy,579,0.024526428544081203,1.1289762889660433
fin,574,0.01006484764695488,1.155977660370748
elles,563,0.08536083228156044,1.0883418359784796
terre,552,0.017215273859260326,1.142362224812203
forte,547,4.404244436138705e-05,1.2903384808766702
fift,521,4.127202705976569e-06,1.3493119032202108
fuft,519,4.65803339963452e-06,1.3493119032202108
mefmes,517,4.448642068873929e-06,1.3493119032202108
premier,513,0.07067417408367732,1.1004721881589319
eftats,513,4.7952136231748024e-06,1.349311903220211
republique,511,5.412581300659498e-06,1.3493119032202108
encores,502,0.014212022992117438,1.1558951798917163
empereur,501,0.07738322601762725,1.0991955504281716
efté,490,7.701088010029704e-06,1.349311903220211
toutesfois,488,0.06994264762504816,1.1048057194152061
ni,482,8.08839256284028e-05,1.2981403939164504
chofes,480,1.0106396883805444e-05,1.349311903220211
mort,473,0.08102449307952282,1.1003871210744134
toufiours,473,1.2022181450501544e-05,1.3493119032202108
chacun,472,1.387923077631154e-05,1.3436186040505051
ame,472,0.002577407099327958,1.213095653942742
forme,459,0.005955207265490433,1.1933220878190305
queles,457,1.9200933071122217e-05,1.3434325485220837
loix,446,4.715610753548005e-05,1.3284616089099648
quele,443,2.7178921985867247e-05,1.3432475800596706
eau,439,5.6042172854881385e-05,1.3251631443258893
quel,438,0.021160066961381147,1.1565530599030378
cens,437,0.0001576911066093008,1.301654087653934
partie,426,0.006766704990174801,1.1975143141079372
droit,418,0.000362511078988889,1.2847662313121826
royaume,416,0.0010452386137172135,1.2585510128690756
cefte,414,3.822027752386625e-05,1.3493119032202108
puiffance,413,3.7345196257223915e-05,1.3493119032202108
vns,408,4.6576069912597144e-05,1.3460128521120929
neantmoins,406,4.4480531929522843e-05,1.349311903220211
auons,400,4.5802627851737675e-05,1.3493119032202108
iufques,396,4.941312206453614e-05,1.3493119032202108
beaucoup,395,0.0827016015223661,1.110371253691632
magiftrats,389,5.8880923469599074e-05,1.3493119032202108
euft,386,6.503104340278993e-05,1.3493119032202108
feroit,385,0.00218559097825074,1.2457675845078684
puiflance,366,9.516351805391709e-05,1.349311903220211
romains,362,0.09753970147631144,1.1075984330288353
sorciers,357,0.0001282983992430801,1.3493119032202108
feu,354,0.012631608119279509,1.1941410343498866
soleil,353,0.000582303296237357,1.3049509639362586
iamais,353,0.00013849517091102072,1.349311903220211
eftant,352,0.00013532423312298783,1.3493119032202108
fouuent,346,0.00013939815191110194,1.3493119032202108
caufe,339,0.00016631625526934132,1.3493119032202108
fera,338,0.0660102374506396,1.1316809510879189
animaux,318,0.00028274618346993906,1.3450820853417773
feulement,318,0.00028274618346993906,1.3493119032202108
deuant,314,0.00030537957456540447,1.3493119032202108
peuples,311,0.040378571425462695,1.1624265980650572
matiere,305,0.00034805745604004414,1.3493119032202108
