token_,count,p-value,obs/exp
dieu,640,2.858432623876333e-60,3.469247138799237
comme,462,0.0731665883491755,1.1061150092326009
sorciers,355,5.127620079605333e-66,9.26597829226427
autres,221,0.04575136952536594,1.18556016010245
diable,210,2.6568993806135396e-39,9.144009379637389
livre,191,1.1521632198600324e-13,2.6250332868612065
in,189,7.725142541757034e-13,2.5267377424937747
dit,175,0.027528830250111696,1.2534063587255964
point,174,0.07315893754745671,1.1869425268778422
fur,167,1.5916680567088476e-08,2.0943959957026275
faut,162,9.125646299342765e-06,1.739107511374089
mort,162,8.395133695601369e-12,2.6026643446081197
sathan,160,1.1626834330163822e-30,9.318180986868576
quand,158,0.042998760617750514,1.2382444036377083
dire,149,0.010747799464696669,1.3479698709159398
apres,143,0.03476858544875804,1.2654319858710412
celuy,138,0.01179561950592094,1.3550147272790976
hommes,125,0.01006579430252085,1.383340407789278
fai,120,4.0673484050042474e-13,3.642285727766219
auec,120,0.03722170754153982,1.2912029081111192
encores,120,1.5040031087480914e-05,1.9081599290515854
sorcier,116,3.7943080295865613e-22,9.160245715904702
homme,101,0.06837130612937316,1.2548483728983015
dict,100,0.0005191188550845288,1.7384666020277195
veu,100,0.019566109937768004,1.3825194342534977
loy,98,0.039527707530722496,1.3196267871576886
plufieurs,98,0.007598497003147347,1.4921270207730724
elles,95,0.07233739041732282,1.2682338019377002
efprits,88,3.712654894020264e-15,6.666666071905973
efprit,88,4.919816112412666e-13,5.222929470346718
cy,87,0.07392698836588621,1.278677832582912
chofes,87,0.0018796678660581796,1.6889203038699294
sorciere,86,3.259135926252296e-17,9.318180986868576
queles,85,0.0011822831422297875,1.725589071642329
cas,83,0.0035802678266575114,1.618010506088058
quel,80,0.019205918057269046,1.458815027298407
dift,76,1.4885101841669116e-09,3.9563226536425242
mot,73,1.3530577605480409e-05,2.4645913479761092
quelques,73,0.04501516225978749,1.3882188000845022
mourir,71,2.716659827310124e-06,2.779793487679281
liure,70,2.4641371257092464e-08,3.6237370504488906
peine,69,0.006605224777178976,1.6236224446816458
quele,68,0.03859194868978005,1.4239018137237376
sorcieres,68,5.787068640331819e-14,9.318180986868576
parle,66,0.0005911129028671624,1.9967530686146948
neantmoins,65,0.02742425593811999,1.491827005286841
quil,65,0.000798378255606319,1.9923742241659788
void,65,4.453590780817739e-08,3.8825754111952406
preuue,63,2.0768968429425518e-11,6.670970479235457
deuant,61,0.0036502550979116057,1.8102198732451693
femme,59,4.34480988512544e-05,2.545243880672435
verité,57,1.3273888553905634e-07,4.117335784895418
diables,56,1.4779514457682416e-11,8.996864401114488
hebrieux,55,5.115175986812592e-08,4.5353978254670055
moyens,54,0.00044956584922335475,2.287189878595014
difoit,54,0.00015612155314742473,2.4665773200534464
ad,51,0.004379910315661954,1.8709733477570762
second,51,3.71706164510192e-07,4.359882847066949
celle,50,0.09894493226173673,1.3349829494081056
pa,49,0.0003174724926020933,2.390528106578849
telles,49,0.0035373461089531254,1.9512430271647874
anges,48,8.691451405500646e-06,3.313131017553271
lib,47,2.8917248341766643e-09,7.299241773047052
ex,47,0.009299126328783438,1.7948955179623896
come,47,0.04436281563219758,1.5154135168955818
efcript,47,0.0003773736599300002,2.4330805910156834
pres,46,0.0024484065021708862,2.111508992098298
fille,46,2.106951946208912e-05,3.2472448893632917
pere,45,0.03016365935257432,1.582332620411645
malins,44,3.785650856408511e-09,8.36734619229015
diét,44,1.6166247516278493e-08,7.192981814424865
anciens,43,0.019215043704016607,1.7270766484282276
ap,43,0.009319809713921797,1.8636361973737152
h,43,0.0015759315807466544,2.2637388838155297
crime,43,3.659137983482256e-05,3.2054542594827904
faifoit,42,0.003570342780252357,2.1385989150190174
ff,42,1.8073135047437355e-07,6.415796745057053
ila,41,4.0778997162954484e-05,3.3221340909705357
appelle,41,0.05709904425708686,1.5281816818464466
perfonnes,41,0.0011147988567340719,2.4808144185818937
veut,41,0.031988763648778486,1.639679916144256
no,41,0.0003422538101650195,2.671646296934347
aduis,40,0.0408181531359592,1.6065829287704443
ur,40,0.0005071990771208728,2.588383607463493
oit,40,2.8464943375179824e-05,3.5497832330927905
cap,39,2.7638396465480987e-06,4.781698137998349
pat,39,0.009160765222527557,1.9126792551993395
face,39,0.0022782208290150407,2.2713066155492156
alors,39,0.03844171648081283,1.6080046835746657
fignifie,37,2.6444519106842964e-06,5.387073383033395
difent,37,4.916352678831595e-05,3.873850522630757
paroles,37,2.6444519106842964e-06,5.070186713443196
ja,37,0.08091096024898099,1.5055576266992896
mere,37,0.0015908597564307,2.4279767360150517
nc,36,0.009909636616264804,1.9849379616998153
iuges,36,0.009909636616264804,2.045454362971151
és,35,7.535357534190535e-06,4.867706485677615
malings,35,1.6729925874075718e-07,9.059342626122225
hiftoire,35,7.535357534190535e-06,4.867706485677615
maladie,35,0.0005436158140432337,3.019780875374076
ca,35,0.0032971855018267115,2.329545246717144
naturelles,35,0.0002674437973156021,3.327921781024491
mots,35,0.029016371530086404,1.791957882090111
parles,34,0.05237294957355525,1.6330832657398535
lesautres,33,0.003968067490028909,2.3653844043589465
difant,33,0.0006293264857490159,2.956730505448683
ec,33,0.0006293264857490159,2.956730505448683
enfant,33,0.00030269168483456195,3.379120577655638
it,33,0.0006293264857490159,3.07499972566663
procés,33,5.411827890398519e-07,8.541665904629527
quia,32,0.04593838275279386,1.6565655087766356
efcripture,32,3.7077366188167678e-06,6.482212860430313
maiftre,32,0.03243907447492071,1.7962758528903275
chap,32,0.000469823214944692,3.2411064302151567
ll,32,0.0009560240298033937,2.8130357696207025
quelquesfois,32,0.009305668075099242,2.0851873537048564
fit,32,0.02218025701141106,1.92375349406319
accord,31,0.059439172776126425,1.613763187669977
at,31,0.0047763846949985585,2.3484846389668768
aage,31,0.059439172776126425,1.6228292729939657
ic,31,0.08036539731026497,1.536508566983648
g,31,0.0026985623393827847,2.602374870206539
ft,31,0.0003394041468767264,3.3202713861255844
dedans,31,0.0047763846949985585,2.4479966999400498
al,31,0.0026985623393827847,2.602374870206539
ge,31,0.04269911182882293,1.7401422324875049
crimes,31,0.0003394041468767264,3.438852507058641
humain,30,0.0011097125616678326,2.9425834695374453
tiennent,30,0.055681853015876574,1.625264125616612
el,30,0.011307698976669125,2.1839486687973224
beftes,30,0.01783949115654763,1.9412877055976199
queftion,30,0.00395501772348342,2.518427293748264
naturelle,30,0.07618091805062616,1.5883263045798708
impieté,29,1.925439065526585e-05,6.2843546190509
met,29,0.09668185810578052,1.5096494336267525
oy,29,0.0008282794624837685,3.070764188854417
pareil,29,0.005750085330896698,2.502104153881377
voyant,29,0.0097544669165245,2.2708172152873
ena,29,0.003210918799344401,2.729568167870593
do,29,0.0097544669165245,2.2900614289761756
ho,28,0.00025387975711052086,3.8368980534164723
parla,28,0.004734530199244034,2.583258095369506
voix,28,0.04805419812562327,1.7393937842154674
humaine,28,0.0005960860830572912,3.388429449770391
trouua,28,0.0025469505627192406,2.8671326113441777
iours,28,0.008289623465834173,2.249216100278622
ve,28,0.06755815645541136,1.600669126578651
elt,28,0.0012805613309694595,3.106060328956192
iugement,28,0.03298378462874489,1.8245389344917493
chapitre,27,0.0009383518801428813,3.3998768465601565
maladies,27,0.0019651492713691145,2.9254754261099016
parlant,27,0.019229872780779866,2.062220382339767
croire,27,0.0038135367102987063,2.705278351026361
remarqué,27,0.0019651492713691145,3.031215501752428
ques,26,0.08205444670082936,1.593899379332783
da,26,0.016768609378960946,2.1251991724437103
tousles,26,0.01003174979138222,2.329545246717144
im,26,0.016768609378960946,2.0885578074015774
foudain,26,0.00026728816169890727,4.03787842764305
faiét,26,0.000658831619169049,3.6707985705845907
caril,26,0.01003174979138222,2.329545246717144
deflus,26,0.00026728816169890727,4.486531586270055
quine,26,0.016768609378960946,2.163149157665919
op,26,0.00026728816169890727,4.177115614803155
certaine,26,0.005662194653563214,2.5773692091338614
celeftes,25,0.01440186445823516,2.329545246717144
maisil,25,0.002274214290311956,2.986596470150185
lifons,25,0.023506270011915756,2.0082286609630553
ges,25,0.004517975748868706,2.9119315583964305
vnc,25,0.023506270011915756,2.0986894114568866
ordinaire,25,0.07691115298556037,1.688076265737061
voulu,25,0.07691115298556037,1.6290526200819189
moyfe,25,0.00016231304074722512,5.417547085388707
creatures,25,5.180735332332169e-05,5.681817674919864
quad,25,0.00016231304074722512,5.294421015266236
charmes,25,1.3705602756473631e-05,8.627945358211644
cit,24,0.012147811353388707,2.329545246717144
he,24,0.020471801253335007,2.09005928677426
us,24,0.020471801253335007,2.1298699398556744
ange,24,0.0007149374976715375,3.7904465031329804
facrifices,24,8.991607380551205e-05,6.389609819567023
nui,24,8.991607380551205e-05,5.7342652226883555
ure,24,0.0016623716876457313,3.66616956860403
allemaigne,24,2.4592812906306215e-05,8.28282754388318
plutarque,23,0.02879670476436223,2.0411253590283547
àla,23,0.044752769827523325,1.9307942585403355
œuures,23,0.00015525068664769701,5.792382775621007
quis,23,0.010026339892951845,2.6136361304631373
lon,23,0.06623316864575152,1.7145453015838181
ray,23,0.005334216440068803,2.8575755026396967
prophetes,23,4.3949534942157596e-05,7.390281472344044
dieux,23,0.0026099445270276757,3.456744559644794
brufler,23,0.00015525068664769701,6.303475373469919
noir,23,0.0004557899057244634,4.659090493434287
enla,23,0.010026339892951845,2.5213901493879676
lo,23,0.001157105804501308,3.632511232169106
peines,23,0.09385208721621788,1.6743606460779472
qvatriesme,23,0.0026099445270276757,3.456744559644794
diaboliques,22,1.792528291376574e-05,8.91304268309168
defquels,22,0.025042920227390065,2.1134018733103987
ae,22,0.014719021247452288,2.356321628863318
trouué,22,0.014719021247452288,2.383720717571031
marque,22,0.025042920227390065,2.3033705810236933
malin,22,7.819886221554425e-05,7.068964886589955
heure,22,0.014719021247452288,2.49999977696474
prefomptions,22,1.792528291376574e-05,9.318180986868576
salomon,21,0.0012462532249585031,3.9935061372293896
iu,21,0.03536785787673092,2.0598084286762117
sain,21,0.00045497075120266096,5.755347080124708
ab,21,0.012055166920659683,2.574760535845265
dauid,21,0.00045497075120266096,4.8920450181060025
lessorciers,21,3.2994918107262385e-05,9.318180986868576
mary,21,0.00045497075120266096,5.017482069852311
femblables,21,0.02137993629009025,2.4460225090530012
ls,21,0.05507910247972549,1.8815557761946164
nt,21,0.02137993629009025,2.2753697758632567
quieft,20,0.004675614360178702,3.388429449770391
eftà,20,0.01784324595152404,2.5529262977722125
paul,20,0.01784324595152404,2.518427293748264
mo,20,0.07479196961525912,1.8824608054279952
ent,20,0.07479196961525912,1.8636361973737152
mefchans,20,0.03070564379843819,2.218614520682994
diuine,20,0.07479196961525912,1.7417160723118834
tantoft,20,0.01784324595152404,2.588383607463493
vifion,20,0.00024398621241559427,6.011729668947468
lay,20,0.01784324595152404,2.6248397146108666
ui,20,0.049357058817605666,1.94128770559762
samuel,20,0.0007715054521965002,5.036854587496528
prieres,20,0.0007715054521965002,5.176767214926986
dece,20,0.009575015329663846,2.8671326113441773
leu,20,0.009575015329663846,2.7815465632443512
fs,20,0.0007715054521965002,5.176767214926986
confefla,20,6.0515521711291544e-05,8.102766075537891
quien,19,0.0033039451822127097,4.215367589297689
