token_,count,p-value,obs/exp
comme,1521,0.0010901616486392292,1.1212814895008598
roy,1372,9.79200779574459e-10,1.2764329666537135
bien,1333,4.996077826683835e-06,1.1970645153894681
peuple,895,1.7434550681201137e-31,1.909233391081452
dit,831,1.3702205665148443e-26,1.8326604073744595
eftat,829,4.027200943454095e-51,2.533070099800423
peut,803,3.721713053788807e-07,1.3046172491801413
prince,790,2.08238574619751e-31,2.0058890984264566
fait,753,2.2469225321926976e-17,1.631793734903904
autres,739,0.0001395019331438221,1.2206829827528776
fans,719,1.6906402093024057e-14,1.566395351728173
point,711,4.5717443259180175e-12,1.493403523499053
auffi,658,9.528461099850743e-17,1.6766629721474104
autre,616,0.003481705887699358,1.1751441587266764
foit,583,5.898551900417449e-05,1.2730089582031534
fugets,579,5.307122272923939e-43,2.849497493166028
princes,545,4.449583833031271e-23,2.044058577423568
fes,532,3.0708227044945906e-08,1.4427272503769335
apres,509,8.904955605100547e-07,1.3869080898961919
republique,503,4.0316591680896104e-37,2.824264422340443
empereur,464,1.8487609268902342e-22,2.1647170363012447
an,447,0.0008348244243742702,1.2536899940683115
fift,445,1.0910113502836861e-26,2.450645868810573
loy,440,1.0432261084412753e-14,1.8243361010785728
entre,439,0.035002621766343556,1.136797291340781
celuy,424,0.00039855593763104543,1.2819111187500283
mefme,423,0.025086511034435974,1.1525778428803324
contre,410,0.004674113676779664,1.213999058537416
depuis,399,9.11681075395471e-11,1.6785983477626054
peu,394,0.009544680786870556,1.1949874814695145
eftats,389,3.4750947463407986e-19,2.1756573913571633
magiftrats,381,3.3112639754666456e-28,2.8101768037016117
loix,376,7.860049873327046e-22,2.3814853442295605
puiffance,365,1.7705164466031508e-23,2.535718756385791
ans,363,0.00012400743503997673,1.3421565465280376
mefmes,357,8.779117752209058e-15,1.9812347800020003
faut,357,0.019469499997998393,1.1800672595173203
encores,355,8.573711244366283e-11,1.7381570221492484
france,353,1.5823499015133299e-06,1.47857174992392
royaume,352,5.674494117815412e-19,2.264467411563
plufieurs,349,5.202740167955313e-09,1.636184503488131
droit,346,1.5365222581816437e-18,2.2613607442195325
mil,343,6.374530884859957e-05,1.376405338867151
romains,333,1.6520982647220302e-16,2.16652604508422
pays,324,1.9106902635319936e-08,1.6337703648770758
puiflance,319,3.3406250656698093e-20,2.5007361254402185
queles,318,2.094322038283101e-13,1.9878000844669559
chacun,312,7.922484327611306e-12,1.8885762445687961
quele,312,1.5518365711029456e-13,2.0116519998328304
toufiours,309,1.7872334565847666e-11,1.8743712272795938
ains,307,1.3176739957840148e-09,1.740788980675244
empire,306,8.240307137656647e-15,2.125835450559047
roys,304,2.7326172027294362e-09,1.727191435246162
ainfi,303,0.05046586653323741,1.149950385791699
quoy,301,5.814514563655076e-06,1.4890071127188795
guerre,298,1.2450014401471699e-09,1.759293366161705
premier,292,0.0007088538439404433,1.331957833243029
livre,292,0.008281882514638909,1.235695393967353
combien,287,0.03079542027542607,1.1797357613265462
fuft,285,8.262468984348725e-07,1.5755629963860402
neantmoins,282,4.7463623966584175e-12,1.9928809007438257
cens,276,7.94253231260036e-09,1.7481115824663795
populaire,274,3.7873689058863016e-20,2.729708960332276
ville,270,2.3270760202233045e-06,1.5618537258317473
republiques,266,1.2498862543639307e-19,2.7552444601061294
touts,262,2.3954609120655343e-20,2.8367018222122606
mort,259,0.004503662989267105,1.2812386783860128
forte,258,0.003292209919310898,1.294142046019406
peuples,253,3.190131921079446e-11,2.0108125612719228
iufques,245,2.4881451739773805e-08,1.7751259330627942
iuftice,244,8.170961057763516e-16,2.4913903428899618
vns,244,1.589341179911868e-07,1.7116887196872352
fouuerain,243,1.1692448474671252e-15,2.4811797267305766
honneur,239,0.011632593038591285,1.2513408223506264
euft,238,5.3222774178806055e-08,1.7690818329206113
enfans,237,1.3023297931736557e-07,1.7346847050167573
foy,235,0.005386083119122464,1.2916820652969239
cas,235,0.00040447475022395207,1.4105816696338795
biens,233,1.0046984623142004e-05,1.5656198402890396
repvbliqve,224,8.084472611074484e-18,2.86918314078721
come,221,9.68003518680547e-12,2.1940812253078663
efté,217,0.011091143193624736,1.2706382480629073
villes,217,1.3813372107905e-07,1.77889354728807
senat,205,2.885766446112824e-16,2.84146156454772
fouuent,205,1.898230998890533e-06,1.6999495487323066
iamais,202,6.877767247412935e-06,1.6418555083258257
magiftrat,202,9.399444777751912e-16,2.799879200188485
feroit,199,0.0020965179870915825,1.369226486850491
pape,196,4.215364994488375e-10,2.1382505535904683
charle,195,2.0992792316026843e-15,2.8257106689571008
eftoyent,194,2.2458817440603716e-08,1.939447837326546
dix,192,0.02028353456721581,1.2520071887071462
mieux,191,1.2670147780372347e-06,1.7564550637511447
doibt,191,0.0004883821008904026,1.4613706130409523
nombre,190,0.0674133272385921,1.182526674077158
charge,190,0.0002384824706389733,1.501776299585592
fuget,188,8.97379785565517e-15,2.8241174370052122
rome,185,8.812517416238626e-08,1.9093484929699063
monarchie,182,5.680437347726085e-13,2.5979668239963796
aufli,180,1.00265262553626e-06,1.8057795990968457
fouueraineté,178,1.7678792882192607e-14,2.8691831407872104
pere,177,1.208323741703984e-07,1.9163977959220235
peine,173,0.026816226318705193,1.2534562711014832
paix,172,0.006446418030914711,1.3446852866904635
quant,167,0.054323072661374636,1.2069359811371891
feulement,167,0.00046775598964003836,1.5067722783379374
lettres,167,0.00028765496896938816,1.525966829654344
part,166,0.017932514074759747,1.283785448438482
deuant,162,0.0007668941603461203,1.4802792000239744
ennemis,161,5.93081056408056e-10,2.3330226548825297
foubs,161,0.0002776009482608477,1.555348436588353
angleterre,161,2.239088614303793e-07,1.9573664646895799
eftant,159,0.018457521295200337,1.2960230664351318
voir,158,0.0008211019900433747,1.4912201850144053
caufe,158,0.009356525423540492,1.337259398950971
voit,156,3.3758811717205846e-08,2.1112857073717204
parle,152,0.0030693555452190524,1.415960511037844
fils,152,0.001287401282072982,1.4733643155393783
fix,151,0.0015527002949721144,1.4686327263012497
feigneurs,150,2.100445913394998e-11,2.6898591944880095
particulier,149,9.57982132683031e-07,1.925713008906731
deffus,149,6.44420406748661e-07,1.9520926391657272
auoyent,148,3.03531713608996e-05,1.7122544549859156
ordonnances,145,8.47143712219052e-05,1.6574962367097428
parles,143,1.3184543937484398e-07,2.1149133460441805
certain,140,0.02850881219218107,1.2792536296503483
foyent,140,0.012412112297900143,1.3524769013811766
alors,139,2.9088482371040037e-05,1.764674586590364
doit,139,0.0015223484096239892,1.4881211066023217
auoient,139,1.2392568367437122e-09,2.477120848257281
outre,139,0.00018735317207395363,1.634493674464845
donner,138,0.04308827295295114,1.249045026588754
perfonne,138,6.543433453262399e-06,1.867675818059599
fenat,138,1.37254176461978e-11,2.86918314078721
anciens,136,0.00011469812755262905,1.6819349445993992
aduis,135,0.00014514505538437757,1.6695677758891094
qualité,132,0.00016068333862740385,1.6611060288768056
officiers,130,0.0010112817900290309,1.547692150632105
laloy,130,2.9200145075907734e-08,2.3024309154465263
enuers,129,8.437546851773824e-09,2.451156458023511
sil,129,9.531657172870682e-05,1.7295543231848134
efclaues,127,1.5061566816673048e-10,2.8029712221536593
citoyens,127,9.938534958960717e-09,2.4292417258665044
loüys,127,7.789512902068751e-11,2.86918314078721
public,126,0.010380878341852003,1.3851228955524462
difoit,126,5.420234489564643e-05,1.7721425281332768
eftoient,125,6.695974032821081e-09,2.4906103652666753
armes,123,0.007754663845141697,1.4116381052673075
iuges,123,4.831684317793061e-07,2.1518873555904072
maifon,122,1.6287162786057236e-06,2.0712446341777495
deniers,121,0.00046859888374946844,1.6375998114870396
affaires,119,0.026237265047431353,1.3233829215258839
faifoit,119,2.9056411677760638e-05,1.865752971331574
file,119,1.5984486716130208e-07,2.2762186250245198
pris,118,0.08618175822527244,1.217854714434859
autruy,118,1.5582454065441335e-08,2.507878597132524
veut,117,0.006330302343609934,1.440748615760101
romain,116,2.156816986103348e-05,1.9018585390360934
mettre,115,0.03987990771843583,1.2990396109863351
nc,115,1.311138793043156e-05,1.9524027289380423
maiefté,114,1.1974606226045489e-08,2.5959276035693803
charges,112,0.08008748831483449,1.2312203516021742
quia,112,0.00013085723154220835,1.7852695098231528
parauant,112,6.0990677060967576e-06,2.033851340304858
toft,111,2.202792290941978e-06,2.123195524182535
mourir,111,0.026125503937912763,1.3381484396108416
peuuent,111,0.021772793031832733,1.3610227719118817
quela,109,4.860473228798316e-05,1.8727003733281788
fept,108,0.0011985587889384109,1.6055532601296303
offices,108,0.05650115459159855,1.2699663082172896
commander,107,1.9655961193100474e-06,2.1619901131283905
menu,107,2.6377478177658603e-07,2.3984577817518082
maiftre,106,0.00011017026517473858,1.8321289935147245
couftume,103,8.294625698304556e-05,1.8704168576017888
capitaine,103,6.847323520940178e-08,2.547636754319678
firent,102,3.058674009733454e-07,2.4388056696691285
edits,102,1.6052162564664362e-08,2.7609120788707116
iour,101,0.07938997592321109,1.254491329954581
dift,101,0.0013998037838651677,1.6189245654721132
couronne,101,0.005335039721825564,1.5014896228990062
perfonnes,100,0.0001305092207915936,1.8631059355761104
feigneur,100,3.485342940673869e-08,2.7325553721782954
liures,99,0.0021993521758106984,1.5957816344827742
confeil,99,2.97039352218926e-07,2.4699924429385547
colleges,98,2.1400393777414667e-08,2.8402014929004706
mots,98,0.003587776065735308,1.54494476811619
fçauoir,97,0.09992680926572509,1.2260386108209664
alliez,97,1.041473170667546e-06,2.378724484242388
tyran,97,3.497331720063992e-07,2.5073041860933274
cour,96,0.0018446639850235736,1.6298318432874093
hommage,95,3.660889557911324e-08,2.7813510038243363
autrement,95,0.09734671045649425,1.2333592686641852
iuger,95,5.2390712226678945e-05,1.975162307063659
nobles,95,3.4530040272895693e-06,2.271436653123208
populaires,95,4.115542015086584e-07,2.523818503470231
liberté,94,0.0004525454777014825,1.7627661126405079
iugement,94,0.00015364723809215488,1.8860364701678165
chef,94,0.0004525454777014825,1.7743632581184063
femme,94,0.0829644643924288,1.2486259964536932
empereurs,93,1.082557666701716e-05,2.1518873555904077
bié,92,0.0010439308898193857,1.7140574607300216
nobleffe,92,1.4929267101960355e-05,2.163646302888716
office,92,0.0019304549004477158,1.6497803059526457
philippe,92,5.578724451802539e-05,1.9846981124242355
italie,92,0.0010439308898193857,1.7029990254995053
efpaigne,91,5.688979543608786e-07,2.559761429525844
lesautres,91,4.944515083064517e-05,2.008428198551047
college,91,4.857504770927082e-08,2.8691831407872104
aucun,91,0.027533322783995704,1.3888067330406175
ordonnance,91,0.002433678112824216,1.6117016408125686
femblable,90,0.011180462219023527,1.4840602452347638
requefte,90,4.610134459341232e-07,2.556697848226227
onques,89,1.1804248192547239e-06,2.5035029365692325
alliance,89,9.554614819548136e-06,2.2399763116672076
pouuoit,89,0.001155400497542377,1.702381996867078
marc,89,1.5435645324624525e-05,2.182541021624459
pauures,89,2.045727394241932e-06,2.431974281238683
domaine,88,0.00038126421315899493,1.8164612689875865
moindre,88,0.008044032973295851,1.5210127493329788
femmes,87,0.012548238287152574,1.4858269836219482
françois,86,0.0006511980299121476,1.7751780583287777
particuliers,86,9.584429734185735e-05,2.006095529330895
tué,86,0.00014459136529543977,1.9739980008616007
athenes,85,2.7167181329447107e-07,2.7713700791694644
difference,85,4.8991567831171845e-06,2.3677724948243966
couftumes,85,9.19764807467782e-07,2.567163862809609
xx,85,1.358078952998281e-05,2.217096063335571
almaigne,85,1.427286216858637e-07,2.8358205461268935
guerres,84,0.0010957336956778341,1.759207181212596
quelquesfois,84,0.002091995874153194,1.6853942924903893
occafion,84,1.3341900136294759e-06,2.5369619350118486
pourueu,83,0.00023170344828047444,1.9361154527263287
faute,83,0.004779013315222699,1.609068923549584
voulut,83,2.6298745952315598e-05,2.2050203767160967
em,82,0.07958648104428565,1.278657704046474
plufpart,82,4.835052000970159e-06,2.4254950262324866
habitans,82,2.2593132745934117e-05,2.240695405186202
vouloir,81,0.00743163573284033,1.5597572778776108
pourle,81,3.995645428692048e-06,2.472381217061319
vnc,81,7.891756918168986e-05,2.0937282378717477
prefent,81,5.0223136108627905e-05,2.1518873555904077
finances,81,0.00040970377950222956,1.8742244709980969
prefque,80,0.0070545180885909125,1.5721551456368272
venize,80,5.394650196732183e-07,2.7654777260599612
attendu,80,1.6398629898314736e-05,2.2726203095344237
ainsi,79,0.04355139542032217,1.365454627242106
traitez,79,7.970684153588963e-07,2.7642130258803608
tenu,79,1.384567543272138e-05,2.336757403321542
prix,79,0.0010216119125698376,1.813323744977517
riches,78,0.0018642417208858473,1.7215098844723262
fang,78,0.03461668885352961,1.3900390371515676
ariftocratique,78,3.2389279966214377e-07,2.86918314078721
changement,77,0.00026677081776386584,1.9551070959346477
profit,77,0.00017530815505019116,2.008428198551047
armee,77,1.7234785301351286e-06,2.661772311332713
fouueraine,76,1.3661707911380757e-06,2.7257239837478493
commun,75,0.08252190918172227,1.2885553027487469
eftrangers,75,3.6777591151329136e-06,2.561770661417152
edit,75,3.6777591151329136e-06,2.5926353681812135
prin,75,0.0014629064148019536,1.7784193021408328
vertueux,74,0.0026577717023400856,1.7122544549859156
voulu,74,0.019215815529039042,1.484752114812962
general,74,0.0004298836190045809,1.9659217816504957
voix,74,0.03045769400297768,1.4154636827883569
ciuiles,73,4.311726322785649e-06,2.5858070281168684
trouue,73,0.036594543722183626,1.4057071763588342
publique,73,7.740746311497042e-06,2.5234984250297146
befoin,73,6.403744671355181e-05,2.228195417845386
fuffent,73,6.403744671355181e-05,2.228195417845386
grece,73,3.8995553718941956e-05,2.252154508359853
face,72,0.09232152432292219,1.2911324133542446
faifant,72,0.00034179733937225303,2.0056425838512535
permis,72,0.00022243332919704684,2.0453582785809816
pouuoir,72,0.0016072743887494594,1.812115667865606
euffent,72,5.4737036603993174e-05,2.221303076738485
feul,71,0.02162539640851142,1.47617393475284
proces,71,7.65341022408871e-05,2.238593439515296
lifons,71,0.0020963001270186995,1.7561379568611373
files,71,0.0004611731151188132,1.9777864368533196
ruine,70,0.00041036554912955,1.9885427708426209
fouuerains,70,2.1324650967894194e-06,2.7894836090986765
voyant,70,0.0037900681885386918,1.6877547886983588
quine,70,0.00192570847706049,1.793239462992006
commandement,70,0.0013413540273609274,1.842594677569768
tousles,70,0.000619604403457118,1.9311809601452374
publiques,69,5.906340167178439e-06,2.6049162725568094
peines,69,0.015381478855694094,1.5466690368306053
mari,69,5.906340167178439e-06,2.6753194150583446
parlant,69,0.008878424680745817,1.6227347271665369
ordinaire,69,0.03198702950038734,1.434591570393605
danger,69,0.004858294437249489,1.663644006002668
feigneurie,69,1.6490973204430542e-06,2.828194810204536
efcus,69,3.1653151165327217e-06,2.7119676262235273
plutarque,68,0.0016093736756821072,1.8581376530812408
efclaue,68,4.6817165233990375e-06,2.6726637475826065
mefmement,68,2.7264882942614003e-05,2.4388056696691285
bourgeois,68,0.00020419963918718093,2.144004984324509
affin,67,1.2614120272976108e-05,2.529411453062409
fages,67,3.897922402935504e-05,2.402940880409288
capitaines,67,0.00017710325274759598,2.159946858794866
protection,67,2.2456744950700312e-05,2.4645547491377315
dy,66,0.0013259719706770995,1.8749117553658996
famille,66,0.0027662543733369804,1.803486545637675
proportion,66,0.06765939559650631,1.3335639950137737
fair,65,0.005028974000573874,1.7109807720290702
monftré,65,0.012505286278550114,1.5672008752199047
amitié,64,0.0007117246089566289,1.9959534892432764
monarque,64,0.00018273841517263647,2.239362451346115
queftion,64,0.008800449510442416,1.6543037928863191
afrique,64,0.0010750320474374572,1.9329233790566467
arreft,64,0.00011114821783427708,2.32440153177698
feront,64,0.06422279968795064,1.3703561269431452
royaumes,63,3.1319948556577e-05,2.476144354378003
ciceron,63,0.00015628332907894384,2.288082757842965
noftre,63,0.07615302904693053,1.3291068960999575
iufte,63,0.0004046892768417434,2.101843463599933
