document,term,tfidf
Discours des raisons_corrected,mémoires,0.33453482043031535
Discours des raisons_corrected,roy,0.19735622468372038
Discours des raisons_corrected,hommes,0.1148851979077886
Discours des raisons_corrected,liberté,0.10806978558334925
Discours des raisons_corrected,aultres,0.10444108900708055
Discours des raisons_corrected,subjects,0.09866103105064869
Discours des raisons_corrected,paix,0.09664929557761043
Discours des raisons_corrected,péril,0.09566858670311049
Discours des raisons_corrected,estat,0.09387596422990237
Discours des raisons_corrected,bien,0.09108261768257674
Discours des raisons_corrected,guerre,0.08635489165083222
Discours des raisons_corrected,estrangers,0.08503874373609821
Discours des raisons_corrected,dieu,0.08423073944306755
Discours des raisons_corrected,mal,0.07978338410318431
Discours des raisons_corrected,contre,0.07955125391845269
Discours des raisons_corrected,prince,0.07833081675531041
Discours des raisons_corrected,victoire,0.07451980090261975
Discours des raisons_corrected,bataille,0.07191244869366688
Discours des raisons_corrected,estre,0.07111579312421477
Discours des raisons_corrected,majesté,0.06997659379279325
Discours des raisons_corrected,ennemis,0.06784993519569799
Discours des raisons_corrected,capituler,0.06770207767606945
Discours des raisons_corrected,faire,0.06718509776467077
Discours des raisons_corrected,plustost,0.06718233107097406
Discours des raisons_corrected,peult,0.0660360936153423
Discours des raisons_corrected,chacung,0.065803952413662
Discours des raisons_corrected,nécessité,0.06502222215864942
Discours des raisons_corrected,droict,0.06429808258484089
Discours des raisons_corrected,faict,0.06424616631055259
Discours des raisons_corrected,peuple,0.06424616631055259
Discours des raisons_corrected,voir,0.06382061332640479
Discours des raisons_corrected,donc,0.062486487464613605
Discours des raisons_corrected,servilius,0.05899364918155956
Discours des raisons_corrected,romain,0.057959845146482024
Discours des raisons_corrected,dont,0.05770437396730856
Discours des raisons_corrected,non,0.05762133296341089
Discours des raisons_corrected,envers,0.0559812750342346
Discours des raisons_corrected,estats,0.055758647985814265
Discours des raisons_corrected,fault,0.05522115542935434
Discours des raisons_corrected,enfans,0.054258202535184784
Démonomanie Repair_corrected,sorciers,0.4513872551024217
Démonomanie Repair_corrected,dieu,0.25819852194939785
Démonomanie Repair_corrected,diable,0.22818305433920363
Démonomanie Repair_corrected,sathan,0.2269277675166333
Démonomanie Repair_corrected,sorcier,0.14876706717460095
Démonomanie Repair_corrected,sorciere,0.12055537649321144
Démonomanie Repair_corrected,bien,0.11700311970212472
Démonomanie Repair_corrected,faut,0.10425652458985755
Démonomanie Repair_corrected,sorcieres,0.09644430119456916
Démonomanie Repair_corrected,foit,0.09347655323044014
Démonomanie Repair_corrected,faire,0.0839878812214374
Démonomanie Repair_corrected,mort,0.08163868885683903
Démonomanie Repair_corrected,void,0.06633786375798803
Démonomanie Repair_corrected,diables,0.06537258961396303
Démonomanie Repair_corrected,dire,0.06525292144750505
Démonomanie Repair_corrected,preuue,0.0642966987192807
Démonomanie Repair_corrected,esprits,0.06424618671957068
Démonomanie Repair_corrected,hebrieux,0.06420522194228512
Démonomanie Repair_corrected,celuy,0.0621292558587973
Démonomanie Repair_corrected,quand,0.062035211117233924
Démonomanie Repair_corrected,neantmoins,0.059568391764496166
Démonomanie Repair_corrected,verité,0.05817320360315873
Démonomanie Repair_corrected,hommes,0.056276499872099005
Démonomanie Repair_corrected,deuant,0.05590264457898871
Démonomanie Repair_corrected,esprit,0.053693099527342344
Démonomanie Repair_corrected,puiflance,0.052531545225506
Démonomanie Repair_corrected,difoit,0.05209797929799895
Démonomanie Repair_corrected,choses,0.05064900148179225
Démonomanie Repair_corrected,fort,0.04861123678304068
Démonomanie Repair_corrected,auons,0.04857115020797379
Démonomanie Repair_corrected,cas,0.04853211046266381
Démonomanie Repair_corrected,loy,0.0479949090116913
Démonomanie Repair_corrected,efcript,0.04796737840962211
Démonomanie Repair_corrected,lib,0.04796737840962211
Démonomanie Repair_corrected,elles,0.0478745397617266
Démonomanie Repair_corrected,mourir,0.04725092039638301
Démonomanie Repair_corrected,chose,0.04679848210332836
Démonomanie Repair_corrected,efté,0.04673827661522007
Démonomanie Repair_corrected,fouuent,0.045926213370914785
Démonomanie Repair_corrected,come,0.045344537537147234
Harangue - Fontainebleau_corrected,étoit,0.18038534588876914
Harangue - Fontainebleau_corrected,national,0.14908045529965583
Harangue - Fontainebleau_corrected,généraux,0.1350219336310227
Harangue - Fontainebleau_corrected,convocation,0.13098551499621347
Harangue - Fontainebleau_corrected,guises,0.13098551499621347
Harangue - Fontainebleau_corrected,cette,0.12612797932732686
Harangue - Fontainebleau_corrected,état,0.11892900702547166
Harangue - Fontainebleau_corrected,royaume,0.11445142033082038
Harangue - Fontainebleau_corrected,assemblée,0.11030582256523157
Harangue - Fontainebleau_corrected,concile,0.1064463633793213
