token_,count,p-value,obs/exp
peuple,1333,0.08763736845119662,1.0557006555394417
fan,1316,1.4105676361021887e-12,1.34215579020489
foit,1295,7.512525363377562e-13,1.3503147919690532
corps,1034,2.4636219363324623e-07,1.2658436037135097
faut,852,1.6016629818864418e-08,1.336200003202826
moins,809,0.07080867221658234,1.0783856532112182
nature,807,2.704358394131612e-05,1.2368944802713122
sujet,767,3.302957107446206e-08,1.3485565695836768
puissance,751,0.00011410193013147587,1.223264666789818
republique,735,5.06181396623276e-08,1.3503147919690535
partie,710,0.00034777356918793307,1.21050947259852
foi,694,0.007873336272691434,1.1456215961204437
pourquoy,682,8.023027346205577e-06,1.2843998439649853
magistrat,664,0.027581864383749894,1.115185350581407
combien,607,0.0032737515736178313,1.179339681619015
loy,603,0.016161169067844764,1.137206451895725
empereur,599,0.06983305713889165,1.0930250816073823
fin,587,0.0127517829273898,1.1470836221213232
veu,587,0.003749831415543253,1.179516045961063
autant,579,0.005628404719346812,1.1686580934978803
forme,573,0.0008765617938957176,1.216557194651364
eau,545,9.567757382476683e-06,1.3235999309768598
forte,545,4.257757817271362e-05,1.2910904589879544
mort,534,0.06221451474762536,1.1025506099563829
naturel,532,0.004393699192431383,1.1854248668771228
doit,490,2.40010275754368e-05,1.3259604169635995
efté,488,7.35123640221372e-06,1.3503147919690532
toutesfois,485,0.06930265593672921,1.1043889951180283
droit,485,0.00017360058905267273,1.2791067853613105
royaume,483,0.00043042357281956233,1.256651338190853
sorcier,476,1.0896644261433448e-05,1.3503147919690535
ame,468,0.00276550543891983,1.212950715242835
loix,446,4.019073284290623e-05,1.3294490004816728
quel,437,0.02103374305615475,1.1570344393930907
cens,437,0.00013588407565499384,1.3026215542836121
souverain,436,0.0002399783930675549,1.2882653157516568
beaucoup,393,0.08213744954719536,1.1101960528113763
neantmoins,390,6.026919488076696e-05,1.3503147919690532
euft,384,6.205585334405227e-05,1.3503147919690532
feroit,382,0.0023847800156711492,1.2459426341356965
iufques,380,6.695684207727926e-05,1.3503147919690532
mot,376,0.08902703700806973,1.108555375066297
animal,370,0.00012332588504719095,1.339454351282975
cefte,355,0.00012247834510658196,1.3503147919690532
soleil,353,0.0005004565855810224,1.3059208810002076
feu,351,0.013671956348028896,1.1938551435293143
senat,345,0.00013613941873869866,1.3503147919690532
fera,336,0.06540229531477397,1.1314358356648426
femme,320,0.07713391768545264,1.1252623266408777
deuant,313,0.00029834337043928505,1.3503147919690535
mieux,304,0.0009115742160422752,1.3156913357647184
matiere,298,0.00041577789759174815,1.3503147919690532
foyent,295,0.00038733613809823245,1.3503147919690532
air,292,0.0015699192184077352,1.3056023816389521
come,289,0.000474045609480332,1.3503147919690535
aucune,288,0.00076782475194246,1.336394020917826
eftoyent,287,0.0005367951493152736,1.3503147919690532
