token_,count,p-value,obs/exp
dieu,640,6.40232973193195e-60,3.4620969790032143
sorcier,472,6.210252679363982e-87,9.215469379877202
diable,266,1.780598370708276e-49,9.088561432908552
chose,245,0.026186961606408113,1.2079171414391934
homme,226,0.0033010537069798613,1.3201420783347935
mort,180,1.1689091876899428e-12,2.5578623609206663
esprit,179,8.040585975251644e-27,5.837011991102119
faut,162,9.125699211370028e-06,1.7486153143297374
sathan,160,1.1627116427526008e-30,9.293566578011752
quand,158,0.042998814093241945,1.238097402466996
dire,149,0.010747819652828896,1.3431051601588275
moyen,147,0.0013213713520124752,1.4817291615702037
loy,122,0.0008678138298079653,1.5835406739070306
plusieurs,113,0.08104837901746953,1.2340458558346983
mot,108,1.4107882997150001e-06,2.1914960489634705
veu,100,0.01956612999226102,1.3829712169660349
peine,92,0.0019263356113518844,1.6316948953761092
cy,87,0.07392702579578374,1.2773148377362125
femme,85,5.4858958979058864e-05,2.0571696852369765
sorciere,85,5.910528731043665e-17,9.293566578011752
naturel,85,0.06020100081080142,1.3035530678729357
cas,83,0.0035802724030230396,1.6137364560145933
quel,80,0.019205933596245166,1.4578143651783142
heure,77,1.6410770208969513e-05,2.3158725776922493
crime,74,4.690975530860684e-08,3.2905451041764104
quelques,73,0.04501518636781259,1.3902261479402827
ange,72,5.1629601656064454e-08,3.4670300187401364
preuve,72,1.2169113741867797e-13,7.96591420972436
doit,71,0.07600190693197285,1.3223311163102895
mourir,71,2.7166663877737285e-06,2.772450533776616
sorcieres,68,5.787093973321655e-14,9.293566578011752
parle,66,0.0005911136851266334,2.0044947521201824
neantmoins,65,0.016452020201788955,1.5489277630019591
quil,65,0.000798379250868701,1.9871112749038284
void,65,4.453602918614425e-08,3.8973021133597676
fille,63,1.7339345769808836e-05,2.67349175531845
maladie,62,3.7383103854972593e-06,2.9701089063748904
deuant,61,0.003650258381921636,1.8112062660022907
verité,57,1.3273917518713627e-07,4.10645965074938
hebrieux,55,5.115187126872078e-08,4.523417360979172
difoit,54,0.00015612174457557823,2.4721802719834223
ad,51,0.004379913412779921,1.866031084561415
celle,50,0.09894495551976219,1.3391306308374287
pa,49,0.0005456361401405268,2.3842134153014447
telles,49,0.0035373485984825956,1.9460887278742562
ex,47,0.009299131406847374,1.7901542178957066
come,47,0.04436283042718914,1.511410481545164
pierre,47,0.04436283042718914,1.5010227806410736
efcript,47,0.0003773740139275348,2.440210218807555
toufiours,46,0.0003081353840394933,2.6067320889545162
pres,46,0.0024484082128175873,2.1059313428006927
parole,46,4.099111518874463e-06,3.958370949893895
pere,45,0.04022789271060397,1.5781528151340714
puiflance,45,3.475619356688513e-08,6.745330580814983
malins,44,3.785657581779791e-09,8.345243457806472
diét,44,1.616627480587594e-08,7.173981218114336
ap,43,0.00931981430850934,1.8587133156023505
faifoit,42,0.003570344876193198,2.132949706428927
ff,42,1.8073160939124075e-07,6.398849119286781
ila,41,4.077903760196395e-05,3.313358519117234
cap,41,2.800593550755438e-06,4.823243413904835
appelle,41,0.05709905890225734,1.5241449187939278
perfonnes,41,0.0006308768146511812,2.490432873846287
veut,41,0.03198877406169289,1.6353486253153728
no,41,0.000342254085236135,2.683353730270999
aduis,40,1.1906502735669271e-05,3.8323985888708263
pat,40,0.010198670914856019,1.9462966655521998
ur,40,0.0005071994543856013,2.5815462716699313
oit,40,2.8464971548302574e-05,3.540406315433049
face,39,0.0022782221547777335,2.237340102113941
alors,39,0.038441727525649845,1.603757064347161
caufe,37,0.046208197722601645,1.6068316046095088
fignifie,37,2.644454689829479e-06,5.372843177913046
grec,37,0.023955456214718406,1.7543977723797697
difent,37,4.916356889254815e-05,3.863617566139718
fuft,37,0.08091097574729504,1.4694955700274996
ja,37,0.08091097574729504,1.5015806261416371
mere,37,0.0015908606767241148,2.4215631224396823
nc,36,0.05871398092457802,1.5561320781787122
iuges,36,0.009909640536977297,2.0400512000513604
és,35,0.00012336995312244668,3.5744486838506746
malings,35,1.6729944550968643e-07,9.03541195084476
hiftoire,35,7.535364428622782e-06,4.8548482123942
eftant,35,0.05555732320566233,1.5713759914512628
ca,35,0.0032971870843705423,2.323391644502938
peuvent,34,0.00019381354910320863,3.3976479962623616
parles,34,0.052372960926216156,1.6543521657193698
enfant,34,0.00019381354910320863,3.326118564762101
charme,34,3.013222817120971e-07,7.89953159130999
maistre,33,0.00396806920669274,2.2887141572715515
lesautres,33,0.00396806920669274,2.414863756491243
ec,33,0.0006293268453212664,2.948920164176806
it,33,0.0006293268453212664,3.0668769707438788
procés,33,5.411833170509082e-07,8.519102696510773
quia,32,0.00046982348253963164,3.2325448966997405
escripture,32,2.084594132925723e-07,9.293566578011754
accord,32,0.06315103581770777,1.5652322657704005
ll,32,0.0009560245280025928,2.8056050046827936
quelquesfois,32,0.009305671330968759,2.0796792342403925
fit,32,0.022180263171494467,1.9311307175089358
at,31,0.004776386546677211,2.342281007466377
parla,31,0.0014423144730834835,2.7701977299842726
aage,31,0.059439183745583185,1.6185424939233954
ic,31,0.0803654100266102,1.5406447268361732
gramme,31,0.002698563497909044,2.5723264635568244
ft,31,0.00033940433955747867,3.350006557190283
dedans,31,0.004776386546677211,2.441530202698003
al,31,0.002698563497909044,2.5955005758411205
ge,31,0.04269912092203883,1.7460640237476628
humain,30,0.0011097130847858127,2.934810498319501
aristote,30,0.003955019250293753,2.4244086725248053
tiennent,30,0.07618093001805015,1.6209709147694917
el,30,0.01130770247814928,2.1781796667215048
beftes,30,0.01783949605964149,1.9361597037524485
disant,30,9.542529421918541e-05,4.3563593334430095
ure,30,0.0005319815258712535,3.280082321651207
queftion,30,1.1165225353142132e-05,5.932063773198991
chapitre,29,0.0008282798514628668,3.4115624147131753
impieté,29,1.9254403509343e-05,6.267754203775368
marque,29,0.03621251675840631,1.8210366943401406
met,29,0.09668187085739592,1.5141203975412407
oy,29,0.0008282798514628668,3.0626526222993276
pareil,29,0.00575008731536156,2.4063699175209003
voyant,29,0.009754469922453006,2.264818745902024
ena,29,0.0032109200334062564,2.722357886488292
do,29,0.009754469922453006,2.3035335962593235
ho,28,0.0002538798875584647,3.826762708593075
voix,28,0.048054206815470873,1.7347990945621943
humaine,28,0.0005960863619289744,3.3794787556406374
trouua,28,0.0025469515374630263,2.85955894708054
iours,28,0.008289626007181732,2.2432746912442165
ve,28,0.09193934282254618,1.596440884566436
elt,28,0.0012805618740699496,3.097855526003918
iugement,28,0.03298379152383163,1.8197193299603434
parlant,27,0.01922987735599127,2.1086243496329193
croire,27,0.003813538014118354,2.698132232325993
remarqué,27,0.001965150020076826,3.02320840489539
ques,26,0.08205445725696232,1.5896890199230629
image,26,0.0029921073398683096,2.8765801312893524
da,26,0.01676861334430042,2.1383427524628815
tousles,26,0.010031752488433063,2.323391644502938
noir,26,0.0006588318962637178,3.9611923119394357
im,26,0.01676861334430042,2.0830407847267725
foudain,26,0.00026728828577443875,4.027212183805093
faisant,26,0.04033144102629248,1.8877557111586376
caril,26,0.010031752488433063,2.323391644502938
quine,26,0.01676861334430042,2.157435098467014
op,26,0.00026728828577443875,4.166081569453545
puiffance,26,0.001466460721348245,3.1793780398461258
certaine,26,0.005662196371453212,2.5705609683862294
homicide,26,2.9706232422289683e-05,7.322203970554714
malade,25,0.004517977112113881,2.640217777844248
celestes,25,0.004517977112113881,2.7992670415698058
maisil,25,0.002274215060081235,2.9787072365422285
lifons,25,0.023506274828920908,2.020340560437338
ges,25,0.004517977112113881,2.904239555628673
voulu,25,0.07691116279060302,1.6247494017503066
moyfe,25,0.00016231311577287631,5.403236382564972
creatures,25,5.18073796488648e-05,5.666808889031557
quad,25,0.00016231311577287631,5.280435555688496
