token_,count,p-value,obs/exp
bien,1541,3.621379722142793e-08,1.2269385198223512
roy,1372,1.1179097215560025e-09,1.2745039539133862
prince,1335,4.2486106400993885e-51,1.9933945352896165
peuple,1147,7.611502142022122e-41,1.9266358405360973
estat,841,4.8195448931624964e-33,1.9971435794898744
an,810,8.592927056969606e-07,1.2901967155079688
sujet,767,1.2031555799093695e-56,2.8601890812575754
puissance,729,8.172580385092722e-45,2.518451538039801
fan,729,4.732535981301036e-15,1.5768854418693317
republique,727,6.132453435374808e-53,2.8327462432004356
magistrat,663,1.251739794679238e-36,2.361663840431248
foit,583,2.5738827739840967e-05,1.289316043551914
empereur,557,2.1511516270055275e-26,2.1556789253039934
ville,487,3.258689825403675e-12,1.6486148165855012
romain,449,3.056172032621329e-20,2.087498775098233
loy,440,2.179132984659071e-13,1.7599496957939587
entre,439,0.03787182199075054,1.1347112491400153
royaume,415,1.917792590153789e-22,2.2900308837283974
contre,410,0.00522344209335104,1.2105221009776814
droit,408,7.261415148602129e-22,2.282184768878274
souverain,405,8.231501177222974e-26,2.538045617596638
plusieurs,398,7.19965950556839e-05,1.3394117746795555
estats,394,2.597591820001354e-11,1.712266688447575
peu,394,0.009544672003953866,1.1940568758592085
guerre,382,1.053911893317144e-11,1.756046115555221
loix,376,7.8599740809338095e-22,2.3771152784610994
faut,357,0.015932658389801548,1.1874782537252806
france,353,4.63414554461005e-06,1.444233005560167
premier,345,0.0004994681854626071,1.3138986153742254
senat,343,2.987696640963741e-26,2.847315717329688
mil,343,7.633923665933078e-05,1.371960785584836
doit,330,1.6789618468717722e-12,1.8939739211249613
pays,324,2.53013829202565e-08,1.6307723687053273
empire,320,6.008868213880566e-15,2.0923602859086334
tousjours,309,8.350938383560403e-13,1.9665571237183763
ains,307,1.8150474423851495e-09,1.7375946035387244
roys,304,2.7326080256392397e-09,1.7240220098348165
charge,302,0.0001319738833837233,1.3860629466088257
quoy,301,7.286409194180956e-06,1.4862747595561552
ancien,293,6.618435154957011e-06,1.4984428846640543
combien,287,0.030795406336335027,1.1826539662789146
mort,285,0.006654064386009055,1.248037722142463
neantmoins,281,5.182405014650913e-13,2.0634897377328745
cens,276,7.94250963845762e-09,1.7449037682320838
populaire,274,7.072356907377426e-20,2.72469989835576
honneur,269,0.013196569998057276,1.2306613099357377
republiques,267,8.500114073291586e-20,2.7505976393420752
forte,258,0.003292207424379095,1.296299790289579
iustice,252,8.99619217257169e-20,2.8639181413374417
peine,242,0.0024154781764339035,1.3226492179459177
euft,238,3.8172063289070054e-08,1.7750325980164354
enfans,237,1.3023271168562056e-07,1.7315015293290144
ordonnance,236,1.8026497062267111e-06,1.6325716940957395
iufques,236,4.525142191276648e-08,1.778643898304306
pape,236,3.375780876764871e-12,2.166297055627039
particulier,235,5.154371093670291e-10,1.9507848209110108
foy,235,0.00538607980082585,1.289311806923944
cas,235,0.0004044743538925453,1.4079932284817966
monarchie,230,1.38035125294605e-15,2.5531053197969444
chofe,227,2.1639001347563016e-16,2.6643828609983577
charles,227,2.0605853559691135e-05,1.5405436447478655
come,221,9.680006834190021e-12,2.190055049258044
duc,221,0.0367128239955904,1.200997930238282
efté,217,0.009610713614904532,1.2735045833406247
nombre,217,0.03138607322313274,1.209086063560749
mot,205,0.010557244392337933,1.281884757585536
souvent,205,0.010557244392337933,1.2790919803358944
conseil,205,0.002041793600187755,1.365356323195757
office,200,0.0008205398641662692,1.4177812580878424
ennemi,199,5.285106418165115e-12,2.3357365169104543
feroit,198,0.0024529581866384754,1.369699980639646
fil,197,9.806961591610688e-05,1.524842902279665
eftoyent,194,2.245877686532935e-08,1.9358889178378524
dix,192,0.023238355353797854,1.2497097344017927
mieux,191,1.2670130242966423e-06,1.753231939087985
rome,185,8.812503444305114e-08,1.9058448062857074
file,183,1.6333753397441242e-09,2.1304756905071214
femme,181,0.004711274868643939,1.3499197489116588
citoyen,179,1.6170412948487027e-11,2.4295798450208625
souveraineté,179,2.2982768819975003e-14,2.8639181413374417
pere,177,1.7737442807140665e-07,1.9128811736480271
aufli,176,1.4156058410372474e-06,1.787409903813439
lettre,174,0.0006232942465095118,1.4699756831643507
paix,172,0.006446415302728053,1.3422177665123705
capitaine,170,1.2832865808929024e-10,2.374956507450561
quant,167,0.05432306175600828,1.2108210876034249
certain,163,0.06623099826599906,1.2000479615372828
deuant,162,0.0007668937044074643,1.4822835108519667
foubs,161,3.521595016395172e-10,2.364568311565785
angleterre,161,2.2390857547676252e-07,1.9537746642174918
cefte,161,0.01637615445107848,1.2988473824093751
eftant,159,5.140604879340331e-09,2.19982118102731
voir,158,0.0008211015201258559,1.4884837708266967
caufe,158,2.8342572216000896e-08,2.1144816183706348
dessus,157,0.0004868703814106134,1.5190376628039808
voit,156,3.375876541559706e-08,2.107411462493589
officier,152,0.00022702877335958096,1.582965663575604
parle,152,0.0030693542091016347,1.4225998610565072
fix,151,0.000365124172057671,1.561197253942071
feigneurs,150,2.1004421534246594e-11,2.6849232575038515
auoyent,148,3.0353147200658237e-05,1.7230076622680544
tyran,147,8.84747298953505e-09,2.2756538744681296
cour,146,0.023260042837710913,1.2945264663630542
auons,144,3.5595715217468373e-10,2.5146598314182413
denier,144,0.00025152972636445167,1.6046856511773995
foyent,140,0.010354376290236153,1.3591475924991248
parles,140,2.143337108078909e-07,2.099207014592889
alors,139,2.9088460715731607e-05,1.7614363789641787
auoient,139,1.7835696821429517e-11,2.8639181413374413
outre,139,0.00013988438428709797,1.6518034093191054
donner,138,0.043088265079339695,1.2506984288119207
advis,135,5.152994409371581e-09,2.4014220439786005
civil,134,5.637739452760519e-07,2.0744055726444173
sil,134,7.28831074306893e-05,1.7286713105370142
affaire,132,0.052433303186177865,1.243543403475468
perfonne,132,1.5955799746349276e-05,1.8351320128958364
qualité,132,0.0006636498392667968,1.5686190649649059
noble,131,9.120410101043463e-07,2.0613916292044223
laloy,130,1.9084527920889265e-09,2.5327167236317507
enuers,129,8.437536956201834e-09,2.446658544586291
efclaues,127,1.5061546323677628e-10,2.797827722691193
louis,127,8.054145194813136e-08,2.259115552483572
arme,126,0.00693947422341349,1.4151124933667358
public,126,0.03547355476946984,1.2887631636018486
difoit,125,6.996850228618609e-05,1.7634963924491638
eftoient,125,6.6959663895632605e-09,2.4860400532443068
chef,124,0.00023311939483805884,1.667257509510999
iuges,123,4.83168002291457e-07,2.1479386060030814
famille,122,1.8503194678160147e-05,1.8684385734928761
maifon,122,1.6287149565116731e-06,2.07975007882838
tribun,122,6.3919425960061315e-09,2.5318696611823763
tenu,120,3.996203857490431e-08,2.403287950772678
faifoit,119,2.905639355725512e-05,1.8623292831647844
pris,118,0.08618174890414271,1.2156199304957485
alliance,118,2.2383274511383818e-07,2.283394193769041
autruy,118,1.55824381247503e-08,2.5032765976134677
ordinaire,118,0.004188721144421616,1.4757307453179829
veut,117,0.006330300569247554,1.438104817753136
mettre,115,0.03987990150694809,1.296655851392936
nc,115,0.002265884088614789,1.5318631918781664
maiefté,114,1.1974594329387612e-08,2.611893344899747
menu,113,2.6698308889322145e-07,2.3282212228138914
parauant,112,6.099063646766698e-06,2.0301191887961614
raifon,111,0.05092831477771871,1.271579654753824
mourir,111,0.02612549932340498,1.3356929146573784
peuuent,111,0.001076161882706565,1.5974618778314373
quela,109,7.04452004483948e-05,1.858137365510602
couronne,108,0.005640595531742688,1.4870344195405947
question,107,1.1781888067194216e-05,2.0028708570137668
commander,107,3.1360681360727944e-06,2.1580228248106073
riche,105,0.012325428747700727,1.4251725347887743
garde,105,0.07273852275027864,1.2529641868351307
monarque,104,7.442075064296376e-07,2.3269334898366716
couftume,103,8.294621754756623e-05,1.8669846111250412
firent,102,3.0586717720984283e-07,2.4343304201368254
edits,102,1.605214883692684e-08,2.7558457586454628
iour,101,0.06842751625732481,1.2576336185873114
marc,101,2.0148640037883215e-05,2.037012199120293
faute,101,0.0005607333495138634,1.7217603111611999
feigneur,100,3.48534013876912e-08,2.72754108698804
ligue,99,2.4383409027697013e-06,2.250221396765133
perfonnes,99,0.0001185329574273018,1.8531235032183448
colleges,98,2.140037659140725e-08,2.8349896752633263
fçauoir,97,0.09992680126209634,1.2346669320432524
alliez,97,1.0414725063584928e-06,2.3743594846985627
hommage,96,4.6853555500450806e-08,2.7493614156839437
marque,96,0.0001864588812846111,1.857676632218881
chofes,96,2.4654543706626342e-08,2.805470832330555
maiftre,96,5.020946589397151e-07,2.4330631997203045
autrement,95,0.09734670268759113,1.2310960336065926
iuger,95,5.239068842993848e-05,1.9715378509207027
populaires,95,4.1155393007865544e-07,2.519187253954231
liberté,94,0.0006336395922157392,1.7368277760369002
iugement,94,0.00015364717664271573,1.882575561438598
don,92,0.05845620469869195,1.2979333448425845
nobleffe,92,6.264821838649245e-08,2.7734786210846805
philippe,92,5.578722026484147e-05,1.981056157917629
italie,92,0.0010439305741287096,1.6998739935680298
efpaigne,91,5.688976051562157e-07,2.555064224134384
college,91,4.857501350815347e-08,2.8639181413374417
aucun,91,0.022478333062409084,1.4011642519446623
sept,91,0.0004968439564295049,1.7850448689158027
ruine,90,2.8120502110037063e-05,2.0955498595152013
commun,90,0.026755773398538508,1.3783563247078594
femblable,90,0.01118046017560119,1.4813369696572973
requefte,90,4.6101316304922697e-07,2.6035619466704016
onques,89,1.180424145833045e-06,2.498908966461101
pouuoit,89,0.0011554001663886383,1.699258097193549
domaine,89,0.000593310993503012,1.7949909477396642
pauures,89,2.045726269535353e-06,2.4275115674193555
lesautres,88,8.000674304098397e-05,1.9844472160448412
moindre,88,0.008044031414981721,1.5182216652873184
bié,87,0.0018834615747404557,1.672220659707097
mari,87,1.39127981312766e-06,2.516776548448055
françois,86,0.0009179821002172939,1.7719205766548198
tué,86,0.0003152807542801212,1.8658860617804545
athenes,85,2.716716529266988e-07,2.7662845683373014
loyer,85,0.0004155646391908136,1.8582674962876529
difference,85,0.0022387277423195624,1.6788485656116037
couftumes,85,9.197643030637487e-07,2.5624530738282374
xx,85,1.3580783408547202e-05,2.233330660675987
almaigne,85,1.4272853437037544e-07,2.8306167676009597
quelquesfois,84,0.002091995365638499,1.6823015655408748
occafion,84,1.334189309596225e-06,2.532306567077317
aristocratique,84,2.1225088373262226e-07,2.830224986733472
pourueu,83,0.00023170337176174163,1.9325626482195744
voulut,83,2.6298735068084283e-05,2.20097412713896
finance,83,0.0010109377536383914,1.7739194457537886
