experiment,run_dir,topics,u_mass_coherence,u_mass_min,u_mass_max,reconstructed_perplexity,documents,tokens,top_words
August0425,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/August0425/topics_8,8,1.0000889005818406e-12,1.0000889005818406e-12,1.0000889005818406e-12,600.2694826878271,2,90028,20
August0425,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/August0425/topics_9,9,1.0000889005818406e-12,1.0000889005818406e-12,1.0000889005818406e-12,600.2223735240132,2,90028,20
August0425,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/August0425/topics_10,10,1.0000889005818406e-12,1.0000889005818406e-12,1.0000889005818406e-12,600.3614183001944,2,90028,20
August0425,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/August0425/topics_11,11,1.0000889005818406e-12,1.0000889005818406e-12,1.0000889005818406e-12,600.2436112193385,2,90028,20
August0425,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/August0425/topics_12,12,1.0000889005818406e-12,1.0000889005818406e-12,1.0000889005818406e-12,600.2446925770937,2,90028,20
August0425,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/August0425/topics_13,13,1.0000889005818404e-12,1.0000889005818406e-12,1.0000889005818406e-12,600.4135119521608,2,90028,20
August0425,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/August0425/topics_14,14,1.0000889005818404e-12,1.0000889005818406e-12,1.0000889005818406e-12,600.4012400342477,2,90028,20
August0425,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/August0425/topics_15,15,1.0000889005818404e-12,1.0000889005818406e-12,1.0000889005818406e-12,600.3483104029981,2,90028,20
August0425,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/August0425/topics_16,16,1.0000889005818404e-12,1.0000889005818406e-12,1.0000889005818406e-12,600.2690666650466,2,90028,20
August0425,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/August0425/topics_17,17,1.0000889005818404e-12,1.0000889005818406e-12,1.0000889005818406e-12,600.3378389284236,2,90028,20
August0425,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/August0425/topics_18,18,1.0000889005818406e-12,1.0000889005818406e-12,1.0000889005818406e-12,600.362732994496,2,90028,20
July2725,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/July2725/topics_8,8,1.0000889005818404e-12,1.0000889005818406e-12,1.0000889005818406e-12,426.4771993258997,2,75332,20
July2725,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/July2725/topics_9,9,1.0000889005818406e-12,1.0000889005818406e-12,1.0000889005818406e-12,426.6253159363596,2,75332,20
July2725,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/July2725/topics_10,10,1.0000889005818406e-12,1.0000889005818406e-12,1.0000889005818406e-12,426.7042948200749,2,75332,20
July2725,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/July2725/topics_11,11,1.0000889005818406e-12,1.0000889005818406e-12,1.0000889005818406e-12,426.54014090200593,2,75332,20
July2725,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/July2725/topics_12,12,1.0000889005818404e-12,1.0000889005818406e-12,1.0000889005818406e-12,426.55255890584584,2,75332,20
July2725,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/July2725/topics_13,13,1.0000889005818404e-12,1.0000889005818406e-12,1.0000889005818406e-12,426.57672558305956,2,75332,20
July2725,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/July2725/topics_14,14,1.0000889005818404e-12,1.0000889005818406e-12,1.0000889005818408e-12,426.61929393432223,2,75332,20
July2725,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/July2725/topics_15,15,1.0000889005818404e-12,1.0000889005818406e-12,1.0000889005818406e-12,426.5464905047087,2,75332,20
July2725,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/July2725/topics_16,16,1.0000889005818406e-12,1.0000889005818406e-12,1.0000889005818406e-12,426.62965828756967,2,75332,20
July2725,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/July2725/topics_17,17,1.0000889005818404e-12,1.0000889005818406e-12,1.0000889005818406e-12,426.5550996669935,2,75332,20
July2725,/workspaces/Jerusalimiec-Dissertation/Text/Corpora/Concatenated/lemmatized/July2725/topics_18,18,1.0000889005818406e-12,1.0000889005818406e-12,1.0000889005818406e-12,426.4713818238936,2,75332,20
