token_,count
definition pen,1
pen scor,1
scor oq,1
oq rizcpil,1
rizcpil cé,1
cé rex,1
rex itre,1
itre tremier,1
tremier org,1
org eftceluy,1
eftceluy moyens,1
moyens diaboliques,7
diaboliques sciemment,1
sciemment efforce,1
efforce ls,1
ls parucnir,1
parucnir quelque,1
quelque chose,8
chose ay,1
ay pofé,1
pofé h,1
h celte,1
celte definition,1
definition neceflaire,1
neceflaire ans,1
ans nonfeulement,1
nonfeulement entédre,1
entédre trai,1
trai œe,1
œe ains,1
ains aufh,3
aufh jugemens,1
jugemens fault,1
fault rendre,1
rendre contre,1
contre sors,10
sors té,1
té ob,1
ob misiufquesicy,1
misiufquesicy touts,1
touts efcript,1
efcript sor,2
sor clers,1
clers neantmoins,1
neantmoins fondement,1
fondement lequel,1
lequel lee,1
lee baítirce,1
baítirce traité,1
traité deduisans,1
deduisans donc,1
donc nunoftre,1
nunoftre definition,1
definition eor,1
eor ay,1
ay mis,3
mis mot,2
mot sciemment,3
sciemment püifquil,1
püifquil cft,1
cft ainfi,1
ainfi erreur,1
erreur emporter,1
emporter aucun,1
aucun confentemefit,1
confentemefit comme,1
comme dit,18
dit laloy,2
laloy rlsbhes,1
rlsbhes tellement,1
tellement malade,1
malade af,1
af vie,1
vie bonne,1
bonne foy,1
foy ff,1
ff eua,1
eua moda,1
moda curi,1
curi omm,1
omm ip,1
ip mte,1
mte sorcters,1
sorcters faut,1
faut fcauosr,1
fcauosr moyens,1
moyens diaboli,1
diaboli ques,2
ques mot,1
mot dia,1
dia fignifie,1
fignifie grec,2
grec calom,1
calom ag,1
ag niateur,1
niateur parce,1
parce quil,1
quil efpie,1
efpie toufioursles,1
toufioursles actions,1
actions aos,1
aos lin,1
lin rh,1
rh tpremte,1
tpremte r,1
r lasorbonnele,1
lasorbonnele septembre,1
septembre condamne,1
condamne cii,1
cii den,1
den comme,1
comme heretiques,1
heretiques tiennent,1
tiennent ps,1
ps din,1
din bonsdemons,1
bonsdemons fuyuantl,1
fuyuantl aduis,1
aduis desanciens,1
desanciens docteurs,1
docteurs p,1
p lb,1
lb tout,1
tout ainsi,5
ainsi efprits,1
efprits angeliques,1
angeliques toufiours,1
toufiours inus,1
inus estimez,1
estimez bons,1
bons quieft,1
quieft refolution,1
refolution trefbonne,1
trefbonne conira,1
conira pe,1
pe neceffaire,1
neceffaire trancher,1
trancher excufe,1
excufe impieté,1
impieté lag,1
lag ium,1
ium lib,1
lib appellent,1
appellent inuoquentles,1
inuoquentles diasfoubzle,1
diasfoubzle voile,1
voile bons,1
bons dæmons,1
dæmons quant,1
quant origine,1
origine mons,1
mons eftchofe,1
eftchofe bien,1
bien fort,16
fort difficile,1
difficile affeurer,1
affeurer fait,1
fait platon,1
platon quand,1
quand parle,4
parle timee,1
timee dir,1
dir ainsi,2
ainsi nate,1
nate ary,1
ary xad,1
xad yvayaa,1
yvayaa th,1
th véveouw,1
véveouw pei,1
