token_,count
definition pen scor,1
pen scor oq,1
scor oq rizcpil,1
oq rizcpil cé,1
rizcpil cé rex,1
cé rex itre,1
rex itre tremier,1
itre tremier org,1
tremier org eftceluy,1
org eftceluy moyens,1
eftceluy moyens diaboliques,1
moyens diaboliques sciemment,1
diaboliques sciemment efforce,1
sciemment efforce ls,1
efforce ls parucnir,1
ls parucnir quelque,1
parucnir quelque chose,1
quelque chose ay,1
chose ay pofé,1
ay pofé h,1
pofé h celte,1
h celte definition,1
celte definition neceflaire,1
definition neceflaire ans,1
neceflaire ans nonfeulement,1
ans nonfeulement entédre,1
nonfeulement entédre trai,1
entédre trai œe,1
trai œe ains,1
œe ains aufh,1
ains aufh jugemens,1
aufh jugemens fault,1
jugemens fault rendre,1
fault rendre contre,1
rendre contre sors,1
contre sors té,1
sors té ob,1
té ob misiufquesicy,1
ob misiufquesicy touts,1
misiufquesicy touts efcript,1
touts efcript sor,1
efcript sor clers,1
sor clers neantmoins,1
clers neantmoins fondement,1
neantmoins fondement lequel,1
fondement lequel lee,1
lequel lee baítirce,1
lee baítirce traité,1
baítirce traité deduisans,1
traité deduisans donc,1
deduisans donc nunoftre,1
donc nunoftre definition,1
nunoftre definition eor,1
definition eor ay,1
eor ay mis,1
ay mis mot,1
mis mot sciemment,2
mot sciemment püifquil,1
sciemment püifquil cft,1
püifquil cft ainfi,1
cft ainfi erreur,1
ainfi erreur emporter,1
erreur emporter aucun,1
emporter aucun confentemefit,1
aucun confentemefit comme,1
confentemefit comme dit,1
comme dit laloy,1
dit laloy rlsbhes,1
laloy rlsbhes tellement,1
rlsbhes tellement malade,1
tellement malade af,1
malade af vie,1
af vie bonne,1
vie bonne foy,1
bonne foy ff,1
foy ff eua,1
ff eua moda,1
eua moda curi,1
moda curi omm,1
curi omm ip,1
omm ip mte,1
ip mte sorcters,1
mte sorcters faut,1
sorcters faut fcauosr,1
faut fcauosr moyens,1
fcauosr moyens diaboli,1
moyens diaboli ques,1
diaboli ques mot,1
ques mot dia,1
mot dia fignifie,1
dia fignifie grec,1
fignifie grec calom,1
grec calom ag,1
calom ag niateur,1
ag niateur parce,1
niateur parce quil,1
parce quil efpie,1
quil efpie toufioursles,1
efpie toufioursles actions,1
toufioursles actions aos,1
actions aos lin,1
aos lin rh,1
lin rh tpremte,1
rh tpremte r,1
tpremte r lasorbonnele,1
r lasorbonnele septembre,1
lasorbonnele septembre condamne,1
septembre condamne cii,1
condamne cii den,1
cii den comme,1
den comme heretiques,1
comme heretiques tiennent,1
heretiques tiennent ps,1
tiennent ps din,1
ps din bonsdemons,1
din bonsdemons fuyuantl,1
bonsdemons fuyuantl aduis,1
fuyuantl aduis desanciens,1
aduis desanciens docteurs,1
desanciens docteurs p,1
docteurs p lb,1
p lb tout,1
lb tout ainsi,1
tout ainsi efprits,1
ainsi efprits angeliques,1
efprits angeliques toufiours,1
angeliques toufiours inus,1
toufiours inus estimez,1
inus estimez bons,1
estimez bons quieft,1
bons quieft refolution,1
quieft refolution trefbonne,1
refolution trefbonne conira,1
trefbonne conira pe,1
conira pe neceffaire,1
pe neceffaire trancher,1
neceffaire trancher excufe,1
trancher excufe impieté,1
excufe impieté lag,1
impieté lag ium,1
lag ium lib,1
ium lib appellent,1
lib appellent inuoquentles,1
appellent inuoquentles diasfoubzle,1
inuoquentles diasfoubzle voile,1
diasfoubzle voile bons,1
voile bons dæmons,1
bons dæmons quant,1
dæmons quant origine,1
quant origine mons,1
origine mons eftchofe,1
mons eftchofe bien,1
eftchofe bien fort,1
bien fort difficile,1
fort difficile affeurer,1
