token_,count
definition,11
pen,7
scor,1
oq,4
rizcpil,1
cé,5
rex,1
itre,1
tremier,1
org,1
eftceluy,2
moyens,49
diaboliques,17
sciemment,4
efforce,7
ls,12
parucnir,1
quelque,84
chose,42
ay,99
pofé,3
h,34
celte,81
neceflaire,7
ans,76
nonfeulement,1
entédre,5
trai,5
œe,1
ains,64
aufh,14
jugemens,1
fault,4
rendre,15
contre,104
sors,437
té,25
ob,9
misiufquesicy,1
touts,2
efcript,46
sor,244
clers,1
neantmoins,62
fondement,6
lequel,60
lee,5
baítirce,1
traité,4
deduisans,1
donc,44
nunoftre,1
eor,1
mis,34
mot,66
püifquil,1
cft,132
ainfi,69
erreur,15
emporter,1
aucun,12
confentemefit,1
comme,480
dit,172
laloy,27
rlsbhes,1
tellement,10
malade,17
af,10
vie,61
bonne,23
foy,41
ff,52
eua,2
moda,1
curi,1
omm,1
ip,5
mte,1
sorcters,6
faut,173
fcauosr,1
diaboli,2
ques,26
dia,235
fignifie,34
grec,19
calom,2
ag,5
niateur,1
parce,34
quil,59
efpie,1
toufioursles,2
actions,23
aos,1
lin,6
rh,3
tpremte,1
r,55
lasorbonnele,1
septembre,2
condamne,4
cii,1
den,3
heretiques,4
tiennent,25
ps,8
din,4
bonsdemons,1
fuyuantl,1
aduis,37
desanciens,3
docteurs,16
p,102
lb,8
tout,166
ainsi,20
efprits,95
angeliques,1
toufiours,47
inus,1
estimez,1
bons,34
quieft,16
refolution,2
trefbonne,1
conira,3
pe,38
neceffaire,8
trancher,4
excufe,3
impieté,32
lag,1
ium,1
lib,54
appellent,24
inuoquentles,1
diasfoubzle,1
voile,15
dæmons,14
quant,41
origine,7
mons,7
eftchofe,5
bien,330
fort,119
difficile,9
affeurer,4
fait,143
platon,18
quand,162
parle,66
timee,1
dir,18
nate,1
ary,1
xad,1
yvayaa,1
th,5
véveouw,1
pei,5
co,64
xa,4
mas,1
tig,1
ju,5
tos,1
tupméoy,1
tuer,22
cit,27
dire,154
difcours,5
demons,15
palle,4
noftre,13
entendement,3
ilfaults,1
arrefterà,1
anciés,4
