token_,count
toutes choses,5
peult estre,4
princes peuples,4
bon droict,4
tout ainsy,4
ainsy disoit,4
donner loy,4
peuple romain,4
roy plus,3
plus grand,3
tous ceulx,3
cy devant,3
aultre costé,3
aujourd huy,3
plus fort,3
si roy,3
aultre chose,3
non seulement,3
guerre paix,2
point suivi,2
toutes aultres,2
aultres choses,2
tous princes,2
plus juste,2
leurs entreprinses,2
sans discipline,2
avecque eulx,2
leurs vies,2
maisons femmes,2
femmes enfans,2
leurs chefs,2
bas peuple,2
mémoires certainement,2
fran cois,2
roy peult,2
celle roy,2
mille hommes,2
feu sang,2
sang cruaulté,2
envers leurs,2
leurs majeurs,2
tous moyens,2
longueur guerre,2
plus plus,2
guerres civiles,2
plus exquiz,2
si mal,2
si veult,2
bien souvent,2
leurs ennemis,2
autant plus,2
comme disoit,2
sorte si,2
si guerre,2
plus foible,2
seigneurs capitaines,2
tenant peu,2
deb voir,2
estre plus,2
si hault,2
mauvais augure,2
ceste couronne,2
uns aultres,2
debvoir roy,2
hommes non,2
user remèdes,2
estat sans,2
estat avecque,2
toutes loyx,2
plus vive,2
leurs coeurs,2
contre leurs,2
sang nom,2
injures violences,2
loy subjects,2
quelque chose,2
mesme plus,2
sub jects,2
plus excellente,2
long temps,2
ains seulement,2
salut peuple,2
conser vation,2
rien plus,2
grands estats,2
ahala servilius,2
depuis an,2
si grand,2
genz guerre,2
trop plus,2
discours raisons,1
raisons persuasions,1
persuasions paix,1
paix an,1
an but,1
but guerre,1
paix laquelle,1
laquelle sacquiert,1
sacquiert composition,1
composition pleine,1
pleine entiére,1
entiére victoire,1
victoire voix,1
voix composition,1
composition semble,1
semble mal,1
mal séante,1
séante deffiance,1
deffiance réciproque,1
réciproque mutitelles,1
mutitelles haines,1
haines injures,1
injures sub,1
sub sistance,1
sistance deux,1
deux religions,1
religions diverses,1
diverses certai,1
certai manuscrit,1
manuscrit suivi,1
suivi texte,1
texte pré,1
pré céde,1
céde fixe,1
fixe publication,1
publication mémoire,1
mémoire méme,1
méme époque,1
époque morvilliers,1
morvilliers successeur,1
successeur immédiat,1
immédiat hos,1
hos pital,1
pital dignité,1
dignité chancelier,1
chancelier remit,1
remit sceaux,1
sceaux rené,1
rené birague,1
birague organisa,1
organisa vaste,1
vaste massacre,1
massacre saint,1
saint bar,1
bar thélemy,1
thélemy fit,1
fit donner,1
donner grandes,1
grandes places,1
places fils,1
fils embrassa,1
embrassa ensuite,1
ensuite état,1
état ecclésiastique,1
ecclésiastique obtint,1
obtint chapeau,1
chapeau cardinal,1
cardinal lit,1
lit méme,1
méme manuscrit,1
manuscrit vin,1
vin cette,1
cette erreur,1
erreur évidente,1
évidente appartient,1
appartient copiste,1
copiste existe,1
existe im,1
im primé,1
primé transcris,1
transcris ici,1
ici sans,1
sans nul,1
nul changement,1
changement apercevra,1
apercevra aisément,1
aisément texte,1
texte point,1
suivi exactement,1
exactement orthographe,1
orthographe michel,1
michel hospital,1
hospital cru,1
cru voir,1
voir point,1
point rétablir,1
rétablir afin,1
afin puisse,1
puisse mieux,1
mieux appré,1
appré cier,1
cier deux,1
deux textes,1
textes mémoires,1
mémoires nes,1
nes maisons,1
maisons aheurtées,1
aheurtées discorde,1
discorde joinct,1
joinct moyens,1
moyens si,1
si perplex,1
perplex peult,1
peult voir,1
voir chef,1
chef queue,1
queue lumière,1
lumière adresse,1
adresse victoire,1
victoire comme,1
comme toutes,1
choses hors,1
hors nostre,1
nostre pouvoir,1
pouvoir seule,1
seule main,1
main dieu,1
dieu peult,1
estre douteuse,1
douteuse passé,1
passé enseigne,1
enseigne combien,1
combien difficile,1
difficile exemples,1
exemples aultres,1
aultres estats,1
estats combien,1
combien pé,1
pé rilleuse,1
rilleuse incertaine,1
incertaine lo,1
lo roy,1
plus hommes,1
hommes vray,1
vray trouve,1
trouve deux,1
deux fois,1
fois plus,1
plus batailles,1
batailles gaignées,1
gaignées moindre,1
moindre nombre,1
nombre plus,1
grand donc,1
donc tous,1
peuples jugé,1
jugé recognu,1
recognu victoires,1
victoires estre,1
estre données,1
