token_,count
tous princes peuples,2
maisons femmes enfans,2
roy peult estre,2
sorte si guerre,2
donner loy subjects,2
discours raisons persuasions,1
raisons persuasions paix,1
persuasions paix an,1
paix an but,1
an but guerre,1
but guerre paix,1
guerre paix laquelle,1
paix laquelle sacquiert,1
laquelle sacquiert composition,1
sacquiert composition pleine,1
composition pleine entiére,1
pleine entiére victoire,1
entiére victoire voix,1
victoire voix composition,1
voix composition semble,1
composition semble mal,1
semble mal séante,1
mal séante deffiance,1
séante deffiance réciproque,1
deffiance réciproque mutitelles,1
réciproque mutitelles haines,1
mutitelles haines injures,1
haines injures sub,1
injures sub sistance,1
sub sistance deux,1
sistance deux religions,1
deux religions diverses,1
religions diverses certai,1
diverses certai manuscrit,1
certai manuscrit suivi,1
manuscrit suivi texte,1
suivi texte pré,1
texte pré céde,1
pré céde fixe,1
céde fixe publication,1
fixe publication mémoire,1
publication mémoire méme,1
mémoire méme époque,1
méme époque morvilliers,1
époque morvilliers successeur,1
morvilliers successeur immédiat,1
successeur immédiat hos,1
immédiat hos pital,1
hos pital dignité,1
pital dignité chancelier,1
dignité chancelier remit,1
chancelier remit sceaux,1
remit sceaux rené,1
sceaux rené birague,1
rené birague organisa,1
birague organisa vaste,1
organisa vaste massacre,1
vaste massacre saint,1
massacre saint bar,1
saint bar thélemy,1
bar thélemy fit,1
thélemy fit donner,1
fit donner grandes,1
donner grandes places,1
grandes places fils,1
places fils embrassa,1
fils embrassa ensuite,1
embrassa ensuite état,1
ensuite état ecclésiastique,1
état ecclésiastique obtint,1
ecclésiastique obtint chapeau,1
obtint chapeau cardinal,1
chapeau cardinal lit,1
cardinal lit méme,1
lit méme manuscrit,1
méme manuscrit vin,1
manuscrit vin cette,1
vin cette erreur,1
cette erreur évidente,1
erreur évidente appartient,1
évidente appartient copiste,1
appartient copiste existe,1
copiste existe im,1
existe im primé,1
im primé transcris,1
primé transcris ici,1
transcris ici sans,1
ici sans nul,1
sans nul changement,1
nul changement apercevra,1
changement apercevra aisément,1
apercevra aisément texte,1
aisément texte point,1
texte point suivi,1
point suivi exactement,1
suivi exactement orthographe,1
exactement orthographe michel,1
orthographe michel hospital,1
michel hospital cru,1
hospital cru voir,1
cru voir point,1
voir point rétablir,1
point rétablir afin,1
rétablir afin puisse,1
afin puisse mieux,1
puisse mieux appré,1
mieux appré cier,1
appré cier deux,1
cier deux textes,1
deux textes mémoires,1
textes mémoires nes,1
mémoires nes maisons,1
nes maisons aheurtées,1
maisons aheurtées discorde,1
aheurtées discorde joinct,1
discorde joinct moyens,1
joinct moyens si,1
moyens si perplex,1
si perplex peult,1
perplex peult voir,1
peult voir chef,1
voir chef queue,1
chef queue lumière,1
queue lumière adresse,1
lumière adresse victoire,1
adresse victoire comme,1
victoire comme toutes,1
comme toutes aultres,1
toutes aultres choses,1
aultres choses hors,1
choses hors nostre,1
hors nostre pouvoir,1
nostre pouvoir seule,1
pouvoir seule main,1
seule main dieu,1
main dieu peult,1
dieu peult estre,1
peult estre douteuse,1
estre douteuse passé,1
douteuse passé enseigne,1
passé enseigne combien,1
enseigne combien difficile,1
combien difficile exemples,1
difficile exemples aultres,1
exemples aultres estats,1
aultres estats combien,1
estats combien pé,1
combien pé rilleuse,1
pé rilleuse incertaine,1
rilleuse incertaine lo,1
incertaine lo roy,1
lo roy plus,1
roy plus hommes,1
plus hommes vray,1
hommes vray trouve,1
vray trouve deux,1
trouve deux fois,1
deux fois plus,1
fois plus batailles,1
plus batailles gaignées,1
batailles gaignées moindre,1
gaignées moindre nombre,1
moindre nombre plus,1
nombre plus grand,1
plus grand donc,1
grand donc tous,1
donc tous princes,1
princes peuples jugé,1
peuples jugé recognu,1
jugé recognu victoires,1
recognu victoires estre,1
victoires estre données,1
estre données ciel,1
données ciel cause,1
ciel cause roy,1
cause roy plus,1
roy plus juste,1
plus juste dieu,1
juste dieu sert,1
dieu sert telz,1
sert telz instrumens,1
telz instrumens occasions,1
instrumens occasions veult,1
occasions veult punir,1
veult punir iniquitez,1
punir iniquitez ll,1
iniquitez ll jadiz,1
ll jadiz servy,1
jadiz servy babyloniens,1
servy babyloniens matter,1
babyloniens matter peuple,1
matter peuple naguéres,1
peuple naguéres turcs,1
naguéres turcs semblables,1
turcs semblables pouvons,1
semblables pouvons nier,1
pouvons nier desguiser,1
nier desguiser justement,1
desguiser justement ire,1
justement ire enflamniée,1
ire enflamniée contre,1
enflamniée contre done,1
contre done apparence,1
done apparence fléaux,1
apparence fléaux vengeance,1
fléaux vengeance faict,1
vengeance faict voyons,1
faict voyons toutes,1
voyons toutes choses,1
toutes choses jusqu,1
choses jusqu iey,1
jusqu iey succédé,1
iey succédé fort,1
succédé fort propoz,1
fort propoz contre,1
propoz contre espérance,1
contre espérance peu,1
espérance peu fnances,1
peu fnances voire,1
fnances voire maig,1
voire maig outre,1
maig outre mesna,1
outre mesna gent,1
mesna gent bien,1
gent bien moyens,1
bien moyens ouverts,1
moyens ouverts recouvrer,1
ouverts recouvrer tous,1
recouvrer tous ceulx,1
tous ceulx tiennent,1
ceulx tiennent party,1
tiennent party mémoires,1
party mémoires engageront,1
mémoires engageront jusques,1
engageront jusques liberté,1
jusques liberté nourrir,1
liberté nourrir entretenir,1
nourrir entretenir espérance,1
entretenir espérance con,1
espérance con server,1
con server ailleurz,1
server ailleurz princes,1
ailleurz princes peuples,1
princes peuples estrangers,1
peuples estrangers estiment,1
estrangers estiment ceste,1
estiment ceste cause,1
ceste cause appartenir,1
cause appartenir cy,1
appartenir cy devant,1
cy devant failly,1
devant failly moins,1
failly moins man,1
moins man queront,1
man queront présent,1
queront présent liguez,1
présent liguez ticipent,1
liguez ticipent ouvertement,1
ticipent ouvertement leurs,1
ouvertement leurs entreprinses,1
leurs entreprinses genz,1
entreprinses genz ramassez,1
genz ramassez esmenz,1
ramassez esmenz sous,1
esmenz sous tenant,1
sous tenant imprudence,1
tenant imprudence sans,1
imprudence sans ordre,1
sans ordre sans,1
ordre sans chef,1
sans chef sans,1
chef sans discipline,1
sans discipline genz,1
discipline genz aguerriz,1
genz aguerriz réso,1
aguerriz réso leus,1
réso leus réduicts,1
leus réduicts désespoir,1
réduicts désespoir leurs,1
désespoir leurs entreprinses,1
leurs entreprinses ligues,1
entreprinses ligues pourpensées,1
ligues pourpensées practiquées,1
pourpensées practiquées baclées,1
practiquées baclées longue,1
baclées longue main,1
longue main hommes,1
main hommes discours,1
hommes discours uées,1
discours uées suyvis,1
uées suyvis obéys,1
suyvis obéys ceulx,1
obéys ceulx estiment,1
ceulx estiment cause,1
estiment cause péril,1
cause péril lissue,1
péril lissue faction,1
lissue faction estre,1
faction estre commune,1
estre commune avecque,1
commune avecque eulx,1
avecque eulx public,1
eulx public particulier,1
public particulier ceulx,1
particulier ceulx profit,1
ceulx profit partici,1
profit partici pation,1
partici pation péril,1
pation péril adventeure,1
péril adventeure perte,1
adventeure perte toutes,1
perte toutes choses,1
toutes choses hommes,1
choses hommes prisent,1
hommes prisent ché,1
prisent ché risseñt,1
ché risseñt dernier,1
risseñt dernier hazard,1
dernier hazard seureté,1
hazard seureté rer,1
seureté rer poz,1
rer poz leurs,1
poz leurs vies,1
