token_,count
plus,74
si,53
leurs,52
roy,47
mémoires,36
sans,25
comme,24
hommes,22
tous,22
tant,22
ceulx,21
ceste,21
aultres,20
bien,20
tout,19
paix,18
mal,18
dieu,18
guerre,17
contre,17
estat,17
faire,16
aultre,16
toutes,15
eulx,15
prince,15
ainsy,15
subjects,15
estre,14
liberté,14
peult,13
peuple,13
faict,13
non,13
peu,12
dont,12
point,11
donc,11
mesme,11
droict,11
deux,10
voir,10
choses,10
fault,10
majesté,10
victoire,9
estats,9
péril,9
avecque,9
nécessité,9
plusieurs,9
temps,9
bon,9
bataille,9
plustost,9
poinct,9
quelque,9
chose,9
nom,9
loy,9
fort,8
estrangers,8
enfans,8
ja,8
envers,8
armes,8
rien,8
puis,8
nostre,7
vray,7
cause,7
veult,7
devant,7
perte,7
biens,7
contraire,7
seulement,7
sorte,7
cela,7
sang,7
quand,7
ennemis,7
moyen,7
disoit,7
justice,7
authorité,7
couronne,7
esprit,7
nature,7
salut,7
ennemy,7
romain,7
discours,6
donner,6
moyens,6
main,6
grand,6
juste,6
con,6
moins,6
genz,6
pluspart,6
religion,6
estant,6
france,6
avoir,6
toute,6
honneur,6
an,5
jusques,5
tenant,5
discipline,5
combattre,5
force,5
celle,5
entre,5
trop,5
mille,5
tousjours,5
longueur,5
ruyne,5
craindre,5
cours,5
jamais,5
veu,5
mauvais,5
fin,5
rendre,5
mesmes,5
ment,5
quoy,5
dire,5
depuis,5
respublicque,5
capituler,5
esprits,5
prudence,5
deffiance,4
maisons,4
combien,4
exemples,4
princes,4
peuples,4
victoires,4
apparence,4
espérance,4
voire,4
party,4
cy,4
sous,4
désespoir,4
public,4
hazard,4
chascung,4
tenir,4
com,4
chacung,4
naturelle,4
certainement,4
pourroit,4
trés,4
aujourd,4
pays,4
res,4
vivre,4
armée,4
fureur,4
costé,4
part,4
courage,4
pourtant,4
souvent,4
aprés,4
assez,4
feu,4
royaulme,4
extresme,4
grands,4
ayent,4
lieu,4
grande,4
soudain,4
autant,4
mot,4
civiles,4
scavoir,4
raison,4
fait,4
là,4
maulx,4
vive,4
debvoir,4
adviz,4
tantost,4
roys,4
maintenir,4
nécessaire,4
tend,4
naturel,4
seul,4
heureuse,4
repoz,4
pére,4
servilius,4
doulcement,4
laquelle,3
haines,3
injures,3
sub,3
manuscrit,3
suivi,3
texte,3
méme,3
lit,3
mieux,3
joinct,3
chef,3
passé,3
trouve,3
batailles,3
moindre,3
nombre,3
jugé,3
instrumens,3
punir,3
ire,3
outre,3
nourrir,3
estiment,3
dernier,3
chefs,3
anciens,3
concorde,3
bref,3
long,3
campaigne,3
bas,3
in,3
telles,3
volonté,3
fran,3
francois,3
prix,3
malade,3
peste,3
estoient,3
infinis,3
ans,3
telle,3
mort,3
cruaulté,3
huy,3
espoir,3
em,3
voyant,3
majeurs,3
vertu,3
met,3
perdre,3
aulcung,3
ycelle,3
rebours,3
guerres,3
aussy,3
craincte,3
dissensions,3
sil,3
maintenant,3
homme,3
où,3
feut,3
penser,3
parler,3
licence,3
céder,3
effect,3
seigneurs,3
deb,3
mieulx,3
doit,3
coeurs,3
puisque,3
encore,3
très,3
partie,3
vérité,3
donné,3
loyx,3
ains,3
membres,3
retrancher,3
guarison,3
laissant,3
remèdes,3
doncques,3
actions,3
ainsi,3
mis,3
quelle,3
conserve,3
prendre,3
saincte,3
paternelle,3
sanglante,3
sénat,3
dictateur,3
donnant,3
conseil,3
donne,3
excellente,3
estoit,3
cest,3
recueil,3
respublique,3
quil,3
menaces,3
malgré,3
coeur,3
loix,3
persuasions,2
but,2
composition,2
pleine,2
entiére,2
semble,2
publication,2
grandes,2
