token_,count
où roy,2
cardinal lorraine,2
convocation états,2
états généraux,2
concile général,2
assemblée fontainebleau,1
fontainebleau aout,1
aout chancelier,1
chancelier remonstra,1
remonstra longue,1
longue déduction,1
déduction estat,1
estat affaires,1
affaires royaume,1
royaume quelles,1
quelles comparé,1
comparé dangereuse,1
dangereuse maladie,1
maladie dict,1
dict estre,1
estre aisé,1
aisé guérir,1
guérir mal,1
mal pourveu,1
pourveu sceust,1
sceust cause,1
cause racine,1
racine voyt,1
voyt estats,1
estats troublés,1
troublés corrompuz,1
corrompuz religion,1
religion divisée,1
divisée opinions,1
opinions noblesse,1
noblesse malcontente,1
malcontente peuple,1
peuple appovri,1
appovri grandement,1
grandement refroidy,1
refroidy zelle,1
zelle bonne,1
bonne volonté,1
volonté souloit,1
souloit porter,1
porter prince,1
prince ministres,1
ministres si,1
si source,1
source racine,1
racine taut,1
taut calamitez,1
calamitez pouvoit,1
pouvoit descovrir,1
descovrir remède,1
remède aisé,1
aisé quoy,1
quoy cela,1
cela fault,1
fault travailler,1
travailler raison,1
raison quoy,1
quoy pleu,1
pleu roy,1
roy faire,1
faire ceste,1
ceste semblée,1
semblée légitimement,1
légitimement composée,1
composée tous,1
tous estats,1
estats royaume,1
royaume hormis,1
hormis tiers,1
tiers estat,1
estat nullement,1
nullement nécessaire,1
nécessaire parce,1
parce but,1
but fin,1
fin où,1
roy tendoit,1
tendoit soulagement,1
soulagement repos,1
repos iceluy,1
iceluy ll,1
ll thou,1
thou rend,1
rend compte,1
compte cette,1
cette harangue,1
harangue peu,1
peu pres,1
pres harangues,1
harangues après,1
après chancelier,1
chancelier parlèrent,1
parlèrent duc,1
duc guise,1
guise cardinal,1
lorraine premier,1
premier rendre,1
rendre compte,1
compte situation,1
situation armée,1
armée dont,1
dont fois,1
fois administration,1
administration comman,1
comman dement,1
dement second,1
second état,1
état finances,1
finances dont,1
dont direction,1
direction remis,1
remis cette,1
cette première,1
première séance,1
séance chacun,1
chacun membres,1
membres assemblée,1
assemblée bulletin,1
bulletin ordre,1
ordre jour,1
jour déterminer,1
déterminer travail,1
travail mêmes,1
mêmes termes,1
termes iii,1
iii liv,1
liv xxv,1
xxv chan,1
chan celier,1
celier dit,1
dit servit,1
servit termes,1
termes prolixes,1
prolixes compa,1
compa raison,1
raison médecin,1
médecin gouverner,1
gouverner homme,1
homme ac,1
ac cablé,1
cablé maladie,1
maladie dont,1
dont cause,1
cause inconnue,1
inconnue dit,1
dit plusieurs,1
plusieurs choses,1
choses désolation,1
désolation foiblesse,1
foiblesse royaume,1
royaume noblesse,1
noblesse magistrats,1
magistrats cor,1
cor ruption,1
ruption glissée,1
glissée tous,1
tous ordres,1
ordres état,1
état ajouta,1
ajouta esprits,1
esprits étoient,1
étoient indisposez,1
indisposez contre,1
contre roi,1
roi ct,1
ct principaux,1
principaux ministres,1
ministres sans,1
sans cause,1
cause cette,1
cette alié,1
alié nation,1
nation générale,1
générale connue,1
connue püt,1
püt conséquent,1
conséquent apporter,1
apporter remède,1
remède plupart,1
plupart peu,1
peu satisfaits,1
satisfaits présent,1
présent alarmés,1
alarmés avenir,1
avenir quelques,1
quelques uns,1
uns motifs,1
motifs religion,1
religion plus,1
plus grand,1
grand nombre,1
nombre vues,1
vues ambi,1
ambi tion,1
tion suscité,1
suscité troubles,1
troubles ainsi,1
ainsi falloit,1
falloit tâcher,1
tâcher connoitre,1
connoitre origine,1
origine mal,1
mal apporter,1
apporter remédes,1
remédes convenables,1
convenables enfin,1
enfin roi,1
roi rien,1
rien plus,1
plus cœur,1
cœur apprendre,1
apprendre étoient,1
étoient présents,1
présents comment,1
comment pourroit,1
pourroit soulager,1
soulager peuple,1
peuple conserver,1
conserver chaque,1
chaque ordre,1
ordre prérogatives,1
prérogatives maintenir,1
maintenir autorité,1
autorité lo,1
