token_,count
roy royne,3
trois estats,3
louis xii,3
royne mére,2
faire sans,2
peu temps,2
tel estat,2
roy louis,2
pouvoit faire,2
deux millions,2
mille livres,2
parce aulcung,2
subvenir prince,2
dict roy,2
où roy,2
prendroit quart,2
tiers estat,2
six ans,2
gabelles aydes,2
sans entrer,2
it harangue,1
harangue états,1
états généraux,1
généraux orléans,1
orléans omise,1
omise rang,1
rang janvier,1
janvier style,1
style ancien,1
ancien voyez,1
voyez premier,1
premier volume,1
volume page,1
page suivantes,1
suivantes monsieur,1
monsieur chancelier,1
chancelier hospital,1
hospital estant,1
estant chaire,1
chaire costé,1
costé roy,1
roy fit,1
fit imposer,1
imposer silence,1
silence assistans,1
assistans commença,1
commença harangue,1
harangue monstrant,1
monstrant bénévolence,1
bénévolence roy,1
mére necessitez,1
necessitez ezquelles,1
ezquelles roy,1
roy royaulme,1
royaulme estoient,1
estoient tombez,1
tombez calamité,1
calamité guerres,1
guerres mariaiges,1
mariaiges aultres,1
aultres affaires,1
affaires adveneus,1
adveneus audict,1
audict royaulme,1
royaulme ordre,1
ordre vouloit,1
vouloit donner,1
donner édicts,1
édicts ordonnances,1
ordonnances estoient,1
estoient seroient,1
seroient ci,1
ci aprés,1
aprés faictes,1
faictes selon,1
selon moeurs,1
moeurs pays,1
pays peuple,1
peuple non,1
non estrangiers,1
estrangiers di,1
di sant,1
sant traict,1
traict desireroit,1
desireroit bon,1
bon selon,1
selon advis,1
advis jamais,1
jamais receu,1
receu france,1
france loyx,1
loyx romains,1
romains mesme,1
mesme empereurs,1
empereurs faictes,1
faictes exercer,1
exercer tyran,1
tyran nie,1
nie envers,1
envers leurs,1
leurs subjects,1
subjects tyrannie,1
tyrannie harangues,1
harangues leurs,1
leurs gouverneurs,1
gouverneurs usurpé,1
usurpé ad,1
ad ministration,1
ministration publicque,1
publicque eulx,1
eulx agrandir,1
agrandir augmenter,1
augmenter leurs,1
leurs richesses,1
richesses pur,1
pur sang,1
sang pau,1
pau vres,1
vres subjects,1
subjects nombre,1
nombre infiny,1
infiny procez,1
procez estoient,1
estoient royaulme,1
royaulme faulte,1
faulte corruption,1
corruption magistrats,1
magistrats ceulx,1
ceulx estoient,1
estoient disoient,1
disoient ministres,1
ministres justice,1
justice quoy,1
quoy roy,1
royne ceulx,1
ceulx con,1
con seil,1
seil délibéré,1
délibéré donner,1
donner bon,1
bon ordre,1
ordre temps,1
temps falloit,1
falloit royaulme,1
royaulme bien,1
bien policé,1
policé gouverné,1
gouverné peu,1
peu loyx,1
loyx bons,1
bons gistrats,1
gistrats trois,1
estats requiz,1
requiz suppression,1
suppression plusieurs,1
plusieurs estats,1
estats offices,1
offices naguéres,1
naguéres érigez,1
érigez nécessité,1
nécessité temps,1
temps affaires,1
affaires remonstra,1
remonstra telles,1
telles suppressions,1
suppressions pouvoient,1
pouvoient sitost,1
sitost faire,1
sans rescompenser,1
rescompenser rembourser,1
rembourser ceulx,1
ceulx acheptées,1
acheptées roy,1
roy falloit,1
falloit avoir,1
avoir patience,1
patience donne,1
donne roit,1
roit tel,1
tel ordre,1
ordre peu,1
temps chascung,1
chascung content,1
content tout,1
tout remiz,1
remiz tel,1
estat lors,1
lors roy,1
xii mesme,1
mesme tailles,1
tailles toutesfois,1
toutesfois cela,1
cela pouvoit,1
sans subvenir,1
subvenir ayder,1
ayder nostre,1
nostre petit,1
petit prince,1
prince lequel,1
lequel mineur,1
mineur cause,1
cause despenses,1
despenses ci,1
ci devant,1
devant faictes,1
faictes espérance,1
espérance doibt,1
doibt avoir,1
avoir vertus,1
vertus harangues,1
harangues veoit,1
veoit reluire,1
reluire doibvent,1
doibvent grandement,1
grandement contenter,1
contenter peu,1
temps ayde,1
ayde conseil,1
conseil royne,1
mére genz,1
genz privé,1
privé conseil,1
conseil debvoit,1
debvoit espérer,1
espérer royaul,1
royaul fleuriroit,1
fleuriroit plus,1
plus jamais,1
jamais faict,1
faict chancelier,1
chancelier feit,1
feit infinies,1
infinies remons,1
remons trances,1
trances disant,1
disant entre,1
entre aultres,1
aultres choses,1
choses déja,1
déja roy,1
roy diminué,1
diminué estat,1
estat despenses,1
despenses mai,1
mai gaiges,1
gaiges pensions,1
pensions jusqu,1
jusqu deux,1
millions trois,1
trois cents,1
cents tant,1
tant mille,1
livres peu,1
peu chose,1
chose quil,1
quil espéroit,1
espéroit mesme,1
mesme retran,1
retran cher,1
cher dadvantaige,1
dadvantaige néantmoins,1
néantmoins tel,1
tel lement,1
lement resté,1
resté debte,1
debte demeuré,1
demeuré devable,1
devable quarante,1
quarante trois,1
trois millions,1
millions six,1
six sept,1
sept cent,1
cent mille,1
livres dont,1
dont quinze,1
quinze millions,1
millions plus,1
plus lesquelz,1
lesquelz couroient,1
couroient grands,1
grands insupportables,1
insupportables intérests,1
intérests surplus,1
surplus deu,1
deu fort,1
fort poursuyvi,1
poursuyvi ceulx,1
ceulx prestez,1
prestez parce,1
aulcung intérest,1
intérest ceste,1
ceste cause,1
cause dict,1
dict chascung,1
chascung dlesdicts,1
dlesdicts trois,1
estats debvoit,1
debvoit avoir,1
avoir grande,1
grande considération,1
considération subvenir,1
prince ayder,1
ayder ur,1
ur gente,1
gente nécessité,1
nécessité disant,1
disant roy,1
roy com,1
com mandé,1
mandé prier,1
prier faire,1
faire diminuer,1
diminuer quelque,1
quelque chose,1
chose leurs,1
leurs estats,1
estats despenses,1
despenses faisant,1
faisant trouveroient,1
trouveroient mieulx,1
mieulx vie,1
vie santé,1
santé falloit,1
falloit attendre,1
attendre né,1
né cessité,1
cessité guerre,1
guerre parce,1
aulcung dlesdicts,1
dlesdicts harangues,1
harangues estats,1
estats remonstré,1
remonstré où,1
où guerre,1
guerre roit,1
roit royaulme,1
royaulme aulcung,1
aulcung voulust,1
voulust éspargner,1
éspargner vie,1
vie biens,1
biens dont,1
dont roy,1
roy éstoit,1
éstoit àsseuré,1
àsseuré comme,1
comme homme,1
homme pru,1
pru dent,1
dent bien,1
bien advisé,1
advisé doibt,1
doibt attendre,1
attendre nécessité,1
nécessité contraigue,1
contraigue ains,1
ains auparavant,1
auparavant doibt,1
doibt pourvoir,1
pourvoir faire,1
faire dict,1
roy prioit,1
prioit estat,1
estat ecclésiasticque,1
ecclésiasticque rachepter,1
rachepter domaine,1
domaine gabelles,1
gabelles aliesnez,1
aliesnez pouvoit,1
faire présentement,1
présentement fist,1
fist six,1
six années,1
années pro,1
pro chaines,1
chaines quant,1
quant second,1
second estat,1
estat noblesse,1
noblesse roy,1
roy conseil,1
conseil privé,1
privé sceu,1
sceu ad,1
ad visé,1
visé secourir,1
secourir prince,1
prince exposé,1
exposé non,1
non seulement,1
seulement leurs,1
leurs biens,1
biens aussi,1
aussi leurs,1
leurs vies,1
vies personnes,1
personnes tuition,1
tuition fense,1
fense public,1
public estoient,1
estoient cest,1
cest effect,1
effect engagez,1
engagez endebtez,1
endebtez toutesfois,1
toutesfois advisé,1
advisé expédient,1
expédient lieux,1
lieux endroicts,1
endroicts où,1
roy prenoit,1
prenoit droict,1
droict gabelles,1
gabelles léveroit,1
léveroit chascung,1
chascung muyd,1
muyd sel,1
sel quinze,1
quinze livres,1
livres tournois,1
tournois lieux,1
lieux où,1
où gabelles,1
gabelles prendroit,1
quart aultres,1
aultres redebvances,1
redebvances ainsy,1
ainsy noblesse,1
noblesse église,1
église tiers,1
estat payeroient,1
payeroient contingente,1
contingente portion,1
portion bien,1
bien iiz,1
iiz advisassent,1
advisassent quelques,1
quelques aultres,1
aultres meilleurs,1
meilleurs moyens,1
moyens subvenir,1
prince harangues,1
harangues regard,1
regard tiers,1
estat consentis,1
consentis sent,1
sent augmentation,1
augmentation tailles,1
tailles où,1
où perçoit,1
perçoit droicts,1
droicts huitiesme,1
huitiesme dou,1
dou ziesme,1
ziesme vin,1
vin roy,1
roy prendroit,1
quart aultre,1
aultre raisonnable,1
raisonnable impost,1
impost remonstrant,1
remonstrant daces,1
daces vin,1
vin beu,1
beu venise,1
venise terres,1
terres subjectes,1
subjectes empire,1
empire domination,1
domination montent,1
montent an,1
an deux,1
millions ducats,1
ducats plus,1
plus roy,1
roy demandoit,1
demandoit lesdicts,1
lesdicts imposts,1
imposts aydes,1
aydes sub,1
sub ventions,1
ventions six,1
ans plus,1
plus si,1
si plustost,1
plustost trouvoit,1
trouvoit acquitté,1
acquitté debtes,1
debtes remet,1
remet troit,1
troit tout,1
tout ancienne,1
ancienne forme,1
forme tel,1
estat quil,1
quil régne,1
régne roy,1
xii autant,1
autant lesdicts,1
lesdicts trois,1
estats pou,1
pou voient,1
voient avoir,1
avoir desfiance,1
desfiance deniers,1
deniers roient,1
roient employez,1
employez selon,1
selon vouloir,1
vouloir roy,1
roy acquict,1
acquict dict,1
dict commissent,1
commissent esche,1
esche vins,1
vins villes,1
villes aultres,1
aultres responsables,1
responsables faire,1
faire venir,1
venir lesdicts,1
lesdicts deniers,1
deniers purement,1
purement sans,1
sans frais,1
frais moindres,1
moindres pourroit,1
pourroit faire,1
faire encore,1
encore plus,1
plus grande,1
grande asseurance,1
asseurance dict,1
royne commandé,1
commandé faire,1
faire entendre,1
entendre ladicte,1
ladicte royne,1
royne roy,1
roy navarre,1
navarre aultres,1
aultres princes,1
princes obligeroient,1
obligeroient pro,1
