token_,count
feu roy,6
tenir estats,6
nostre jeune,4
paix repos,4
plus grande,4
bonne vie,4
beaucoup choses,3
jeune roy,3
roy philippe,3
faire justice,3
ceste cause,3
subjects mesme,3
toutes choses,3
uns aultres,3
tout peuple,3
peult estre,3
toutes aultres,3
roy henry,3
paix repoz,3
comme dict,3
amytié entre,3
diverses religions,3
cy devant,3
roy charles,2
comme veoyons,2
princes seigneurz,2
roy seigneur,2
royne mére,2
grands personnaiges,2
grecs romains,2
bons chrestiens,2
si grand,2
coustume tenir,2
estats estoient,2
leurs subjects,2
plus grands,2
prendre adviz,2
adviz conseil,2
plaintes doléances,2
encore roy,2
grand bien,2
roy diminue,2
majesté royale,2
acte tant,2
long temps,2
tenant estats,2
roy loys,2
roy contrainct,2
tous roys,2
deux fois,2
comme dit,2
plus eulx,2
estats teneus,2
tout ainsi,2
sub ject,2
grande raison,2
quand besoing,2
sans attendre,2
apaiser séditions,2
cause sédition,2
prières oraisons,2
exemple bonne,2
reli gion,2
gouverneurs baillifs,2
baillifs séneschaulx,2
grand regret,2
plat pays,2
cause mal,2
estre cause,2
guerres civiles,2
sylla marius,2
entre ceulx,2
aultres plus,2
roy bien,2
telle mesure,2
après avoir,2
ambition roy,2
vivrons paix,2
puis sance,2
subjects roy,2
estre plus,2
contre ennemy,2
tierz estat,2
comme corps,2
si sédition,2
cause dieu,2
aultres nations,2
leurs ennemys,2
religion plus,2
peult faire,2
sainct concile,2
roy si,2
pourra estre,2
leurs forces,2
pape innocent,2
homme bien,2
ledict évesque,2
lesdicts hérétiques,2
pareil semblable,2
vostre ville,2
seureté chemins,2
plus aisé,2
roy royne,2
états généraux,2
harangue prononcese,1
prononcese ouverture,1
ouverture session,1
session etats,1
etats genear,1
genear assembles,1
assembles orleans,1
orleans decembre,1
decembre xsssizuns,1
xsssizuns dieu,1
dieu donna,1
donna volonté,1
volonté feu,1
roy ian,1
ian cois,1
cois ii,1
ii assembler,1
assembler semondre,1
semondre estats,1
estats royaume,1
royaume ceste,1
ceste ville,1
ville orléans,1
orléans ycelle,1
ycelle continué,1
continué roy,1
charles frère,1
frère souve,1
souve rain,1
rain seigneur,1
seigneur royne,1
royne mere,1
mere deux,1
deux roy,1
roy combien,1
combien mort,1
mort dudict,1
dudict feu,1
roy sem,1
sem blast,1
blast estats,1
estats deussent,1
deussent être,1
être interrompeus,1
interrompeus changement,1
changement roy,1
roy deust,1
deust apporter,1
apporter soy,1
soy mutation,1
mutation beaucoup,1
choses comme,1
veoyons souvent,1
souvent advenir,1
advenir mesme,1
mesme quand,1
quand roys,1
roys jeunes,1
jeunes bas,1
bas aage,1
aage donne,1
donne occasion,1
occasion voyez,1
voyez essai,1
essai vie,1
vie ouvrages,1
ouvrages hospital,1
hospital pag,1
pag suivantes,1
suivantes harangues,1
harangues maulvais,1
maulvais mal,1
mal faire,1
faire toutesfois,1
toutesfois change,1
change ment,1
ment apporté,1
apporté non,1
non seulement,1
seulement aulcunes,1
aulcunes nou,1
nou velles,1
velles esmeutes,1
esmeutes séditions,1
séditions ains,1
ains apaisées,1
apaisées amorties,1
amorties celles,1
celles lors,1
lors estoient,1
estoient comme,1
veoyons jour,1
jour obscur,1
obscur plein,1
plein nuées,1
nuées brouillards,1
brouillards soleil,1
soleil veneue,1
veneue rompt,1
rompt dissipe,1
dissipe nuée,1
nuée rend,1
rend temps,1
temps clair,1
clair serain,1
serain ainsy,1
ainsy visaige,1
visaige nostre,1
roy percé,1
percé jusques,1
jusques fond,1
fond coeurs,1
coeurs princes,1
princes sang,1
sang aultres,1
aultres seigneurz,1
seigneurz chassé,1
chassé osté,1
osté tous,1
tous soupcons,1
soupcons passions,1
passions affections,1
affections pouvoient,1
pouvoient avoir,1
avoir pacifiez,1
pacifiez liez,1
liez unis,1
unis tellement,1
tellement ensemble,1
ensemble maison,1
maison privée,1
privée fréres,1
fréres si,1
si bien,1
bien unis,1
unis accor,1
accor obéissans,1
obéissans péres,1
péres comme,1
comme dicts,1
dicts princes,1
seigneurz roy,1
seigneur obéyr,1
obéyr royne,1
mére quoy,1
quoy monstrée,1
monstrée grande,1
grande vertu,1
vertu roy,1
roy navarre,1
navarre lequel,1
lequel comme,1
comme premier,1
premier prince,1
prince sang,1
sang monstré,1
monstré chemin,1
chemin aultres,1
aultres donné,1
donné exemple,1
exemple obéissance,1
obéissance donné,1
donné gran,1
gran louange,1
louange certains,1
certains grands,1
personnaiges grecs,1
romains estant,1
estant esleus,1
esleus magistrats,1
magistrats gou,1
gou verneurs,1
verneurs république,1
république délaissoient,1
délaissoient haine,1
haine inimytié,1
inimytié temps,1
temps durant,1
durant année,1
année magistrature,1
magistrature peur,1
peur dissension,1
dissension portast,1
portast dommaige,1
dommaige république,1
république ceulx,1
ceulx cy,1
cy comme,1
comme bons,1
chrestiens despouillez,1
despouillez haranglfs,1
haranglfs tous,1
tous soupçons,1
soupçons aultres,1
aultres passions,1
passions non,1
non temps,1
temps harangues,1
harangues ment,1
ment tant,1
tant princes,1
seigneurz deb,1
deb vons,1
vons espérer,1
espérer tout,1
tout bien,1
bien toute,1
toute paix,1
repos tranquillité,1
tranquillité attendant,1
attendant nostre,1
roy croisse,1
croisse ans,1
ans personne,1
personne vertu,1
vertu ja,1
ja com,1
com mencent,1
mencent poindre,1
poindre reluyre,1
reluyre dili,1
dili gence,1
gence trés,1
trés vertueuse,1
vertueuse trés,1
trés saige,1
saige princesse,1
princesse royne,1
mére devienne,1
devienne suffisant,1
suffisant capable,1
capable régir,1
régir gouverner,1
gouverner tel,1
tel si,1
grand royaume,1
royaume cestuy,1
cestuy cy,1
cy messieurs,1
messieurs parce,1
parce reprenons,1
reprenons an,1
an cienne,1
cienne coustume,1
estats ja,1
ja délaissez,1
délaissez temps,1
temps quatre,1
quatre vingts,1
vingts ans,1
ans environ,1
environ mémoire,1
mémoire homme,1
homme puisse,1
puisse at,1
at teindre,1
teindre diray,1
diray peu,1
peu paroles,1
paroles tenir,1
estats quelle,1
quelle cause,1
cause assembloit,1
assembloit estats,1
estats là,1
là façon,1
