token_,count
aujourd huy,6
parole dieu,3
lesdictz évangélistes,3
faict religion,2
ceste cause,2
rece voir,2
con traire,2
non seulement,2
peult estre,2
estre con,2
bon concile,2
présentée roy,2
bonne doctrine,2
concile nice,2
jésus christ,2
entre eulx,2
ycelle taschent,2
néant moins,2
évangélistes si,2
profession foy,2
bas aage,2
subjects roy,2
proposition harangue,1
harangue faicte,1
faicte monsieur,1
monsieur chancelier,1
chancelier france,1
france faict,1
religion ville,1
ville poissy,1
poissy assemblée,1
assemblée prélats,1
prélats france,1
france dernière,1
dernière ment,1
ment faicte,1
faicte audict,1
audict lieu,1
lieu question,1
question religion,1
religion telle,1
telle impor,1
impor tance,1
tance besoing,1
besoing procède,1
procède plus,1
plus meure,1
meure délibération,1
délibération faire,1
faire pourra,1
pourra sans,1
sans soyt,1
soyt transporté,1
transporté aultre,1
aultre affection,1
affection ticuliére,1
ticuliére ains,1
ains conduict,1
conduict seulement,1
seulement sainct,1
sainct désir,1
désir ycelle,1
ycelle décider,1
décider salut,1
salut hommes,1
hommes tranquillité,1
tranquillité publicque,1
publicque ceste,1
cause toutes,1
toutes fois,1
fois déli,1
déli bére,1
bére appaiser,1
appaiser différendz,1
différendz subveneus,1
subveneus faict,1
religion entre,1
entre aultres,1
aultres choses,1
choses doibvent,1
doibvent estre,1
estre observées,1
observées ycelle,1
ycelle principale,1
principale use,1
use toute,1
toute doulceur,1
doulceur bénignité,1
bénignité afin,1
afin ceulx,1
ceulx erreur,1
erreur puissent,1
puissent rece,1
voir instruction,1
instruction laquelle,1
laquelle rien,1
rien si,1
si con,1
traire force,1
force violence,1
violence suivant,1
suivant dict,1
dict saint,1
saint augustin,1
augustin dict,1
dict dih,1
dih harangues,1
harangues gence,1
gence plus,1
plus griefve,1
griefve profitable,1
profitable contraindre,1
contraindre hommes,1
hommes sans,1
sans enseigner,1
enseigner faict,1
faict veu,1
veu nostre,1
nostre temps,1
temps depuis,1
depuis nombre,1
nombre ceulx,1
ceulx seroient,1
seroient soustraitz,1
soustraitz obéyssance,1
obéyssance pape,1
pape commencé,1
commencé multiplier,1
multiplier royaulme,1
royaulme combien,1
combien avoyt,1
avoyt rigueur,1
rigueur ayt,1
ayt faict,1
faict passer,1
passer espace,1
espace trois,1
trois ans,1
ans si,1
si cela,1
cela rien,1
rien servy,1
servy exterminer,1
exterminer moindrir,1
moindrir nombre,1
nombre lequel,1
lequel contraire,1
contraire tellement,1
tellement augmenté,1
augmenté nonobstant,1
nonobstant toutes,1
toutes peines,1
peines aujourd,1
huy infiny,1
infiny doibt,1
doibt maintenant,1
maintenant servir,1
servir bon,1
bon advertissement,1
advertissement besoing,1
besoing garder,1
garder aultre,1
aultre moyen,1
moyen si,1
si veult,1
veult mestre,1
mestre bonne,1
bonne paix,1
paix royaulme,1
royaulme pourtant,1
pourtant sl,1
sl question,1
question donner,1
donner bon,1
bon adviz,1
adviz roy,1
roy faict,1
faict fault,1
fault commen,1
commen cer,1
cer là,1
là scavoir,1
scavoir adoulcir,1
adoulcir rigueurs,1
rigueurs passées,1
passées regard,1
regard ceulx,1
ceulx reculés,1
reculés ordre,1
ordre appelle,1
appelle féglise,1
féglise confession,1
confession foy,1
foy commune,1
commune raisons,1
raisons considérations,1
considérations ensuy,1
ensuy vent,1
vent premiérement,1
premiérement chose,1
chose convenable,1
convenable debvoir,1
debvoir office,1
office roy,1
roy aymer,1
aymer procurer,1
procurer non,1
seulement prospérité,1
prospérité extérieure,1
extérieure sub,1
sub jectz,1
jectz principalement,1
principalement salut,1
salut leurs,1
leurs ames,1
ames harangues,1
harangues át,1
át paix,1
paix conscience,1
conscience conscience,1
conscience telle,1
telle nature,1
nature peult,1
estre forcée,1
forcée doibt,1
doibt estre,1
estre enseignée,1
enseignée estre,1
estre point,1
point domptée,1
domptée violée,1
violée persuadée,1
persuadée vrayes,1
vrayes suffi,1
suffi santes,1
santes raisons,1
raisons mesme,1
mesme foy,1
foy seule,1
seule estre,1
con traincte,1
traincte plus,1
plus foy,1
foy si,1
si ceulx,1
ceulx laissé,1
laissé cérémonies,1
cérémonies an,1
an ciennes,1
ciennes estoient,1
estoient teneus,1
teneus force,1
force avant,1
avant réso,1
réso lution,1
lution bon,1
concile assemblée,1
assemblée faulser,1
faulser conscience,1
conscience quoy,1
quoy tel,1
tel endroict,1
endroict nécessaire,1
nécessaire user,1
user moyens,1
moyens enseigner,1
enseigner doibt,1
doibt ezmouvoir,1
ezmouvoir davantaige,1
davantaige offre,1
offre ceulx,1
ceulx appelle,1
appelle évangélistes,1
évangélistes lesquelz,1
lesquelz tousjours,1
tousjours offert,1
offert eulx,1
eulx assujettir,1
assujettir parole,1
dieu laquelle,1
laquelle disent,1
disent recognoistre,1
recognoistre seule,1
seule règle,1
règle vérité,1
vérité tousjours,1
tousjours demandé,1
demandé estre,1
estre oys,1
oys ladicte,1
ladicte deífense,1
deífense mesmes,1
mesmes aujourd,1
huy demandent,1
demandent queste,1
queste présentée,1
roy pourtant,1
pourtant mal,1
mal enseigner,1
enseigner ceulx,1
ceulx estime,1
estime avoir,1
avoir besoing,1
besoing instruction,1
instruction mesmement,1
mesmement efforcent,1
efforcent soubmettent,1
soubmettent rece,1
voir parole,1
dieu semblablement,1
semblablement tenir,1
tenir hérétiques,1
hérétiques sinon,1
sinon leurs,1
leurs disputes,1
disputes démoureront,1
démoureront convaincuz,1
convaincuz quant,1
quant ceulx,1
ceulx accoustumé,1
accoustumé allé,1
allé guer,1
guer fault,1
fault plus,1
plus disputer,1
disputer choses,1
choses terminées,1
terminées aultres,1
aultres conciles,1
conciles cela,1
cela harangues,1
harangues suffisant,1
suffisant instruire,1
instruire ignorantz,1
ignorantz semble,1
semble si,1
si chose,1
chose bonne,1
bonne empire,1
empire point,1
point estre,1
estre traictée,1
traictée confirmée,1
confirmée plusieurs,1
plusieurs fois,1
fois si,1
si mauvaise,1
mauvaise peult,1
peult moyen,1
moyen amender,1
amender faict,1
faict anciens,1
anciens ainsy,1
ainsy usé,1
usé faisant,1
faisant difficulté,1
difficulté confirmer,1
confirmer bonne,1
doctrine plusieurs,1
plusieurs conciles,1
conciles yceulx,1
yceulx mesmes,1
mesmes corriger,1
corriger chose,1
chose mauvaise,1
mauvaise surveneue,1
surveneue église,1
église hérésie,1
hérésie arrius,1
arrius seulement,1
seulement con,1
con vaincue,1
vaincue condamnée,1
condamnée concile,1
nice yceluy,1
yceluy éclaircie,1
éclaircie saincte,1
saincte doctrine,1
doctrine trinité,1
trinité aussi,1
aussi concile,1
concile constanti,1
constanti nople,1
nople aultres,1
aultres combien,1
combien ladicte,1
ladicte hérésie,1
hérésie confutée,1
confutée audict,1
audict concile,1
nice adviz,1
adviz trois,1
trois cent,1
cent trente,1
trente huit,1
huit évesques,1
évesques da,1
