token_,count
roy charles,6
nostre roy,6
havre grace,5
roy faict,4
quatorze ans,4
non seulement,3
ceste ville,3
toutes aultres,3
royne mére,3
veult roy,3
duché normandie,3
roy majeur,3
chaque session,3
journée comme,2
ez villes,2
royne mère,2
parlerai plus,2
entrée ceste,2
plein joye,2
heureuse victoire,2
vostre ville,2
pays normandie,2
ceste victoire,2
toutes choses,2
ceste entreprinse,2
ceste couronne,2
laps temps,2
tout temps,2
couronne france,2
duc normandie,2
an mil,2
tousjours jouy,2
roy saint,2
saint louis,2
anglois lequel,2
jusques an,2
roy angleterre,2
cens quarante,2
ledict temps,2
temps celuy,2
droict prétendoit,2
contreveneu traicté,2
entre décés,2
sans attendre,2
roy temps,2
aultre loy,2
ad ministration,2
majeur quatorze,2
aultres royaulmes,2
aage quatorze,2
temps roy,2
charles sixième,2
seigneurs conseil,2
dessus roy,2
non accompli,2
poinct dire,2
princes seigneurs,2
com mencement,2
amys ennemys,2
sans sceu,2
roy veult,2
faictes comme,2
ordonnances roy,2
tout ainsy,2
estes juges,2
chascung jour,2
justice si,2
si faire,2
aimerois mieulx,2
leurs jugemens,2
comme dict,2
plus grands,2
temps passé,2
trois mois,2
présidents conseillers,2
roy telz,2
veoit tout,2
harangue parlement,1
parlement rouen,1
rouen déclaration,1
déclaration majorité,1
majorité charles,1
charles ix,1
ix aoüt,1
aoüt xzssrzuns,1
xzssrzuns ancien,1
ancien poéte,1
poéte grec,1
grec voulant,1
voulant monstrer,1
monstrer variété,1
variété inconstance,1
inconstance choses,1
choses humaines,1
humaines di,1
di jour,1
jour journée,1
comme mairastre,1
mairastre oultre,1
oultre comme,1
comme mére,1
mére veoyons,1
veoyons plupart,1
plupart advenir,1
advenir jour,1
jour homme,1
homme sain,1
sain aultre,1
aultre jour,1
jour lade,1
lade jour,1
jour riche,1
riche aultre,1
aultre pauvre,1
pauvre jour,1
jour honoré,1
honoré aultre,1
aultre deshonoré,1
deshonoré jour,1
jour content,1
content aultre,1
aultre mal,1
mal content,1
content cela,1
cela advient,1
advient non,1
seulement hommes,1
hommes privez,1
privez maisons,1
maisons pri,1
pri vées,1
vées aussi,1
aussi royaulmes,1
royaulmes pays,1
pays villes,1
villes provinces,1
provinces dis,1
dis propoz,1
propoz veu,1
veu puis,1
puis an,1
an deux,1
deux jours,1
jours deux,1
deux entrées,1
entrées roy,1
roy harangues,1
harangues nostre,1
nostre souverain,1
souverain seigneur,1
seigneur ceste,1
ville rouen,1
rouen fort,1
fort différentes,1
différentes desquelles,1
desquelles journées,1
journées pouvons,1
pouvons appeler,1
appeler mairastre,1
mairastre aultre,1
aultre mére,1
mére mairastre,1
mairastre premiére,1
premiére pleine,1
pleine douleurs,1
douleurs tristesses,1
tristesses touz,1
touz maulx,1
maulx adviennent,1
adviennent ez,1
villes prinses,1
prinses guerre,1
guerre combien,1
combien feust,1
feust grand,1
grand regret,1
regret dudict,1
dudict seigneur,1
seigneur ainsy,1
ainsy chas,1
chas cung,1
cung scait,1
scait sçavez,1
sçavez peine,1
peine royne,1
mère prirent,1
prirent obvier,1
obvier pardons,1
pardons abolitions,1
abolitions octroya,1
octroya généralement,1
généralement touz,1
touz habitans,1
habitans parlerai,1
plus avant,1
avant peur,1
peur rafrais,1
rafrais chir,1
chir mémoire,1
mémoire choses,1
choses majesté,1
majesté veult,1
veult estre,1
estre oubliées,1
oubliées abolies,1
abolies aultre,1
aultre journée,1
comme mère,1
mère celle,1
celle laquelle,1
laquelle roy,1
faict entrée,1
ville apres,1
apres prinse,1
prinse havre,1
grace tour,1
tour heureux,1
heureux voyaige,1
voyaige plein,1
joye consolation,1
consolation venant,1
venant visiter,1
visiter réjouir,1
réjouir comme,1
comme ceulx,1
ceulx touz,1
touz aultres,1
aultres plus,1
plus cause,1
cause réjouir,1
réjouir ceste,1
ceste heureuse,1
victoire aultant,1
aultant vostre,1
ville métropolitaine,1
métropolitaine capitale,1
capitale pays,1
normandie recevra,1
recevra plus,1
plus fruict,1
fruict toutes,1
aultres ceste,1
victoire coste,1
coste mer,1
mer pays,1
pays tant,1
tant travaillée,1
travaillée anglois,1
anglois asseurée,1
asseurée riviére,1
riviére seine,1
seine passant,1
passant harangues,1
harangues deux,1
deux principales,1
principales villes,1
villes royaulme,1
royaulme paris,1
paris rouen,1
rouen apportant,1
apportant infinis,1
infinis bienz,1
bienz richesses,1
richesses debvez,1
debvez donc,1
donc espérer,1
espérer ceste,1
ceste veneue,1
veneue roy,1
roy toute,1
toute richesse,1
richesse abondance,1
abondance bienz,1
bienz roy,1
roy comme,1
comme prince,1
prince trés,1
trés chrestien,1
chrestien recog,1
recog noist,1
noist dieu,1
dieu octroyé,1
octroyé grace,1
grace ceste,1
ceste si,1
si heureuse,1
victoire ville,1
ville havre,1
grace pouvoit,1
pouvoit reprendre,1
reprendre forces,1
forces hu,1
hu maines,1
maines conseil,1
conseil entreprinse,1
entreprinse prinse,1
prinse exécution,1
exécution dieu,1
dieu seulement,1
seulement roy,1
roy ministre,1
ministre peu,1
peu genz,1
genz estoient,1
estoient bien,1
bien osassent,1
osassent espé,1
espé rer,1
rer isseue,1
isseue tant,1
tant forte,1
forte ville,1
ville assieste,1
assieste murailles,1
murailles pleine,1
pleine munitions,1
munitions genz,1
genz guerre,1
guerre estoient,1
estoient dedans,1
dedans fleur,1
fleur élicte,1
élicte angleterre,1
angleterre saison,1
saison pressoit,1
pressoit toutes,1
choses mettoient,1
mettoient hors,1
hors espérance,1
espérance toutesfois,1
toutesfois semble,1
semble dieu,1
dieu inspira,1
inspira royne,1
mére faire,1
faire poursuivre,1
poursuivre ceste,1
entreprinse hommes,1
hommes pensent,1
pensent quelquefois,1
quelquefois roys,1
