token_,count
peult estre,4
court parlement,3
temps roy,3
auparavant dieu,2
amen dement,2
tous jours,2
faire combattre,2
gens guerre,2
roy nostre,2
nostre souverain,2
souverain seigneur,2
dieu face,2
non seulement,2
encore mesme,2
cause quoy,2
princes sang,2
présence roy,2
assemblée évesques,2
contenir peuple,2
bien dira,2
estre direz,2
roy henry,2
roy francois,2
personnes comme,2
ceste heure,2
nostre roy,2
tout ainsy,2
adviz court,2
celles là,2
tout coup,2
peu peu,2
peuvent estre,2
expérience monstré,2
monstré impossible,2
com modes,2
comme dict,2
roy veult,2
harangue michel,1
michel hospital,1
hospital chancelier,1
chancelier france,1
france assemblée,1
assemblée états,1
états génenaux,1
génenaux assemblés,1
assemblés saint,1
saint germain,1
germain laye,1
laye aout,1
aout sssisons,1
sssisons commencement,1
commencement diversité,1
diversité reli,1
reli gion,1
gion an,1
an temps,1
temps croysade,1
croysade temps,1
temps plus,1
plus dissoleu,1
dissoleu jamais,1
jamais auparavant,1
dieu voulant,1
voulant laisser,1
laisser perdre,1
perdre frappa,1
frappa porte,1
porte semondre,1
semondre amendement,1
amendement lequel,1
lequel estant,1
estant faict,1
faict diversité,1
diversité religions,1
religions creu,1
creu temps,1
temps temps,1
temps règne,1
règne règne,1
règne jus,1
jus ques,1
ques présent,1
présent quelque,1
quelque résistance,1
résistance faict,1
faict feu,1
feu glaive,1
glaive armes,1
armes dont,1
dont deu,1
deu user,1
user telles,1
telles choses,1
choses plustost,1
plustost procéder,1
procéder amen,1
dement vie,1
vie résidence,1
résidence prédication,1
prédication évesques,1
évesques pasteurz,1
pasteurz soing,1
soing curez,1
curez leurs,1
leurs troupeaux,1
troupeaux ainsi,1
ainsi dieu,1
dieu estant,1
estant harangues,1
harangues satisfaict,1
satisfaict ni,1
ni appaisé,1
appaisé fault,1
fault trouver,1
trouver trange,1
trange si,1
si choses,1
choses vont,1
vont mal,1
mal piz,1
piz veu,1
veu hérésies,1
hérésies anciennes,1
anciennes graves,1
graves dignes,1
dignes vertueuz,1
vertueuz évesques,1
évesques résisté,1
résisté plus,1
plus peu,1
peu présent,1
présent veoit,1
veoit combien,1
combien différence,1
différence eulx,1
eulx ceulx,1
ceulx tiennent,1
tiennent place,1
place voulant,1
voulant chascung,1
chascung applaudir,1
applaudir pesché,1
pesché laisser,1
laisser conduire,1
conduire seul,1
seul amendement,1
amendement ré,1
ré formation,1
formation vie,1
vie ceulx,1
ceulx nouvelle,1
nouvelle religion,1
religion prins,1
prins plus,1
plus hardiesse,1
hardiesse manifester,1
manifester temps,1
temps régne,1
régne roy,1
roy présent,1
présent bas,1
bas aage,1
aage faict,1
faict auparavant,1
dieu permiz,1
permiz tous,1
jours travailler,1
travailler davantaige,1
davantaige rien,1
rien faict,1
faict vouleu,1
vouleu nostre,1
nostre amen,1
dement quoy,1
quoy tout,1
tout veoyons,1
veoyons ca,1
ca lamitez,1
lamitez divisions,1
divisions doibt,1
doibt conduire,1
conduire si,1
si bien,1
bien aveuglez,1
aveuglez ceulx,1
ceulx conseilleront,1
conseilleront roy,1
roy mectre,1
mectre tout,1
tout costé,1
costé autant,1
autant disoient,1
disoient print,1
print armes,1
armes faire,1
combattre membres,1
membres membres,1
membres ruyne,1
ruyne corps,1
corps vouldroit,1
vouldroit bien,1
bien scavoir,1
scavoir quelz,1
quelz capi,1
capi taines,1
taines soldatz,1
soldatz gens,1
guerre voul,1
voul droit,1
droit bailler,1
bailler telle,1
telle exécution,1
exécution quelle,1
quelle scureté,1
scureté pourroit,1
pourroit promettre,1
promettre événe,1
événe ment,1
ment oultre,1
oultre personne,1
personne con,1
con harangues,1
harangues fesse,1
fesse victoire,1
victoire sçauroit,1
sçauroit estre,1
estre dom,1
dom mageable,1
mageable quelque,1
