token_,count
mille livres,8
bien église,6
livres tournoys,5
cent mille,4
armes justice,3
non seulement,3
ceste ville,3
plus forte,3
leurs majestés,3
seize cent,3
ceste vente,3
genz guerre,3
biens église,3
conservation estat,2
armes sans,2
souverain seigneur,2
honneur dieu,2
celle regarde,2
nuls aultres,2
justice souveraine,2
comme roys,2
leurs moeurs,2
princes seigneurs,2
grand besoing,2
nécessité comme,2
bien esglise,2
serviteurs roy,2
roy aultres,2
aultres falloit,2
quart taille,2
dés lors,2
dix huit,2
huit millions,2
roy plus,2
tant leurs,2
millions francz,2
perdre royaulme,2
roy royne,2
cent soixante,2
soixante mille,2
tournoys reistres,2
trente mille,2
moyen recouvrer,2
recouvrer argent,2
né cessité,2
tous jours,2
ceste affaire,2
estat roy,2
plus grande,2
chancelier fit,2
harangue prononcée,1
prononcée hospital,1
hospital chancelier,1
chancelier france,1
france séance,1
séance lit,1
lit justice,1
justice teneu,1
teneu roy,1
roy charles,1
charles ix,1
ix parlement,1
parlement paris,1
paris mai,1
mai mixxssizvns,1
mixxssizvns deux,1
deux principaulx,1
principaulx poincts,1
poincts contiennent,1
contiennent royaulme,1
royaulme armes,1
justice regarde,1
regarde dehors,1
dehors conservation,1
estat contre,1
contre voisinz,1
voisinz ennemis,1
ennemis aultre,1
aultre dedans,1
dedans concerne,1
concerne subject,1
subject prochain,1
prochain paix,1
paix justice,1
justice peult,1
peult sans,1
sans aultre,1
aultre plus,1
plus dangereuse,1
dangereuse plus,1
plus cruelle,1
cruelle chose,1
chose monde,1
monde armes,1
sans justice,1
justice injustice,1
injustice armée,1
armée expérience,1
expérience choses,1
choses veues,1
veues depuis,1
depuis an,1
an cà,1
cà aussy,1
aussy justice,1
justice sans,1
sans armes,1
armes peult,1
peult tout,1
tout faire,1
faire appartient,1
appartient si,1
si chascung,1
chascung juste,1
juste feroit,1
feroit justice,1
justice aultre,1
aultre cela,1
cela poinct,1
poinct dieu,1
dieu ordonné,1
ordonné puissance,1
puissance roys,1
roys lesquelz,1
lesquelz dent,1
dent armes,1
armes contre,1
contre leurs,1
leurs subjectz,1
subjectz désobéys,1
désobéys sans,1
sans comme,1
comme contre,1
contre estrangers,1
estrangers malveil,1
malveil lans,1
lans harangues,1
harangues prédécesseurs,1
prédécesseurs nostre,1
nostre roy,1
roy exercé,1
exercé mesmes,1
mesmes droicts,1
droicts tant,1
tant armes,1
justice quant,1
quant armes,1
armes grandeur,1
grandeur estendeue,1
estendeue non,1
seulement europe,1
europe asie,1
asie afrique,1
afrique justice,1
justice émporté,1
émporté premier,1
premier bien,1
bien nom,1
nom seigneurie,1
seigneurie royaulme,1
royaulme terre,1
terre mieulx,1
mieulx policé,1
policé armes,1
justice celuy,1
celuy france,1
france auquel,1
auquel tousjours,1
tousjours bonnes,1
bonnes loyx,1
loyx magistrats,1
magistrats fort,1
fort bien,1
bien distribuez,1
distribuez deux,1
deux ordres,1
ordres possible,1
possible veoir,1
veoir penser,1
penser mieulx,1
mieulx désirerois,1
désirerois ordonnances,1
ordonnances dlesdicts,1
dlesdicts pré,1
pré décesseurz,1
décesseurz bonnes,1
bonnes sainctes,1
sainctes petit,1
petit nombre,1
nombre celles,1
celles roy,1
roy nostre,1
nostre souverain,1
seigneur feussent,1
feussent bien,1
bien gardées,1
gardées présentement,1
présentement admonestez,1
admonestez faisant,1
faisant justice,1
justice rendiez,1
rendiez honneur,1
dieu service,1
service profict,1
profict subjects,1
subjects justice,1
justice deux,1
deux genres,1
genres celle,1
regarde dieu,1
dieu honneur,1
honneur nom,1
nom religion,1
religion celle,1
regarde hommes,1
hommes retient,1
retient nom,1
nom justice,1
justice lesdicts,1
lesdicts roys,1
roys plus,1
plus nuls,1
aultres af,1
af fectionnez,1
fectionnez religion,1
religion eslargy,1
eslargy église,1
église donné,1
donné leurs,1
leurs biens,1
biens non,1
seulement leurs,1
leurs termes,1
termes possessions,1
possessions leurs,1
leurs propres,1
propres mai,1
mai sons,1
sons palais,1
palais deslogez,1
deslogez loger,1
loger plusieurs,1
plusieurs lieux,1
lieux mesme,1
mesme ceste,1
ville capi,1
capi tale,1
tale baillé,1
baillé esglise,1
esglise palais,1
palais temple,1
temple harangues,1
harangues nostre,1
nostre dame,1
dame champs,1
champs saint,1
saint ouen,1
ouen prés,1
prés paris,1
paris aultres,1
aultres lieux,1
lieux leurs,1
leurs domaines,1
domaines justice,1
justice laissé,1
laissé palais,1
palais pré,1
pré sent,1
sent domicile,1
domicile justice,1
souveraine cherché,1
cherché honneur,1
dieu plus,1
plus honneur,1
honneur hommes,1
hommes faict,1
faict comme,1
roys anciens,1
anciens asie,1
asie désiré,1
désiré estre,1
estre appelez,1
