token_,count
ceste compaignie,4
ceste court,4
comme dict,3
si ceulx,3
ceulx ceste,3
ladicte court,3
bonne part,2
bonne volonté,2
tous aultres,2
si grand,2
tous jours,2
aultres lieux,2
toutes choses,2
rien tant,2
roy non,2
ainsi dieu,2
puis sance,2
non opposer,2
grands personnaiges,2
ayt veu,2
viennent plainctes,2
llesdictes ordonnances,2
ordon nances,2
paix repoz,2
harangue sieur,1
sieur chancelier,1
chancelier hospital,1
hospital ouverture,1
ouverture parlement,1
parlement vendredy,1
vendredy novembre,1
novembre mxssix,1
mxssix vns,1
vns tiendray,1
tiendray long,1
long propoz,1
propoz parce,1
parce temps,1
temps permet,1
permet aussi,1
aussi mihi,1
mihi docendi,1
docendi non,1
non estis,1
estis sed,1
sed admonendi,1
admonendi prie,1
prie prendre,1
prendre bonne,1
part diray,1
diray comme,1
comme vient,1
vient bonne,1
volonté desire,1
desire ceste,1
compaignie honneur,1
honneur tel,1
tel prince,1
prince lieu,1
lieu requiert,1
requiert soubve,1
soubve rain,1
rain ordre,1
ordre justice,1
justice royaulme,1
royaulme doibt,1
doibt servir,1
servir exemple,1
exemple tous,1
aultres suivant,1
suivant dict,1
dict ordo,1
ordo senatorius,1
senatorius specimen,1
specimen esto,1
esto ceteris,1
ceteris auquel,1
auquel chascung,1
chascung aultres,1
aultres doibt,1
doibt mirer,1
mirer souhaiter,1
souhaiter sans,1
sans tache,1
tache macule,1
macule louez,1
louez sine,1
sine exceptione,1
exceptione aliquá,1
aliquá fault,1
fault chascung,1
chascung part,1
part soy,1
soy considère,1
considère roy,1
roy députez,1
députez administrer,1
administrer justice,1
justice soubveraine,1
soubveraine mettant,1
mettant mains,1
mains harangues,1
harangues biens,1
biens vies,1
vies tous,1
tous subjects,1
subjects faict,1
faict aultres,1
aultres corps,1
corps si,1
grand honneur,1
honneur donne,1
donne si,1
grand pouvoir,1
pouvoir rien,1
rien si,1
si royal,1
royal justice,1
justice bien,1
bien exercée,1
exercée ycelle,1
ycelle àdministrer,1
àdministrer roys,1
roys faicts,1
faicts receu,1
receu dieux,1
dieux comme,1
dict homère,1
homère neque,1
neque machinas,1
machinas neque,1
neque naves,1
naves eratas,1
eratas ad,1
ad expugnandas,1
expugnandas urbes,1
urbes sed,1
sed justitiam,1
justitiam roys,1
roys entre,1
entre tous,1
aultres tous,1
jours recogneu,1
recogneu romains,1
romains monstré,1
monstré estude,1
estude amour,1
amour armes,1
armes leurs,1
leurs statues,1
statues veoit,1
veoit habit,1
habit militaire,1
militaire contraire,1
contraire roys,1
roys comme,1
comme veoit,1
veoit salle,1
salle palais,1
palais aultres,1
lieux représentez,1
représentez habit,1
habit civil,1
civil paix,1
paix robe,1
robe longue,1
longue velut,1
velut togati,1
togati démonstrant,1
démonstrant là,1
là plus,1
plus aimé,1
aimé justice,1
justice art,1
art aussy,1
aussy leurs,1
leurs scels,1
scels habillez,1
habillez roys,1
roys rendant,1
rendant justice,1
justice parle,1
parle seulement,1
seulement roys,1
roys tous,1
tous princes,1
princes seigneurs,1
seigneurs ordonnez,1
ordonnez dieu,1
dieu quelz,1
quelz rien,1
rien dont,1
dont puissent,1
puissent tant,1
tant estre,1
estre louez,1
louez justice,1
justice salomon,1
salomon faict,1
faict édifier,1
édifier grands,1
grands édifices,1
édifices assemblé,1
assemblé grandes,1
grandes richesses,1
richesses science,1
science cognoissance,1
cognoissance toutes,1
choses toutesfois,1
toutesfois rien,1
tant loué,1
loué bons,1
bons juge,1
juge mens,1
mens daniel,1
daniel semblablement,1
semblablement célébré,1
célébré harangues,1
harangues femme,1
femme accusée,1
accusée tort,1
tort saulvée,1
saulvée prudence,1
prudence jugement,1
jugement nomen,1
nomen judicum,1
judicum grand,1
grand toute,1
toute nation,1
nation sçait,1
sçait combien,1
combien temps,1
temps juifs,1
juifs contentez,1
contentez leurs,1
leurs judges,1
judges tite,1
tite live,1
live lieu,1
lieu dict,1
dict consules,1
consules prætores,1
prætores ceterique,1
ceterique magistratus,1
magistratus nomine,1
nomine judicum,1
judicum censebantur,1
censebantur jésus,1
jésus christ,1
christ voulant,1
voulant honorer,1
honorer disciples,1
disciples promet,1
promet judgeront,1
judgeront tribuz,1
tribuz israél,1
israél fault,1
fault recognoistre,1
recognoistre roy,1
roy dieu,1
dieu ceste,1
ceste grande,1
grande puissance,1
puissance pensez,1
pensez roy,1
non hominis,1
hominis judicium,1
judicium sed,1
sed dei,1
dei exercetis,1
exercetis comme,1
comme escript,1
escript vostre,1
vostre tableau,1
tableau dire,1
dire seulement,1
seulement ainsi,1
dieu toute,1
toute puis,1
sance hommes,1
hommes hommes,1
hommes ayent,1
ayent puis,1
sance ceulx,1
ceulx ressort,1
ressort aussy,1
aussy enseigner,1
enseigner hommes,1
hommes juges,1
juges imiter,1
imiter dieu,1
dieu judger,1
judger comme,1
comme sans,1
sans passion,1
passion faveur,1
faveur acception,1
acception personne,1
personne ceulx,1
ceulx ainsy,1
ainsy appelés,1
appelés dieux,1
dieux dadvantage,1
dadvantage fault,1
fault penser,1
penser exercent,1
exercent judgement,1
judgement roy,1
non soing,1
soing tousjours,1
tousjours cognoistre,1
cognoistre ledict,1
ledict prié,1
